,title,addr1,mapx,mapy,firstimage,overview,addr2
0,광양 옥룡사 동백나무 숲,전라남도 광양시 옥룡면 운암길 83,127.609227,35.0461203,http://tong.visitkorea.or.kr/cms/resource/62/2833462_image2_1.jpg,"백운산 남쪽 7km 지점의 옥룡사지 주변에 있다. 옥룡사는 통일신라 말의 뛰어난 고승이자 한국풍수지리의 대가인 선각국사 도선이 35년간 머무르면서 수백명의 제자를 가르치다 입적한 곳으로, 우리나라 불교역사에 매우 중요한 위치를 차지하고 있는 천년의 불교성지이다.현재 옥룡사지는 옥룡면 추산리에 위치하고 있는데 ""옥룡""이라는 지명은 도선의 도호인 ""옥룡자""에서 유래되었다고 전해온다.  옥룡사지를 싸안고 있는 백계산(505.8m)은 주산인 백운산(1,218M)에서 뻗어내린 지맥으로, 형성된 아담한 산으로 백운산의 중앙부에 위치한다.옥룡사는 신라 말에 조그만 암자였던 것을 도선국사가  864년에 중수하여 거쳐하였으며,  수백명의 사문들이 그의 법문을 듣고자 몰려들어 ""옥룡사파""란 지파가 형성되자 몰려드는 인원을 수용하기 위해  인근에 운암사라는 사찰을 추가로 건립한 것으로 전해진다. 옥룡사는 몇차례의 화재에도 불구하고 꾸준히 사세를 이어 오다가 1878년 화재로 소실된 후 폐찰되었으며 현재 서 있는 대웅전은 1969년에 건립되었다. 옥룡사지에는 도선국사와 수제자인 통진대사의 비와 탑이 세워져있었으나 1920년경에 모두 없어져 버리고  비문만이 탁본되어 ""동문선"" 등에 전해온다. 옥룡사지 주변에는 도선국사가 땅의 기운을 보강하기 위해 심었다는 것으로 전해오는 동백나무 7천여본이 7ha에 거쳐  울창한 동백 숲을 이루고 있다. 험난한 역사에 휘말려 절은 흔적도 없이 사라졌지만 이 동백들만이 그 뿌리를 견고히 내려 천년의 역사를 자랑하고 있다. 1974년 9월 24일 전라남도기념물(광양 백계산 동백림)로 지정되었다가 2007년 12월 17일 천연기념물로 변경되었다.* 현황해발 403m의 산 남쪽 천연림으로 그 분포 면적은 약 7ha에 달하고 있다. 동백나무의 간주는 1.8m 에 이르는 고령수가 있고 평균 수고는 5~6m이며  6,342 그루의 동백나무가 있다.",광양시
1,광양 옥룡사지,전라남도 광양시 옥룡면 백계1길 71,127.6060828,35.04730067,http://tong.visitkorea.or.kr/cms/resource/21/1606821_image2_1.jpg,"옥룡사지를 싸안고 있는 백계산(505.8M)은 주산인 백운산(1,218M)에서 뻗어 내린 지맥으로 형성된 아담한 산으로 백운산의 중앙부에 위치한다. 옥룡사는 신라 말에 조그만 암자였던 것을 도선국사가 864년에 중수하여 거처하였으며, 수백명의 사문들이 그의 법문을 듣고자 몰려들어 ""옥룡사파""란 지파가 형성되자 몰려드는 인원을 수용하기 위해 인근에 운암사라는 사찰을 추가로 건립한 것으로 전해진다. 옥룡사는 몇 차례의 화재에도 불구하고 꾸준히 사세를 이어 오다가 1878년 화재로 소실된 후 폐찰 되었으며 현재 서 있는 대웅전은 1969년에 건립되었다. 옥룡사지에는 도선국사와 수제자인 통진대사의 비와 탑이 세워져 있었으나 1920년경에 모두 없어져 버리고 비문만이 탁본되어 ""동문선""등에 전해온다.",광양시
2,광양 형제 의병장마을,전라남도 광양시 봉강면 신촌길 21-6,127.562428,35.05865974,http://tong.visitkorea.or.kr/cms/resource/94/2515694_image2_1.jpg,"호남 지역 백두대간의 끝자락에 위치한 광양형제의병장마을은 임진왜란 당시 의병을 일으켜 큰 전공을 세우고 전사한 강희보 강희열 형제 의병장이 태어난 마을이다. 형 강희보는 임진왜란이 일어나자 광양에서 100여 명의 군사를 모아 의병을 일으켰고, 동생 강희열은 무과에 급제해 영호남의 군사 요충지인 구례군 토지면의 석주관을 지켰다. 두 형제는 임란 당시 위기에 처한 진주성에서 김천일 장군과 함께 10만 왜군에 맞서 전투를 벌이다 1593년 6월 27일과 29일 각각 장렬히 전사했다. 뒷날 선조는 강희보, 강희열 형제의 충절을 높이 사 진주 창렬사에 배향했고, 1970년에 이르러 고향인 봉강면 신룡리에 묘소와 묘비를 보수하고 사당을 건립했다. 현재 형제의병장마을에 남아 있는 사당은 1998년 이축한 것으로 동재, 서재, 삼문, 홍살문 등을 갖추고 있으며, 매년 이곳에서 시제를 올린다. 강희보, 강희열 형제 의병장의 묘소는 마을이 기대어 있는 바구산 등산로 중턱에 나란히 위치해 있다. 묘소까지는 완만한 산책로가 이어져 가벼운 마음으로 다녀오기에 좋다.형제의병장마을에는 형제의병장 사당 외에도 볼거리가 참 많다. 마을 안에 질매제계곡, 바구산이 있고, 마을에서 멀지 않은 곳에는 백운산, 성불사, 성불계곡 등이 있다. 덕분에 다양한 농촌 체험을 할 수 있는 것은 물론 편안히 쉬었다 오기에도 좋다. 순천, 광양, 여수 등 주변 도시와도 인접해 접근하기 수월하다는 점도 빼놓을 수 없는 장점 중 하나.형제의병장마을은 녹색농촌체험마을답게 여러 종류의 체험 프로그램을 준비해두고 있다. 남녀노소 누구나 쉽게 즐길 수 있는 밤 줍기, 고구마 캐기, 단감 따기, 매실 따기 등을 비롯해 우리 고유의 염색을 직접 경험하고 배울 수 있는 전통 염색 체험, 그리고 소에게 여물을 주거나 소가 끄는 달구지에 몸을 실어보는 가축 기르기 체험 등은 체험객들에게 농촌 생활의 즐거움을 만끽할 수 있게 해준다.",광양시
3,광양불고기특화거리,전라남도 광양시 서천1길 44,127.5790844,34.96960616,http://tong.visitkorea.or.kr/cms/resource/98/2915898_image2_1.JPG,"허영만 화백이 백반기행에서 우리나라 3대 불고기인 광양, 한양, 언양 불고기 중 광양불고기가 최고라고 극찬할 만큼, 광양의 명물로 자리매김한 불고기 특화 거리다. 명성만큼이나 광양을 찾는 여행객들이 방문해야 할 필수 코스로도 알려져 있다. 광양불고기특화거리에 가면 광양불고기 파크 맛집 지도가 있는데, 불고기뿐만 아니라 냉면, 국밥, 삼계탕, 샤부샤부, 닭구이 등등 다양한 식당들이 자리하고 있다. 또한 거리는 테마별로 나누어져 있는데, 1마당 맛나소에는 광양불고기의 역사 속으로 들어간다는 의미의 테마로가 조성되어 있다. 2마당 나눠소에는 소의 희생적 삶과 자연이 함께 어울리는 공간으로, 3마당에는 주민, 상인 그리고 방문객이 하나 되는 공존의 공간으로, 4마당 마로소에는 천하일미 마로화적의 스토리가 잘 묻어나는 주 테마공원으로 조성되어 있다. 광양불고기 스토리보드를 비롯해 어미 소와 아기 소가 정겨운 조형물, 행운과 수호신을 상징하는 희망 소, 거꾸로 돌아가는 시계탑 등도 흥미를 불러일으킨다. 광양 여행을 계획 중이라면 한 번쯤 방문해 볼 것을 추천한다.",광양시
4,광양와인동굴,전라남도 광양시 광양읍 강정길 33,127.6086181,34.96134926,http://tong.visitkorea.or.kr/cms/resource/68/2563268_image2_1.jpg,"광양와인동굴은 단순히 와인만을 즐기는 곳이 아닌 가족과 함께, 연인, 친구들과 함께 아름다운 추억을 만드는 곳, 와인과 예술이 어우러진 복합문화예술공간을 꿈꾸고 있습니다. 와인을 어렵게만 생각하는 사람들이 좀 더 친숙해질 수 있도록 전 세계 와인을 한 곳에서 만나며 부담없이 즐길 수 있는 곳이기도 합니다.",광양시
5,광양향교,전라남도 광양시 광양읍 향교길 67,127.5881194,34.98244376,http://tong.visitkorea.or.kr/cms/resource/71/1608471_image2_1.jpg,"1443년(세종 25)에 현유(賢儒)의 위패를 봉안, 배향하고 지방의 중등교육과 지방민의 교화를 위해 창건되었다. 임진왜란 때 소실되었다가 1613년 군수 남내원(南來爰)이 지방유림과 협력하여 대성전을 먼저 중건하고 연차적으로 복원공사를 하였다. 그 뒤 여러 차례의 보수와 개수를 거듭하였으나 민족항일기와 6·25사변을 거치면서 완전히 퇴락하였던 것을 1966년에 풍화루(風化樓)를 석주(石柱)로 대체하여 중건하는 등 대대적인 보수를 시작하여, 1971년에는 명륜당을 중건하고 동재와 서재를 보수하는 한편, 풍화루 및 대성전의 단청을 새로 하였다. 현존하는 건물로는 대성전·명륜당·풍화루·동재·서재·상재(上齋)·재실·신문(神門)·창고 등이 있다. 정면 3칸의 맞배지붕으로 된 대성전에는 5성(五聖), 송조4현(宋朝四賢), 우리나라 18현(十八賢)의 위패가 봉안되어 있다. 조선시대에는 국가로부터 전답과 노비·전적 등을 지급받아 교관이 교생을 가르쳤으나, 현재는 교육적 기능은 없어지고 봄·가을에 석전(釋奠)을 봉행(奉行)하고 초하루·보름에 분향을 하고 있으며, 전교(典校) 1명과 장의(掌議) 수명이 운영을 담당하고 있다. 전라남도 유형문화재로 지정되어 있으며, 소장 전적은 165종 463책으로 전라남도의 향교 중 비교적 많은 서적을 보관하고 있으나 낙질본이 많다.",광양시
6,느랭이골 자연 리조트,전라남도 광양시 다압면 토끼재길 119-32,127.7114399,35.06002885,http://tong.visitkorea.or.kr/cms/resource/68/2481668_image2_1.jpg,"느랭이골 자연 리조트는 백두대간에서 갈라져 나와 호남벌을 뻗어 내리는 호남정맥으로 이어지며 내장산, 무등산, 조계산을 힘차게 치달려 기나긴 천리 여정에 위풍당당한 마침표를 찍는 최고 높이가 1,751m나 되는 백운산과 섬진강 700리 물길을 갈무리한 백운산 끝자락 남단 중앙부에 우뚝 솟은 해발 450m에 위치하고 있다.남쪽으로는 광양제철소와 광양항, 망덕포구 그리고 여수 산단까지 조망할 수 있는 전망대와 북동쪽으로는 섬진강 700리와 경상남도 하동시내 그리고 지리산 천왕봉을 조망할 수 있다. 봄에는 매화꽃, 철쭉, 여름에는 녹음, 가을엔 단충, 겨울에는 설경과 함께 사계절 내내 즐길 수 있는 편백나무 숲과 아름답게 조성된 생태정원이 관광객에게 언제나 다양한 만족과 즐거움을 제공한다.느랭이골은 백운산 끝자락에 위치하고 있어 풍부한 일조량과 따스한 기후조건 그리고 차가운 북풍을 막아주는 지리산과 광양만에서 불어오는 바닷바람의 영향을 받아 제주도 한라산 다음으로 식물 분포가 다양하고 보존이 잘 되어 있다. 또한 야간에는 1천4백3십만개가 넘는 LED 전구가 어두운 밤을 화려하게 수놓고 있어 아름다움 자연과 불빛의 조화를 연중무휴로 즐기실 수 있을 뿐만 아니라 선진 캠핑,야영문화를 주도하는 느랭이골은 해발 450m의 편백숲 자연 속에서 각 40동의 글램핑과 야영장 시설이 완비되어있어 남녀노소 편안하고 안락한 캠핑과 야영을 즐길 수 있다.",광양시
7,도선국사마을,전라남도 광양시 옥룡면 상산길 48,127.5933618,35.04444799,http://tong.visitkorea.or.kr/cms/resource/69/2369769_image2_1.jpg,"도선국사가 35년간 머무셨던 옥룡사지에는 아직도 7천그루의 동백꽃이 한창 피어 퍼드러져 알싸하고 향긋한 냄새가 진동하며 이른봄 주위를 붉에 물들이면서 반겨준다. 금계가 알을 품고 있다는 명당중의 명당, 마을에는 사또약수터가 있어서 백운산 줄기를 따라 솟아 오르는 약수를 뜨기 위해 인근 순천, 여수에서도 사람들의 발길이 끊이지 않는 곳이다. 마을 옆에는 백운산 자연 휴양림이 있어서 쾌적한 삼림욕과 황토길 걷기를 할 수 있고, 따뜻한 봄에는 가장 먼저 나는 고사리, 산나물을 뜯기도 하며, 여름철 매미소리 나는 시원한 정자나무와 계곡 물 옆에서 쉬어가며, 촌부가 뜯어다 해주는 풋고추에 고슬고슬한 밥도 먹고, 1200년 전 도선국사가 심어놓은 야생녹차를 이용해서 현장체험을 직접 해 볼 수 있는 곳이다.",광양시
8,망덕포구,전라남도 광양시 진월면 망덕리 845-1,127.7596518,34.97266173,http://tong.visitkorea.or.kr/cms/resource/58/2796358_image2_1.jpg,"전라남도 하동과 광양의 경계지역에 있는 섬진강 망덕포구는 전어축제가 열리는 계절이 되면, 광양의 랜드마크로 급부상하는 인기 절정의 관광지이다. 망덕포구의 유래는 광양만을 한눈에 파수(경계하여 지키다) 할 수 있는 위치에 있어서 '망뎅이'라 이름하였고, 이를 한자 음을 빌려 '망덕'이라 하였다. 옛사람들이 섬진강을 거슬러 다압, 구례, 곡성으로 가는 유일한 길목 역할을 했던 망덕포구는 섬진강 물길이 풍성한 어장을 형성해 깨끗한 생육 환경에 사는 대표적인 어종, 가을 별미인 전어 산지이다. 차지고 고소한 맛이 일품인 전어를 전국에서 가장 먼저 활어로 개발한 곳이라 직접 전어를 잡아 운영하는 횟집이 즐비하다.",광양시
9,매천 황현 생가,전라남도 광양시 봉강면 서석길 14-3,127.5617659,34.99346429,http://tong.visitkorea.or.kr/cms/resource/14/2733414_image2_1.JPG,"""한말 우국지사이자 역사가인 매천 황현(1855~1910)과 그의 동생 석전 황원(1870~1944)이 태어나서 1886년 구례 만수동으로 이사하기 전까지 살았던 곳이다.
매천 황현은 조선의 마지막 선비로 일컬어지며, '매천야록', '오하기문' 등을 지은 역사가이자. 약 2,500여 수의 시를 남긴 문학가로도 유명하다. 매천은 1910년 8월 경술국치를 당하자 절명시 4수를 남기고 순절하였다. 대한민국 정부에서는 그의 충절을 기리어 건국훈장 독립장을 추서하였다. 인근에 2010년 조성된 매천역사공원이 조성되어 있는데 가족 묘역, 절명시, 창의정, 연못 등이 조성되어 있다. 선생의 애국정신을 후세에 전하기 위한 장소로 많은 사람들이 찾고 있다.""",광양시
