,title,addr1,mapx,mapy,firstimage,overview,addr2
0,구례 관광특구,전라남도 구례군 마산면 화엄사로 539,127.4977425,35.25731402,http://tong.visitkorea.or.kr/cms/resource/83/1917883_image2_1.jpg,"구례 관광특구는 산악 지대를 중심으로 강과 평야가 두루 펼쳐지는 토지면과 마산면, 광의면, 산동면을 포함하는 대단위 관광 지구다. 구례군 구석구석이 관광특구라 할 만큼 볼거리가 다양하다. 예부터 기름진 평야로 이름 난 구례의 가장 큰 자연 자원은 국립공원 제1호인 지리산국립공원과 섬진강이다. ‘어머니의 품’이라 일컬어지며 해마다 많은 등산객들이 찾는 지리산국립공원은 깊고 너른 산세와 맑은 계곡 등 때 묻지 않은 자연 경관으로 사랑 받고 있다. 등산 코스도 여러 갈래이며 곳곳에 산장이 있어서 백패킹도 가능하다.지리산 언저리를 걸어서 도는 지리산 둘레길은 지리산 등반과는 또 다른 정취를 즐기는 트레킹 코스다. 산행과 트레킹을 즐기는 동안 봄에는 산수유 군락을, 가을에는 단풍에 물든 산과 계곡을 만날 수 있다.
지리산 온천 같은 레저 시설을 비롯해 한옥 민박, 게스트하우스 등 다양한 숙박 시설을 갖추고 있는 것도 장점이다. 화엄사, 연곡사, 천은사 등 유서 깊은 사찰과 역사적 유물들도 함께 자리하고 있어 역사 탐방에도 유익하다. 곡성에서 하동까지 길게 이어지는 섬진강의 물줄기는 고즈넉한 풍경을 자아낸다. 섬진강은 국내 제일의 청정 하천으로 손꼽히며 다슬기와 은어가  많이 나기로 유명하다. 섬진강을 끼고 달리는 섬진강변도로 역시 최고의 전망을 선사하는 드라이브 코스다. 계절에 따라 산수유꽃축제, 섬진강변벚꽃축제, 피아골단풍축제 등 다양한 축제가 열린다.
* 구례 관광특구 현황
1) 범위 / 전라남도 구례군 토지·마산·광의·산동면 지역
2) 면적 / 78,024,000㎡
3) 관광특구 지정일 / 1997년 1월 18일
* 구례 관광특구 시설 현황
지리산, 섬진강, 지리산 온천 관광지, 피아골 계곡, 산수유 시목지, 화엄사, 천은사, 연곡사, 한옥 마을 등",구례군
1,구례 산수유마을,전라남도 구례군 산동면 위안월계길 6-12,127.4849694,35.33598547,http://tong.visitkorea.or.kr/cms/resource/34/2616834_image2_1.jpg,"산수유마을의 유산은 척박한 땅에 농사짓기가 힘들어서 시작한 것이 효시가 되었지만 매년 봄의 전령사로서 지리산의 상춘객을 모으고 있다. 해발 400m에 위치한 구례군 산동면 위안월계 산수유마을은 매년 3월이면 노란 산수유로 만발한다. 백두대간 만복대의 물줄기 산동정수장은 2010년 전국 최우수 수질로 대통령상을 받았으며 생수공장, 게르마늄이 함유된 지리산 온천 암반수와 최고 수질의 물 고장이다. 이 곳에 나는 산수유는 전국의 70% 이상을 점유하며, 9월의 햇살과 일조 조건은 전국 최고 우량 산수유를 만들어내고 있다. 산촌생태마을인 산수유마을은 봄에는 산수유 축제, 여름에는 수락폭포, 가을에는 산수유 열매 축제가 있으며 겨울에는 만복대의 설경을 함께 갖춘 여행테라피에 최고의 휴식을 준다. 또한, 산수유 옛길 트레킹과 대동여지도 옛길 걷기 등 지리산 둘레길 7구간 인접구역이며 상위에서 묘봉치까지의 등산로, 당골에서 성삼재까지의 등산로, 지리산 온천에서의 휴식 등 다양한 건강과 휴식을 겸하는 웰빙여행이 될 수 있는 곳이다.",구례군
2,구례 석주관 칠의사묘,전라남도 구례군 토지면 송정리,127.564977,35.19714975,http://tong.visitkorea.or.kr/cms/resource/89/1117489_image2_1.jpg,"석주관 칠의사묘는 정유재란 때 구례지방으로 침입하여 왜구를 막기 위해 석주관성에서 적을 맞서 싸우다 장렬히 순절한 구례현감 이원춘을 비롯 왕득인, 이정익, 한호성, 양응록, 고정철, 오종 등의 정신을 기리기 위하여 가꾸어진 유적으로 사적 제106호로 지정되어 있다. 현재 석주관 칠의사단에는 높이 77㎝, 폭 29.5㎝, 두께 12㎝의 똑같은 규모의 칠의사 단비(壇?)가 세워져 있는데 왼쪽으로부터 이원춘, 왕득인, 왕의성, 이정익, 한호성, 양응록, 고정철, 오종의 순서로 모셔져 있다. 한편 석주관 칠의사 유적의 입구 우측에는 새로이 칠의사의 정신을 기리고자 기념관을 건립하였는데 사당으로 보이는 건물은 정면 3칸, 측면 2칸의 팔작와가로 되어있고 내삼문 밖에는 동·서재(東·西濟)의 건물로 정면 3칸, 측면 2칸의 규모인데 동재는 팔작지붕이고 서재는 맞배지붕이며 그외 외삼문 등이 갖추어져 있다.",구례군
3,구례 석주관성,전라남도 구례군 토지면 섬진강대로 4638-8,127.5661269,35.1973803,http://tong.visitkorea.or.kr/cms/resource/07/1609107_image2_1.jpg,"석주관은 전라도 경상도를 연결하는 지리산의 요새이다. 구례읍에서 섬진강을 따라 하동 쪽으로 10㎞쯤 가다 보면 구례군 토지면 송정리에 이르는데, 좌측으로 높이 약 10m의 낭떠러지가 나온다. 이곳이 석주관으로 사적으로 지정되어 있다. 이곳은 삼한시대에 마한과 진한의 경계였으며, 삼국시대에는 백제와 신라의 경계로 군사상 요충지였으며, 고려 때에는 남해에서 침입한 왜구를 막기 위해 성을 쌓은 곳이기도 하다. 이곳을 튼튼히 하기만 하면 전주에서 구례, 남원을 향해 넘어오는 왜적을 방어할 수 있는 호남의 전략적 요충지로, 고려말 왜구가 횡행함에 따라 진을 설치하여 운영하였으나, 조선이 개국하고 정국이 안정되어 감에 따라 진을 폐지하여 황폐되었는데, 1592(조선 선조 25년) 임진왜란이 발발하자 전라도 방어사 곽영이 성을 쌓고 구례 현감인 이원춘에게 석주관 방어를 담당하게 하였다.이는 현재 남아있는 성곽의 잔존부를 통해 쉽게 알 수 있으며, 임진왜란과 정유재란이 끝난 후 조정에서는 이곳 석주관에 고려말 때처럼 만호진을 설치하여 왜구에 대비하여야 한다는 논의가 있었지만, 활용되지 못하고 황폐해지고 현재에 이른다. 성벽의 전체길이는 약 750m이며, 높이 1∼1.5m, 아래폭 1.4∼1.5m 위폭 70∼90㎝ 정도로 대부분은 무너져 훼손된 상태로 근래에 들어 다시금 복원을 하고 있다. 면적 :  29,965㎡성벽 :  전체길이는 약 750m이며 높이 1∼1.5m, 아래 폭 1.4∼1.5m, 윗폭 70∼90cm 정도로서 대부분은 무너진 상태",구례군
4,구례 섬진강 벚꽃길,전라남도 구례군 문척면,127.4697387,35.17925845,http://tong.visitkorea.or.kr/cms/resource/90/2648990_image2_1.jpg,남한 5대강 중 오염되지 않은 최후의 청류로 꼽히는 섬진강변에는 구례를 대표하는 3km가량의 벚나무 가로수 길이 국도 17호선과 19호선을 따라 조성되어 있다. 1992년부터 조성된 이 벚꽃길은 섬진강변을 따라 조성되어 있어 봄의 향기를 느끼면서 멋진 드라이브를 경험할 수 있다. 교통량이 많지 않아 산책하기에도 좋으며 마라톤 코스로도 각광받고 있다. 섬진강 벚꽃길은 ‘한국에서 가장 아름다운 길 100선’에 선정되기도 하였다. 아울러 섬진강에는 은빛으로 반짝이는 은어를 비롯하여 참게 등 30여 종의 담수어가 서식하고 있다. 섬진강 주변의 식당에서는 은어회와 은어구이를 맛볼 수 있으며 참게의 시원한 맛을 곁들인 민물 매운탕은 섬진강을 찾는 많은 여행객의 사랑을 받고 있다.<출처 : 구례군청>,구례군
5,구례 운조루 고택,전라남도 구례군 토지면 운조루길 59,127.5154423,35.2061201,http://tong.visitkorea.or.kr/cms/resource/43/1606843_image2_1.jpg,"류이주는 그가 처음 이사와 살았던 구만들(九萬坪)의 지명을 따 호를 귀만(歸晩)이라 했으며 이 집을 귀만와 (歸晩窩)라고도 불렀다. 운조루라는 택호는 구름속의 새처럼 숨어사는 집이란 뜻과 함께 구름위를 나르는 새가 사는 빼어난 집이란 뜻도 지니고 있다.  그러나 본디 이집의 이름은 중국의 도연명(陶淵明)이 지은 귀거래혜사(歸去來兮辭)에서 따온 글이다. 구름은 무심히 산골짜기에 피어 오르고, 새들은 날기에 지쳐 둥우리로 돌아 오네의 문구에서 첫머리 두 글자를 취해  이름을 지었다고 전해진다. 구례 운조루 고택은 좌청룡 우백호의 산세와  함께 내수구(앞 도랑)와 외수구(섬진강)가 제대로 되어 있는 명당터에 자리잡고 있다. 집 앞의 오봉산은 신하들이  엎드려 절하는 형국이라고하며, 연당은 남쪽의 산세가 불의 형세를 하고 
있어  화재를 예방하기 위하여 조성한 것이라고 한다. 풍수지리설에 의하면 이 일대는 금귀몰니(金龜沒泥), 금환락지(金環落地), 오보교취(五寶交聚), 혹은 오봉귀소(五鳳歸巢)의 명당이 있는 곳이라고 하며, 이 집터에서 거북이의 형상을한 돌이 출토되었기에 금귀몰니의 명당으로서 남한의 3대 길지로 알려져 있다.구례 운조루 고택에는 바깥사랑채, 안사랑채, 아랫사랑채 등으로 각각 누마루가 있었으나 지금은 아쉽게도 안사랑채와 아랫사랑채의 누마루는 남아 있지 아니하다. 현재 이 집은 건평 426.45m²(129평)으로 一 자형 행랑채와 북동쪽의 사당채를 제외하고 T자형의 사랑채와 ㄷ자형의 안채, 안마당의 곡간채가 팔작지붕, 박공지붕, 모임지붕으로 연결되어 있는 일체형 구조를 보이고 있다. 이 집에 있는 목독(나무로된 쌀독의 마개에 <他人能解>라는 글귀를 써두었음)은 가난한 이웃 사람이 쌀을 꺼내 끼니를 이어나갈 수 있도록 허용함으로써  음덕을 베풀고 적선을 하는 것이 돈을 가진 자의 도리임을 보여 주었던 류씨 문중의 상징물이다.200년이 지나도록 망하지 아니하고 오늘날까지 가문이 번창한 것은 오로지 분수를 지키며 생활하고, 이웃을 돌보았던 마음이 전승되어 내려왔기 때문이라고 본다. 류이주의 5세손인 류제양(柳濟陽)은 일만여편의 시(詩)를 쓰고 손자 류형업(柳瀅業)에 이르기까지 80년간 하루도 빠지지않고 생활일기와 농가일기를 썼다는 점이다.  이러한 기록문화는 우리가 본받아야 할 위대한 선조들의 유업이라 아니할 수 없다. 구례에서 연고사, 쌍계사,  하동 방면으로  가는 버스를 타고 토지면 소재지에 내리면 이 일대가 금환락지의 들판이다. 구례 운조루 고택은 이곳 여러 마을 중 오미동에 있다.  창건주 유이주 무덤은 운조루 뒤편 베틀봉이라는 산등성이에 있고 시목나루는  구만리 들판과 섬진강 건너 문척면 회정리를 오고 가던 나루터다. 지금은 나루터의 흔적이 보이지 않고  강변에는 봉소대(鳳巢臺)라는 정자가 있다. 구례 운조루 고택과 함께 답사할 곳은 화엄사와 천은사, 장수마을 사도리, 매천사당 등이 있다.",구례군
6,구례목재문화체험장,전남 구례군 간전면 효곡리 366-1,127.5406334,35.13918363,http://tong.visitkorea.or.kr/cms/resource/42/2796442_image2_1.jpg,"우리 생활 속 목재의 쓰임새, 목재의 생산과정, 목재의 종류 등을 한눈에 알아볼 수 있는 목재체험관이다. 다양한 전시물과 함께 목재를 활용한 생활 공예품, 놀이기구, 학습도구 등  목재품을 직접 만지고, 느끼고, 만들어 볼 수 있는 체험이 있고 전문적, 체계적, 정기적인 목공 교육을 할 수 있는 공간의 장도 마련되어 있다.",구례군
7,구례편백나무숲,전라남도 구례군 산동면 계천리 산124-5,127.4376232,35.34789164,http://tong.visitkorea.or.kr/cms/resource/41/2800041_image2_1.jpg,"이곳의 편백나무 숲은 40여 년 전에 조성되었다. 해방과 한국전쟁을 거치면서 우리나라의 산은 헐벗은 상태가 되었고, 이후 조림은 국가의 중대한 역점사업이기도 했다. 당시는 헐벗은 산의 거름이 되도록 하기 위해 아궁이 불을 때기 위한 낙엽 채취조차 금지되었을 정도로 산림정책은 엄격했다. 이곳의 편백나무 숲은 70년대 우리나라 숲 가꾸기 역사의 자취를 고스란히 담고 있다. 편백나무 숲 바로 아래 계곡에는 산장이 있어 편백나무로 만든 찜질방에서 등산 후의 피곤을 달랠 수 있다.",구례군
8,구만마을,전라남도 구례군 토지면 구산길 81-4,127.528558,35.19906557,http://tong.visitkorea.or.kr/cms/resource/59/2800059_image2_1.jpg,"서시천이 상류에서부터 9번째로 굽이치는 곳에 위치했다고 구만리라 했다고 한다. 마을 뒤로 구만저수지가 만들어져 농업용수를 대고 있다. 최근 들어 구만저수지에 수상레저타운 시설이 들어왔다. 528,925㎡의 넓은 저수지가 주변 풍광과 어우러져 시원한 풍광을 연출한다. 서시천에는 매년 수천 마리의 철새들이 찾아온다. 비오리, 흰뺨검둥오리, 청둥오리, 큰고니 등이며 백로와 왜가리는 거의 매일 볼 수 있는 새이다. 서시천 좌우 둑방길이 있는데 이 길 좌우로 군에서 벚나무와 원추리를 심었다. 봄에는 섬진강 벚꽃 축제가 벌어지고 원추리 꽃이 피는 7, 8월이 되면 꽃길 걷기가 유행이다. 구례군에서는 매년 원추리 꽃길 건강 걷기 행사를 하고 있다. 약 3.5km 구간으로 원추리꽃이 피는 7월에 열린다.",구례군
9,국립공원공단 종복원기술원,전라남도 구례군 마산면 화엄사로 402-31,127.4904991,35.24237391,http://tong.visitkorea.or.kr/cms/resource/34/1198634_image2_1.jpg,"국립공원공단 종복원기술원은 우리 곁에서 사라져가는 야생동물을 보호하고 복원하는 전문기관으로 우리나라에서 처음으로 중대형 포유류인 반달가슴곰과 산양 복원 등을 진행하고 있다.국립공원공단 종복원기술원의 생태학습장은 복원 프로젝트 과정 중 지리산에 적응하지 못하여 회수된 개체를 증식하는 시설로 탐방객에게 반달가슴곰의 의미와 중요성을 전달하기 위한 시설이며 해설가의 설명을 들으면서, 반달가슴곰의 생태를 직접 관찰할 수 있다.",구례군
