,title,addr1,mapx,mapy,firstimage,overview,addr2
0,금성산(전남),전라남도 나주시 다시면 신광리,126.6961518,35.05322895,http://tong.visitkorea.or.kr/cms/resource/68/1073168_image2_1.jpg,"나주의 진산(鎭山)인 금성산의 높이는 451m이며, 4개의 봉우리로 이루어져 있다. 동쪽 봉우리는 노적봉(露積峰), 서쪽 봉우리는 오도봉(悟道峰), 남쪽은 다복봉(多福峰), 북쪽은 정녕봉(定寧峰)이라 불리운다. 또한 금성산에는 금성산성이 있어 군사요새 기능도 하였던 곳인데, 지금은 공군 방공대가 있어 군사보호구역으로 묶여있다. 매년 1월 1일에는 정상에서 해맞이 행사와 페어데이 행사를 개최하여 많은 시민들이 참여하고 있기도 하다.
금성산은 고려시대부터 국가에서 산신제를 지냈던 영산(靈山)으로서 매년 봄 가을이면 나주 뿐만 아니라 전국 각지에서 사람들이 모여들어 한해의 풍년과 태평함을 기원하였던 곳이기도 하다. 특히 금성산에는 5개의 사당이 있었던 곳으로도 유명하다.  비록 현재는 없어졌지만 산 정상에는 상실사(上室祠), 중턱에는 중실사(中室祠), 산 기슭에는 하실사(下室祠)와 국제사(國際祠)가 있었으며 성 안에도 이조당(爾朝堂)이 있어 금성산이 신령스러웠음을 알게 해 준다. 그리고 금성산의 산신은 '금성대왕(錦城大王)'이라 불리는데, 현재에도 이 신을 모시는 무당들이 있기 때문에 이들의 기도터로도 잘 알려져 있기도 하다.",나주시
1,나대용생가및묘소,전라남도 나주시 문평면 오륜길 28-5,126.6135146,35.05516902,http://tong.visitkorea.or.kr/cms/resource/85/1608385_image2_1.jpg,"문평면 오룡리 오륜마을 깊숙이 나대용장군의 생가가 초가로 복원되어 있다. 그 초가에서 대대로 후손들이 살다가 문화재로 지정되면서 새로 단장했다. 나대용 장군은 임진왜란때 이 충무공 막하에서 거북선 건조에 전력을 기울인 실질적인 공로자로 평가되고 있다. 임진왜란이 일어나기 1년전인 1591년 전라좌도 수군절도사인 이순신 장군을 훈련원주부의 신분으로 찾아가 그 제작을 협의하니 귀중한 자료로 인정받았고 그 후 임난이 일어나자 거북선 3척을 처음으로 진수했다 한다. 나대용장군은 충무공과 함께 사천승첩을 비롯하여 당포전, 당항포전, 견내량전, 안골포전, 노량대첩 등에서 혁혁한 공을 세웠고 쾌속정인 해추선을 발명하기도 했다. 이러한 사실은 충무전서 난중일기 조선왕조실록> 등에서 뒷받침해 주고 있다. 묘소는 생가에서 약 2km 떨어진 마전산에 있으며 장군이 거북선을 만들어 시험했다는 방죽이 마을 앞에 있는데, 지금은 논으로 경작되고 있고 마을 이름도 방죽골이다.나대용장군은 조선시대 최고의 조선 기술자였다. 이순신장군과 함께 임진왜란 최고의 걸작인 거북선을 만들었고, 이후에도 임진년과 같은 국난에 대비하기 위해 창선, 해추선 등을 만들어 내는 과학자였다. 체암 나대용장군 기념사업회가 1975년 건립한 소충사에서는 장군의 과학적인 정신을 기리기 위해 매년 4월 22일 '과학의날'에 제사를 모신다. * 양식 - 목조초가",나주시
2,나주 구진포 장어거리,전라남도 나주시 다시면 가운리,126.6723606,35.00733651,http://tong.visitkorea.or.kr/cms/resource/19/1117619_image2_1.jpg,"영산강 하구가 둑에 막히면서 자연산 장어가 거의 잡히지 않지만, 나주의 구진포는 바닷물과 민물이 만나는 지역이어서 예로부터 장어가 유명하다. 특히 구진포 장어는 미꾸라지를 먹고 자라기 때문에 맛이 뛰어나다. 구진포삼거리를 중심으로 7~8곳의 장어집이 명맥을 유지하고 있다. 대부분 1940년대에 들어선 집들이라 비슷한 수준의 맛을 낸다. 구진포는 영산강 물길이 구부러지는 곳에 있는 나루라 해서 ‘구부나루’라 불렸다. 예전에는 영산강의 물이 앙암바위를 돌아 이곳에서 모여 다시 굽이친다 해서 회진포라고 불렀다.",나주시
3,나주 금성관,전라남도 나주시 금성관길 8,126.7165671,35.03339541,http://tong.visitkorea.or.kr/cms/resource/89/2515589_image2_1.jpg,"이 건물은 나주목의 객사 건물로 매월 1일과 15일에 국왕에 대한 예를 올리고 외국 사신이나 정부 고관의 행차가 있을 때 연회를 열었던 곳이다. 초창은 성종 6~10년(1475~1479)사이에 나주목사로 재직한 이 유인에 의해 건립되었으며, 여러 차례 중수를 거쳐 오늘에 이르고 있다. 정면 5칸, 측면 4칸, 팔각지붕의 320.66m²(97평) 건물로 전국의 객사 건물 중 그 규모가 가장 웅장하다. 일제 강점기 이후 군청 건물로 사용해오면서 원형이 파괴되어 1976년에서1977년 사이 완전해체 복원하였다.",나주시
4,나주 목사내아,전라남도 나주시 금성관길 13-10,126.7153145,35.03222608,http://tong.visitkorea.or.kr/cms/resource/55/2515655_image2_1.jpg,"나주목사내아는 조선시대 나주목사의 관저로서 상류주택의 안채와 같은 평면 구조로 이루어져 있으며 안채는 순조 25년(1825년) 건립된 것으로 건물 구조는 전통 양식인 한옥 ㄷ자형이다. 나주목사내아는 현재 전라남도 문화재자료로 지정되어 있다. 나주는 조선시대 관아건물이 많이 남아있어 문화유적 답사지로서 적합하다.* 규모 - 내아 1동, 행랑채 1동",나주시
5,나주 반남 고분군,전라남도 나주시 반남면,126.6472235,34.91211627,http://tong.visitkorea.or.kr/cms/resource/51/217051_image2_1.jpg,"대안리의 동쪽에 위치한 자미산(紫薇山)에서 서쪽으로 이어지는 낮은 구릉에 분포되어 있는 12기의 삼국시대(三國時代) 고분이다. 1917~1918년과 1938~1939년 동안 일본인 학자들에 의해 조사된 이래 현재까지 독무덤 ·돌방무덤[石室墳] 등 12기의 고분이 발굴되거나 그 존재가 확인되었다. 4·8·9호는 발굴조사가 이루어졌고 5·6·10·11·12호는 인멸되었다. 4호분은 1978년에 도로공사 과정에서 노출되어 전남대에 재직 중이던 최몽룡교에 의해 발굴되었는데 7세기대의 백제(百濟) 석실분(石室墳)으로 밝혀졌고 석실은 전남대학교에 이전 복원되었다. 3호분과 9호분은 1918년 일본인 야쓰이(谷井濟一)에 의해 조사되었는데 8호분에서는 4기의 옹관(甕棺)과 단지·뚜껑·대접·유리옥 등이 출토되었다. 9호분은 대안리 고분군 중 최대 규모이며 9기의 옹관과 함께 금반지·큰칼·구리팔찌·유리구슬·토기 등 유물이 출토되었다. 대안리고분군의 분구 형태는 원형·방대형·사다리꼴 등이고, 규모는 길이 11m 내외(2호분)에서 47m 내외(9호분)에 이르기까지 다양하다.* 마한 토착세력의 무덤으로 추정 *지금까지 1·2·3·4·7·8·9호분이 정비복원되었는데, 최근에 복원된 1·2·3호분에서는 분구 주변에서 모두 도랑이 확인됨에 따라 대안리고분군을 비롯한 반남고분군(潘南古墳群)의 다른 고분들도 대부분 도랑을 가지고 있었을 것으로 추정되는데, 분구 주변의 도랑은 묘역구분·배수·채토 등 다양한 용도에서 만들어졌다. 내부 매장시설은 4호분과 같이 석실인 경우도 있지만, 나머지 고분들은 여러 개의 옹관으로 구성되어 있을 것으로 추정되며 목관(木棺)이 섞여 있을 가능성도 있다고 판단된다. 대안리 고분군에는 4호분과 같이 7세기대의 백제 석실분이 섞여 있지만 나머지 대부분의 고분들은 백제의 영산강유역 진출 이전에 자리잡고 있던 마한(馬韓) 토착 세력자들의 무덤으로 추정되며, 중심연대는 반남고분군 가운데 비교적 이른 시기에 해당하는 4세기말 ~ 5세기초로 판단된다.* 유물상으로 주목되는 4호분과 9호분 *12기의 고분 중 매장 주체부의 구조나 유물상에서 주목되는 것은 4호분과 9호분이다. 4호분은 파괴된 돌방무덤으로 부여 지역에서 보이는 백제 말기 형식인 판축조평천장식으로 되어 있다. 수습된 껴묻거리에 회색 연질의 긴목병, 적갈색 바리모양토기, 은장도자루, 관고리 및 널못 등이 있는데 이 중 긴목병은 출토예가 많지 않은 희귀한 것이다. 9호분은 그 규모가 동서 44.3m, 남북 34.94m, 높이 8.41~7.35m에 이르는 대형 방대형고분이다. 분구 정상의 평탄면에 9기의 독이 매장되어 있어서 12기의 독이 매장된 신촌리 9호분과 아울러 반남면 고분군 중 최대 고분에 속한다. 또, 분구의 규모가 장대할 뿐만 아니라, 껴묻거리가 많고 다양한 점도 주목된다.",나주시
6,나주 복암리 고분군,전라남도 나주시 다시면 백호로 287,126.65709,34.99605419,http://tong.visitkorea.or.kr/cms/resource/68/676368_image2_1.jpg,"* 다양한 묘제가 복합된 국내 유일의 고분, 복암리 고분군 *회진 마을 앞 영산강 북안 강변에 형성된 충적평야에 위치한 복암리 고분군은 다양한 묘제가 복합된 국내 유일의 고분이다. 복암리 고분군은 한 가문의 선산으로서 고분인 줄 모르고 사용되었기 때문에 도굴을 피할 수 있었으며, 원형이 비교적 잘 보존되어 있다. 총 4호분이 200m 반경 안에 분포해 있으며, 봉분의 흙이 다른 곳에서 가져온 것이라서 질이 다르기 때문에 조산이라 부르기도 한다. 1호분은 원형 봉분으로 규모는 18.5m이고 높이는 4.5m, 주구는 깊이 1m 내외, 주구너비 3.5m이다. 2호분은 직사각형으로 분구길이 36m, 너비 6∼21m, 주구너비 약 4m, 깊이 약 1m이다. 3호분은 가장 규모가 크며 분구길이 36∼43m, 높이 6m, 주구너비 약 5m, 깊이 약 1m이다. 3호분은 우리나라 최초로 널방 안에 독무덤이 들어 있는 독특한 묘제이며, 1개의 봉분 안에 독무덤 22기, 구덩식 돌덧널무덤 3기, 굴식 돌방무덤 11기, 앞트기식 돌방무덤 2기, 앞트기식 돌덧널무덤 1기, 돌덧널독무덤 1기, 널무덤 1기 등 모두 7종류의 묘제로 이루어져 있다. 출토 유물은 금동신발, 철제관모, 각종 마구류, 은장삼엽환두대도, 철제관모, 은제관식, 규두대도, 구슬, 토기 등 300여 점이다.* 복암리 고분군의 의의 *영산강유역의 고분에서 나타나는 다장과 대형 분구를 만드는 과정과 방법의 연구, 각 묘제 간의 관계, 옹관묘와 석실분 자체의 변천 과정 연구의 표본 자료를 제공하고, 매장 방법 및 부장 유물 연구의 기준을 제공하는 것으로 중요한 역사적 자료가 되고 있다. 또한, 당시 일본과의 관계와 영산강 유역의 토착세력과 백제와의 관계를 연구하는 중요한 자료가 된다. 특히, 3호분에서 22기의 옹관과 석관 옹관, 횡구식 석관, 수혈식 석관, 횡혈식 석실, 목관 등 모든 형태의 묘제가 망라된 41기의 매장시설이 확인 되었으며, 금동 신발, 은제 관식, 큰칼, 금귀고리등 다양한 유물이 출토되었다. 이러한 중요성으로 인해 복암리 고분군은 현재 사적으로 지정, 보호되고 있다. ",나주시
7,나주 순교성지,전라남도 나주시 박정길 7-40,126.7150283,35.03679501,http://tong.visitkorea.or.kr/cms/resource/07/2516307_image2_1.jpg,"나주 순교성지는 기해박해(1839) 때 나주에서 순교한 이춘화(1807~1839베드로)와 병인박해(1866~1871)때인 1872년에 순교한 강영원(바오로,1822~1872), 유치성(안드레아, 1825~1872), 유문보(바오로, 1822~1871) 등을 기리기 위해 세워진 순교자 기념 경당이 자리한 곳이다. 경당 입구에는 60톤의 거석과 관 모양의 제대가 있고 경당 내부는 사방이 막혀있고 위쪽만 뚫려 있다. 성당 내에는 초대 나주 본당 신부인 하롤드(헨리, 1909~1976) 대주교가 초대 주임 시절에 쓰던 타자기를 비롯해 기도서, 십자가, 성합, 제의, 사진 등이 전시되어 있는 기념관이 있다. 그리고 교육, 의료 등 자선을 통해 복음화에 앞장 선 까리따스 수녀회 한국 첫 본원이었던 한옥 기와집이 복원되어 당시 수녀들의 각종 유품들이 전시되어 있다. 인근에 그들이 순교한 장소인 무학당 순교터 (현 나주초등학교 정원 내)가 있고 무학당 주춧돌로 추정되는 10여 개의 돌이 130여 년 동안 현장에 보전되어 오다가 2001년 나주 성당으로 옮겨 그 위에 무학당을 상징하는 구조물로 건립되었다.",나주시
8,나주 영모정,전라남도 나주시 다시면 회진길 14-22,126.6683223,34.99795972,http://tong.visitkorea.or.kr/cms/resource/07/217107_image2_1.jpg,"* 귀래정 임붕이 건립한 정자, 나주 영모정 (羅州 永摹亭) *영모정은 중종 15년, 귀래정 임붕이 건립한 정자로 이 지방 출신의 명문장가 백호(白湖) 임제(林悌)가 글을 배우고 시작(詩作)을 즐기던 유서깊은 건물이다. 초기에는 붕의 호를 따 ‘귀래정’이라 불렀으나 명종 10년, 임붕의 두 아들 임복과 임진이 아버지를 추모하기 위해 재건하면서 ‘영모정’이라 이름을 바꾸었다고 한다. 현재의 건물은 1982년과 1991년에 다시 중건·중수한 것으로 정면 3칸, 측면 2칸에 팔작지붕을 한 무고주 5량가이다. 세부양식은 두벌대의 다듬돌 바른층 쌓기의 기단 위에 덤벙 주춧돌을 놓고, 최근에 다시 그 위에 2m 가량의 원형 장대석 주춧돌을 세웠다. 그 위에는 아랫부분을 잘라버린 원형기둥을 세웠으며, 기둥 위에는 보와 장혀, 도리를 결구하였다. 굵은 보를 걸치고 동자주를 세워 종보를 걸치고 판대공과 파련대공을 섞어 대공을 놓고 종도리를 설치하였다. 평면은 온돌방 1칸, 루마루 2칸으로 실이 있는 정자건물이다.* 영모정의 볼거리 *영모정은 비교적 건립연대가 빠르고, 주위에 400여년 된 팽나무가 많이 있어 주변경관이 아름답다. 또한 이곳 회진에서 출생하여 조선시대 명문장가로 이름난 백호 임제 선생께서 글을 짓고 사람을 사귀었던 곳으로 문화재적 의의가 더욱 깊은 곳이라 하겠다. 현재는 나주임씨 문중종회소로 이용되고 있다. 한편 영모정 바로 밑 구릉에「귀래정나주임공붕유허비」,「백호임제선생기념비」 2기가 있다.[문화재 정보]지정종목 : 시도기념물지정현황 :전남기념물지정연도 :1987년 6월 1일시대 : 조선시대종류 : 누정",나주시
9,나주 영산나루마을,전라남도 나주시 공산면 덕음로 548-7,126.5939292,34.98443779,http://tong.visitkorea.or.kr/cms/resource/46/2516446_image2_1.jpg,"영산강과 인접해 있고 해발 150m 되는 마을 뒷산에 오르면 영산강이 유유히 흐르는 아름다운 모습을 한눈에 볼 수 있는 전형적인 농촌마을이다. 특히 가을철 나주평야의 황금물결은 어디에서도 볼 수 없는 풍요로움을 맛볼 수 있고, 또한 일제 강점기 금광을 개발했던 금광굴은 여름철 시원하고 겨울철 따뜻하여 휴식 공간으로 안성맞춤이다. 약 350년 전 제주 양 씨와 광산 김 씨가 처음 정착하였으며 마을 뒷산의 지형이 봉형이라 마을 이름을 봉곡이라 하였으며, 지상에 성현이 배출되면 봉이 출현했다 하여 마을 이름을 자랑삼아 불렀고, 광산 김 씨의 후예들이 부명을 떨쳤던 마을이다.영산 나루마을은 영산강과 산이 있어 다양한 자연 풍광을 느낄 수 있다. 영산강은 우리나라 4 대 강의 하나로 강의 총 길이는 115.5km로, 담양군 요면 용추봉(560km)에서 발원하여 담양, 광주, 나주, 영암 등지를 지나 영산강 하굿둑을 통하여 황해로 흘러들어가는 강이다. 금광굴은 과거 90여 년 전 일본군이 금을 채취, 운반하기 위하여 파놓은 굴로 마을로 향하는 진입로 부근에 입구가 있으며, 강가까지 직선으로 연결되어 있다. 금광굴은 금의 채취보다는 운반을 위한 목적으로 파놓은 굴이어서 폭이 3m 정도로 그다지 넓지 않으며, 굴의 안쪽 중간 지점에는 3방향으로 폭 약 2m 정도의 굴이 연결되어 있다. 마을 앞 논을 경계로 강을 따라 연결된 제방은 전체 길이 만도 약 4km이 이르고 있고, 길게 뻗은 제방 도로변으로는 갈대가 자라고 있고, 한적하고 풍요로운 농촌의 모습과 굽이쳐 흐르는 아름다운 영산강의 모습을 볼 수 있다.",나주시
