,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가마골계곡,전라남도 담양군 용면 용소길 261,127.0227047,35.44518737,http://tong.visitkorea.or.kr/cms/resource/13/824513_image2_1.jpg,"가마골은 담양군 용면 용연리에 소재한 용추봉(523m)을  중심으로 사방 4km에 걸쳐 형성되어 있는 계곡이다. 그다지 산이 높다고는 할 수 없으나 총 311,000㎡의 넓은 규모에 울창한 숲 사이의 계곡과 맑은 물, 기암괴석이  수려한 경관을 이루고 있다. 곳곳에 쉼터, 잔디광장, 자연학습장 등 각종 편의 시설을  두루 갖추어 있어 산림욕을 하기에 좋다. 가마골은 1986년부터 관광지로 지정, 개발되기 시작하였으며 편의시설을 갖추면서 최근 가족 단위, 단체그룹의 관광객과 새로운  관광지로 부상하고 있다. 입구에서부터 계곡을 따라 올라가면 크고 작은 폭포와 연못이 곳곳에 있어 걸음을 멈추게 한다. 또한 수림도 잘 형성되어 풍부한 그늘을 만들고 있으며 중간 중간 쉬기 좋은 쉼터가 잘 조성되어 있다. 또한 자연미는 덜하지만 길이 잘 닦여있고, 곳곳에 주차장이 설치되어 자동차로 계곡 주변 어디에나 접근이 가능하다.  다만, 계곡물의 수질 보호를 위해 계곡내에서의 본격적인 물놀이는 금지하고 있으며, 대신 물놀이장을 설치해 이를 이용토록 하고 있다.",담양군
1,가마골생태공원,전라남도 담양군 용면 용소길 261,127.0227797,35.4450485,http://tong.visitkorea.or.kr/cms/resource/29/1941029_image2_1.jpg,"담양의 가장 북쪽에 자리하고 있는 가마골은 그 일대에 그릇을 굽는 가마터가 많다고 하여 붙여진 이름이다. 여러 개의 깊은 계곡과 폭포, 기암괴석이 수려한 경관을 이루고 있어 관광객의 발길이 끊이지 않는 곳이다. 영산강의 시원으로 유명한 용소가 있고, 1986년부터 관광지로 지정, 개발되어 관광객을 위한 시설이 잘 갖춰져 있다. 원시림과 계곡이 어우러져 여름에도 서늘하며 경사가 완만하여 삼림욕 코스로도 좋지만, 취사와 물놀이는 불가하다.",담양군
2,개구리생태공원,전라남도 담양군 담양읍 메타세쿼이아로 47,127.0067119,35.32516179,http://tong.visitkorea.or.kr/cms/resource/28/2639428_image2_1.jpg,"생생한 자연을 그대로 담은 온실과 어린이부터 성인까지 모두가 즐겁게 체험하는 생태전시관, 연중 개구리 서식이 가능한 야외생태 공간까지 다양한 구성으로 자연생태를 관람할 수 있다.",담양군
3,남희정,전라남도 담양군 담양읍,126.9875752,35.30531093,http://tong.visitkorea.or.kr/cms/resource/75/741975_image2_1.jpg,"* 향약의 시행처로 사용되었던 정자, 남희정 *남희정은 1857년(철종 8) 당시 부사 황종림(府使 黃鐘林)이 지은 정자로 북(北)은 관어대(觀魚臺), 남(南)은 남희정(南喜亭)이라 하였다. 두 정자를 지은 목적은 양로(養老)와 교육(敎育)이였으며, 두 정자를 노인들에게 사용하게 하여 강학(講學)과 향약(鄕約)의 시행처로 사용하게끔 하였다. 이처럼 향약의 시행처로 정자가 사용됨은 매우 중요한 사례라 할 수 있다.* 남희정의 구조 *정자의 구조를 살펴보면 사방 2칸의 팔작지붕 건물로 구성되어 있으며, 정자의 내부에는 기, 명공기, 계헌 등이 걸려 있다. 정면 2칸, 측면 2칸의 팔작지붕으로 내부의 가구 구조는 모임지붕처럼 중앙을 향하여 서까래와 추녀가 모이고 이 부분에 연등천장을 설치하였다. 바닥의 구성은 바닥 전체를 누마루로 깐 무실형(無室形) 정자이다. 대지의 위치가 높기 때문에 누마루가 높지 않다. 또 3면(面)을 평난간으로 돌린 단촐한 정자이나 서까래와 부연을 둔 겹처마로 단청은 호화롭다.[문화재 정보]*지정종목 : 전라남도 문화재자료*지정연도 : 1984년 2월 29일*시대 : 조선 *종류 : 누정 ",담양군
4,담양 금성산성,전라남도 담양군 용면 도림리,127.0356358,35.37788688,http://tong.visitkorea.or.kr/cms/resource/81/2013981_image2_1.jpg,"담양군 금성면과 전라북도 순창군의 경계를 이루는 금성산(603m)에 위치한 금성산성은 호남의 3대 산성 가운데 하나로 꼽힌다. 산성은 철마봉, 운대봉, 장대봉을 연결하여 이중 산성을 이루고 있으며, 외성은 6.486m, 내성은 859m에 달하는 석성이다.금성산성을 쌓은 연대는 확실치 않으나, 성의 주위 여건 및 고적의 증거로 보아 삼한시대로 추정된다. 1409년(조선 태종 9)에 개축하였으며, 임진왜란 후 1610년(광해군 2)에 파괴된 성곽을 개수하고 내성을 구축하였다. 1622년에 내성 안에 대장청(大將廳)을 건립하고 1653년(효종 4)에 성첩(城堞)을 중수하면서 견고한 병영기지로 규모를 갖추었다.성안에는 곡식 1만 6천 섬이 들어갈 수 있는 군량미 창고가 있었다. 또한 객사, 보국사 등 10여 동의 관아와 군사 시설이 있었으나 동학농민운동 때 불타 없어졌다.동서남북문의 터가 있는데 이 4개소의 통로 외에는 절벽 등으로 통행이 불가능하여, 요새로는 더할 데 없이 좋은 지리적 특성을 갖고 있다. 이 같은 지리적인 특성으로 임진왜란 때는 남원성과 함께 의병의 거점이 되었고 1894년 동학농민운동 때는 치열한 싸움터가 되어 성안의 모든 시설이 불에 탔다.[문화재 정보]지정번호 : 사적
지정연도 : 1991년 8월 24일소장 : 박진성 외 85명시대 : 삼국시대면적 : 134만 9,977㎡분류 :성곽",담양군
5,담양 메타세쿼이아길,전라남도 담양군 담양읍 메타세쿼이아로 12,127.0041511,35.32385356,http://tong.visitkorea.or.kr/cms/resource/02/2612602_image2_1.jpg,"* 꿈의 드라이브 코스, 메타세쿼이아 가로수길 *영화 ‘와니와 준하’에서 와니가 아버지와 함께 차를 타고 지나가는 장면이 촬영된 곳이 바로 순창에서 담양으로 이어지는 메타세쿼이아 가로수길이다. 원래는 24번 국도였는데 이 국도 바로 옆으로 새롭게 국도가 뚫리면서 이 길은 산책을 할 수 있도록 조성되었다.가로수길의 총 길이는 약 8.5km로 도로를 사이에 두고 양쪽 길가에 높이 10~20m의 메타세쿼이아가 심어져 있다. 이 길이 조성된 시기는 1970년대 초반으로 전국적인 가로수 조성사업 때 담양군이 3~4년생 메타세쿼이아 묘목을 심은 것이 현재의 울창한 가로수 터널길이 되었다.* 이국적 풍경으로 한국의 아름다운 길로 뽑힌 곳 *이 길을 가다보면 이국적인 풍경에 심취해 나도 모르는 사이에 남도의 길목으로 빠져들고 만다. 초록빛 동굴을 통과하다보면 이곳을 왜 ‘꿈의 드라이브코스’라 부르는지 실감하게 될 것이다. 이러한 아름다움으로 인해 산림청과‘생명의 숲 가꾸기운동본부’ 등에서 주관한 ‘2002 아름다운 거리숲’ 대상을 수상했고, 2006년 건설교통부 선정 ‘한국의 아름다운 길 100선’의 최우수상을 수상하기도 했다.",담양군
6,담양 메타프로방스,전라남도 담양군 담양읍 깊은실길 2-17,127.0018263,35.32264533,http://tong.visitkorea.or.kr/cms/resource/71/2652571_image2_1.jpg,"메타 프로방스는 연간 약 500만 명의 관광객이 방문하는 전라남도 담양에 조성되어 있는 관광단지로 대한민국에서 가장 아름다운 가로수길로 선정된 담양 메타세쿼이아 길 바로 옆에 위치해 있으며 휴양지로 유명한 프랑스의 도시 프로방스를 그대로 옮겨놓은 듯한 감성을 가지고 있다. 메타 프로방스는 개인 관광객 뿐만 아니라 가족 및 동호회 단위의 관광객들을 위한 패션 거리, 디자인 공방과 체험관, 상업 공간, 그리고 연회장 등 문화와 예술, 비즈니스가 공존하는 열린 공간으로 이루어져 있으며, 다양하고 차별화된 양질의 서비스를 통하여 찾아주시는 모든 분들께 특별한 추억과 새로운 경험을 드릴 수 있도록 노력하고 있다.",담양군
7,담양 명옥헌 원림,전라남도 담양군 고서면 후산길 103,126.9964127,35.21936524,http://tong.visitkorea.or.kr/cms/resource/72/2025872_image2_1.jpg,"* 명옥헌원림의 볼거리, 연못과 백일홍나무 *
사각형의 작은 위 연못과 사다리꼴 모양의 아래 연못으로 이루어졌고, 그 사이에 정자를 세웠다. 계곡사이로 수량이 풍부했을 때에 “물이 흐르면 옥구슬이 부딪히는 소리가 났다”하여 이름을 얻었다. 위 연못은 인공적인 석축을 쌓지 않고 땅을 파내어 큰 우물같이 보인다. 아래 연못은 동서 20m, 남북 40m 크기로 자연 암반의 경사지를 골라서 주변에만 둑을 쌓아 연못을 만들었다. 명옥 
헌원림은 주변의 자연 경관을 차경으로 도입한 정사 중심의 자연순응적인 전통정원양식이지만 전(前)과 후(後)의 조선시대 전통적인 ‘방지중도형(方池中島形)’의 지당부(池塘部)를 도입하였다.

명옥헌은 연못 주변에 심어진 약20여 그루의 백일홍나무로 유명하다. 꽃 이름과 같이 여름철이 되면 석달 열흘 동안 늘 붉은 꽃나무 열에 연못이 둘러싸이게 된다. 바깥으로는 다시 소나무들이 열 지어 서 있다. 인조가 왕위에 오르기 전 전국의 인재를 찾아 호남지방을 방문할 때 후산에 머물고 있는 오희도를 방문한 적이 있는데 이 때 명옥헌의 북쪽 정원에는 은행나무가 있고 명옥헌 뒤에는 오동나무가 있었는데 이들 나무 밑에 인조(仁祖)가 타고 온 말을 맸다고 하여 이 나무를 일명 ‘인조대왕 계마행(仁祖大王 繫馬杏)’ 또는 ‘인조대왕 계마상 (仁祖大王 繫馬像)’이라고 부른다.

현재 오동나무는 고사하여 없어졌고 은행나무만 남아있다. 인조는 오희도를 등용하기 위해 세 번 찾아왔다고 하며, 훗날 우암 송시열은 명옥헌의 영롱한 물소리와 경치에 반하여 ‘명옥헌’이라는 글씨를 바위에 새기기도 하였다.

[문화재 정보]
지정현황 : 명승
지정연도 : 2009년 9월 18일
소장 : 국·공·사유
시대 : 조선시대
면적 : 13,484㎡
분류 : 자연유산, 명승",담양군
8,담양 소쇄원,전라남도 담양군 가사문학면 소쇄원길 17,127.0121928,35.1843778,http://tong.visitkorea.or.kr/cms/resource/95/1731995_image2_1.jpg,"* 양산보가 지은 조선시대 별서정원, 소쇄원 *소쇄원은 양산보(梁山甫, 1503∼1557)가 은사인 정암 조광조(趙光祖,1482∼1519)가 기묘사화로 능주로 유배되어 세상을 떠나게 되자 출세에의 뜻을 버리고 자연 속에서 숨어 살기 위하여 꾸민 별서정원(別墅庭園)이다.주거와의 관계에서 볼 때에는 하나의 후원(後園)이며, 공간구성과 기능면에서 볼 때에는 입구에 전개된 전원(前園)과 계류를 중심으로 하는 계원(溪園) 그리고 내당(內堂)인 제월당(霽月堂)을 중심으로 하는 내원(內園)으로 되어 있다.전원(前園)은 대봉대(待鳳臺)와 상하지(上下池), 물레방아, 그리고 애양단(愛陽壇)으로 이루어져 있으며, 계원(溪園)은 오곡문(五曲門)곁의 담 아래에 뚫린 유입구로부터 오곡암 폭포 그리고 계류를 중심으로 여기에 광풍각(光風閣)을 곁들이고 있다. 광풍각의 대하(臺下)에는 석가산(石假山)이 있었다. 이 계류구역은 유락공간으로서의 기능을 지니고 있다. 내원(內園)구역은 제월당(霽月堂)을 중심으로 하는 공간으로서 당(堂)과 오곡문(五曲門) 사이에는 두 계단으로 된 매대(梅臺)가 있으며 여기에는 매화, 동백, 산수유 등의 나무와 기타 꽃나무가 심어졌을 것으로 생각된다. 오곡문(五曲門) 옆의 오암(鼇岩)은 자라바위라는 이름이 붙여지고 있다.* 소쇄원의 구조 *당 앞에는 빈 마당이 있고, 광풍각 뒷편 언덕에는 복숭아나무가 심어진 도오(桃塢)가 있다. 당시에 이곳에 심어진 식물은 국내종으로 소나무, 대나무, 버들, 단풍, 등나무, 창포, 순채 등 7종이고 중국종으로 매화, 은행, 복숭아, 오동, 벽오동, 장미, 동백, 치자, 대나무, 사계, 국화, 파초 등 13종 그리고 일본산의 철쭉, 인도산의 연꽃 등 모두 22종에 이르고 있다. 소쇄원은 1530년(중종 25년)에 양산보가 꾸민 조선시대 대표적 정원의 하나로 제월당(霽月堂), 광풍각 (光風閣), 애양단(愛陽壇), 대봉대(待鳳臺)등 10여개의 건물로 이루어졌으나 지금은 몇 남아 있지 않다. 제월당(霽月堂)은 ""비개인 하늘의 상쾌한 달""이라는 뜻의 주인을 위한 집으로 정면 3칸, 측면 1칸의 팔작지붕 건물이며, 광풍각(光風閣)은 ""비갠뒤 해가 뜨며 부는 청량한 바람""이라는 뜻의 손님을 위한 사랑방으로 1614년 중수한 정면 3칸, 측면 3칸의 역시 팔작지붕 한식이다. 정원의 구조는 크게 애양단(愛陽壇)을 중심으로, 입구에 전개된 전원(前園)과 광풍각(光風閣)과 계류를 중심으로 하는 계원(溪園), 그리고 내당인 제월당(霽月堂)을 중심으로 하는 내원(內園)으로 구성되어 있다. 도가적(道家的)인 색채도 풍겨나와 오암(鰲岩), 도오(桃塢), 대봉대(待鳳臺) 등 여러 명칭이 보인다.* 소쇄원에 대한 다양한 정보 *제월당에는 하서 김인후(河西 金麟厚)가 쓴「소쇄원사십팔영시(瀟灑園四十八詠詩)」(1548)가 있으며, 1755년(영조 31) 목판에 새긴「소쇄원도(瀟灑園圖)」가 남아 있어 원래의 모습을 알 수 있게 한다. 소쇄원은 1528년 처음 기사가 나온 것으로 보아 1530년 전후에 착공한 것으로 보여진다. 하서 김인후 (河西 金麟厚)가 화순으로 공부하러 갈 때 소쇄원에서 꼭 쉬었다 갔다는 기록이 있고 1528년 『소쇄정즉사(瀟灑亭卽事)』에는 간접적인 기사가 있다. 송강 정철(松江 鄭澈)의 『소쇄원제초정(瀟灑園題草亭)』에는 자기가 태어나던 해(1536)에 소쇄원이 조영된 것이라 하였다. 1542년에는 송순이 양산보의 소쇄원을 도왔다는 기록이 있다. 소쇄원은 양산보 개인이 꾸몄다기보다는 당나라 이덕유(李德裕)가 경영하던 평천장(平泉莊)과 이를 모방한 송순, 김인후 등의 영향을 크게 받았을 것이다. 1574년 고경명(高敬命)이 쓴 『유서석록(遊瑞石錄)』에는 소쇄원에 대한 간접적인 언급이 있어 당시 소쇄원에 대한 그림을 그릴 수 있다.* 규모 - 정원 일원(4,958.7m²)* 시대 - 조선 중종(1530년대) ",담양군
9,담양 송강정,전라남도 담양군 고서면 송강정로 232,126.9538018,35.25243023,http://tong.visitkorea.or.kr/cms/resource/15/2022215_image2_1.jpg,"송강 정철이 대사헌을 지내다 정쟁으로 물러나와 죽록정을 중수하여 송강정이라 일컬었다. (선조18년- 1585년)송강은 여기에서 사미인곡 등을 지었다. 1955년 후손들에 의하여 중수되었으며, 사미인곡 시비가 세워져 있다. 송강 정철은 선조17년(1584)에 대사헌(大司憲)이 되었으나 동인들이 합세하여 서인을 공박함이 치열해지자 마침내 양사(兩司)로부터 논척(論斥)을 받아 다음해 조정을 물러나자 이곳 창평으로 돌아와 4년 동안을 평범한 인간으로서 또한 시인으로서 조용한 은거생활을 했다. 여기서 그는 사미인곡을 썼던 것이다. 『송강별집(松江別集)』권7 기옹소록에「前後思美人曲 在此鄕(昌平) 時所作不記某年 似是丁亥戊子年間耳」라는 기록을 보면 양사미인곡(兩思美人曲) 제작은 창평으로 돌아온 해로부터 2∼3년 뒤가 된다. 『사미인곡』은 제명(題名) 그대로 연군지정(戀君之精)을 읊은 노래이다. 그 수법은 한 여인이 남편을 이별하고 사모하는 정을 기탁해서 읊은 것인데 송강 자신의 충정을 표현한 노래라 하겠다. 심각한 실의에 빠져 있었던 때이라 송강은 이때 세상을 비관했고 음주와 영탄으로 이곳에서 세월을 보냈던 것이다. 정면 3칸 측면 3칸의 골기와 팔작지붕 건물이다. 중재실(中齋室)이 있는 구조이며 정면엔 송강정(松江亭) 측면엔 '죽록정(竹綠亭)'이란 현판을 가지고 있다.",담양군
