,title,addr1,mapx,mapy,firstimage,overview,addr2
0,갓바위 문화타운,전라남도 목포시 남농로 135,126.4209824,34.79365643,http://tong.visitkorea.or.kr/cms/resource/60/2515460_image2_1.jpg,"* 목포 문화를 한 눈에 만날 수 있는 곳, 갓바위 문화타운 *목포 문화 예술의 집적지인 갓바위 문화타운은 목포의 예술과 역사를 보고 듣고 체험할 수 있는 문화의 공간이자, 밤에는 화려한 야경이 일품인 드라이브 코스로 유명하다. 민둥머리 암석이 눈길을 끄는 입암산 밑 국립해양문화재연구소, 문화예술회관, 자연사박물관, 문예역사관, 목포생활도자박물관, 목포문학관, 남농기념관 등이 모여있어 하루종일 이곳에서 문화 예술의 향기에 빠질 수 있다.",목포시
1,고하도 전망대,전라남도 목포시 고하도안길 234,126.3592244,34.77798219,http://tong.visitkorea.or.kr/cms/resource/17/2706017_image2_1.jpg,"고하도 전망대는 이충무공이 명량대첩에서 승리 후 전열을 가다듬었던 고하도에 13척의 판옥선 모형을 격자형으로 쌓아 올린 전망대다. 고하도에 아름다운 해상 풍경을 감상할 수 있는 명소로 많은 이들이 찾는 곳이며, 충무공의 얼을 담고 교육 및 관람시설로 활용하고 있다. 1층은 휴게공간, 2~5층은 전망대 및 목포 관광을 소개하는 전시공간이다.",목포시
2,고하도 해상테마파크,전라남도 목포시 고하도안길 234,126.3592244,34.77798219,http://tong.visitkorea.or.kr/cms/resource/11/2676111_image2_1.jpg,"2012 목포대교 개통 이후 고하도가 육지가 되면서 쉽게 찾을 수 있게 되었고 이충무공 유적지로 상징되던 고하도에 해상케이블카, 둘레길, 해안데크길, 전망대, 목화정원&체험전시장, 호남권생물자원관 등이 조성되면서 관광객들에게 쉼과 충전의 장소가 되고 있다.* 고하도 전망대과거 이충무공이 명량대첩 승리 후 106일 동안 전열을 가다듬었던 고하도에 이충무공의 얼을 기리고자 13척의 ‘판옥선 모형’을 격자형으로 쌓아올린 건물이다.* 고하도 해안데크총 연장 1,080m로 전체구간이 해상에 위치하여, 고하도 해안 자연절경인 해식애와 목포 해안을 동시에 조망 할 수 있으며, 시원하게 펼쳐진 푸른바다와 높이 해발 228m 목포를 대표하는 유달산, 다도해의 관문 낭만항구 목포항 그리고 저녁노을이 아름다운 야경명소인 목포대교를 전망으로 바다위를 걷는듯한 해안데크를 따라 아름다운 자연풍광과 해안절경을 바다와 육지에서 동시에 감상이 가능한 고하도 용오름길 해안데크가 개통이 되었다.",목포시
3,노을공원,전라남도 목포시 청호로219번길 34-22,126.3657758,34.80899547,http://tong.visitkorea.or.kr/cms/resource/59/2798659_image2_1.JPG,"노을공원은 2012년 목포지방해양수산청에서 시민들에게 휴식공간을 제공하기 위해서 조성한 해양문화 쉼터이다. 노을 광장과 이벤트 광장, 수변 데크, 산책로, 소공연장, 다목적운동장 등이 조성되어 있으며 바닥 분수와 파고라, 벤치 등 휴게시설이 다양하게 설치되어 있어 남녀노소 누구나 여유를 즐기기 좋은 공원이다. 노을공원은 그 이름처럼 목포의 노을 맛집으로 불릴 정도로 아름다운 노을을 자랑한다. 특히 해질녘에 수변 데크에서 노을 진 바다를 가까이 보며 낭만을 만끽할 수 있는 멋진 장소이다.",목포시
4,노적봉,전라남도 목포시 대의동,126.3795861,34.79158932,http://tong.visitkorea.or.kr/cms/resource/02/193202_image2_1.jpg,"* 이순신 장군의 전술과 강강술래의 전설이 담긴 곳 *
노적봉은 목포시 유달산에 있는 거석 봉우리를 말한다.이 봉우리는 임진왜란 때 충무공 이순신(李舜臣) 장군이 적을 물리치기 위해 이용한 것으로 유명하며, 이순신 장군의 지형을 이용한 고도의 심리전이 돋보인 곳이다. 임진왜란 당시 군사적 열세를 만회하기 위해서 이엉을 엮어 바위를 덮었는데, 마치 그것이 군량미를 덮어놓은 노적처럼 꾸며서, 군량미가 대량으로 비축되어 있는 것처럼 보이게 했다. 또한, 주민들에게 군복을 입혀서 노적봉주위를 계속 돌게 해서 마치 많은 대군이 있는 것처럼 위장하게 했으며 영산강에 백토가루를 뿌려 바다로 흘러드는 물줄기가 쌀뜨물로 보이게 하여 왜적들에게 아군의 군세를 위장하여 왜장이 군사를 돌려 후퇴하게 했다는 것이다. 당시 노적봉을 돌던 전술은 훗날 문화예술로 승화되어, 강강술래로 발전하였다는 전설이 서려 있다.",목포시
5,멜라콩다리 비석,전라남도 목포시 호남동,126.3863994,34.79049789,http://tong.visitkorea.or.kr/cms/resource/82/2714682_image2_1.jpg,"전남 목포시 목포역 담벼락에 아무도 모르게 자리잡은 잊혀진 비석이 있다. 이 비석은 멜라콩 다리 유적비로 박길수(1928~1989) 님이 세운 다리를 기리는 비석이다. 당시 목포역 옆 길은 넓은 긴 하천이 있었는데, 하천 건너편 사람들이 기차를 타려면 건널목 다리로 멀리 돌아서 다녀야 했다. 그러다 보니 많은 사람들이 불편을 감수해야 했다. 매일 이런 광경을 지켜보던 박길수님은 다리를 만들기위해 모금운동과 직접 철근과 시멘트를 구하러 다녔다. 하지만 다리를 놓기에는 역부족이였고, 그 동안 절약하며 저축했던 60만원 이라는 거금을 들여 다리를 만들게 되었다. 박길수님의 별명을 사용해 1964년 4월20일 다리를 짓고 목포역 담벼락 위치에 기념 비석을 설치했다.",목포시
6,목포 관광특구,전남 목포시,126.3735867,34.79062267,http://tong.visitkorea.or.kr/cms/resource/56/1784456_image2_1.jpg,"목포는 해양 관광 자원과 문화 예술 자원이 조화로운 관광 도시이자 해양 도시다. 먼저 목포 한가운데에 우뚝 솟은 유달산은 목포 최고의 랜드마크다. 유달산 곳곳에는 전망 좋은 정자가 자리하고 있는데 이 정자들에서 바라보는 목포 시내의 전망이나 목포 시내에서 바라보는 유달산의 전경 모두 감탄할 만하다. 쉬엄쉬엄 걸으며 삼림욕을 할 수 있는 유달산 산책로는 목포 시민뿐 아니라 관광객들에게도 인기다.유달산 다음으로 목포를 대표하는 관광지는 삼학도와 갓바위다. 삼학도는 매년 열리는 목포해양문화축제의 무대이기도 하며 평소에는 육지와 연결된 다리를 따라 해안선을 벗 삼아 걷기 좋은 곳이다.갓바위에도 바위 절벽을 따라 해안을 걷는 길이 있다. 길을 따라 걷다가 갓바위 문화의 거리에서 잠시 쉬어 가도 좋다. 갓바위 인근에 음악 분수가 나오는 평화광장이 있다.목포에서 꼭 들러야 하는 곳이 종합수산시장이다. 시장에는 각종 제철 수산물과 건어물 이 즐비한데 특히 홍어가 유명하다. 유달산과 삼학도, 목포종합수산시장 등 주요 관광지가 목포역에서 걸어갈 수 있는 거리여서 자가용 없이 기차 여행을 하기에도 편리하다. 목포역광장에서 출발하는 시티투어버스를 이용하면 목포의 근대문화유산을 비롯해 주요 여행지들을 둘러볼 수 있다.* 목포 관광특구 현황1) 범위 : 북항, 유달산, 개항장권역, 삼학도, 갓바위, 평화광장 일원2) 면적 : 6,894,968㎡ 3) 관광특구 지정일 : 2007년 9월 27일* 목포 관광특구 시설 현황유달산, 삼학도, 갓바위 문화의 거리, 평화광장, 목포자연사박물관, 국립해양유물전시관, 종합수산시장, 북항회센터 등",목포시
7,목포 북항,전라남도 목포시 죽교동 620-232,126.3651121,34.80451263,http://tong.visitkorea.or.kr/cms/resource/74/2798674_image2_1.JPG,"목포항 구역 북부에 자리한 항만으로 수산물전용 항으로 개발 중이다. 이곳에 있는 선착장에서 비금도와 도초도로 가는 여객선을 이용할 수 있다. 목포에는 유달산과 다도해를 한눈에 볼 수 있는 목포 해상케이블카 승강장이 세 곳 있는데, 그중 하나인 북항 승강장이 있다. 또한, 목포의 노을 맛집으로 불리는 노을공원이 자리 잡고 있어 해 질 녘엔 북항을 찾는 이들이 많다. 항구 주변에 회센터를 비롯해 횟집들이 즐비해서 아름다운 노을을 바라보며 싱싱한 회를 맛볼 수도 있고, 직접 낚시를 하기 위해 북항을 찾는 사람들도 많다.",목포시
8,목포 서산동 보리마당&시화마을,전라남도 목포시 해안로127번길 14-2,126.3773227,34.78178483,http://tong.visitkorea.or.kr/cms/resource/44/2662644_image2_1.bmp,"서산동 시화마을은 추억과 향수를 불러일으키는 곳으로 보리마당 위에서 내려다보는 항구와 바다, 아름다운 마을 경관이 있는 곳이다. 주민들의 글과 그림으로 조성된 시화골목, 영화1987 촬영지 연희네 슈퍼는 관광객들에게 인기가 많은 관광 명소이다. 또한 연희네슈퍼에서 포토존을 운영하고 영화속 장면을 재현하는 체험을 할 수 있다.",목포시
9,목포 해상케이블카,전라남도 목포시 해양대학로 240,126.3700534,34.79941606,http://tong.visitkorea.or.kr/cms/resource/53/2640153_image2_1.jpg,"‘목포해상케이블카’는 슬로우시티 목포의 옛 중심지인 목포 원도심과 북항, 유달산은 물론 고하도를 비롯한 다도해의 아름다운 풍경을 한눈에 살펴볼 수 있는 해양관광, 레저, 문화관광의 새로운 중심축이다. 유달산의 지형적 특성과 우수한 경관을 고려하여 원도심과 다도해상 전체를 조망할 수 있는 국내 최장3.23km, 국내 최고높이155m를 자랑한다. 

캐빈대수 일반40대, 크리스탈 15대 총55대 운행중 
총 3,234m(해상 820m, 육상 2,414m)",목포시
