,title,addr1,mapx,mapy,firstimage,overview,addr2
0,도리포,전라남도 무안군 해제면,126.3464691,35.15665868,http://tong.visitkorea.or.kr/cms/resource/91/824691_image2_1.jpg,"* 일몰과 일출을 동시에 만날 수 있는 곳, 도리포 *무안군과 영광군·함평군의 경계를 이루는 해제반도 북서쪽 끝 도리포에 있는 유원지이다. 모래사장이 길고 송림이 우거지며 해변이 넓어 해수욕에 적당하다. 백사장을 지나 조금 더 들어가면 도리포 포구가 나오는데, 바다 쪽으로 길게 나와 있어 일출을 볼 수 있고 포구 반대편 칠산바다 쪽으로는 일몰이 장관을 이루어 일출과 일몰을 함께 즐길 수 있는 곳이기도 하다. 도리포도 서해안의 여느 일출명소와 마찬가지로 겨울철에는 함평의 바다쪽에서 해가 뜨고, 여름철에는 영광의 산쪽에서 해가 뜬다. 1월 1일에는 이곳에서 일출 행사가 개최된다.",무안군
1,무안 감풀마을 [농촌전통테마],전라남도 무안군 현경면 석북길 91-66,126.406055,35.06133988,http://tong.visitkorea.or.kr/cms/resource/83/2515483_image2_1.jpg,"무안 감풀마을은 우리나라 서남단에 위치한 무안에서도 현경면에 위치하고 있다. 바다를 끼고 있는 우수한 경관을 바탕으로 마을이 아담하게 이루어져 있다. 들녘은 황토땅이며 황토 들판 옆으로 푸른 양파와 마늘밭이 대조를 이루고 있으며, 반농반어의 고장, 뭍이 끝나는 골짜기마다 자그마한 어촌들이 숨어 있다. 붉은 황토에서 생산되는 밤고구마를 비롯하여, 수박, 참깨, 쪽파, 양파 등이 생산되고 있으며, 끝없이 넓은 청정 갯벌에서는 낙지, 참고막, 조개 등이 생산되고 있다. 우수한 자연환경을 가지고 있어, 쪽파 종자 고르기, 참깨 수확, 고구마캐기 등의 농사 체험과 조개캐기, 게 잡기, 후리질 등 갯벌 체험을 할 수 있다.특히 갯벌보존지역의 중심부에 위치해 갯벌세발낙지, 굴, 바지락. 고동, 바다게 등 다양하고 풍부한 생물이 서식하여 전국 최초로 갯벌습지보호지역으로 지정관리 되고 있습니다.* 감풀마을의 유래마을의 끝인 월두는 달머리(月頭)같이 보인다해서 붙여졌으며, 2.5km의 넓고 긴백사장과 소당섬이 물이 빠지면 섬으로 변하여 경치가 한폭의 그림과 같은 아름다움을 간직하여 가족 단위 피크닉장, 월출감상지로 유명하다. 마을형성 당시 무더운 여름날 무서운 바람이 불더니 마을은 갑자기 도둑과 돌림병이 나돌아 하루 아침에 쑥대밭이 되었다. 마을주민들이 당산을 세우고 남신당에는 돌칼, 여신당에는 돌창을 세우니 그 뒤부터는 마을이 평온해지고 전염병도 퇴치되었다고 한다.",무안군
2,무안 도요지,전라남도 무안군 몽탄면 몽탄로 940-1,126.4995779,34.92389305,http://tong.visitkorea.or.kr/cms/resource/34/2516034_image2_1.jpg,"* 고려후기 청자를 굽던 곳, 무안도요지 *몽탄면 사천리와 몽강리에 위치한 도요지로 삼국시대부터 옹기와 질그릇 등을 만들어왔다. 양질의 고령토로 옹기, 질그릇만이 아니라 순수한 전통기법으로 백자, 분청사기 등을 재현하여 전국민속공예품경진대회에서 우수한 성적을 거두는 등 옛 명성을 회복하고 있다. 또한 관광객이 직접 참여하여 도자기와 더욱 친밀해질 수 있는 기회도 제공된다.* 무안도요지의 유물 및 가치 *이 도요지에서 출토된 유물은 주로 왕실 및 관청 소용의 상감청자들이다. 특히 청자상감연판문잔대, 청자팔각접시 등은 특이한 형태를 보이고 있다. 유물문양은 상감기법으로, 구름·봉황·국화·모란·연꽃·버들·여의두문(如意頭文) 등이며, 간략하면서도 생동감과 해학스러운 자유로움이 돋보인다. 또한 이곳의 유물은 실생활 용기로서 당시의 문화와 경제상을 살펴볼 수 있는 학술적 가치가 있으며, 고려 후기의 청자형태나 문양의 변천사 연구에도 귀중한 자료가 된다.",무안군
3,무안 박봉기 가옥,전라남도 무안군 무안읍 수양길 104-13,126.4513661,35.0143015,http://tong.visitkorea.or.kr/cms/resource/20/1608320_image2_1.jpg,"이 건물은 1927년에 세워진 것으로 추정되는 지방 부호의 전형적인 가옥으로, 안채와 사랑채가 건립 당시의 모습을 잘 간직하고 있다. 안채는 일자형 겹집으로 정면 5칸, 측면 2칸이며, 2고주 5량의 구조로, 이것은 당시 이 지방 부농주택의 일반형태이다.",무안군
4,무안 백련흑콩마을(두레미마을),전라남도 무안군 일로읍 백련로 365,126.5319822,34.85771216,http://tong.visitkorea.or.kr/cms/resource/43/2516043_image2_1.jpg,"두레미 마을은 천혜의 자원인 약 10여만 평을 자랑하는 회산백련지와 인접해 있다. 그리고 마을 바로 앞에 간척지가 드넓게 펼쳐져 있는데, 이곳에서는 친환경 농법으로 재배된 양질의 쌀과 논두렁에서 재배된 튼실한 무공해 청정 흑콩이 유명한 마을이다. 봄에는 진흙 속에 숨겨진 연근을 채취하여 즉석에서 맛볼 수 있고, 여름에는 마을 주변 어디에서나 볼 수 있는 백련의 순수하고 아름다운 자태와 그윽한 연꽃의 향기에 심취될 수 있으며, 연과 흑콩을 이용한 웰빙음식을 맛볼 수 있다. 가을에는 연잎을 이용한 향긋한 나만의 연잎차를 만들어 보고, 연밥을 채취하여 예쁜 공예품을 만들어 볼 수 있으며, 겨울에는 따뜻한 방안에 옹기종기 모여앉아 흑콩 두부와 흑콩전을 먹는 재미 또한 쏠쏠해서 시간 가는 줄 모른다.",무안군
5,무안 식영정,전라남도 무안군 몽탄면 호반로 562-15,126.5164763,34.92871501,http://tong.visitkorea.or.kr/cms/resource/08/189508_image2_1.jpg,"* 영산강 유역의 대표적 정자, 식영정(팽나무) *식영정은 한호(閑好) 임연(林煉, 1589~1648)선생이 1630년에 무안에 입향 이후 강학소요처로 지은 정자로 그의 호인 한호처럼 한가로움을 좋아한다는 취지로 그림자가 잠깐 쉬었다 가는 곳이라 하여 식영정으로 불렀다고 전해진다. 이곳은 영산강과 그 주변의 경관과 어울려 많은 시인묵객들이 찾았으며, 임연의 증손으로 동사회강을 지은 문인학자인 노촌 임상덕(林象德1683~1710)이 제현과 교류하는 등 무안 몽탄 이산리의 나주임씨 강학교류 공간이었다. 무안 이거와 경관, 정자 건립 등에 관해서는 1643년에 임연이 지은 복거록에 잘 나타나 있고 교류한 문인도 많다. 식영정은 창건주 임연의 증손인 노촌 임상덕 등 대를 이어가면서 교류공간으로 활용되었다.* 식영정의 구조 *식영정은 측면에서 보면 영산강 유역의 대표적 정자라 해도 손색이 없다. 그리고 정자의 입지나 주변의 경관도 뛰어나다. 현재의 건물은 1900년대 초반에 중건한 건물이며, 정면 3칸, 측면 3칸의 단층 건물로 팔작지붕이다. 시멘트로 마감되어 있어 그 원형을 알 수 없는 낮은 기단 위에 막돌초석을 놓고 그 위에 원통형의 원주(圓柱)를 세웠다.가구(架構) 형식은 2고주(高柱) 5량(樑) 구조로서, 종도리와 주심도리는 굴도리로, 중도리는 납도리로 되어 있고 마루대공은 판대공(板臺工)으로 되어 있다. 중앙의 마루방 3면에는 사분합문이 설치되어 들쇠에 매어달게 되어 있으며 후면 벽에는 다락이 있다.[문화재 정보]지정종목 : 문화재자료지정번호 : 전남문화재자료지정연도 : 2002년 4월 19일시대 : 조선종류 : 정자규모 : 건물 1동 - 정면 3칸, 측면 2칸, 팔짝 단층와가",무안군
6,무안 유교리고가,전라남도 무안군 삼향읍 유교길 53-5,126.4382824,34.84744788,http://tong.visitkorea.or.kr/cms/resource/86/189486_image2_1.jpg,"* 일제강점기의 대표적 부농저택, 무안 유교리고가(무안 나상열가옥) *나상열 전통가옥은 남해안 지역의 대표적인 부농주택으로 1912년 당시 전남지방의 천석꾼이었던 나종만에 의하여 건립되었다. 현재 국가 지정 중요민속자료로 지정 보호를 받고 있다. 건축 양식은 양옥의 건축기법으로 건립되었는데, 20세기 들어와서야 남도지방에서 채택한 구조법을 사용하였다. 전체적으로 임좌 방향으로 자리하고 있으며 비교적 경사가 급한 지형을 3단으로 잘 정지한 후에 건물들을 배치하였다. * 나상열가옥의 구조 *대문간에 들어서면 자연석으로 포장된 경사로가 나타나며, 그 끝부분에는 행랑채가 서향으로 자리하고 있다. 행랑채에 난 중간문을 통과하면 좌측에는 넓은 바깥마당이 있으며, 그 중앙 아래쪽으로는 곡간채가 큰 규모로 건축되어 있다. 안채는 지형의 정지상 바깥마당과는 2단으로 석축을 한 후에 맨 위쪽에 자리하고 있다. 현재는 안채와 곡간채, 그리고 행랑채, 대문간 등 4채 만이 남아 있으나 그 이전에는 당시 주택건축에는 거의 찾아보기 힘든 동재와 서재가 안채 뒤, 후원에 독립적으로 건축되어 있었으며 사당과 사랑채 등 많은 건물들이 세워져 있었다고 전해진다.* 구조 - 안채(목조기와), 사랑채 52.89m²(목조초가), 창고 69.4m²(목조와가), 대문칸 49.58m²(목조와가), 흑실 9.91m²(목조와가)",무안군
7,무안 하늘백련마을(백련지마을),전라남도 무안군 일로읍 백련로 339-2,126.5300823,34.85942027,http://tong.visitkorea.or.kr/cms/resource/65/2516665_image2_1.jpg,"연꽃으로 유명한 무안은 무안군 몽탄면 이산리에서 회산 백련지까지 영산강을 따라 걷다 보면 연꽃 가득한 백련마을에 도착한다.백련지는 원래 이름 없는 농업용 저수지였으나, 일제강점기에 만들어진 두 개의 저수지를 합치면서 ‘복용’이란 이름이 붙었다. 벼농사가 대부분이던 당시 논에 물을 대던 저수지가 반드시 필요했지만, 1981년 영산강 하굿둑이 완공되면서 영산강에서 바로 농업용수를 끌어왔고, 사용하지 않아 점차 수위가 낮아진 저수지는 연꽃만 무성하게 피어있는 ‘연방죽’이 되었다. ‘연방죽’인 백련지가 세상에 알려지기 시작한 것은 1997년 제1회 회산 백련지 연꽃축제’가 열리면서 둘레가 3km, 면적은 33만여㎡로 연꽃 자생지로는 동양 최대 규모인 백련지가 알려졌으며,이때부터 무안군 일로읍 복용리는 ‘연꽃마을’로 불렸다.이후 2004년 회산백련지가 관광지로 지정받았다.회산 연꽃 방죽은 원래는 모란꽃이 많이 있어서 모란 방죽이라고 불리었으나 연꽃이 많아지면서 연꽃방죽으로 이름을 바꾸어 부르게 되었다.마을에서는 연잎으로 만든 연 쌈밥, 연돈까스, 연수육, 연잎을 넣어 만든 연맥주 등 다양한 연 요리를 맛 볼 수 있으며, 해마다 회산백련지 일대에서 '무안연꽃축제'를 개최하고 있다.* 백련지의 유래 * 원래 저수지였던 이곳에 한 마을 주민이 저수지 가장자리에 백련 12주를 구해다 심었다. 그날 밤 꿈에 하늘에서 학 12마리가 내려와 앉았는데 그 모습이 백련이 피어있는 모습 같았다. 꿈을 꾼 뒤 지극정성으로 연을 보호하고 가꾸게 된 것이 지금에 이르렀다.",무안군
8,무안낙지골목,전라남도 무안군 성남1길 171 성경식당,126.4769339,34.98750772,http://tong.visitkorea.or.kr/cms/resource/90/2924890_image2_1.JPG,"무안의 청정 갯벌에서 자란 무안 낙지는 발이 길고 식감이 부드러워 이미 전국적으로 유명하다. 무안낙지골목은 뻘낙지로 유명한 무안의 명물이자, 관광 명소 중 하나로 자리매김하였다. 무안의 대표 수산물인 낙지의 고장답게 원산지 표시 의무를 철저히 준수하고 있으며, 이에 따라 믿고 먹을 수 있는 낙지 명소로 거듭나고 있다. 무안 버스터미널과 가까운 곳에 있어 방문하기 편리하며, 주차 타워가 마련되어 있어 차량을 갖고 방문하기도 편리하다. 식당과 시장 등이 공존하고 있어 낙지를 구입할 수도 있고, 낙지 요리를 먹을 수도 있다. 각종 매스컴에 소개된 만큼, 맛집으로 알려진 식당들이 즐비하다. 불무공원, 물맞이공원 등이 근처에 있어 연계 관광하기 수월하다.",무안군
9,무안망운면의곰솔,전라남도 무안군 망운면 두모길 35,126.3674792,35.00686485,http://tong.visitkorea.or.kr/cms/resource/36/2516036_image2_1.jpg,"곰솔은 해송.흑송.검솔이라고도 부르며, 소나무과에 딸린 사계절 푸른 나무다. 바닷바람과 염분에 강하여 바닷가의 바람을 막아주는 방풍림이나 방조림으로 많이 심는다. 무안군 망운면 송현리 두모마을 도로가에 2그루의 곰솔이 자라고 있다. 나이는 300년 정도로 추정된다.전설에 따르면, 400여 년 전에 김해 김씨가 이 곳에 정착하고 이 숲을 성황당숲으로 정했다고 한다. 이 후에 해마다 정초에 마을의 평화와 풍년을 기원하는 제를 올렸다. 그리고 이 곰솔을 신령스런 나무로 여겨  잘 보존하고 있으며, 오랜 세월동안 우리 조상들의 관심과 보살핌 가운데 살아온 나무로 생물학적·민속적 가치가 높아 기념물로 지정하여 보호하고 있다. 소나무 한그루의 높이는 18m, 둘레는 4.2m, 가지길이는 11m 정도이며, 또 한그루는 줄기가 땅에서부터 두 개로 갈라져 있는데 둘레가 각각 2.8m와 3m 정도이다.* 부지면적 850㎡ ",무안군
