,title,addr1,mapx,mapy,firstimage,overview,addr2
0,군학마을,전라남도 보성군 회천면 군학길 23-1,127.0578882,34.65040255,http://tong.visitkorea.or.kr/cms/resource/91/1970891_image2_1.jpg,"보성군과 장흥군이 접한 군학마을은 보성 녹차밭과 해수녹차탕으로 이어지는 해안을 따라 득량만을 한눈에 조망할 수 있는 아름다운 지역이며 인근 율포 해수욕장과 비봉 선서공룡알 화석지와 연계하여 자연스러운 경관이 돋보인다. 조선 세종때 이곳에 수군만호진이 개설됨으로써 '군영구미'라 불러오다, 그 후 '구미영성'에 이어  현재는 군학이라 부르게 되었다고 한다.",보성군
1,다향농장,전라남도 보성군 득량면 비봉리,127.1965161,34.71543648,http://tong.visitkorea.or.kr/cms/resource/80/2994580_image2_1.jpg,"다향농장은 애플망고, 바나나, 파인애플을 재배하고 있는 농장이다. 신선하고 좋은 품질로 대형마트와 급식으로 납품도 하고 있다. 시기에 따라 애플망고 수확 및 시식, 바나나 체험 등 어린이들에게 흥미로운 체험 프로그램들을 진행한다. 쉽게 접하지 못하는 열대과일을 눈앞에서 직접 관찰하고 수확하고 맛보는 자연 속 색다른 경험이 가능하다. 모든 프로그램은 사전 예약을 필수로 해야 하며 3세 미만 영유아는 무료로 이용 가능하다.",보성군
2,대원사(보성),전라남도 보성군 문덕면 죽산길 506-8,127.1328211,34.9614272,http://tong.visitkorea.or.kr/cms/resource/46/1609446_image2_1.jpg," 지방 유형문화재 제87호 극락전과 지방유형문화재 제35호인 대원사 자진국사 부도를 보유하고 있다. 신라 지증왕 때에 아도화상이 창건했으며, 그 후로 고려시대 조계 제5세 원오국사가 중건하였다.대원사는 천봉산 중턱에 있으며 6.25동란 이전까지만해도 10여동의 건물이 있었으나 여순반란 사건 때에 대부분의 건물이 불타버렸다. 현재 극락전이 전라남도 유형문화재 제 87호로 지정되어 있고, 극락전 앞에 자진국사 부도가 있다.
근처에 백민 미술관, 송재 서재필 생가 및 기념공원, 주암호반, 고인돌 공원과 연계되는 교육문화 탐방 루트로 연중 관광객이 끊이지 않고 있다. ",보성군
3,대한다원,전라남도 보성군 보성읍 녹차로 763-65,127.0788125,34.7156928,http://tong.visitkorea.or.kr/cms/resource/33/2652133_image2_1.jpg,"차나무가 그린 초대형 추상화  대한다원의 녹차는 맛과 향이 야생차와 같은 유기농의 고급차가 생산되고 있으며, 녹차 밭은 마치 녹색의 카펫을 깔아놓은 듯 장관을 이루어 사계절 내내 관광객이 방문하는 유명 관광지이다. 그림 같은 차밭 사이를 지나 해발 350m 봉우리에 오르면 저 너머 바다까지 펼쳐지는 풍관이 장관이다. 보성읍 봉산리 일대가 내려다보이는 산록에 자리잡은 농원은 무려 30여 만평이나 되는 드넓은 평원을 형성하고 있다. 농원으로 들어가는 입구에는 전신주 크기의 아름드리 삼나무들이 서있어 신선감이 더욱 넘친다. 대한다업관광농원에서는 '봉로(峯露)' 라는 이름의 한국 차를 전국의 차전문 체인점에 내고 있다. 최근에는 한국차 선호도가 높아지면서 농원을 찾는 사람들이 많아지고 있다. 차밭에서 신선한 공기를 마시고, 직접 차잎을 따는 일도 하면서 건전한 휴가를 즐기는 사람들이 늘어나고 있는 추세다. 드라마 <여름향기>, <푸른바다의 전설>, <역적> 촬영지로, 자연의 아름다움을 한껏 느낄 수 있다.",보성군
4,득량역 추억의 거리,전라남도 보성군 득량면 역전길 28,127.1701644,34.7615142,http://tong.visitkorea.or.kr/cms/resource/20/1933620_image2_1.jpg,"득량역은 1930년, 경전선 개통과 함께 영업을 시작했다. 경전선은 경남 밀양 삼랑진역에서 광주 송정역 사이를 잇는 대한민국 남해안 횡단열차다. 개통 당시에는 화물 등을 옮겼으나 인구감소, 산업의 발달로 점점 역할이 약해져 지금은 여객수송과 득량~보성역 퇴행열차 입환을 하고 있다. 입환은 차량의 분리, 결합, 선로교체 등의 작업을 뜻한다. 
70~80년대 읍내의 모습을 재현한 득량역 추억의 거리는 문화체육관광부에서 추진한 열차역 문화디자인 프로젝트의 일환으로 2011년부터 조성되기 시작했다. 반세기 넘게 영업중인 이발소, 다양한 차를 맛볼 수 있는 역전다방, 오래된 방앗간 그리고 득량초등학교와 만화방, 오락실 등이 진한 7080 분위기를 만들어낸다.",보성군
5,들풀미술학교,전라남도 보성군 웅치면 대산길 265-6,126.9939925,34.70008201,http://tong.visitkorea.or.kr/cms/resource/07/1970907_image2_1.jpg,"아이들에게 꿈과 희망을 건네주는 숲속의 들풀미술학교는 고단한 삶을 뒤로하고 잊었던 자연의 품안에서 인간다움을 느낄 수 있는 정적의 공간이다. 삼천평의 대지에 찻집과 민박이 소박하게 자리하고 주변 곳곳에 조각상이 놓여 있는 작은 조각 공원이 있다. 천혜의 자연경관과 어우러진 들풀미술학교에서는 도자기 체험과 천연염색, 녹차시음, 농촌체험 등 각종 현장교육을 받을 수 있는 학교이다.",보성군
6,명량다원,전라남도 보성군 회천면 녹차로 745-8,127.0854342,34.71240717,http://tong.visitkorea.or.kr/cms/resource/95/1936495_image2_1.jpg,"보성 녹차밭을 지나 회천면 쪽으로 조금만 가면 고갯길이 나오고 그 도로 오른쪽에 명량다원이 보인다. 판매장은 주차장에 들어서는 순간 쉽게 눈에 띈다. 한눈에 들어오는 커다란 2층 한옥 누각이 바로 그곳이기 때문이다. 언뜻 보면 마치 서울에서나 봄직한 조선시대 왕이 기거하던 궁궐처럼 생겼다. 그래서 차밭을 찾은 관광객들의 사진 배경으로도 인기가 높다. 산등성이에 세운 건물과 그 뒤로 펼쳐진 차밭이 나름의 멋을 지니고 있다.
판매장은 보성지역 여느 다원처럼 시음장을 겸하는데 한옥형 테라스에 나가 제공되는 녹차 한 잔을 마시며 바라보는 풍경은 가히 절경이다. 지난 2000년부터 판매업을 시작한 임흥준 사장은 농업경영혁신 분야에서 대통령상을 받은 차 재배 농업인이다. 봇재다원은 잎녹차를 주로 판매하지만 티백, 가루, 과자류 등 녹차 가공품과 위탁판매 중인 다기류 등 다양한 제품을 판매하고 있다. 잎녹차는 판매장에 붙어 있는 차밭에서 자체 생산한 수제 녹차다. 명량다원은 맛과 관광을 동시에 즐길 수 있는 곳이다.",보성군
7,보성 강골마을,전라남도 보성군 득량면 역전길 15-9,127.1899377,34.76177839,http://tong.visitkorea.or.kr/cms/resource/76/894076_image2_1.jpg,"강골마을에 가면 ‘전통 가옥에서 보내는 특별한 하룻밤’을 체험할 수 있다. 행정구역상으로는 전남 보성군 득량면 오봉리지만 강골마을이라 부르기도 하고 체험마을로 지정되면서 득량마을로 불리기도 하는 이 마을은 광주 이씨 집성촌이다. 강골마을은 지금까지 남아 있는 조선시대 한옥 마을 가운데 제 모습을 간직하고 있는 몇 안 되는 마을 가운데 하나다. 이 마을의 전통 가옥들은 대부분 19세기 이후 광주 이씨 집안에서 지은 것들로, 30여 채가 마을 뒷산인 오봉산을 등지고 도란도란 모여 있다. 마을 여기저기에는 이미 고목이 된 벚나무, 목련, 석류나무 등이 마을을 지키고 있다. 집과 집 사이에는 담쟁이덩굴과 대나무로 뒤덮인 돌담길이 이어져 전형적인 우리 옛 마을의 정취를 제대로 간직하고 있다.현재 이금재(李錦載) 가옥, 이용욱(李容郁) 가옥, 이식래(李湜來) 가옥, 열화정(悅話亭) 등 3채의 가옥과 1개의 정자가 중요민속자료로 지정되었다. 마을 한가운데 자리 잡고 있는 이용욱 가옥은 조선시대 양반 가옥의 전형을 보여주는 솟을대문과 담장으로 막아 사랑마당이 외부로 드러나지 않도록 한 독특한 구조가 눈길을 끈다. 아늑한 느낌을 주는 이식래 가옥은 집 주위를 둘러싸고 있는 대숲과 사람이 사는 집은 초가지만 농기구와 곡식을 보관하는 광을 기와집으로 지어 이색적이다. 이금재 가옥의 안채는  1900년 전후에 지었고 나머지는 20세기 초에 지은 것으로 추정되는, 삼남 지방의 전형적인 양반집이다. 마을 뒤 숲 가운데 자리 잡은 열화정은 주위의 숲을 그대로 살려 아름다운 공간을 연출하는 전통적인 한국 조경의 수법을 잘 간직하고 있는 곳으로, 정자 옆 연못이 인상적이다.강골마을 체험 프로그램은 ‘안개 자욱한 녹차밭과 전통 한옥에서의 불편한 하룻밤’이라는 긴 이름을 지니고 있다. 우리 조상들이 살았던 전통 한옥 마을에서의 하룻밤을 보내는데, 옛날 그대로의 생활(재래식 화장실, 우물물 사용하기 등)을 체험할 수 있다. 벚꽃이 피는 시기에 강골마을 체험 프로그램에 참여하면 득량역의 아름다운 벚꽃에 빠져드는 득량역 벚꽃카페를 경험할 수 있다. 봄부터 여름을 거쳐 초가을까지는 새벽안개가 자욱한 보성 녹차밭을 둘러보며 아름다운 보성의 풍광과 향기에 젖어볼 수 있다. 그리고 한겨울을 빼고는 가까이 있는 청정 해역 득량만에서의 살아 있는 바지락, 쏙 등을 잡으며 생태 체험을 할 수 있다.",보성군
8,보성 골망태다원,전라남도 보성군 보성읍 노산길 5-56,127.0923025,34.73620461,http://tong.visitkorea.or.kr/cms/resource/12/1970912_image2_1.jpg,"보성 골망태다원은 보성차밭 인근에 위치한 차밭으로써 펜션과 잘 어우러진 녹차밭이다. 차나무로 미로공원을 조성하였으며 수령이 4년생이다. 차수확을 하여 직접 만들 수 있는 공장이 있으며 우리나라 전통 차인 떡차와  발효차인 우롱차, 홍차, 수제덖음 녹차 등을 직접 만들어 볼 수 있다. 기간은 4월부터 10월까지 사전에 예약을 하시면 체험이 가능하다. 전통차 예절과 판매장, 시음장 등을 운영하며 재배하는 녹차는 친환경으로 재배한다.",보성군
9,보성 벌교 홍교,전라남도 보성군 벌교읍 벌교리,127.3384225,34.85015988,http://tong.visitkorea.or.kr/cms/resource/45/181545_image2_1.jpg,"3간(間)의 홍예(虹霓)를 연결축조하고 석교로서 외벽과 난간에 변모가 적지않게 나타나 있다. 궁융형(穹隆形)으로 된 이 석교는 각처에 있으며 또한 선암사(仙岩寺) 승선교(昇仙橋)와 함께 구조형식이 아주 뚜렷한 예이다.궁륭형 교량은 동서를 막론하고 고대부터  있어온 터이며 국내의 유례로서도  불국사의 청운교(靑雲橋), 백운교(白雲橋) 등이 있다.또, 각지의 조선시대 석빙고(石氷庫) 등에서도 천정가구(天井架構)에서는 이러한 홍예와 동류의 기법을 보이는 유구(遺構)들이 있다. 한편 이러한 축조형식은 성문등에서도  흔히 이용되어 온 것이다. 이 홍교는 원래  숙종(肅宗) 44년(1718)에 당시  낙안현(樂安縣)의 주민들에 의해 현지에 떼다리(강과 해류가 교차하는 곳에 원목을 엮어 놓은 다리)를 놓았는데 영조 4년(1728년)에 전남도 지방에 내린 대홍수로 이 다리가 유실되자 그 이듬해 선암사 주지 호암화상(護岩和尙(약휴:若休))이 제자인 초안선사(楚安禪師)를 화주(化主)로, 습성대사(習性大師)를 공사감독으로 천거 착공하였으며, 이 공사는 6년후인 영조10년(1734)에 완공을 보게 되었다. 위 내용은 선암사 승선교 근처에 홍교비에 승선교 조성내용과 함께 기록되어 있다. 이 홍교는 1981∼1984년까지 4년에 걸친 보수공사를 실시하였다. 호예의 밑부분과 석교 외벽의 시멘트를 제거하고 모두 화강암으로 교체하여 원형을 되찾았다.",보성군
