,title,addr1,mapx,mapy,firstimage,overview,addr2
0,거차뻘배마을,전라남도 순천시 별량면 거차길 57-16,127.4466522,34.83721041,http://tong.visitkorea.or.kr/cms/resource/13/1844613_image2_1.jpg,"거차뻘배 체험장은 2헥타르(ha)의 넓은 공유수면에서 뻘배타기, 꼬막캐기, 칠게잡기, 짱뚱어잡기, 갯벌미끄럼틀타기 등 다양한 갯벌생태체험을 할 수 있는 곳이다. 대표체험은 뻘배타기로, 한쪽 무릎을 꿇고 뻘배에 앉아서 다른 쪽 다리로 갯벌을 박차고 나가 미끄러지듯 질주하며 칠게, 조개 등을 캐는 것이다. 양손은 뻘배를 부여잡는다. 뻘배는 어민들이 조개를 캐기 위해 이용하는 ‘널’을 체험용으로 제작한 것이다. 어민들이 사용하는 널은 멀리 나가서 조개를 캐기 위해 쉽게 갯벌을 이동할 수 있도록 훨씬 길고 폭이 좁다. 거차마을 갯벌은 뭍에서 멀리 나갈수록 칠게와 짱뚱어, 맛, 꼬막 순으로 서식하는 어패류가 다르다. 체험장 뒤로는 어민들이 공동으로 관리하는 어장이기에 함부로 들어가서는 안 된다. 조개잡기 체험 등을 할 때는 인솔자의 안내에 따라야 어민들에게 피해를 주지 않는다. 갯벌체험복장으로 긴 소매, 긴 바지, 양말 또는 스타킹과 모자는 필수적으로 준비해야 한다.",순천시
1,공마당둘레길,전라남도 순천시 금곡동 134-2,127.4783575,34.9548283,http://tong.visitkorea.or.kr/cms/resource/12/2795912_image2_1.jpg,"공마당 둘레길은 코스는 길지 않지만, 마을을 한 바퀴를 돌며, 전망대에서 순천 원도심을 내려다볼 수 있는 아담한 마을 둘레길이다. 마을 공동체와 공공 미술이 만나 순천 원도심의 매력에 듬뿍 빠질 수 있는 곳이기도 하다. 골목 곳곳에 설치된 조형물과 벽화를 감상하며 걷는 길에는 문화의 거리, 순천창작예술촌, 순천향교 등 다양한 문화를 즐길 수 있는 곳들이 인접해 있어 쉬엄쉬엄 돌아보기에도 좋다.",순천시
2,구례구역,전라남도 순천시 황전면 섬진강로 217,127.4526572,35.16352381,http://tong.visitkorea.or.kr/cms/resource/92/2716292_image2_1.jpg,"섬진강 건너에 위치해 있으며 여행객이 많이 이용하는 역이다. 역내 구례군관광안내소가 있어 알짜 정보도 얻을 수 있다. 레트로 하고 옛 정취를 느끼기에 좋으며 최근 예능 프로그램 윤스테이 촬영지로도 유명해 많은 사람들이 방문한다. 전라선에 해당하는 구례구역은 1936년 12월 16일 보통역으로 영업을 시작하였다. 한국전쟁당시 역사를 소실하였다가 1957년 10월에 신축 준공하였다. 압록역과 봉덕역 사이에 있는 구례구역은 2013년 12월 부터 남도해양관광열차가 정차하고 있다. 역은 순천에 위치하고 있으나 구례군으로 들어가는 길목이라는 의미로 구례구역으로 명명되었다. 구례구역에는 새마을호, 무궁화호, KTX, 남도해양관광열차가 정차한다.",순천시
3,국립 낙안민속자연휴양림,전라남도 순천시 낙안면 민속마을길 1600,127.3560025,34.9177637,http://tong.visitkorea.or.kr/cms/resource/03/1607803_image2_1.jpg,"전라선과 경전선이 교차하고, 남해고속도로와 호남고속도로가 통과하는 교통의 요충지로서 접근성이 매우 양호하고, 낙안읍성 민속마을에서 약 2㎞ 지점에 위치한다. 낙안읍성과 주변 경관이 수려하여 휴식공간으로는 최적지일 뿐만 아니라 인근에 송광사, 선암사 등 전통 고찰과 서산의 저녁노을을 함께 즐길 수 있는 주암호, 상사호가 있으며, 순천만의 갈대와 해변, 그리고 낙안읍성 민속마을의 각종 문화축제를 즐길 수 있는 관광명소들이 많아 사계절 이용이 가능하다. 낙안민속자연휴양림은 순천 낙안 간 지방도변에 위치한 규모가 소박하면서도 아담한 일반 가정의 정원 분위기가 물씬 풍기는 국립 자연휴양림으로서 배산임수의 지리적 요건을 갖추고 있으며, 휴양림 좌우로 낙안의 2대 진산인 금전산(667.9m)과 오봉산(591m)이 휴양림 배후를 감싸고 있고 특히 비가 많이 오는 날에는 금전 산자락 휴양림의 숨은 비경인 처녀폭포가 기암 사이로 폭포수를 힘차게 내뿜는 모습이 아름다운 장관을 이룬다. 또한 매년 순천지역의 민속축제인 낙안민속문화축제(4월 말 5월 초)와 남도 음식축제(10월)가 휴양림에 가까운 낙안읍성 민속마을에서 해마다 열리고 있고 주변 여수시에서는 진달래축제 및 거북선축제(4월 5월)가 열리고 있으며, 가까운 보성군에서는 다향제 및 일림산 철쭉제가 역시 5월에 열리고 있다.",순천시
4,금전산,전라남도 순천시 낙안면 상송리,127.3495307,34.92370736,http://tong.visitkorea.or.kr/cms/resource/69/1784469_image2_1.jpg,"전남 순천에 위치한 금전산(해발 668m)은 조계산에서 뻗어나온 한 지맥이 남쪽으로 흘러내리며 고동산을 거쳐 일으킨 바위산이다. 이 금전산의 옛이름은 쇠산이었으나 100여년 전 금전산으로 바뀌었다고 한다. 한자의 뜻을 그대로 번역하면 금으로 된 돈 산이다.  그러나 실은 불가에서 유래한 이름으로,  ""부처의 뛰어난 제자들인 오백비구(혹은 오백나한)중 금전비구에서 산이름을 따왔다"" 고 금강암 스님들은 말한다.금강암은 백제 위덕왕 때 창건되었다. 승주향리지는 '위덕왕' 30년 583년 금둔사가 창건되었고 그 후 의상대사가 금강암, 수정암, 문주암 등 30여동의 사우를 가진 대찰로 중건했다고 전한다. 지금의 금둔사는 1985년 선원으로 재건된 것으로서 태고종 소속이며 금강암은 송광사에 속한 조계종 사암이다.",순천시
5,기적의놀이터 3호,전남 순천시 서면 선평리 818-23,127.500402,34.98799995,http://tong.visitkorea.or.kr/cms/resource/50/2798850_image2_1.JPG,"순천 기적의 놀이터 3호의 다른 이름은 ‘시가모노’다. 얼핏 들으면 일본에서 빌려온 이름처럼 들리는데, ‘시간 가는 줄 모르고 노는 놀이터’의 약자다. 아파트 사이를 흐르는 동천의 천변에 길게 자리한 놀이터로 놀이터에 들어서자마자 킥보드와 밸런스 바이크를 탈 수 있는 곡선형 아스팔트 길이 나온다. 그 주변으로 모래 놀이터가 있고 가장 인기 있는 짚라인도 있다. 안쪽으로 조금 더 들어가면 그네 놀이터와 체력 단련용 액티비티 시설이 나온다. 유아들이 탈 수 있는 보호대가 있는 그네부터 2인용 그네, 원형 바구니처럼 생긴 다인용 그네도 있다. 바닥에는 모래가 깔려 있어서 완충 역할을 한다. 조금 더 내려가면 아이들이 안전하게 인라인스케이트를 탈 수 있는 스케이트장이 나온다. 놀이터 근처에는 강천 수변 공원이 있는데 놀이가 끝나고 집으로 돌아가는 길에 잠시 들러 산책하기 좋다.",순천시
6,기적의놀이터 4호,전라남도 순천시 용당동 496,127.4981582,34.96729113,http://tong.visitkorea.or.kr/cms/resource/59/2798859_image2_1.JPG,"산속 저수지 위쪽에 자리한 순천 기적의 놀이터 4호를 찾아가는 길은 마치 등산로 입구를 찾아가는 것처럼 산으로 향해 있다. 기적의 놀이터 4호의 다른 이름은 ‘올라올라’로, 이름에서 놀이터의 콘셉트가 엿보인다. 놀이터의 시설물은 그리 많지 않은데, 큰 미끄럼틀과 그 옆으로 모랫바닥에 거미줄 같은 네트 모양의 시설이 눈에 띈다. 둘 다 올라야 즐길 수 있는 시설이다. 뒤쪽으로는 짧지만 넓은 미끄럼틀도 있다. 눈썰매장의 출발대처럼 여러 명이 동시에 탈 수 있는 놀이 시설과 비슷하다. 놀이 시설물 주변은 자연 녹지인데, 주위로 작은 개울이 흐르고 자연학습원도 마련되어 있다. 놀이를 마치고 나올 때는 저수지를 한 바퀴 돌며 산책하기에도 좋다.",순천시
7,낙안온천,전라남도 순천시 낙안면 조정래길 933,127.3379874,34.91947431,http://tong.visitkorea.or.kr/cms/resource/10/1607810_image2_1.jpg,"낙안온천은 순천시 금전산 중턱에 위치하고 있으며, 지하 830m에서 분출되는 알카리성 100% 청정 온천수를 사용하여 고객 여러분의 피로와 스트레스를 말끔히 씻어준다. 고객 여러분께 최고의 서비스를 제공하고자 한다.",순천시
8,낙안향교,전라남도 순천시 낙안면 교촌길 59,127.3457983,34.90035715,http://tong.visitkorea.or.kr/cms/resource/97/1609397_image2_1.jpg,"조선시대 때 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 그 뒤 1658년(효종 9)에 군 동쪽 농암등(籠巖嶝)에서 현재의 위치로 이건하였고 수차에 걸쳐 중수하였다. 현존하는 건물로는 대성전·명륜당·동무(東?)·서무(西?)·동재·서재·양사재(養士齋)·고직사(庫直舍) 등이 있다. 대성전에는 5성(五聖), 송조2현(宋朝二賢), 우리나라 18현의 위패가 봉안되어 있다. 조선시대에는 국가로부터 토지와 전적·노비 등을 지급받아 교관이 교생을 가르쳤으나, 갑오개혁 이후 신학제 실시에 따라 교육적 기능은 없어지고 봄·가을에 석전(釋奠)을 봉행하며 초하루·보름에 분향을 하고 있다. 전라남도 유형문화재로 지정되어 있으며, 전교(典校) 1명과 장의(掌議) 수명이 운영을 담당하고 있다.",순천시
9,다올재 협동조합,전라남도 순천시 금곡길 60,127.480499,34.95526996,http://tong.visitkorea.or.kr/cms/resource/80/2819880_image2_1.jpg,"“이 세상 좋은 일이 다 들어온다”라는 뜻의 다올재는 한국관광공사 인증 관광두레로 순천 문화의 거리에 위치한 카페 겸 펜션이다. 아파트로 가득한 도심에서는 쉽게 만나기 힘든, 옛 할머니 집처럼 정다운 느낌의 한옥이다. 다올재 카페에서는 전통차를 즐기며 편안한 여유를 만끽할 수 있다. 손님들은 말차, 녹차, 쌍화차 등 다양한 전통차를 체험한다. 특히 다올재에서 직접 순천의 홍매실을 주재료로 하여 만든 쌍화매실차는 남녀노소 모두에게 인기 있는 메뉴다. 예약하면 숙박도 가능하다. 넓은 마당이 내다보이고 아기자기한 전통 소품으로 가득한 방에서 하루를 보내며 묵은 피로가 풀리는 차 훈증 체험도 할 수 있어 명실공히 치유여행소라 할만하다. 도보 4분 거리에 조선시대 문화유적지인 순천향교가 있다.",순천시
