,title,addr1,mapx,mapy,firstimage,overview,addr2
0,기동 삼거리 벽화,전라남도 신안군 암태면 기동리 677-1,126.1117559,34.8383297,http://tong.visitkorea.or.kr/cms/resource/19/2784819_image2_1.jpg,"기동 삼거리 벽화는 전남 신안군 암태면 기동리에 자리 잡고 있다. 천사대교를 건너 직진하면 나오는 삼거리다. 이곳에서 직진하면 자은도가 나오고, 오른쪽으로 방향을 잡으면 압해도로 갈 수 있다. 삼거리에 들어서면 담벼락을 채우고 있는 벽화가 눈에 띈다. 미소를 띠고 있는 부부가 그려진 벽화다. 머리는 동백나무다. 담장 안에서 자라는 동백나무가 벽화와 어우러져 독특한 분위기를 연출한다. 기동 삼거리에 있는 벽화라서 기동 삼거리 벽화라고 부른다. '동백나무 파마머리 벽화'나 '동백 빠마 벽화'라고도 불린다.",신안군
1,김대중 대통령 생가,전라남도 신안군 하의면 후광길 255,126.0302625,34.63195163,http://tong.visitkorea.or.kr/cms/resource/69/2515669_image2_1.jpg,"하의도가 세간의 큰 관심을 끌게 된 사건 가운데 하나가 바로 파란과 곡절을 상징하는 '인동초, 김대중' 이란 거목을 낳은 고장이라는 것이다. 지난 1992년 대통령 선거 무렵에는 그의 생가 집터가 있는 후광리에 수백명의 국내기자와 외신기자들이 몰려드는 진풍경을 연출하기도 했으며,  김대중 대통령이 태어나서 어린 시절을 보냈던  생가도 지금은 옛 모습을 찾게 되었다.1999년에 종친들이 성금을 모으고 대구 노인복지대학노인회에서 120만원을 모금해 보내오기도 하여 집터만 남아있던 생가의 구조물을 그대로 이용, 어은리마을에 집을 짓고 살던 주민으로부터 다시 집을 사들여, 후광리에 대지 2,466.12m²(746평), 건평 59.5m²(18평)의 목조초가 본체와 창고, 측간으로 구성된 생가를 원형대로 복원(신안군 향토자료 제23호)하여 신안군에 기증하였으며,군에서는 복원된 김대통령 생가를 관광 자원으로 활용하기 위해 주변에 화장실 등 기본시설을 갖춰 찾아오는 관광객을 맞이하고 있다.",신안군
2,김환기고택,전라남도 신안군 안좌면 김환기길 38-1,126.121621,34.75285894,http://tong.visitkorea.or.kr/cms/resource/59/2740559_image2_1.jpg,"한국의 대표적 서양화가로 우리나라 전통미를 현대화 시키는데 주력한 수화 김환기(1913~1974) 화백이 태어난 곳으로 현재 안채와 화실 1채로 구성되어 있다. 김환기 화백은 우리나라 모더니즘의 제1세대 화가로 한국의 고전적 소재를 추상적 조형언어로 양식화하여 한국미술의 새로운 전기를 마련한 인물이다. 이곳은 그의 유년기와 청년기 작품 활동이 이루어졌던 공간이라는 역사적, 예술적 가치를 지니고 있다. 더불어 20세기 초반 전통가옥이 근대로 들어서면서 사회의 변화에 따라 실용적으로 변용되어 가는 모습을 잘 보여주는 귀중한 장소다.",신안군
3,대둔도,전라남도 신안군 흑산면 김이수길 57,125.4642576,34.72905116,http://tong.visitkorea.or.kr/cms/resource/76/1585276_image2_1.jpg,"신안군 흑산면 속한 섬이다. 전라남도 목포시에서 남서쪽으로 약 94km, 대흑산도에서 북서쪽으로 약 3.2km 떨어져 있다. 대둔도섬의 최고봉인 성암산(163m)이며, 남쪽에 있는 오리 일대의 평야를 제외하면 높지는 않으나 비교적 경사가 급한 산지로 이루어져 있다. 해안은 곳곳에 만과 갑이 발달하여 드나듦이 비교적 심하고 기후는 대체로 따뜻하고 비가 많으며 경지면적은 얼마 되지 않고 임야가 대부분이다. 농작물로는 보리, 고구마, 감자, 콩, 마늘 등이 약간 생산되며, 주민의 절반 이상이 양식업에 종사한다. 연근해 일대에는 제주난류의 북상으로 각종 어류가 풍부하며 해초가 무성하여 양식지로도 적합하다. 고등어, 농어, 멸치, 장어, 조기, 우럭 등이 잡히며, 우럭과 전복등의 양식위주로 생활을 하고 있다.
* 면적 3.34㎢, 해안선길이 13.7㎞",신안군
4,도초 시목해수욕장,전라남도 신안군 도초면 시목길 219-30,125.9559625,34.67172097,http://tong.visitkorea.or.kr/cms/resource/09/623409_image2_1.jpg,"모래사장이 반원형으로 둥글게 펼쳐져 있는 도초면 시목해수욕장은 다도해해상국립공원 내에 위치하여 물이 수정처럼 맑고 깨끗하며, 주변에 감나무가 많다고 해서 시목이라는 이름이 붙었다. 이 곳은 3면이 산과 바다로 마치 병풍을 쳐놓은 듯한 포근한 지형에 해안 2km에는 사방사업을 해놓고 있으며 경사가 완만하여 위험도가 없는 곳이다. 백사장의 길이는 2.5㎞, 폭은 100m로 군데군데 모래성이 쌓아진 것이 특징이며, 모래사장을 감싸고 있는  주변의 산들과 어우러져 마치 한 폭의 동양화처럼 매우 아름답다. 그래서인지 스케치여행하는 화가들이 즐겨 찾는 곳이기도 하다.해수욕장 바로 앞에는 농간암이라는 바위가 있는데 날씨가 흐리면 바위가 움직이는  것과 같은 착각을 일으키기도 해 말 그대로 농간하는 신기한 현상을 볼 수 있다. 인근 섬과 섬 사이에서 갯바위 및 배낚시를 즐길 수 있고, 해수욕장 내에는 33,058m²(10,000평) 규모의 청소년 야영장이 있으며, 비금과 도초간의 연도교가 1996년 9월에 개통되어 비금면 원평해수욕장과 연계 관광을 할 수 있다.",신안군
5,도초도,전라남도 신안군 도초면 수항리,125.9534703,34.70361178,http://tong.visitkorea.or.kr/cms/resource/33/2821533_image2_1.jpg,"도초도는 목포에서 서남쪽 54.5km 떨어진 섬이다. 신안군은 830개의 크고 작은 섬으로 이루어져 있는데, 면적 43.4㎢, 해안선 길이 74km의 도초도는 우리나라에서 13번째로 큰 섬이다. 또한, 이 섬에는 신안군에서 가장 넓은 들녘인 고란평야가 펼쳐져 있어서 1,500가구, 4,000여 명의 주민들은 대부분 어업보다는 농업에 의존하며 살아가고 있다.이 섬의 서쪽 해안은 다도해해상국립공원의 일부에 속할만큼 자연경관이 아름답고, 시목해수욕장은 백사장이 넓고 물빛도 깨끗해서 가족 단위의 피서지로 안성맞춤이다. 또한, 섬 곳곳에는 다도해 지방 특유의 장례풍속을 보여주는 초분(草墳)이 남아 있으며, 온전한 형태의 초가와 돌담도 쉽게 찾아볼 수 있다. 지난 1995년에는 이 섬의 화도마을과  비금도의 수대마을 사이에 연도교가 놓임으로써 두 섬을 왕래하기가 훨씬 수월해졌다.* 섬구성 : 본섬1* 면적 : 53.81k㎡(부속섬 포함 면적)",신안군
6,둔장해변,전라남도 신안군 자은면 둔장길 47-45,126.0581922,34.9158673,http://tong.visitkorea.or.kr/cms/resource/57/2742457_image2_1.jpg,"국내에서 열두 번째로 큰 섬인 자은도에는 해수욕장만 무려 9개가 있는데, 그중에서도 바람이 세기로 유명해 윈드 비치(Wind Beach)라고도 불리는 둔장해변은 국토해양부가 선정한 ＂해안누리길 5선＂에 들어갈 만큼 아름다운 해변과 멋진 일몰이 유명한 곳이다. 둔장해변은 한운리 둔장마을과 송산리 두모마을에 걸쳐 있으며, 길이 2,980m, 직선거리 2.8Km이다. 자은면에서 가장 넓은 해수욕장으로 뒤편의 소나무 숲 사이로 산책로와 공원이 조성되어 있으며, 대합 등 어패류가 풍부하고 할미섬과 두리도의 절경이 뛰어나다. ＂무한의 다리＂가 있는 둔장해변은 자은도 천도천색길(해사랑길) 중 1코스 해넘이길을 걷는 코스로 아름다운 일몰을 감상할 수 있다.",신안군
7,띠밭넘어해변,전라남도 신안군 도초면 우이도리,125.8426931,34.62353847,http://tong.visitkorea.or.kr/cms/resource/29/1826929_image2_1.jpg,"호젓하게 야영을 즐기고 싶은 사람들에게 이곳의 띠밭은 천혜의 야영지. 50m 정도 떨어진 계곡에서 식수를 구할 수 있다. 소의 귀 모양을 닮은 우이도. 우이도는 어미소와 송아지들이 모래 해변에서 한가로이 일광욕을 즐기고, 천리향이 가득한 한없이 한가로운 섬이다.우이도는 외지 사람이 잘 찾지 않아 관광객을 위한 편의시설이 부족한 편이다. 그러나 오히려 이 때문에 인위와 가식이 전혀없는 섬으로 남아있다. 오랜 풍화작용으로 모래가 80m 정도 높이로 쌓이면서 만들어진  모래산과 그 양쪽으로 우거져 있는 솔숲은 우리나라에서 보기 드문 광경이다.작품사진을 찍기 위한 사진작가들이 많이 찾는 촬영장소로 유명하다. 인적이 거의 없는데다가 계곡이 인근에 있어 호젓한 야영을 즐기기에  손색이 없는 띠밭넘어해수욕장과 모래사장을 뒤덮을 정도로 많은 게들이 바다에서 이동하는 모습을  흔하게 볼 수 있는 돈목해수욕장을 비롯하여 우이도 남쪽 해안으로는 이름도 없는 소규모 해수욕장들이 몇 개 있다. 개펄이 그다지 질퍽하지 않아 누구나 쉽게 펄 속에 있는 조개를 잡을 수 있으며, 해안 어디에서나 갯바위낚시가 가능하다. ",신안군
8,만재도,전라남도 신안군 흑산면 만재도길 36-8,125.4684246,34.2085348,http://tong.visitkorea.or.kr/cms/resource/21/2824121_image2_1.jpg,"원래는 진도군 조도면에서 1983년 신안군 흑산면에 속하였다. 1700년경 평택 임 씨 
임충재가 진도에서 이주해와 마을이 형성되었으며, 그 후 김해 김 씨가 들어왔다고 전한다. 재물을 가득 실은 섬 또는 해가 지면 고기가 많이 잡힌다 하여 만재도라 하였다 한다. 돔 낚시터로 유명하며 김, 미역, 톳 등 각종 해조류와 우럭, 장어, 전복, 홍합 등이 많이 난다. 해조류 채취로 놓은 소득을 올리고 있다. 최근 방영되었던 tvN의 <삼시세끼> 촬영지로도 유명하다.",신안군
9,무한의다리,전라남도 신안군 자은면,126.061264,34.91931418,http://tong.visitkorea.or.kr/cms/resource/25/2649825_image2_1.jpg,"무한의다리는 자은도 둔장해변 앞에 놓인 인도교로, 구리도와 고도, 할미도를 차례로 연결한다. 총 길이 1004m에 폭 2m로, 푸른 바다를 가득 안고 걷다가 무인도를 돌아본다. 이름에 섬과 섬을 다리로 연결한다는 연속성과 끝없는 발전을 희망하는 마음을 담았다.",신안군
