,title,addr1,mapx,mapy,firstimage,overview,addr2
0,거문도 등대,전라남도 여수시 거문도등대길 299 항로표지관리소,127.3219613,34.00843141,http://tong.visitkorea.or.kr/cms/resource/10/1954910_image2_1.jpg,"거문도는 옛날에 삼도, 삼산도, 거마도 등으로 불리어 졌으나 영국의 거문도 점령에 항의하기 위해 중국 청나라 제독 정여창이 거문도를 방문하여 이 섬에 학문이 뛰어난 사람이 많은 것을 보고 문장가들이 많다는 의미인 ‘거문(巨文)’으로 개칭하도록 우리나라에 권유해 그 때부터 ‘거문도’로 이름지어졌다 한다.
거문도등대는 남해안 최초의 등대로써 1905년 4월 12일 세워진 뒤 지난 100년 동안 남해안의 뱃길을 밝혀왔다. 거문도 등탑은 높이 6.4m의 원형백색으로 연와, 석 및 콘크리트 혼합구조물이다. 등명기는 3등대형으로 유리를 가공한 프리즘렌즈를 사용하였으며, 수은통에 등명기를 띄우고 중추로 회전시켜 15초 간격으로 불빛을 밝혀 약 42km 거리에서도 볼 수 있게 설치되었다. 노후된 시설을 대신하여 33m 높이의 새로운 등탑이 신축되면서 2006년 1월부터 선박의 길잡이로서 역할을 하고 있으며, 100년 동안 사용한 기존 등탑은 등탑 외벽과 중추식 회전장치 등을 보수하여 해양유물로 보존하고 있다.
거문도는 섬 일대가 다도해 해상국립공원에 속해있는 곳으로 해마다 많은 관광객이 찾고 있으며 거문도등대는 거문도를 찾는 관광객이 여행하는 필수 코스이다. 여객선 선착장이 있는 거문리에서 등대까지 걸어서 약 1시간 남짓 걸리는데 삼호교를 거쳐 유림해수욕장을 벗어나면 물이 넘나드는 ""무넘이""를 지나게 된다. 여기서부터는 바다의 기암절벽을 낀 1.2km 거리의 산책로가 펼쳐지며 길 양쪽으로 길게 들어선 동백나무 숲길을 걷다보면 세상 모든 상념을 떨쳐 버릴 수 있을 것이다. 등대 절벽 끝에는 관광객들이 바다 경치를 마음껏 즐길 수 있는 관백정이 있다.

* 최초점등일 - 1905년 4월 10일
* 구조 - 백육각형 콘크리트(33m)
* 등질 - 섬백광 15초 1섬광(FlW15s)
* 특징 - 우리나라에서 붉은 벽돌로 건립된 최초의 등대로 100년전에 설치된 3등급 회전식 대형 등명기는 남해중부연안을 운항하는 선박의 지표가 되고 있다.",여수시
1,거문도(유림)해수욕장,전라남도 여수시 삼산면 거문도등대길 56,127.3039792,34.01982707,http://tong.visitkorea.or.kr/cms/resource/91/2664391_image2_1.jpg,"삼산면 덕촌리에 소재한 유림해수욕장은 거문도의 서도에 위치하고 있기 때문에 붐비지 않는 조용한 분위기와 자그마한 해수욕장이다. 해변 길이는 200~300m이고 폭은 20m로 규모가 작다. 수심이 얕고 고운 황금빛 모래와 따뜻한 수온으로 인해 해수욕하기 좋다. 인근 거문도 등대 절벽 위에서 보는 망망대해 쪽빛바다와 해돋이, 해넘이는 장엄하기까지 하다. 해수욕장에서 목넘어재-보로봉-신선바위로 이어지는 동백숲 등산도 일품이다. 인근에 수월산(127.9m)과 갯바위 낚시터가 있다.또한 거문항에서 유람선을 타고 억만년 세월속에 자연이 잉태한 조각의 섬, 천상의 섬, 환상의 섬인 백도의 비경도 감상할 수 있고, 주변 곳곳에서 갯바위 낚시를 즐길 수 있다. 아무리 일기가 나빠도 낚시가 가능한 서도의 유명한 갯바위 낚시를 즐겨 보는것도 좋을듯 하다. 서도의 보로봉이 감싸 안은듯이 형성되어 있는 유림 해수욕장은 안노루섬과 밖노루섬이 모두 보이는 곳에 위치해 풍광이 매우 아름답고, 샤워장과 화장실 등의 편의 시설도 잘 갖추고 있어 이용하는데 불편함이 없다. 이 곳의 동백꽃, 유채꽃과 해녀들이 어우러진 풍경은 부드러운 해안선에 아름다움을 더해주고 있다. 여수에서 거문도행 쾌속선을 이용하여 약 2시간정도 소요 되며, 인근 섬을 들러 거문도까지 갈수 있다.",여수시
2,고소동 천사벽화마을,전라남도 여수시 종화동,127.74059,34.73835712,http://tong.visitkorea.or.kr/cms/resource/77/2601677_image2_1.jpg," 고소동 벽화마을은 여수에서 가장 오래된 자연부락으로, 언덕에 자리해 바다와 돌산대교, 거북선대교가 한눈에 들어온다. 임진왜란 당시에는 충무공 이순신 장군이 작전을 세우고 명령을 내리던 역사적인 곳이기도 하다. 2012 여수엑스포를 계기로 여수시와 고소동 주민들이 힘을 합쳐 담벼락에 벽화를 채우고 지리적 이점을 활용해 관광명소화 했다.  진남관부터 고소동 언덕을 지나 여수해양공원에 이르는 길이가 1004m라서 천사벽화골목이라고도 불린다. 골목은 7개 구간으로 나누어 여수엑스포 주제인 ‘해양’에 관련된 이야기를 비롯해 여수지역 역사와 문화, 풍경 그리고 이순신 장군과 수군들에 관한 그림 등을 벽화에 담았다. 전망 쉼터가 있으니 잠시 앉아 숨을 고르기 좋다. 마을 안에 자리한 충무공 대첩비각도 놓칠 수 없는 볼거리이다.  이곳에는 이순신 장군의 전적을 기린 좌수영대첩비(통제이공 수군대첩비·보물)와 장군의 덕을 추모하는 타루비(보물)가 있다. 벽화골목이 끝나는 곳에는 여수해양공원이 있다. 여수 시민이 주말 나들이 장소로 즐겨 찾는 이곳은 밤에 특히 아름답다.",여수시
3,국동항,전라남도 여수시 어항단지로 116,127.7213781,34.72636091,http://tong.visitkorea.or.kr/cms/resource/71/2787571_image2_1.jpg,"국동항은 국동에 있는 어항으로 여러 섬들이 파도와 바람을 막아줌으로써 천혜의 어항 조건을 갖추고 있다. 이곳은 선박의 접안과 수산물 위판 등은 물론 대표적인 여수의 해산물 집산지이며 지역발전의 핵심적인 역할을 하고 있다. 1979년 1월 국가어항으로 지정되었다.  또한 어항 주변에 수산물 가공공장과 선박 수리업체 등이 밀집해 있으며, 제빙, 냉동, 냉장시설 등이 있어 복합적인 어항의 면모를 갖추고 있어 2013년 1월 다기능 어항으로 거듭났다. 국동항 인근 봉산동에는 국동항 수변공원이 있는데 조용하고 한적해 여수 시민들이 즐겨 찾는 곳 중 하나다. 야자나무와 푸르른 잔디, 잠시 앉아 쉬어 갈 수 있는 의자도 많이 있어 산책하기에 좋다. 공원의 끝엔 넓고 푸른 바다가 있어 시원한 바람을 맞으며 여수 바다를 즐길 수 있으며 바닷가엔 여수시에서 허가를 받은 푸드트럭들이 있어 잠시 허기를 달랠 수도 있다.",여수시
4,국동항수변공원,전라남도 여수시 봉산동 100-40,127.7250111,34.72783858,http://tong.visitkorea.or.kr/cms/resource/35/2796535_image2_1.jpg,"아름다운 노을과 낚시로 유명한 국동항 수변공원은 여수시 봉산도, 여수수협 위판장과 대형마트 사이에 있는 수변공원이다. 돌산대교와 경도가 한눈에 조망되는 전망 명소이기도 하며, 해 질 녘 바다가 황홀한 풍경을 연출한다. 국동항 수변공원에서는 낚시 초보자들도 별 준비 없이 가볍게 낚시를 즐길 수 있어 관광객은 물론 시민들이 많이 찾는 도심형 낚시터이다. 일상에 지칠 때 바닷바람을 쐬면서 노을도 바라보고 낚시도 즐길 수 있는 도심 속 힐링 공간이다. 잔디광장, 야외공연장, 그늘 쉼터, 벤치, 화강암 돌의자 등 바다 조망권을 극대화한 휴식 공간이 조성되어 있어 가족과 함께하기 좋은 곳이다.",여수시
5,금오도,전라남도 여수시 남면,127.7494836,34.52259251,http://tong.visitkorea.or.kr/cms/resource/64/1622264_image2_1.jpg,"다도해해상국립공원 지역으로 마치 큰 자라를 닮았다고 하여 금오도라 부르며, 설화와 전설, 민요와 민속놀이 등이 다양하게 전해져 오고 있다. 숲이 울창하고 특히 국할나무와 산삼이 많이 분포되어 있으며, 조선시대에는 왕실에서 민간인의 입주를 금지시키고 사슴을 수렵하기도 했던 곳이다. 우리나라 최대의 감성돔 산란처 중의 한 곳으로도 유명하며 낚시원터로 강성돔 외에도 참돔, 돌돔 등이 많이 나서 낚시애호가들에게 각광 받고 있다. 노랑때까치, 수리부엉이 외 육지의 희귀조류 35종이 자생하고 있어 동물의 낙원으로도 불리워진다.",여수시
6,낭도해변,전라남도 여수시 화정면 낭도리,127.5407221,34.59956921,http://tong.visitkorea.or.kr/cms/resource/96/2931096_image2_1.jpg,"낭도해변은 여수의 아름다운 섬, 낭도의 남쪽에 있는 작은 해변이다. 낭도는 여수 화양면 장수리와 고흥 영남면 우천리를 잇는 5개의 연륙, 연도교가 개통되면서 육지와 연결되었다. 덕분에 교통편이 편리해 차를 타고 여행하기에 좋다. 낭도 해변은 특히, 바다낚시가 유명해 여름이면 제철 농어를 만나고자 많은 관광객과 낚시꾼들이 찾는다. 또한, 잘 알려지지 않았지만, 얕은 수심과 맑은 물을 자랑해 해수욕을 즐기기에 제격이다. 모래사장 뒤로 펼쳐진 잔디에서는 텐트를 치고 가볍게 차박이나 나들이하기에도 좋다. 맞은편에는 고흥의 팔영산이 보여 경치가 좋으며, 저녁에는 일몰이 아름다워 조용하게 휴식하고 싶은 사람들에게 추천하는 숨은 명소다.
※반려동물 동반 가능",여수시
7,낭만포차,전라남도 여수시 하멜로 102,127.7495171,34.73658525,http://tong.visitkorea.or.kr/cms/resource/37/2647837_image2_1.bmp,"계절음식을 비롯해서 이색 음식까지 다양한 음식을 맛보여 여수야경과 공연을 함께 즐길 수 있는 곳이다. 현재 18개 동의 포차가 운영되고 있다.판매품목 : 회, 해물탕, 해물찜, 해물삼합 등",여수시
8,돌산 평사리 고니도래지,전라남도 여수시 돌산읍 안굴전길,127.774177,34.69852049,http://tong.visitkorea.or.kr/cms/resource/95/193395_image2_1.jpg,"굴 양식장으로 이름난  돌산도의 굴전해안은 해마다 찬바람이 불기 시작하는 늦가을이면 고니떼가 날아든다. 흔히 '백조(白鳥)'로 불리는 고니는 순백의 우아한 자태와  힘찬 날개짓이 매우 아름다운 겨울철새이다. 더욱이 개체수가 많지 않아서 지난 1979년에 전라남도 기념물로 지정되었다. 우리나라에 날아드는 고니류는 세종류 있는데,  돌산도의 무술목과 굴전리에서 볼 수 있는 것은 대부분 큰고니이다. 매년 늦가을에 50-150여 마리의 고니가 찾아들어 이듬해 2월 말이나 3월 초순 북녘을 향해 떠날 때까지 굴전해안에 머무른다.",여수시
9,돌산공원,전라남도 여수시 돌산읍 우두리 산 1,127.7415235,34.73059689,http://tong.visitkorea.or.kr/cms/resource/19/2653419_image2_1.jpg,"돌산공원은 돌산대교와 마주보는 자리에 위치하고 하고 있으며 87,000여평의 부지에 1987년 조성되었다. 공원에는 2004년 sbs아침드라마 ‘선택’ 세트 촬영장이 설치되어 많은 관광객들이 관람하고 있으며, 세트장의 일부를 전통찻집으로 개조하여 돌산대교를 바라보며 차를 마시는 풍경이 일품이다. 공원의 뷰포인트에서 바라보는 돌산대교 머리위로 지는 해넘이와 돌산대교 야경, 그리고 여수시 중앙동과 종화동을 아우르는 해양공원의 야경, 장군도 야경 등을  바라보는 경치 또한 장관이다. 중앙부지에는 1994년 삼여통합과 관련된 각종 자료가 타임캡슐 안에 보관되어 100년 후에 공개할 예정이다.",여수시
