,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가마미해수욕장,전라남도 영광군 홍농읍 가마미로 355,126.409077,35.39972939,http://tong.visitkorea.or.kr/cms/resource/54/189654_image2_1.jpg,"영광읍 서쪽 24km 거리에 위치한 해수욕장으로 본격적으로 개장된 것은 1925년의 일이다.  길이 1km, 폭 200m의 백사장이 반달 모양으로 드리워져 있으며, 200여 그루의 울창한 소나무숲이 길게 펼쳐져 있어 아늑한 분위기를 자아낸다. 수심은 1~2m에 불과하고 물이 깨끗해서 호남 3대 해수욕장의 하나로 꼽힌다. 해수욕장의 앞쪽으로는 숱한 섬들이 올망졸망 떠 있고, 그 바다 위로 한가로이 항해하는  어선들의 모습은 평화롭기 그지 없다. 또한 칠산바다를 붉게 물들이는 이 곳의 서해낙조는 동해일출과는 사뭇 다른 운치를 안겨준다. 해수욕장 근처에는 뛰어난 해안 풍광을 자랑하는 백수해안관광도로, 바다낚시터로 유명한 돔배섬, 크기와 모양이 비슷한 섬 7개가  일자형으로 수평선 위에 떠 있는 칠산도가 있다.",영광군
1,계마항,전라남도 영광군 홍농읍 계마리,126.4068274,35.39296901,http://tong.visitkorea.or.kr/cms/resource/42/2719842_image2_1.jpg,"굴비의 본고장 법성포에서 북서쪽 해안으로 9km를 달리면 계마항과 가마미해변에 닿는다. 해안도로에서 내려다보이는 계마항은 빨간 등대와 하얀 등대, 그리고 고깃배들이 그림엽서처럼 아름답게 바라다  보이는 항구이고 바로 옆의 가마미 해변은 굴캐기를 즐길 수 있는 겨울바다이다. 가마미로 가려면 법성포를 지나야 한다. 도로를 따라 늘어선 굴비가게 앞에는 줄줄이 엮인 굴비들을 볼 수 있다.  굴비를 구입하기 전, 진짜 굴비와 그리고 이와 비슷한 부세의 구별법을 미리 알면 좋다. 굴비의 이마를 손가락으로 눌러서 다이아몬드형 굴곡이 생겨야만 진짜 조기이다. 부세는 꼬리지느러미와  몸통을 잇는 부분에 살이 적은 반면 조기는 살이 많다. 

법성포를 지나 계마항에서 남서쪽 방향을 바라보면 작은 섬 여섯개가 옹기종기 모여있는 모습이 눈에 들어온다. 이 작은 섬들을 일산도, 이산도, 삼산도, 사산도, 오산도, 육산도, 그리고 육산도 앞의 아주 작은여를 합해 칠산도라고 부른다.
 칠산 앞바다의 칠산은 이 일곱 섬을 가리키는 것으로,  일제 때는 여기서 잡히는 고급어종을 법성포를 통해 일본으로 실어 날랐을 만큼 황금어장이다.
 법성포에서 가마미해수욕장까지의 해안길은 드라이브코스로 인기를 끈다. 계마항은 가마미 해수욕장으로 가기 전 5백m 거리에 있다. 
 가마미와 계마 라는 지명은 예전 이 곳에 유배왔던 선비들과 연관이 있는데 가마미의 '가'는 멍에 '가'자라고 한다.' 마'는 말을 뜻하며 '미'는 꼬리이다. 이곳 해수욕장과 포구의 배경이 되고 있는 산의 지형이 꼭 멍에를 쓴 말의 꼬리처럼 생겼다는데서 가마미라는 지명이 생겨났다.


계마항에서는 인근의 송이도, 안마도를 운항하는 여객선이 오가고 50여척의 고깃배가 기항한다. 긴 방파제는 칠산 앞바다와 동중국해로 고기잡이 나가는 큰 배들을 접안시키기 위해서 만들어졌다. 계마항이 사람들로 북적거릴때는 3월부터 10월 사이로, 인근의 섬들이 모두
 바다낚시 하기에 좋은 곳이라  많은 낚시꾼들이 몰린다. 계마항 방파제와 계마항이 내려다보이는 언덕길은 낙조를 감상하기에 더 없이 좋다. 쥐섬, 괭이섬을 걸고 바라보는 석양 낙조는 아름답기 그지없다.
 여름철이면 해수욕장으로 각광받는 가마미해변에, 겨울철에는 남쪽 바위지대에서 마을 사람들이 굴을 캐는 모습을 종종 볼 수 있다. 썰물에 맞춰 삼삼오오 모여 들고 일반여행자들도 재미삼아 굴 캐기에 나선다.  굴을 캐기 위한 도구는 주변에서 팔지 않으므로 미리 준비해야 한다. 
 가마미해변 주차장 옆에는 노송 군락지가 있어 여름철에는 텐트촌으로 이용된다. 
 해변 앞에는 자그마한 돌섬이 떠 있고 북쪽에는 방파제도 들어서 있어 해변의 물결은 늘 잔잔한 편이다.",영광군
2,기독교인 순교지,전라남도 영광군 염산면 향화로5길 34-30,126.3767928,35.2123001,http://tong.visitkorea.or.kr/cms/resource/70/194970_image2_1.jpg,"6.25 당시 북한군의 교회 탄압에 항거하며 신앙을 지키려다 많은 신자들이 순교(염산교회:77명, 야월교회: 65명)한 곳이다. 여기에 이르면 이름없이 사라져간 순교자들의 깊은 신앙심에 숙연해지기까지 한다.",영광군
3,내산서원,전라남도 영광군 불갑면 강항로 101,126.5172248,35.21318566,http://tong.visitkorea.or.kr/cms/resource/44/1954544_image2_1.jpg,"1977년 10월 20일 전라남도 기념물로 지정되었다. 1635년(인조 13)에 용계사(龍溪祠)라는 이름을 사액 받고, 1702년(숙종 28)에 중수하였다. 그 후 흥선대원군의 서원철폐령으로 훼철되었다가 1974년 전라남도 영광군 불갑면 쌍운리 현재의 위치로 옮겨 다시 세워졌다. 최근 들어 임진왜란 400주년 재조명사업의 일환으로 1992년부터 연차적으로 유적지 정비사업을 하였다. 낮은 야산을 배경으로 남향으로 자리잡고 있으며, 외삼문과 용계사(사당)를 중심축으로 외삼문, 내산서원, 내삼문, 사당 순으로 배치하여 전학후묘의 형식을 따랐다. 주변의 산기슭에는 강씨 문중의 무덤이 여러 개 있으며, 서원 뒤쪽으로 돌아 산을 올라가면 강항과 두 아내의 무덤이 있다. 사당은 정면 3칸, 측면 2칸에 맞배지붕으로 아담하고 소박하며, 서원은 정면 4칸, 측면 3칸에 팔작지붕이다. 외삼문은 근년에 지은 것으로 보인다. 내산서원 장서각에는《강감회요》 목판과《수은집》《운제록》《문선》《간양록》의 필사본 등이 보관되어 있다.",영광군
4,대초마을,전라남도 영광군 백수읍 대신길3길 33-7,126.4038589,35.362303,http://tong.visitkorea.or.kr/cms/resource/98/2480098_image2_1.jpg,"법성포항에서 굴비 정식으로 식사를 한 뒤 백수해안도로로 접어든다. 법성포항을 나오면서 백수 해안도로로 진입하는 길은 길 오른쪽에 있는데 이정표가 작아 잘 안 보인다. 차를 천천히 달리며 유심히 봐야 하는데 그 길을 달려 가다보면 모래미해수욕장을 지나 대초마을이 나온다. 이름 없는 백사장이 길 옆에 나란히 펼쳐져 있고  마을 안쪽에는 바다와 강이 만나는 곳이 있으며 그 위에 다리가 하나 놓여 있다. 물이 차면 다리 밑으로 배가 드나들고 물 빠지면 강 바닥이 드러난다. 강의 끝과 바다의 시작, 그 지점에서 뻘에 구멍을 파 집을 짓고 사는 칠게의 군무를 볼 수 있다.",영광군
5,모래미 해변,전라남도 영광군 백수읍 해안로 1389,126.4139525,35.36275311,http://tong.visitkorea.or.kr/cms/resource/81/2716381_image2_1.jpg,"모래미라는 이름은 한시마을의 옛날 지명이며 해수욕장 규모가 작고 해안선도 길지 않으나, 백사장의 모래가 고우며 주변의 때 묻지 않은 경치가 아름다운 곳이다.",영광군
6,묘장영당,전라남도 영광군 묘량면 동삼로1길 21,126.5474515,35.25978089,http://tong.visitkorea.or.kr/cms/resource/88/2738788_image2_1.jpg,"묘장서원 또는 영당사라고도 한다. 전라남도 영광군 묘량면 운당리 영당마을 중앙에 자리 잡고 있다. 2004년 2월 13일 전라남도문화재자료로 지정된 묘장영당은 조선 초의 개국공신인 양도공 이천우(李天祐 1354∼1417)의 영정을 봉안한 사당으로, 1616년에 건립되었다. 태종은 1416년 이천우가 퇴직할 때 그 공적을 치하하여 화공으로 하여금 이천우의 화상(畵像)과 이응도(二鷹圖)를 그리게 했는데 그것이 후에 묘장영당을 건립하게 된 계기가 되었다. 후손들이 대대로 영정을 보관하다가 이천우의 증손인 부사맹 이효상(李孝常)이 담양으로부터 영광 묘량면 영양리 당산마을로 이주·정착하면서 부조묘(不?廟)를 건립하고 영정과 함께 유품(포총교지, 이응도, 공신회맹축 등)을 보존하였다고 전한다. 이후 1616년(광해군 8) 향내 유림과 함께 뜻을 모아 현 소재지에 영당(影堂)을 세우고 영정을 이안하여 배향하였다는 기록이 1747년 간행된 <영당사기>에 전해진다.  1868년(고종 5)에 대원군의 서원 훼철령에 의해 사우는 철거되었고, 강당은 그대로 남아 서당으로서의 기능을 했으며 1919년에는 강당에 사립영신학교를 설립하여 4년 과정의 학교를 운영하였다. 그 후 1928년 후학과 향내 유림들이 사우 복원을 추진하였고, 1934년에 이르러 옛터에 사우를 중건하였다. ",영광군
7,물무산 행복숲,전라남도 영광군 영광읍 물무로 219,126.5167706,35.27037363,http://tong.visitkorea.or.kr/cms/resource/86/2825886_image2_1.jpg,"한국관광공사 비대면 관광지로 선정된 물무산 행복숲은 숲속둘레길 10km, 질퍽질퍽 맨발 황톳길 2km, 유아숲체험원, 물놀이장, 편백명상원 2개소, 소나무숲, 예술원, 가족명상원, 하늘공원, 등산로 3.5km, 운동기구가 조성되어 있는 종합산림복지숲이다. 특히 물무산 뒷편에 위치한 맨발 황톳길은 황토의 건강함과 질퍽거리는 재미를 느끼며 힐링할 수 있으며 질퍽한 황토길 0.6㎞와 마른 황톳길 1.4㎞로 구성되어 이용자의 편의에 따라 맨발로 질퍽한 길과 마른 황토 길을 선택하여 걸을 수 있다.",영광군
8,백수해안공원,전남 영광군 백수읍 백암리 223-2,126.3790287,35.32562341,http://tong.visitkorea.or.kr/cms/resource/31/2716431_image2_1.jpg,"잔디밭으로 조성된 해안산책 공원으로 해안 따라 조성된 둘레길이 있으며 노을 전망대가 언덕 위에 자리한다. 잠시 차를 세우고 힐링 타임을 가질 수 있는 아름다운 공원이다. 백수해안공원의 산책로를 따라 걷다보면 거북바위와 모자바위도 만나볼 수 있다. 백수해안공원 및 해안도로에 있는 촛대바위, 거북바위, 모자바위는 전설에 따르면 어부가 바다에 나가 돌아오지 않자 그의 부인이 아이를 등에 업고 촛대를 들고 나가 바닷가에서 남편이 돌아오길 기다리다 돌이 됐다고 한다. 바다에서 익사한 남편은 거북이가 돼 촛불을 보고 바닷가로 돌아와 돌이 됐다는 이야기가 전해진다.",영광군
9,백수해안도로,전라남도 영광군 백수읍 해안로 957,126.3960374,35.36449984,http://tong.visitkorea.or.kr/cms/resource/58/2647158_image2_1.jpg,"영광군 백수읍 길용리에서 백암리 석구미 마을까지 16.8km에 달하는 해안도로로, 기암괴석·광활한 갯벌·불타는 석양이 만나 황홀한 풍경을 연출하는 서해안의 대표적인 드라이브 코스이다.
특히 해안도로 아래 목재 데크 산책로로 조성된 3.5km의 해안 노을길은 바다 가장 가까운 곳에서 걷기와 함께 아름다운 풍경을 감상할 수 있으며, 2006년 건설교통부의 한국의 아름다운길 100선, 2011년 국토해양부의 제 1회 대한민국 자연경관대상 최우수상을 수상하는 등 각종 평가에서도 우수한 성적을 거두었다.
국내 유일의 노을전시관을 비롯하여 다양한 펜션과 음식점 등이 갖추어져 있다.",영광군
