,title,addr1,mapx,mapy,firstimage,overview,addr2
0,구고사 및 김완장군부조묘,전라남도 영암군 서호면 화소길 20,126.6042288,34.73414948,http://tong.visitkorea.or.kr/cms/resource/53/1609353_image2_1.jpg,"부조묘는 김완장군의 신위를, 구고사는 그 영정(지방유형문화재)을 모신 건물로서, 이 두건물이 모두 정면 3간, 측면 1간, 맞배지붕의 동일한 형태이다. 초창은 김완장군이 서거한 13년(1635년)이었으나, 중간에 화재를 만나 소실되고 고종 22년(1889년)에 중건하고 1979년에 경내를 확충 정화하여 현재의 형태를 이루었다.",영암군
1,도갑사,전라남도 영암군 군서면 도갑사로 306,126.6629176,34.75299277,http://tong.visitkorea.or.kr/cms/resource/53/1609453_image2_1.jpg,"신라 말기에 도선국사(道詵國師)가 창건하였으며, 조선 전기 1456년(세조 2) 수미(守眉)가 중건하였다. 도갑사 일주문을 지나 100m 가량 들어가면 국보인 해탈문이 나온다. 조선 성종 4년 (1473년)에 지어진 오래된 건물로 건축양식이 대단히 독특하다. 해탈문 좌우 앞쪽 칸에 금강역사상이 다음 칸에는 보물인 문수동자와 보현동자상이 모셔져 있다.
경내에는 대웅전과 석조 5층석탑 수미왕사비가 있고 절 100m 위 미륵전에는 보물인 석조여래좌상이 있다. 조선 세조 3년(1473년) 신미, 수미 두 왕사가 중창했던 곳으로 기록되고 있는데, 총 규모가 966간에 소속된 암자가 12개나 되었으며 상주한 승려 수가 730명에 달했던 적이 있다.그런데 임진왜란과 6.25동란을 겪으면서 많은 건물이 불타버렸다. 지금도 대웅전 뒤 천여 평의 빈터에는 주춧돌이 선명하게 군데군데 박혀 있고, 앞뜰에는 5m에 달하는 스님들이 마실 물을 담아 두는 석조의 크기가 도갑사의 옛 사세와 승려수를 말없이 전해주고 있다.* 도갑사의 또 다른 볼거리 *도갑사에 있는 문화재만으로도 볼거리가 충분하다. 하지만 도갑사 인근에도 볼거리가 있어 도갑사 여행을 더욱 즐겁게 해준다. 영암읍에서 목포 쪽으로 8km 정도 달리면 구림 사거리가 나오는데 왼쪽으로 군서장터를 지나 4km 정도 오르다 보면 도갑사에 이르는 벚나무 길이 나온다. 벚꽃 필 때와 단풍 들 때면 월출산 봉우리들과 어우러져 매우 아름답다. 길 옆 구림천계곡은 여름철에 피서객이 즐겨 찾는 곳이다. 특히 그 길목 오른편 주지봉의 산 중턱에는 백제의 왕인박사가 수학했다는 문산재가 있다. 주변에 무위사, 월출산, 성기동 국민관광지, 왕인박사 유원지가 있다.[문화재 정보]1) 도갑사 해탈문 (국보)2) 도갑사 석조여래좌상 (보물)3) 도갑사 동자상 (보물)4) 도갑사 도선수미비 (전라남도 유형문화재)5) 도갑사 석조 (전라남도 유형문화재)6) 도갑사 오층석탑 (전라남도 유형문화재)7) 도갑사 수미왕사비 (전라남도 유형문화재)8) 도갑사 석장승 (전라남도 민속자료)",영암군
2,마한문화공원,전라남도 영암군 시종면 남해당로 65,126.5854265,34.89518382,http://tong.visitkorea.or.kr/cms/resource/54/1006654_image2_1.jpg,"마한문화공원은 영산강유역에 널려있는 고대 옹관고분을 이해함으로써 영산강유역의 독자성이 가득한 고대사를 조망하기 위해 만들어졌다. 고분탐사관은 난생설화를 모티브로 하여 내부에는 옹관고분의 발굴과정, 시신의 매장형태를 모형으로 복원하였다. 야간에 조명이 켜지면 우주선 모양으로 환상적인 분위기를 자아낸다. 전시관의 외형은 옹관의 형상을 이미지화 하였으며, 내부에는 각종 영상을 상영하는 영상홀과 관리 사무실이 있다. 전망대는 공원일대는 물론 월출산과 인근의 영산강 뿐만 아니라 나주, 무안까지도 한눈에 들어온다. 마한문화공원은 장차 단순한 전시복원 공간이 아니라 각종논문과 기록을 집대성하고 데이터베이스화해 나가는 등 영산강유역의마한사를 체계적으로 정리하고 종합하는 곳으로 가꾸어갈 계획이다.",영암군
3,법흥사(영암),전라남도 영암군 금정면 연지길 121,126.7709686,34.89010136,http://tong.visitkorea.or.kr/cms/resource/37/1007137_image2_1.jpg,"* 지금은 터만 남아있는 쌍계사의 암자로 알려진, 법흥사 *법흥사는 영암군 금정면 안노리 4-2에 위치하는 대한 불교조계종 대흥사의 말사이다. 절에 관해서는 알려진 사료가 전혀 없다. 법흥사는 안노리 모정마을에서 동북쪽으로 약 300m 떨어진 해발 약 300m의 농암산(農岩山)아래 비탈에 위치하고 있는데 쌍계사지의 부속암자였다고 전해진다고 한다. 눈에 띄는 전각이나 문화재는 거의 없고, 신축한 요사채 한 동과 관음전이 전부이다.* 쌍계사의 부속암자 쌍계사지 *쌍계사는 신라시대 854년(문성왕 16)에 승려 백운(白雲)이 창건하였고 고려시대인 1065년(문종 19), 1263년(원종 4), 1368년(공민왕 17), 그리고 조선시대인 1463년(세조 9)에 각각 중수하였으나, 언제 폐사되었는지 밝혀지지 않았다. 현재 사지에는 장승과 함께 당간지주, 선돌[立石], 그리고 건물터만 남아 있다.",영암군
4,성기동국민관광지,전라남도 영암군 군서면 왕인로 440,126.6326202,34.75541145,http://tong.visitkorea.or.kr/cms/resource/76/1607976_image2_1.jpg,"* 왕인박사 유적을 만날 수 있는 곳, 성기동국민관광지 *월출산으로 대표되는 영암군은 통일신라 경덕왕 때 영암이라는 지명을 얻었다. 고인돌, 청동기시대의 마을터 등이 발견돼 이곳이 오래 전부터 살기좋은 고장이었음을 증명해준다. 또 영암의 서쪽으로는 영산강이 흐르고 있어 삼국시대부터 고려시대를 거치는 동안 영암은 줄곧 중국과 일본을 잇는 국제항구 구실도 했다. 왕인박사 역시 영암 상대포에서 일본으로 떠났다고 전해진다. 풍부한 자연 관광자원 및 역사문화 자원을 보유하고 있는 성기동 관광지는 1986년 6월 23일 국민 관광지로 지정되었다. 지구 내에는 왕인 박사 유적지와 함께 탄생지, 문산재, 양자재, 돌정고개, 상대포, 회사정 등 왕인박사 관련 관광자원이 있다. 왕인박사 유적지 왼편에 조성되어 휴식공간과 편의시설을 제공한다. 매년 4월이면 왕인 춘계대제 등 왕인문화축제와 벚꽃축제가 열린다. 한편 인근에는 국립공원 월출산의 구정봉, 천황봉, 구름다리, 칠치폭포, 천황사, 도갑사 등의 관광자원이 분포되어 있다.* 성기동국민관광지에서 만나는 왕인문화축제 *왕인박사는 1,600년 전 백제시대에 일본 응신천황의 초청으로 천자문과 논어, 도공, 야공, 직조공과 함께 도일하여 일본 학문의 시조로 아스카문화를 꽃피우게 한 선각자이다. 세계로의 이상을 실현한 왕인박사의 업적을 조명하고 숭고한 뜻을 기리고자 왕인문화축제를 열어 그를 기리고 있다. 그 축제는 우리나라제일의 100리 벚꽃이 만개한 4월, 남도 최고의 풍광을 자랑하는 국립공원 월출산 왕인박사 유적지에서 개최된다. 다양한 프로그램들이 흩날리는 벚꽃아래 국ㆍ내외 관광객과 함께 오랜 역사만큼이나 장엄하게 펼쳐진다.",영암군
5,야미야미팜,전라남도 영암군 지소길 34,126.6141092,34.70484738,http://tong.visitkorea.or.kr/cms/resource/14/2996114_image2_1.jpg,"남도 여행의 정취를 느낄 수 있는 아름다운 친환경 농법 마을에 위치한 야미야미팜을 소개한다. 야미야미팜은 영암의 황토에서 친환경으로 생산되는 멜론과 수박을 아이템으로 그동안 폐기되던 못난이 농산물을 활용한 푸드 업사이클링을 통한 애기메론 장아찌, 메론 도시락, 메론 디저트만들기의 다양한 체험 뿐 아니라 맑고 깨끗한 1급수가 흐르는 마을에서 체험할 수 있는 재미난 프로그램들도 개발 중이다.  농촌체험의 진수를 느껴볼 수 있는 야미야미팜의 체험은 5월말부터 10월까지 가능하다.",영암군
6,영보정,전라남도 영암군 덕진면 영보정길 10-8,126.7325874,34.82984362,http://tong.visitkorea.or.kr/cms/resource/41/1007441_image2_1.jpg,"* 연촌 최덕지 선생이 지은 정자, 영보정 *영보정은 연촌 최덕지(1384∼1455) 선생이 관직을 떠난 후 영암의 영보촌에 내려가 학문 연구에 몰두하면서 사위 신후경과 함께 지은 정자이다. 15세기 중반에 창건되었으나 정확한 연대는 알 수 없으며, 당시의 규모도 명확하지 않다. 처음 있던 정자는 황폐화되어서 최정과 신천익(1592∼1661)이 지금 있는 자리로 옮겨지었다.입구에 들어서면 넓은 뜰이 잘 정리되어 있으며 전면에 영보정이 있다. 정자는 앞면 5칸·옆면 3칸 규모이며, 지붕은 옆면에서 볼 때 여덟 팔(八)자 모양인 팔작지붕이다. 네 귀에는 추녀를 찰주로 받치고 있다. 현판은 석봉(石峰) 한호(韓濩)의 친필이라고 전한다.최덕지 선생은 조선 전기 문신으로 학식이 높고 행동이 단정하여 사람들로부터 존경을 받았으며, 많은 저서를 남겼으나 불타버려서 한 권만 남아 있고 여러 현인들의 논설만 전하고 있다.* 항일구국정신이 녹아있는 영보정 *영보정은 일제강점기 때 청소년들에게 항일구국정신을 교육한 장소로 역사적 의미가 크다. 일제강점기인 1921년에는 이곳에 영보학원을 설립하여 청소년들에게 항일구국정신을 배양시켰다. 영암지역 청년들의 항일투쟁활동으로 꼽히는 1931년의 형제봉만세운동도 영보학원을 중심으로 졸업생과 청년 회원들이 주축이 되어 일어난 것이다. 지금도 해마다 음력 5월 5일 단옷날에 이곳에서 마을축제 풍향제(豊鄕祭)가 열린다.",영암군
7,영암 영보마을,전라남도 영암군 덕진면 백룡로 418,126.7316097,34.82885205,http://tong.visitkorea.or.kr/cms/resource/67/2516467_image2_1.jpg,"영보마을은 전형적인 남도 전통가옥마을이다. 마을 뒤편으로 형제봉이 병풍처럼 서있고, 제2의 금강산으로 일컬어지는 월출산을 마주하고 있다. 형제봉과 월출산 중간에 놓인 벌판의 모습은 마치 전쟁을 치루기 위해 산들이 양편으로 갈라져 대치하고 있는 듯한 느낌을 준다. 월출산의 화살바람이 불어오면 응수라도 하듯 맞바람이 불어 한여름에도 서늘하다. 이러한 지형적 특색으로 인해 주변 경관이 아름답다. 영보마을에는 19세기 말에 지어진 전형적인 남도지방의 전통가옥이 즐비하다. 안채, 사랑채, 헛간채, 문간채와 사랑마당까지 고스란히 보존되고 있는 최성호가호는 물론 보물 최덕지 영정 및 유지초본과 보물 영보정 등 귀중민속자료들이 살아 숨쉬는 자리이다. 또한, 여러 편의 영화의 주무대가 되기도 했던 영보마을은 대나무숲이 자랑거리이기도 하다.영보마을은 마을 입구의 방문자센터와 마을의 몇몇 농가에서 하룻밤을 보내며 다양한 농촌 체험을 할 수 있는 곳이다. 철 따라 다양한 재료를 사용할 수 있는 천연염색을 시작으로 이웃 신덕정마을, 청용리마을과 함께 도자기 체험도 할 수 있다. 또한 전통놀이 체험 등 다른 프로그램도 있어 가족이 함께 즐거운 시간을 보낼 수 있다.",영암군
8,영암 왕인박사마을,전라남도 영암군 군서면 구림로 43-14,126.6255623,34.76389649,http://tong.visitkorea.or.kr/cms/resource/18/1005718_image2_1.jpg,"남한의 금강 국립공원 월출산 자락에 위치한 영암왕인박사 권역은 2200년의 역사를 가진 마을로 일본에 한자와 유학을 전한 왕인박사와 풍수지리설의 시조인 도선 국사 탄생지이며 전통기와집과 오래된 정자들, 정겨운 흙담 등 마을 전체가 살아있는 박물관과도 같다. 권역 내 구림마을에는 450여 년 동안 구림대동계가 존속되어 오고 있고 마을중심에 자리한 시유도기의 발상지 영암도기문화센터에는 다양한 전시관광 체험공방이 있어 관광객이 직접 교육을 병행한 도예체험을 할 수 있다. 남도관광의 명소인 이곳 영암 왕인박사 권역에서는 주민들(왕인촌)이 다양한 체험프로그램들을 운영하고 있으며 100여 채의 한옥 민박집마다 독특한 개별체험프로그램이 있어 여느 체험마을과는 사뭇 다르다. 월출산국립공원과 왕인박사유적지, 도기문화센터 등 주변관광지와 왕인촌 주민자치회가 네트워크화되어 전통 및 향토문화 웰빙 체험프로그램을 제공하는 것이 이 마을의 가장 큰 특징이며 우리나라 체험관광 문화를 선도해 나가는 마을로 손꼽을 만하다.<출처 : 영남 왕인박사마을>",영암군
9,영암 장천리 선사주거지,전라남도 영암군 서호면 선사주거로 308,126.5837246,34.75120278,http://tong.visitkorea.or.kr/cms/resource/65/2516765_image2_1.jpg,"* 선사시대의 집터, 영암 장천리 선사주거지 *장천리 선사 주거지는 서호면 면소재지에서 동남쪽으로 약500m 떨어진 장천리 괴음마을 앞 도로변에 자리하고 있다. 1984년 목포대학교 박물관에서 실시한 발굴조사를 통해 움집터 11기, 굴립주건물 1기, 고인돌 4기가 조사되었다.주거지의 평면형태는 원형내지 지름 4.3∼5.2m의 움집터로 형태는 원형 내지 타원형을 이루고 있다. 깊이는 20~30cm 정도로 삭평이 심한 편이다. 바닥은 점토를 깔거나 단단하게 다진 흔적이 있으며, 다른 송국리형 집터와는 달리 집터 시이의 중복도 심한 편이다. 화로터나 출입구가 없는 것이 특색이다. 굴립주건물은 1칸 ·3칸 규모이나 긴변의 칸 사이에는 보조기둥을 설치하고 있다.* 장천리 선사주거지의 출토 유물 * 집터에서 출토된 유물로는 항아리형, 사발형의 민무늬 토기, 갈돌, 화살촉, 삼각형돌칼, 가락바퀴, 턱자귀, 끌대패날 등의 석기류가 있다. 이들 출토유물과 움집터는 한반도 서남부지역에서만 보이는 특징을 가진 것으로 독특한 문화를 이루었던 청동기 시대의 집자리이다.",영암군
