,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가사동백숲해변,전라남도 완도군 약산면 해동리,126.9277953,34.36983735,http://tong.visitkorea.or.kr/cms/resource/52/2825152_image2_1.JPG,"약산면의 남쪽 끝자락에 위치한 가사동백숲해변은 수백 년 된 동백나무 수 백 그루와 후박나무, 잿밤나무가 해수욕장을 둥글게 감싸고 있고 규모가 아담하여 물놀이도 하고 삼림욕도 즐길 수가 있다. 원래 이름은 가사해수욕장이였으나 가사동백숲해변으로 명칭이 변경되었다. 3월이면 일제히 피어나는 동백꽃들이 바다를 붉게 물들인다고 한다.",완도군
1,가학산,전남 완도군 소안면 미라리,126.6593101,34.15221835,http://tong.visitkorea.or.kr/cms/resource/75/786375_image2_1.jpg,"해발 355m의 고봉으로 4시간 정도의 등산을 즐길 수 있으며 등산시 다도해 경관을 조망할 수 있어 등산객들의 많은 호평을 받고 있다. 또한 정상에 오르면 동으로는 청산도 및 거문도, 서로는 보길도 격자봉과 추자도, 남으로는 제주 한라산, 북으로는 완도 상왕과 해남 등 다도해의 빼어난 경관을 조망할 수 있다.",완도군
2,고금도,전라남도 완도군 고금면 신장길 31-8,126.8246284,34.40625101,http://tong.visitkorea.or.kr/cms/resource/36/2752436_image2_1.JPG,"고금도는 완도군에서 두 번째로 큰 섬이다. 2007년 강진군과 고금도를 잇는 고금대교의 개통으로, 배로 40분인 거리를 자동차로 5분 만에 다닐 수 있게 되면서 주민들의 삶의 질도 크게 향상되었다. 2017년 장보고대교가 건설되면서 뛰어난 관광자원을 잘 활용한 축제나 행사 등을 활발하게 진행할 수 있게 되었다. 청동기시대를 대표하는 무덤 유적인 완도 고금도 지석묘군(전라남도 기념물)이 있는 고인돌 공원, 목조 관음보살 좌상(전라남도 유형문화재)이 있는 수향사, 우수영전진도첩도(전라남도 문화재자료), 고금도와 붙어있는 완도 묘당도 이충무공 유적(사적) 등 뛰어난 문화재들이 많다. 해산물이 유명할 뿐만 아니라 따뜻한 해양성 기후와 해풍, 풍부한 일조량을 받고 자라 향기와 빛깔이 좋고 맛도 뛰어난 고금의 대표 특산물인 유자 등 먹거리도 풍부하다.",완도군
3,금곡해수욕장,전라남도 완도군 생일면 금곡리,126.9625659,34.31219992,http://tong.visitkorea.or.kr/cms/resource/10/2516110_image2_1.jpg,"금곡해수욕장은 최근까지 전혀 알려지지 않았던 해수욕장으로 면 소재지인 유촌리와 해수욕장 간 도로가 개통됨으로써 빛을 보기 시작했다. 이곳은 조개껍데기가 부서져 쌓인 곳으로 백사장을 거닐면 스펀지 위를 걷는 느낌이 들 정도로 포근하다. 폭 100m, 길이 1.2㎞로 후박과 잣밤, 동백나무 등 상록수림이 울창하고, 조용하고 깨끗해 가족단위 피서지로 적합하다. 인근에 생일도, 학서암, 당목항 등의 관광지가 있다.",완도군
4,노화 북고어촌체험마을,전라남도 완도군 노화읍 북고길 82,126.5662276,34.22715291,http://tong.visitkorea.or.kr/cms/resource/86/2516386_image2_1.jpg,"노화 북고리에 있는 전복체험마을은 2009년 10월 전복산업특구로 지정되었으며, 관광객들에게 다양한 체험프로그램 운영과 전복 공동직판장을 운영하고 있다.",완도군
5,당목항,전라남도 완도군 약산면 당목길 135,126.946674,34.37820339,http://tong.visitkorea.or.kr/cms/resource/46/2752646_image2_1.JPG,"완도군 약산면에 위치한 당목항은 금일도와 생일도를 연결하는 여객선이 운항하는 곳이다. 바다 위를 떠다니는 배들이 연출하는 풍경이 아름답기로 유명하다. 과거에는 열악한 기반 시설 등으로 어업활동이나 관광에 애로사항이 있었다. 하지만 2021년 9월 국가 어항으로 지정되면서 남해권 수산 거점이자 금일도와 평일도를 잇는 해상 교통·관광 거점 어항으로 개발되어 어항 현대화가 이뤄질 전망이다. 당목항 주변에서 전복, 멸치, 미역, 다시마 등 양식업이 활발하고, 수산자원이 풍부한 청정해역을 끼고 있어 수산물 유통의 거점이 될 것으로 보인다.",완도군
6,동고리해수욕장,전라남도 완도군 신지면 신지로 1259-1,126.8799032,34.3297827,http://tong.visitkorea.or.kr/cms/resource/19/2723519_image2_1.jpg,완도의 대부분 마을들은 바닷가를 끼고 있어 방풍림이 조성되어 있는데 동고리해수욕장 역시 수백 년 된 해송 300여 그루가 마을 앞에 방풍림으로 아름다운 풍경을 뽐내는 곳이다. 명사십리해수욕장의 명성에 가려 별로 알려지지 않았지만 조용함을 찾는 관광객은 이곳을 많이 찾는다. 해수욕장 앞 진섬(長島)이나 구멍섬(穴島)은 낚시터로 널리 알려져 있으며 인근 울모래마을에서 다양한 어촌체험을 즐길 수 있다.,완도군
7,동천석실,전라남도 완도군 보길면,126.5458228,34.15396076,http://tong.visitkorea.or.kr/cms/resource/08/214508_image2_1.jpg,"동천석실은 주자학에서 신선이 산다는 선계세상으로 부용동을 한눈에 굽어 볼수 있으며 낙서재의 정면에 바라보이는 산자락에 있다. 3,306m²(1,000여평)의 공간에 한칸 정자와 석문, 석담, 석천, 석폭, 석전을 조성하고 차를 마시며 시를 지었던 곳이다. 특히 석담에는 수련을 심고 못을 둘로 나누어 물이 드나들 수 있도록 인공적으로 구멍을 파고 다리를 만들어 '희황교'라 칭하였다. 지금도 석실앞에는 도르래를 걸었다는 용두암과 차를 끓여 마신 차바위가 남아있다.",완도군
8,망끝전망대,전라남도 완도군 보길면 정자리 산 148-6,126.5057599,34.13967837,http://tong.visitkorea.or.kr/cms/resource/10/214510_image2_1.jpg,"망끝 전망대는 보길도의 가장 서쪽인 보옥리 바로 못 미쳐 망월봉 끝자락의 돌출부에 자리한다. 전망대에 서면 오금이 저릴 정도로 천길 단애가 펼쳐진다. 끝없이 탁트인 시원한 바다와 함께 서해바다로 붉은 몸을 감추는 우리나라에서 가장 아름다운 일몰을 볼 수 있는 곳이 망끝이다. 눈앞에 펼쳐지는 추자도와 함께 옥매, 가도, 상도 등 다도해의 수많은 섬과 함께하는 일몰은 한편의 서사시다. ",완도군
9,미라리해수욕장,전남 완도군 소안면 미라리,126.6693983,34.14529707,http://tong.visitkorea.or.kr/cms/resource/36/786636_image2_1.jpg,"미라해수욕장은 아름다운 경치가 푸른 바다와 어우러져 장관을 이루고 있다고 하여 미라 8경이라고 하며, 소안면에서는 가장 아름다운 갯돌밭이 위치하고 있으며, 수심은 깊은 편이고, 주변 천연기념물인 상록수림 바다 낚시터로 유명하여 가족단위 휴양지로 손색이 없어 많은 피서객이 찾아오고 있다. ",완도군
