,title,addr1,mapx,mapy,firstimage,overview,addr2
0,국립 방장산자연휴양림,전라남도 장성군 북이면 방장로 353,126.7458042,35.44516322,http://tong.visitkorea.or.kr/cms/resource/97/2040897_image2_1.jpg,"전남 장성과 전북 고창, 정읍 경계에 솟은 방장산은 내장산 서쪽 줄기를 따라 뻗친 능선 중 가장 높이 솟은 봉우리이다. 지리산, 무등산과 함께 호남의 삼신산으로 추앙받아 왔으며 주위의 내장산, 백암산, 선운산 등의 명산을 지척에 두고 있으면서도 결코 기세가 눌리지 않은 당당함을 보이고 있다. 지리산을 달리 방장산이라고 부르는 것처럼 신이 살 듯한 신비로운 산에만 붙이는 이 이름은 청나라에 멸망한 명나라를 숭상하던 조선조의 선비들이 중국의 삼신산 중의 하나인 방장산과 비슷하다 하여 붙여진 이름이라 한다. 조선시대까지만 해도 방등산이라고 불렸으며 백제가요인 방등산가는 바로 이 산을 무대로 해서 지어진 노래이다. 먼 옛날 방등산에 숨어든 도둑의 무리들이 한 여인을 납치해갔다. 남편이 구해주기만을 애타게 기다렸으나 남편이 나타나지 않는 바람에 울다가 지쳐서 부른 노래가 방등산가라는 것이다.

이곳 방장산 중턱에는 방장산 자연휴양림이 위치하고 있다. 2000년 7월 1일 문을 연 것으로 서부지방 산림관리청(전북 남원 소재)에서 순창 회문산 자연휴양림, 무주 덕유산자연휴양림, 진안 운장산자연휴양림, 장흥 천관산자연휴양림, 함양 지리산자연휴양림, 남해 편백자연휴양림과 함께 방장산 휴양림을 관리하고 있다. 휴양림 내에는 참나무류와 소나무, 편백, 낙엽송, 리기다소나무 등이 많이 자라고 있으며, 고창 방면으로 난 임도를 따라가면 벽오봉(640m)과 고창 고개 중간의 능선에 닿는다. 이곳에서는 고창 읍내와 서해바다가 내려다보인다. 고창 고개를 지나 장성 갈재 방면으로 조금 더 가면 방장산 정상이다. 휴양림에서 정상까지는 왕복 3시간이 소요되며 석정온천으로 곧장 하산하는 산길도 나 있다. 주능선에 오르면 서해로부터 불어오는 시원한 바람을 맞이할 수 있는데 이 덕분에 패러글라이딩 동호인들이 종종 이곳을 찾기도 한다.

* 높이 - (733.6m)
* 구역면적 - 674 ha",장성군
1,국립장성숲체원,전라남도 장성군 방장로 353 방장산자연휴양림관리사무소,126.7514232,35.44408843,http://tong.visitkorea.or.kr/cms/resource/79/2553979_image2_1.JPG,"국립장성숲체원은 뛰어난 자연 입지적 조건을 갖추고 있는 방장산과 국내 최대 난대 조림성공지인 장성 치유의 숲이 있는 축령산을 기반으로 하여 고품질의 산림교육, 산림치유 서비스를 제공한다.",장성군
2,국립장성치유의숲,전라남도 장성군 서삼면 추암로 716,126.731463,35.36884663,http://tong.visitkorea.or.kr/cms/resource/38/2617838_image2_1.jpg,"전남 장성군과 전북 고창군과 경계를 이루는 명산이며 독립가였던 춘원 임종국은 1956∼1989년까지 34년간 심혈을 기울여 축령산 일대에 삼나무 62㏊, 편백 143㏊,낙엽송·기타 55㏊를 조림하여 벌거벗었던 산록을 늘 푸르게 한 전국 최대  조림성공지이다. 현재는 수고 20여m, 경급 40여㎝의 임목이 빽빽히 들어서 있어 국민의  보건휴양 및 정서 함양을 위한 야외휴양공간을 제공함과 동시에 쾌적하고 편리한 자연교육장으로 역할을 다하고 있다.  특히 침엽수림에서 방출되는 피톤치드는 심신이 맑아져 안정을 가져오며, 인체의 심폐기능 강화로 기관지천식, 폐결핵 치료에 많은 도움을 주고 있다.",장성군
3,모암마을 [산촌체험마을],전라남도 장성군 모암길 60-13,126.7582882,35.37508248,http://tong.visitkorea.or.kr/cms/resource/20/2516020_image2_1.jpg,통나무집의 나무향이 그윽하게 다가온다. 장성읍에서 불과 10여km 남짓한 거리에 위치한 모암마을은 산촌마을로 종합개발되는 과정에 있어 앞으로의 발전 가능성을 무한하게 한다. 마을입구에 세워진 홍길동산림욕장은  산림청에서 관리하고 있기는 하지만 모암마을과 근접해 이용하기가 매우 편리하다. 민박이 가능한 통나무집도 같은 시설물이다. 노령산맥 줄기의 축령산 자락에 모암마을은 산촌종합개발의 꿈을 먹으며 살고 있다. 마을 위로 저수지가 조성중으로 이 저수지가  완공되면 모암마을은 그야말로 전천후 체험마을로 탈바꿈하게 된다.마을 주변에 형성된 과수원과 산림욕장을 이용한 다양한 산속 프로그램 그리고 저수지를 활용한 수상프로그램까지  섭렵하게 된다.현재도 통나무집의 인기를 누리고 있는 모암마을은 산촌종합개발과 팜스테이를 합작한 퓨전형 농촌체험마을의 꿈이 영글어 가고 있다.,장성군
4,백암산(장성),전라남도 장성군 북하면 신성리,126.8552836,35.43982957,http://tong.visitkorea.or.kr/cms/resource/92/1255392_image2_1.jpg,"노령산맥이 남서쪽으로 뻗다가 호남평야에서 솟아 오른 높이 741.20m의 명산으로 국립공원 내장산 남부 지구에 속한다. 백암산의 절경은 결코 내장산에 뒤지지 않는다. 백학봉과 상왕봉, 사자봉 등의 기암괴석이 곳곳에 널려 있다.  가을 단풍철이라면 산행은 백양사를 출발, 약수동계곡으로 올랐다가 최고봉인 상왕을 거쳐 학바위로 내려오는 코스를 잡는다. 약수동계곡의 단풍 터널  속을 뚫고 나가는 기분과 역광에 비친  학바위 주변의 단풍을 함께 볼 수 있기 때문이다. 특히 비자나무 숲과 회색줄무늬  다람쥐가 유명한 이곳에는 대한 불교 조계종 고불총림인 대사찰 백양사도 있다. 백양사라는 이름은 환양선사가 설법을 할 때 흰양이 듣고 깨우침을 얻었다는 전설에서 유래되었다고 전한다.",장성군
5,백양사,전라남도 장성군 북하면 백양로 1239,126.8828255,35.44007167,http://tong.visitkorea.or.kr/cms/resource/09/2516009_image2_1.jpg,"내장산 국립공원 안에 있는 절로, 백제 무왕(632년)때 창건했다고 전한다. 거대한 바위를 배경으로 좌우에 맑고 찬 계곡물이 흘러내려  경치가 매우 수려하다. 가을단풍을 비롯하여 일년내내 변화있는 아름다운 경치를 보여준다. 대웅전, 극락보전, 사천왕문은 지방문화재로 소요대사부도는 보물로 지정되어 있다. 갈참나무와 단풍나무가 도열하듯 서 있는 숲길을 지나 백양사 입구에 들어서면 가장 먼저 쌍계루가 눈에 띈다. 앞에는 계곡을 막아  만든 연못, 뒤로는 기암절벽이 병풍처럼 서 있어  연못물에 어른거리는 쌍계루의 모습이 한폭의 그림 같다. 쌍계루를 지나면 대웅전과 극락보전, 부도탑이 나온다. 백양사는 창건 당시 백암사였다가 고려 때 정토사로 바뀌었다. 조선선조 때 환양조사가 불경을 읽을 때마다 흰양이 설법을 들었다해서 백양사라 불리게 되었다고 한다. 선도량으로 유명했던 곳으로 불교계를 이끌었던  고승들도 많이 배출되었다. 일제 때 2대 교정(종정)을 지낸 환응, 조계종 초대 종정 만암, 태고종 초대 종정 묵담 등 근래에 와서 서옹당 종정 등 고승만도 5명이나 된다. 등산로 쪽으로 올라가면 암자가 많다. 약사암과 운문암, 천진암 등은 경관도 뛰어나다. 절 입구에서 20분 거리인 약사암은 전망대 격으로 첩첩산중에 둘러싸인 백양사의 모습이 한눈에 조망된다. 절경내와 맞은 편에는 난대성의 늘푸른나무인 비자나무 5,000그루가 군락을 이뤄, 천연기념물로 지정되어 있으며,  주차장에서 절로 오르는 0.5km 구간에 우거진 수백년된 아름드리 갈참나무 거목들, 3,000여 그루의 고로 쇠나무와 비자림은 산림욕 하기에 더없이 좋다.

* 문화재
백양사 대웅전 (전라남도 유형문화재),백양사 사천왕문 (전라남도 유형문화재),극락보전 (전라남도 유형문화재 ),소요대사부도 (보물),비자나무 (천연기념물)",장성군
6,별내리마을,전라남도 장성군 남창로 351,126.8433731,35.45516651,http://tong.visitkorea.or.kr/cms/resource/85/2820785_image2_1.jpg,"주식회사 별내리마을은 주민 공동체에서 출발하여 10여년의 체험 휴양마을 운영의 노하우를 바탕으로 지역 청년 중심의 경영체제로 전환하면서 결성되었다. 기존 천문체험, 도예체험, 숲체험 등 다양한 경험이 있으며 주식회사 설립을 통해 농촌에서 만드는 나만의 수제맥주 컨셉으로 양조전문가를 양성하고 새롭게 체험장을 조성하게 되었다. 아울러 기존 숙박의 퀄리티를 높이고 양질의 서비스를 제공하고자 어메니티 고급화, 친절 교육 등을 수료하고 전문 경영컨설팅을 높여 자립하는 청년기업으로 성장하고 있다. 
1. 농촌수제맥주 체험 : 농촌체험마을에서 직접 제조하는 수제맥주로 8종의 수제맥주를 비롯해 개인취향 맥주 레시피 개발, 제조, 시음하는 체험 프로그램 
2. 산촌숙박 체험 : 내장산 국립공원에 있어 청정한 숲속에 있는 산촌마을이며 장성 8경 가운데 하나인 남창계곡에 위치해 치유와 놀이가 가능한 숙박 시설로 6인실, 4인실, 2인실로 구성되어 있음",장성군
7,옐로우 출렁다리,전라남도 장성군  장성읍 봉덕리 산37-1,126.8219939,35.36624567,http://tong.visitkorea.or.kr/cms/resource/09/2741709_image2_1.jpg,"옐로우 출렁다리는 전라남도 장성의 장성호에 있는 출렁다리다. 길이 154m, 폭 1.5m이다. 맑은 하늘과 푸른 나무가 멋지게 펼쳐진 주변 풍경이 장성호 수면에 그림처럼 비치면 형용할 수 없는 아름다움이 느껴진다. 아찔한 출렁다리 위에서 보는 경관은 스릴감과 감탄을 자아내기 충분하다. 옐로우 출렁다리는 장성호 수변길과ㄷ 연결되어 있다. 트레킹을 하면서 장성호의 아름다운 경관을 즐기며, 아찔한 즐거움까지 만끽할 수 있다.",장성군
8,위인더랜드,전라남도 장성군 역전로 105,126.7805131,35.30173839,http://tong.visitkorea.or.kr/cms/resource/91/2820791_image2_1.jpg,"위인더랜드는 장성 지역 생산자들의 숨겨진 가치를 발굴하여 외부관광객은 물론 지역주민에게 소개하며 자체적으로는 지속적인 메뉴개발 및 상품개발을 통해 관광 앵커지를 지향한다. 첫 시도로 수제햄을 기반으로 하는 샌드위치 개발을 진행 중이며, 지역 식재료를 적극 활용할 예정이다. 
방문객들은 위인더랜드의 공간 방문으로 트랜디하면서도 전통을 담은 아이템들을 접하게 되고 장성 관광의 로드맵을 그릴 수 있는 정보를 얻게 된다. 주기적으로 열리게 되는 수제햄 체험공방은 어린이들 체험 프로그램의 한 소스가 될 전망이다.",장성군
9,장성 가인마을 한봉단지,전라남도 장성군 북하면 약수리,126.8780122,35.4348083,http://tong.visitkorea.or.kr/cms/resource/08/2515508_image2_1.jpg,"내장산국립공원의 남쪽 자락에 들어선 백양사는 백제 무왕 때 여환이 창건했다는 고찰이다. 가을 단풍은 물론 겨울 설경도 빼어난 백양사 매표소를 지나면 왼쪽 산마을로 들어가는 작은 길이 하나 뻗어있다. 한복 단지로 소문난 가인 마을이 바로 그곳에 오롯이 숨어있어 고찰 답사에 나선 이들의 발걸음을 기다린다. 백암산과 사자봉, 가인봉을 잇는 산줄기 밑에 들어선 가인 마을은 16가구가 옹기종기 모여 산다. 대부분이 토종벌을 치고 그 꿀을 받아 내서 외지인들에게 파는 것을 생업으로 하고 있다. 가인마을에서 토봉을 기르기 시작한 역사는 주민들도 잘 알지 못한다. 아마도 백양사 사하촌 구실을 했던 만큼 그 시원이 아주 오래됐을 것으로만 추정할 따름이다. 지금 와서도 가인 마을 토종꿀이 건강을 염려하는 도시인들에게 인기를 얻고 있는 것은 자연 그대로의 상태에서 채집되고 있어서이다. 사방 십 리 안쪽이 국립공원 구역 안이라서 농사를 지을 수 없다 보니 농약 오염의 피해를 걱정하지 않아도 된다. 그뿐만이 아니다.마을 뒤편 산자락에는 단풍나무며 참나무, 서어나무, 고로쇠나무, 밤나무, 벚나무 등이 빽빽하게 자라고 대부분 수령이 30년을 넘어 토봉의 먹이가 풍부하다. 벌들은 꽃에서 꿀을 따기도 하지만 오랜 수령을 자랑하는 나무들의 수액도 빨아먹어 꿀의 질이 다른 지방보다는 우수한 편이라고 주민들은 자랑한다. 토종꿀은 고혈압이나 저혈압 예방에 좋고 추위를 이겨내는데도 효과가 좋다고 알려져 있다. 토종꿀은 11월부터 채취하고 이듬해 음력 4월부터 6월까지는 분봉 작업이 이뤄진다. 이때 벌집 1통당 1천 마리 내외이던 벌은 수만 마리로 불어난다. 한 집당 보유한 벌집수는 대략 50통 정도이고 마을 전체를 합치면 7백 통가량 된다. 짚으로 덮은 벌통은 사진작가들에게 좋은 소재가 되기도 해서 가끔씩 카메라를 든 사람들이 마을을 찾곤 한다. 벌통 위에 삿갓처럼 씌운 짚더미의 이름은 위를 뱅뱅 틀었다고 해서 유지뱅이라고 부른다. 그러나 차츰 짚 구하기가 어려워져 플라스틱으로 대치되기도 한다.",장성군
