,title,addr1,mapx,mapy,firstimage,overview,addr2
0,강성서원,전라남도 장흥군 유치면 유치로 70,126.8342347,34.80152905,http://tong.visitkorea.or.kr/cms/resource/93/2724793_image2_1.JPG,"1643년(인조 21)에 지방유림의 공의로 문익점의 덕행을 추모하기 위해서 월천사(月川祠)를 창건하여 위패를 모신 뒤, 1692년(숙종 18)에는 문위세를 추가 배향하였다. 1785년(정조 9)에 강성(江城)이라는 사액을 받아 서원으로 승격되었고, 지방교육의 일익을 담당하여 많은 학자들을 배출하였다. 1868년(고종 5) 흥선대원군의 서원철폐로 인하여 훼철되었으나, 1905년 전라남도 유림들에 의하여 복원되어 오늘에 이르고 있다. 경내의 주요건물로는 숭덕사(崇德祠)·강수당(講修堂)·준소(尊所)·원직사(院直舍) 등이 있다. 숭덕사의 중앙에는 문익점의 위패가, 왼쪽에는 문위세의 위패가 봉안되어 있다. 강수당은 서원의 강당으로 중앙에는 마루가 있고 양쪽에는 협실이 있는데, 원내의 여러 행사와 학문의 토론장소로 사용된다. 준소는 전사청과 같이 향례 때 제수를 마련하여두는 곳이며, 오른쪽 협실은 임원들의 숙소로 사용되고 있다. 해마다 9월 9일에 향사를 지내고 있으며, 제품은 4변(?) 4두(豆)이다. 재산으로는 전답 1만 여평이 있다.",장흥군
1,고마리마을,전라남도 장흥군 관산읍 고마리,126.9864937,34.56723012,http://tong.visitkorea.or.kr/cms/resource/08/2515608_image2_1.jpg,"청정 득량만의 김, 갯장어 등 각종 수산물이 풍부하여 살기좋은 고마리는 호남 5대 명산 중의 하나인 천관산이 있어 계절에 관계없이 전국의 많은 등산객이  찾아오고 있다. 또, 천관산 자락에  전국의 유명 시인 및  문필가들의 육필원고를 받아서 조성한 문학공원이 있어 어린이들의 현장학습 및 견학은 물론이요, 전국의 문학인들이 문학기행 장소로 한번쯤은 다녀가고 있는 곳이다.",장흥군
2,국립 천관산자연휴양림,전라남도 장흥군 관산읍 칠관로 842-1150,126.8998852,34.54513393,http://tong.visitkorea.or.kr/cms/resource/42/2704942_image2_1.jpg,"호남 5대 명산 중의 하나인 천관산은 관산읍과 대덕읍 경계에 있는 723m의 산으로 온 산이 바위로 이루어져 봉우리마다 하늘을 찌를 듯 솟아 있으며, 봄에는 붉게 피는 동백꽃 가을에는 억새가 장관을 이룬다. 특히 정상부근에 바위들이 비죽지죽 솟아 있는데, 그 모습이 주옥으로 장식된 천자의 면류관 같다하여 천관산이라 불렀다고 한다. 특히 해안과 그리 멀지 않은 곳으로 산맥을 타고 넘는 해풍과 웅장한 천관산과의 만남은 인간의 힘으로는 빚어낼 수 없는 자연의 힘을 지니고 있다. 산에 오르면 남해안 다도해가  한 폭의 동양화처럼 펼쳐지고, 북으로는 영암의 월출산, 장흥의 제암산, 광주의 무등산이 한눈에 들어오며 날씨가 맑으면  바다쪽으로 제주도 한라산이 신비스럽게 나타난다. 능선 위로는 기암괴석이 자연 조형물의 전시장 같고,  정상 부근으로 억새밭이 5만여평 장관을 이룬다.
또한 위로 천관사가 500m 이내에 있고,  천관산의 등산로가 연계되어 있어 문화유적답사와 등산에 큰 몫을 하고 있다.  휴양림 내에 관리사, 산막, 주차장, 취사장, 임간수련장 등이 완벽하게 갖추어져 있으며, 7km의 산길도 잘 가꾸어져 사람들의 발길을 멈추게 한다. ",장흥군
3,노력도,전라남도 장흥군 회진면 노력도1길 215,126.9663535,34.4649218,http://tong.visitkorea.or.kr/cms/resource/01/1374001_image2_1.jpg,"섬 이름은 노룡이 있는 섬이라 하여 노룡도라 불렸고 회진의 만호가 자신의 신분에 해가 될까 노룡을 바꿔 노력이라고 하였다고 한다. 그리고 물이 좋아 노인들이 장수하는 섬이라 하여 노력도라 불렸다. 1896년 완도군이 설치되면서 완도로 편입되었다가 1914년 장흥군 대덕면에 편입, 1986년 장흥군 회진면에 속하게 되어 오늘에 이른다.",장흥군
4,동학농민혁명기념탑,전라남도 장흥군 장흥읍 읍성로 2,126.8953659,34.66916994,http://tong.visitkorea.or.kr/cms/resource/39/2515839_image2_1.jpg,"동학농민 혁명은 1894년 어지러운 정치를 바로잡고 외세를 몰아내어 패망의 위기에 처한 나라를 건지려고 농민들이 들고일어난 혁명이다. 정치는 두루 부패하여 백성들은 지주들과 관리들의 무자비한 늑탁을 견디다 못해 수많은 사람이 고향을 등지고 먹을 것을 찾아 정처 없이 떠돌았고, 동아시아에서 식민지를 차지하려는 여러 강국들은 이리 때 처럼 우리나라를 넘보는 형편이었다.이때, 전라도 고부 농민들이 동학도를 중심으로 전봉준 장군을 앞세우고 나라를 지키고 백성을 도탄에서 건지자, 서양 세력과 일본세력을 몰아내자는 짓발을 휘날리며 일어서자, 이 불길은 전국으로 번져 그해 12월에는 20여만 명의 대군을 헤아렸다. 여기 장흥  농민들은 동학의 어산접, 용반접, 웅치접을 주축으로 이방언 장군을 앞세우고 남도에서는 가장 거세게 일어나, 특히 관군을 크게 무찌른 장성 황룡강 전투에서 눈부시게 싸웠고, 관군과 일본군의 연합부대가 처음으로 전투에 나선 공주 우금고개 대회전에서도 목숨을 아끼지 않고 싸웠다. 농민군은 이 공주전투에서 시체가 산을 이루고 피가 강을 이루는 치열한 전투를 벌였으나, 일본군의 신무기에는 당할 길이 없었다. 여러 번 반격을 꾀하던 농민군들은 마지막으로 이듬해 1월 5일 저 석대들에서 이곳 농민군을 중심으로 3만여 명의 일본군과 회심의 일전을 벌였으니, 이것이 동학농민 혁명 최후의 불꽃이었다.",장흥군
5,보림사(장흥),전라남도 장흥군 유치면 보림사로 224,126.8966429,34.80799881,http://tong.visitkorea.or.kr/cms/resource/64/1954564_image2_1.jpg,"가지산 남쪽 기슭에 있는 보림사는 지금부터 1천 3백여 년(759년) 전에 창건한 신라시대의 거찰이다. 이곳에 처음절을 지은 것은 보조국사보다 100년 전쯤 사람인 원표대덕(元表大德)으로 원래의 이름은 가지산사였다. 그 뒤 보조국사 체징이 이곳에서 헌안왕의 뜻을 받아 신라 구산선문 중 최초로 가지산파를 열었다. 880년 체징이 입적할 때에 무려 800여 명의 제자들이 여기에 머물렀다고 한다. 보조국사가 입적 후에 헌강왕이 절이름을 내려주어 보림사가 되었다. 화엄종 사찰로 출발해 선종사찰로 바뀐 것이다. 미국하버드대학 연경도서관에 있는 ""신라국 무주 가지산 보림사 사적기""는 조선초 세조 3년(1457)에서 10년(1464)사이에 발간된 것으로 보림사에 대한 가장 오래된 기록이다. 여기에는 창건설화가 이렇게 적혀있다.* 보림사 창건설화 『신라의 명승 원표대덕이 인도 보림사, 중국 보림사를 거쳐 참선중 한반도에 서기가 어리는 것을 보았다. 그는 신라로 돌아와 전국의 산세를 살피며 절 지을 곳을 찾았다. 어느날 유치면 가지산에서 참선을 하고 있는데 선녀가 나타나더니 자기가 살고 있는 못에 용 아홉마리가 판을 치고 있으므로 살기 힘들다고 호소해왔다. 원표대덕이 부적을 못에 던졌더니 다른 용은 다 나가고 유독 백룡만이 끈질기게 버텼다. 원표대덕이 더욱 열심히 주문을 외었더니 마침내 백룡도 못에서 나와 남쪽으로 가다가 꼬리를 쳐서 산기슭을 잘라놓고 하늘로 올라갔다. 이 때 용꼬리에 맞아 파인 자리가 용소(용문소)가 되었으며 원래의 못자리를 메워 절을 지었다. 보림사 주위에는 용과 관련된 지명이 많다.』 청룡리, 청룡이 피를 흘리며 넘어간 피재, 용두산, 용문리, 용소, 녹룡리등인데 창건설화에서 토속신앙과 불교의 대립이 있었음을 유추하는 사람도 있다. 한국의 가지산 보림사는 인도의 가지산 보림사, 중국의 가지산 보림사와 더불어 세계 3보림의 하나라고 한다. 보림사는 통일신라 구산선문 가운데 가지산문의 종찰로서 고려말까지 선맥이 이어져 ""삼국유사""를 지은 일연 스님도 가지산문에 속했다. 고려시대는 원응국사와 공민왕의 왕사인 태고 보우국사가 주석하여 선종을 진작시킨 큰 절이었고, 그후 여러차례 중창과 중수를 거치며 웅장한 규모를 자랑하던 보림사는 1950년 한국전쟁 당시, 외호문과 사천왕문을 빼고 20여 여 동의 건물이 모두 불타버렸다. 1950년 가을 전남 지역의 공산군 유격대가 보림사에서 한 겨울을 났는데 다음해 봄 군경토벌대는 '공비들의 본거지'라고 보림사에 불을 질러버렸다고 한다. 전쟁 이후 조금씩 복원되어 현재는 건물로 외호문과 사천왕문, 1998년에 복원된 대적광전, 대웅전, 새로 지은 방각과 요사조사전, 삼성 각, 명부전, 주지실, 암자 등이 절터를 채우고 있으며, 담장도 말끔히 둘렀다. 보림사에서 처음보게 되는 일주문은 화려하고 장중한 모습이 사람의 눈길을 잡는다. 사천왕문은 정면3칸, 측면1칸의 맞배지붕이며, 보물인 사천왕상은 중종34년(1539년)에 처음 조성되어 정조 때(1780년)중수된 것으로 우리나라 목각 사천왕상 가운데 가장 크며 오래된 것이다.보통마귀를 발로 짓밟고 있는 형상이지만 이곳의 사천왕상은 눈이 동그란 마귀가 동방지국 천왕의 발을 들어 받들고 있다. 눈동자도 그려넣은 것이 아니라 갈색유리로 만들어 붙여 특이하다. 한편 1995년 2월에 보림사 사천왕상의 몸안(무릎과 발등)에서 고려말과 조선초의 국보급 희귀본을 포함해 고서 250여 권이 발견되어 당대의 인쇄문화와 언어, 사회상을 연구하는데 귀중한 자료가 되고 있다.거기에는 임진왜란 이전의 언해본들이 무더기로 포함되어 있었다고 한다. 일주문과 사천왕문을 지나 오른 편에 최근에 지어진 종루가 있고, 정면에 동서쌍탑과 석등을 앞 세운 대적광전이 있다. 쌍탑과 석등, 대적광전 안에 있는 철조비로사나불이 모두 신라 때의 것으로, 국보로 지정되어 있다. 대적광전은 원형대로 복원 (52평)되었으며, 외호문과 사천왕문을 지나 대적광전으로 이어지는 남북중심축과 직각을 이룬 곳 동쪽에 대웅전이 있다. 현재의 대웅전은 옛주춧돌 위에 예전의 모습을 복원한 것인데, 정면5칸, 측면4칸의 팔작지붕집으로 겉 보기에는 2층이나 내부는 통층이다.그 뒤편으로 비스듬히 돌아 조금 떨어진 곳에 보조선사 체징의 부도와 비가 있다. 원형을 잘 간직하고 있는 비와 부분 손상된 부도는 모두 보조선사 입적 후 세워졌으며 보물로 지정되어 있다. 그 밖에 절 앞마을 뒤 잡목 숲 안에 있는 동부도와 절에서 서북쪽으로 한참 떨어진 곳에 있는 서부도들이 선종대 가람 보림사를 빛내주고 있는 유적들이다. 보림사마당 한가운데는 늘 일정한 수량을 유지하는 약수가 있다. 한국자연 보호협회가 한국의 명수로 지정한, 우리나라에서 열 손가락 안에 드는 좋은 물이라고 한다.",장흥군
6,부춘정원림,전라남도 장흥군 부산면 부춘길 79,126.9088192,34.71169595,http://tong.visitkorea.or.kr/cms/resource/11/2516211_image2_1.jpg,"남평문씨 희개(希凱 : 호 청영(淸潁) 1550~1610년)가 정유재란 뒤 고향에 돌아와 세운 것으로 창건 당시에는 청영정(淸潁亭)이라 불렀다. 희개는 임진왜란 때 의병으로 참전하였으며 정유재란 때는 고창현감으로 수성(守城)에 공을 세운바 있다.청영정은 헌종 4년경(1838)에 청풍(淸風)김씨 영동정공파(令同正公波)의 후손인 김기성(金基成)이 사들여 오늘과 같은 정면 3칸, 측면 2칸의 2실이 있는 팔작집으로 개축하고 이름도 부춘정으로 고친듯하다. 정(亭)의 서쪽에는 탐진강이 인접하여 남쪽으로 흘러가고 강안에는 붉은 소나무?푸조나무?개서어나무?단풍나무 등의 노거수가 수림을 이루어 수려한 경관을 이루고 있다. 또 정의 맞은편 강변에는 자미나무가 군식되어 여름철이면 장관을 이루었다고 하나 지금은 제거되고 제방이 축조되어 있다.* 시대 : 조선시대* 규모 : 정면 3칸, 측면 1칸, 팔작지붕* 소유자 : 청풍김씨영동정공파",장흥군
7,선학동 마을,전라남도 장흥군 회진면 가학회진로 1212,126.9404336,34.46222167,http://tong.visitkorea.or.kr/cms/resource/44/2546944_image2_1.jpg,"멀리서 보면 마치 학이 날개를 펄럭이며 날아오르는 형상을 하고 있다는 관음봉 산자락에 위치한 장흥군 선학동 마을은 논과 다락밭의 유채꽃과 득량만의 푸른 바다가 잘 조화를 이루고 있다. 마을을 배경으로 소설가 이청준은 <선학동 나그네>를 발표하였으며, <선학동 나그네>를 원작으로 한 임권택 감독의 영화 <천년학>을 촬영했으며, 천년학 세트장은 본 마을 동편 재방 둑에 만들어져 있다. 범죄가 없어 칭송이 자자하여 1994년도에 전라남도와 광주지방검찰청 지정 ""범죄 없는 마을""로 선정이 되기도 하였다. 또한, 학산(공지산) 앞마을을 감싸고 있는 30ha 다락밭과 논에 전 주민의 협동과 단결로 봄에는 유채꽃이 가을에는 메밀꽃이 흐드러지게 피게 만들어서 많은 관광객들이 찾아오고 있다.",장흥군
8,소등섬,전라남도 장흥군 용산면 상발리 산225,127.0047356,34.60462068,http://tong.visitkorea.or.kr/cms/resource/55/2618255_image2_1.jpg,"소등섬은 남포마을 앞에 떠있는 작은 무인도이다. 먼 바다에 고기잡이를 나간 남편이나 가족들을 위해 호롱불을 켜놓고 그 불빛을 보고 무사히 귀환하기를 빌었다하여 소등섬이라 불린다고 한다. 소등섬은 사진찍기 좋아하는 사라들에게는 잘 알려진 일출 명소이며 득량만의 떠오르는 해나, 지는 해와 같이 어우러졌을 때 특유의 아름다움이 있다. 현 소등섬은 모세의 기적을 체험하는 신비로운 섬으로 하루 두 세 차례 썰물 때가 되면 바닷물이 빠지고 섬으로 이어진 길이 서서히 모습을 드러낸다. 바다를 가로질러 나타난 길로 소등섬까지 걸어갈 수 있는데 천천히 5분 정도 걸으며 색다른 경험을 할 수 있다.",장흥군
9,수문항,전라남도 장흥군 안양면 수문리 151-42,127.0321187,34.63132648,http://tong.visitkorea.or.kr/cms/resource/52/2787652_image2_1.jpg,"수문항은 득량만 중서부 북서쪽에 위치한 어항이다. 청정해역과 바다 생태계의 보고인 수문항 서쪽으로는 사자산과 골치산, 삼비산에서 흐르는 물이 합수되어 수문천을 이루고 있다. 이곳은 매년 장흥 키조개축제가 개최되는 곳으로 장흥 여행 시 먹거리를 맛볼 수 있는 장소이기도 하다. 수문항에 있는 수문 어촌체험 마을은 가족 단위의 관광객이 다양한 바다 체험을 즐기기에 안성맞춤이다. 바다 다슬기 잡기, 갯벌 놀이, 키조개까기 체험, 바지락 캐기 등 평소 쉽게 경험하지 못하는 바다 체험을 할 수 있다. 전국적으로 서남해안의 갯벌 보전지구로 지정될 만큼 생태계가 우수한 수문항은 해산물 이외에도 쪽파, 감자, 벌꿀 등의 특산물로도 유명하다.",장흥군
