,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가계해변,전라남도 진도군 고군면 신비의바닷길 47,126.3547412,34.43545949,http://tong.visitkorea.or.kr/cms/resource/17/1608017_image2_1.jpg,"바닷물이 갈라지는 현대판 모세의 기적으로 유명한 회동국민관광지 내에 있는 해수욕장이다. 교통이 편리할 뿐 아니라 99,174m²(3만여 평)의 넓은 주차장과 샤워장, 음수대 등 편의시설이 잘 갖추어져 있어 자가용을 이용한 피서객들이 많이 찾는다. 또한, 바다낚시를 즐길 수 있는 갯바위와 무인도가 많다. 인근에 진도해양생태관, 진도 신비의 바닷길, 금호도 등의 관광지가 있다.",진도군
1,관매도,전라남도 진도군 조도면 관매도길 71,126.0520835,34.24113752,http://tong.visitkorea.or.kr/cms/resource/31/2824531_image2_1.jpg,"관매도는 다도해해상국립공원으로 지정된 조도 6군도 가운데 가장 대표적인 섬으로 아름다운 절경뿐만 아니라 천연기념물인 후박나무가 있고, 최근 자생 풍란이 복원되고 있어서 생태관광지로써 가치가 높은 곳이다. 관매도는 관호마을과 방아섬 양측을 날개로 매가 나는 형상을 하고 있으며 관매도 해변은 kBS ‘1박 2일’과 SBS 드라마 ‘패션 70S’의 촬영지이기도 하다.

* 관매 8경 : 선박을 이용하여 섬 주위를 돌아보면 기이한 절경과 더불어 섬의 지층구조를 감상할 수 있는 이색 체험과 바다낚시를 동시에 즐길 수 있다.
- 제1경 관매도 해변 : 관매도 해변은 동서 2.2Km에 이르는 백사장의 고운 모래와 청정해역의 맑은 물, 얕은 수심이 가족단위 피서지로 아주 좋은 곳이며, 주위에는 3만여 평의 대 지에 4백 년 이상 되는 울창한 송림이 우거져 완벽한 조화를 이루고 있어 산림욕을 즐길 수 있는 천혜의 해변이다.
- 제2경 방아섬 (남근바위) : 관매도 동북쪽에 있는 섬으로, 옛날에 선녀가 내려와 방아를 찧었다는 전설이 전해지고 있는 섬이다. 섬 정상에는 남자의 상징처럼 생긴 바위가 솟아 있는데 아이를 갖지 못한 여인들이 정성껏 기원하면 소원이 성취된다는 전설이 전해지고 있다.
- 제3경 돌묘와 꽁돌 : 관호마을 고개를 넘으면 지름이 4~5m 정도 되는 “꽁돌” 이라는 둥근 바위가 있는데 바위에는 손바닥의 손금까지 새겨진 움푹 팬 자국이 나 있다. 그리고 그 앞에는 왕의 묘같이 생긴 돌묘가 있다.
- 제4경 할미중드랭이굴 : 서북쪽 방향의 산등성을 넘어 해변에 이르면 비 오는 날이면 할미도깨비가 나온다는 할미중드랭이굴 이 나온다. 횃불을 들고 들어가도 산소가 부족해 서인지 저절로 불이 꺼지고 이상한 소리가 들리는지라 감히 아무도 끝까지 들어간 사람이 없어 그 길이를 가늠하기 힘들다.
- 제5경 하늘다리 : 동지나해의 거친 파도에 밀려나 50m 절벽으로 갈라져 쌍바위섬이 되었다고 하며, 섬과 섬 사이에 3m 간격의 틈을 두고 있는 이곳에 다리가 놓여 있으며 이곳을 건널 때는 간담이 서늘해진다.
- 제6경 서들바굴 폭포 : 방아섬에서 방아를 찧던 선녀들이 이곳에서 목욕을 하고 밥을 지어 먹었다고 하여, 이곳 주민들은 7월 백중에 여기에서 밥을 지어먹고 폭포수의 물을 맞으면 피부병이 씻은 듯 낫는다고 한다. 폭포수는 밀물 시에는 바닷물 위로 떨어지고 썰물 때는 자갈 밭 위로 떨어진다.
- 제7경 다리여 : 서들바굴을 지나면 구렁이 바위가 있는 다리여가 나온다. 이곳은 바닷물이 많이 빠졌을 때 한 달에 4~5회 정도 갈 수 있으며 이곳에는 자연산 돌미역, 톳, 돌김, 우뭇가사리 등 해산물이 풍부하다.
- 제8경 하늘담(벼락바위) : 관매도에서는 매년 총각을 제주로 추대해 당제를 올렸는데 그 전후 1년 동안에는 처녀를 만나는 것 이 금지되어 있는데 제주로 추대된 총각이 그 기간에 전부터 사귀어온 처녀를 만나자 갑자기 하늘이 컴컴해지면서 벼락을 때려 한쪽 섬 전체가 절벽으로 되었고, 그 후 이곳을 하늘담 또는 벼락바위라고 부른다. 그리고 총각과 처녀가 죽어서 다리여의 구렁바위가 되었다는 전설이 전해져 오고 있다.",진도군
2,광대도,전라남도 진도군 조도면 가사도길 42-365,126.1047278,34.52837559,http://tong.visitkorea.or.kr/cms/resource/05/195405_image2_1.jpg,"소나무, 동백이 울창하고 섬 전체 모양이 사자 한 마리가 앉아 하품을 하고 있는 형상이라 '사자섬'이라고도 부른다. 또한 섬의 모양이 보는 위치에 따라 변하면, 광대가 춤추는 형국이라 하여 '광대도'라고 한다.* 면적 - 0.04㎢, 해안선 - 1.9㎞, 표고 - 81m, 거리 - 쉬미선착장 9.2㎞(혈도 0.4㎞)",진도군
3,구름숲아토리,전라남도 진도군 의신사천길 26 운림예원,126.2975678,34.4657885,http://tong.visitkorea.or.kr/cms/resource/01/2924001_image2_1.jpg,"'구름숲 아토리'는 예향의 고장답게 진도 민속문화 체험, 스페셜티 커피 체험 등을 할 수 있는 복합문화 체험공간이다. 시, 서, 화, 창, 무를 다양하게 체험할 수 있으며 특히 진도북놀이 체험, 솟대만들기, 서화 체험, 각 나라 최고 등급 원두를 사용하여 핸드드립으로 내려 커피의 맛과 향을 경험하는 핸드드립 커피 내리기, 모카포트 커피 만들기, 나만의 드립백 선물 만들기 등 스페셜티 커피 체험도 할 수 있다. 푸른 잔디정원과 고즈넉한 한옥에서 즐기는 다양한 체험은 즐거운 진도를 제대로 즐기는 특별한 시간을 선사한다.
※ 반려동물 동반 불가",진도군
4,구암사(진도군),전라남도 진도군 임회면 상만길 58,126.2140521,34.3838519,http://tong.visitkorea.or.kr/cms/resource/76/1609176_image2_1.jpg,"구암사는 고려시대에 번창하여 여귀산 자락에 여러 암자가 있었는데, 이는 중방골이나 불당골 등 불교와 관련 있는 여러 암자로부터 유래된 산의 명칭을 통해 확인할 수 있다. 이 사찰에 있는 오층석탑은 백제 후기나 고려 초기에 지어진 탑으로 보고 있으며, 해체 보수 때 사리를 넣었던 흠이 발견 된 것으로 보아, 대웅전의 실내탑으로 추정하고 있다. 이처럼 선조의 얼이 담긴 문화 유적지가 폐허인 채 내버려져 있음을 안타깝게 여겨, 뜻있는 주민들이 구암사 복원불사 후원회를 조직하여 1988년에 문화재 보호구역으로 지정된 뒤, 1991년 복원불사를 착수하여 현재에도 불사에 계속 임하고 있다.",진도군
5,국립진도자연휴양림,전라남도 진도군 임회면 동령개길 1-92,126.1864468,34.35757107,http://tong.visitkorea.or.kr/cms/resource/39/2755339_image2_1.jpg,"한반도 서남단 남도의 끝자락, 산과 바다가 어우러진 보배의 섬 진도는 우리나라에서 3번째로 큰 섬이다. 에메랄드빛 드넓은 푸른 바다와 섬들을 품고 있으며 암갈색의 수피를 입고 있는 해송, 천연 항균 피톤치드가 함유된 편백 등 다양한 수종을 체험할 수 있으며, 미르길이란 옛길이 조성되어있다. 진도에 위치한 국립 진도 자연휴양림은 천혜의 자연경관인 다도해상국립공원과 진도 신비의 바닷길, 운림산방, 세방낙조 등 진도의 관광명소와 인접해있어 체험 및 볼거리가 풍부하다. 국립 진도 자연휴양림에는 숲속의 집, 산림문화 휴양관, 방문자 안내소, 목공예 체험관, 잔디 바다, 데크로드 등을 이용할 수 있고, 다양한 나무와 꽃들을 보면서 산책할 수 있는 산책로가 잘 조성되어 있다.",진도군
6,금갑해변,전라남도 진도군 의신면 금갑길 206-6,126.2773518,34.39579325,http://tong.visitkorea.or.kr/cms/resource/30/1608030_image2_1.jpg,"금갑해변은 비교적 작은 규모로 널리 알려져 있지 않은 해수욕장이지만, 아늑한 분위기와 경사가 완만하고 모래가 고와 가족단위의 피서객이 점차 늘고 있다. 그리고 주변의 청정해역에는 어족자원이 풍부하여, 어디서나 바다낚시를 즐기기에 좋다. 또한 왕복 2차선 포장도로인 8번 국도 옆에 위치해 있어서 접근성이 용이하다. 인근에 죽림어촌체험마을, 접도, 쏠비치, 여귀산 등의 관광지가 있다.",진도군
7,급치산전망대,전라남도 진도군 지산면 지산로 160-60,126.1001392,34.41186082,http://tong.visitkorea.or.kr/cms/resource/52/2755352_image2_1.png,"한반도 최서남단 진도군 지산면에 위치한 급치산 전망대는 가장 늦은 해넘이를 볼 수 있는 곳 중 한 곳이다. 가슴이 탁 트이는 시원한 바다 위를 수놓은 다도해의 섬들 사이로 떨어지는 낙조를 감상할 수 있는 최고의 일몰 명소이다. 360도 탁 트인 전망대 옥상에서 바라보는 동석산 암골맥(巖骨脈)의 수려한 바위 능선과 높은 고도에서 내려다보는 아름다운 진도 해안은 마치 한 폭의 산수화를 보는 듯해, 그림 같은 풍경에 절로 감탄을 자아낸다. 급치산 전망대에서 세방낙조전망대에 이르는 해안 도로는 '한국의 아름다운 길 100선'에 선정될 만큼 아름다운 풍광을 자랑하고 있어, 진도에 가면 꼭 들러봐야 할 곳이다.",진도군
8,도리산전망대,전라남도 진도군 조도면 여미리,126.0050523,34.3282659,http://tong.visitkorea.or.kr/cms/resource/47/195547_image2_1.jpg,"다도해의 섬을 360도를 감상할 수 있는 도리산전망대는 상조도 여미리의 도리산 정상에 자리잡고 있다. 도리산은 해발 210m의 나즈막한 산으로 정상까지 약 3.5km를 걸어야 하는데, 중간 중간에서 약수터, 쉼터, 정자 등을 만날 수 있다.정상에 이르러 나무로 잘 조성해 놓은 전망대에 서면 말 그대로 '일망무제', 새떼처럼 바다 여기저기에 둥지를 튼 다도해의 장관이 눈길을 빨아들인다. 관사도, 주도, 소미도, 맹골죽도 등 조도 부근의 이름난 섬들의 자태가 희뿌연 해무 속에 환영처럼 솟아올라 시야를 황홀케한다. 조도가 아니면 경험할 수 없는 장관이다. 이 도리산 전망대에서 바라보는 다도해의 장관이 조도 여행의 하이라이트라면 눈길을 돌리면 그 자체가 한폭의 산수화처럼 다가오는 곳곳의 바다풍경은 보너스이다.",진도군
9,명량해협 울돌목,전라남도 진도군 군내면 녹진리,126.3053146,34.5717434,http://tong.visitkorea.or.kr/cms/resource/54/2367454_image2_1.jpg,"울돌목은 이충무공의 3대 해전중의 하나로 명량대첩지로 잘 알려진 서해의 길목으로, 해남과 진도간의 좁은 해역을 이루며 바다의 폭은 한강 너비 정도의 294m 내외이다. 물길은 동양 최대의 유속인 11노트(20㎞)의 조수가 흐르며,  물소리가 크고, 거품물이 용솟음쳐 배가 운항하기 힘든 곳이다.",진도군
