,title,addr1,mapx,mapy,firstimage,overview,addr2
0,갈두마을(땅끝마을),전라남도 해남군 송지면 땅끝마을길 82,126.5285847,34.29980529,http://tong.visitkorea.or.kr/cms/resource/92/981992_image2_1.jpg,"한반도 땅 끝에 위치한 마을인 갈두마을은 사자봉 위 전망대에서 바라보는 다도해의 절경이 일품인데, 맑은 날이면 한라산도 보인다는 전망대 아래 한참 내려간 곳에 기념비가 있다. 갈두라는 지명은 은근산에 칡이 많아 칡머리로 불리던 것이 한자 갈두(葛頭)로 명명된 것이다.",해남군
1,고천암 자연생태공원,전라남도 해남군 황산면 고천암로 752-14,126.4627297,34.5231903,http://tong.visitkorea.or.kr/cms/resource/29/2755129_image2_1.jpg,"고천암 자연생태공원은 자연 맞이 광장, 철새 솟대 화랑, 나들이 뜰, 안뜰광장의 바닥분수, 수향 습지원, 새소리 숲, 들꽃 향기원, 새맞이 광장 등의 시설물을 갖춘 곳으로, 계절감을 느낄 수 있는 자연을 벗 삼아 걷는 즐거움이 가득한 곳이다. 해남 고천암은 본래 철새 도래지로 유명하여 해남을 찾는 철새들의 조형물과 고천암호에 출현하는 조류를 테마로 한 철새 솟대 화랑 등을 어린이의 눈높이에 맞춰 관람할 수 있다. 특히 여름에 운영하는 안뜰광장의 바닥분수와 놀이터는 어린이들이 뛰어놀기에 안성맞춤이며 가을에 담수호를 배경으로 찍는 사진은 인생 사진으로 남을 것이다. 도심을 떠나 녹지 속에서 산책과 여유를 느낄 수 있는 공간이다.",해남군
2,고천암호(철새도래지),전라남도 해남군 황산면 고천암로,126.4715928,34.52364317,http://tong.visitkorea.or.kr/cms/resource/27/2367427_image2_1.jpg,"해남 고천암호는 철새도래지로 유명한데, 12월 중순부터 2월 말까지 가창오리떼가 몰려들어 장관을 이룬다. 영화 서편제,살인의 추억을 촬영한 곳이 바로 고천암호갈대밭이다. 고천암 갈대밭은 고천암호를 따라 14km 정도의 둘레를 갈대들이 광활하게 서식하고 있고 해남읍 부호리에서 화산면 연곡리까지 3km의 갈대밭은 50만평으로 국내 최대의 갈대군락지로 알려져 있다. 또한 고천암 갈대밭에는 먹황새, 독수리 등 희귀조류는  물론 전세계 98%의 가창오리가  겨울을 나면서 환상적인 군무를 보여주기도 한다. 그러나 해마다 고천암호를 찾는 철새들이 줄고 있는 실정이다.",해남군
3,김남주 생가,전라남도 해남군 삼산면 봉학리,126.5577903,34.54081765,http://tong.visitkorea.or.kr/cms/resource/47/1564347_image2_1.jpg,"김남주는 한국 민족문학을 대표하는 사람으로 사회변혁운동의 이념과 정신을 온몸으로 밀고나간 '전사(戰士)시인'이며, 혁명적 목소리로 한국문단을 일깨운 '민족시인'이다. 또한 청춘의 10년을 감옥에서 보내는 등 반독재 투쟁에 앞장선 혁명 시인이었다. 1945년 전남 해남군 봉학리에서 농민의 아들로 태어나 삼화초등학교, 해남중을 거쳐 광주일고에 입학하였으나 입시 위주의 교육에 반대, 자퇴하였고 이후 검정고시로 전남대 영문과에 입학하였다.대학 재학중 '3선개헌반대투쟁'에 참여하는 등 반독재 학생운동에 투신한 그는 1972년과 이듬해에 전국 최초의 반유신투쟁 지하신문 '함성'과 '고발'을 제작. 배포하여 징역 8개월의 옥고를 치렀고, 이후 대학에서 제적당했다. 1974년 '창작과비평'에 '진혼가'등으로 문단에 나온 이후 작가 황석영 등과 함께 '민중문화 연구소' 등을 결성하기도 했다.1978년 가장 강력한 반유신투쟁 지하조직 '남민전'의 '전사'로 활동하다가 이듬해 10월 동지들과 함께 체포. 구속되었으며, 징역 15년형이 확정되어 광주교도소 등지에서 복역했다. 그는 두 차례에 걸쳐 도합 10년 세월을 감옥에 갇혀 있었으며, 그가 남긴 470여편의 시 가운데 300여 편이 옥중에서 쓴 시이며, 그의 옥중시는 80년대 한국시의 한 절정을 이루었다. 1988년 1월 가석방 되어 출소한 그는 민족문학작가회의 상임이사, 민예총 이사 등을 역임하였고, 단재상. 윤상원문화상을 수상하였으며, 작고 이후에 민족예술상이 수여되었다. 옥중투쟁에서 얻은 지병(췌장암)으로 투병하다가 1994년 2월 13일 불과 마흔 아홉의 나이로 그 생을 마감했다. 시집으로는 '진혼가', '나의 칼 나의 피', '조국은 하나다.', '솔직히 말하자', '사상의 거처', '이 좋은 세상에', '나와 함께 모든 노래가 사라진다면' 등이 있다.",해남군
4,남도한옥민박마을,전라남도 해남군 삼산면 민박촌길 44,126.6057535,34.5093192,http://tong.visitkorea.or.kr/cms/resource/89/895489_image2_1.jpg,"무선동 마을은 해남읍에서 5km 정도 떨어진 두륜산 끝자락에 위치하고 있는 마을이다. 약 30년 전 관광객을 유치하기 위해 한옥으로 조성된 민박 마을로 초창기에 성황리에 운영되다 잠깐 주춤하였지만, 90년대 후반부터 가족 중심의 관광이 시작되고, 시설을 보완함으로써 도시민들로부터 각광을 받고 있는 한옥민박 마을이다. 1977년 처음으로 한옥 민박촌으로 지정되어 16가구의 한옥 가옥을 중심으로 한옥 민박 체험을 할 수 있도록 조성되었다. 마을 내에 있는 두륜사라는 작은 암자가 있다. 마을에 들어서면 제일 우측에 보이는 건물이다. 원래 두륜사라는 이름은 마을 뒤쪽의 두륜산에 있는 대흥사의 옛 이름이다. 예능에 종사하는 사람들 몇몇이 관내 학생들의 체험과 민박 손님들의 체험 활동 등을 주도적으로 이끌고 있어 체험 마을로서의 변화를 
꿈꾸고 있다.문화 체험 공연으로 영화 상영과, 판소리, 장구, 북 등을 배워보는 소리체험, 전통 체험으로 한복 예절 체험과 전통차 체험, 도자기 체험, 떡메치기, 떡 만들기, 널뛰기 등의 체험 프로그램을 운영하고 있다. 이중 전통 소리 체험은 국악인 채옥란 선생님 지도로 체험을 할 수 있다. 한옥 민박 집들은 대부분 내부가 현대식으로 개수하여, 취사시설을 갖추고 있다. 남도여행은 역시 먹거리를 빼놓을 수 없다. 해남의 대표 음식인 떡갈비와 남도 한정식은 보기만 해도 푸짐한 상차림으로 나온다. 두륜산의 수려한 산세에서 자란 자연산 산나물로 만든 산채비빔밥도 이 지역의 대표적 먹거리이므로 챙겨 먹어 보는 것도 남도 여행의 좋은 경험으로 남을 것이다. 인근에 두륜산, 대흥사, 윤선도 관광지, 김남주 시인 생가 등이 있어 볼거리가 많고, 11월에는 두륜산 단풍축제, 음력 8월에 초의 문화제 등의 즐길 거리도, 남도 여행의 즐거움을 더해 줄 것이다.",해남군
5,달마산,전라남도 해남군 송지면 서정리 1,126.5782589,34.38319676,http://tong.visitkorea.or.kr/cms/resource/95/1564395_image2_1.jpg,"* 달마산 달마산은 해남군에서도 남단에 치우쳐 긴 암릉으로 솟은 산이다. 두륜산과 대둔산을 거쳐 완도로 연결되는 13번 국도가 지나는 닭골재에 이른 산백은 둔덕 같은 산릉을 넘어서면서 암릉으로 급격히 모습을 바꾼다. 이 암릉은 봉화대가 있는 달마산 정상(불썬봉)을 거쳐 도솔봉(421m)까지 약8㎞에 거쳐 그 기세를 전혀 사그러트리지 않으며 이어진 다음 땅끝 (한반도 육지부 최남단)에 솟은 사자봉(155m)에서야 갈무리하는 것이다. 달마산을 병풍 삼아 서록에 자리잡은 미황사는 이 산과 깊은 인연을 가지고 있다. 신라 경덕왕 8년(749)인도에서 경전과 불상을 실은 돌배가 사자포구(지금의 갈두상)에 닿자 의조 스님이 100명 향도와 함께 쇠등에 그것을 싣고 가다가 소가 한번 크게 울면서 누운 자리에 통교사를 짓고, 다시 소가 멈춘 곳에 미황사를 일구었다고 한다.  어여쁜 소가 점지해준 절인 동시에 경전을 봉안한 산이라는 뜻이다.",해남군
6,대섬어촌복합체험공원,전라남도 해남군 송지면 땅끝해안로 1354-4,126.5211481,34.35051894,http://tong.visitkorea.or.kr/cms/resource/61/2794461_image2_1.jpg,"해남 땅끝해안로에 있는 갯벌에 조성되어 있다. 조개, 물고기 형상의 포토존과 흔들의자 등이 설치되어 있어, 바다 전망을 구경하기 좋다. 체험장 주변에는 벽화가 그려져 있어 사진찍기에도 좋다. 하루 두 차례 신비의 바닷길이라고 불리는 마을과 앞섬까지 연결되는 바닷길을 볼 수 있다. 조개잡이 체험장은 7월 초에서 8월 말까지 운영하며, 체험공원 사무소에서 입장권을 살 수 있다. 입장권을 사면 바구니, 호미, 고무신을 대여해주는데, 조개잡이 체험은 조류간만의 시간에 따라 운영이 달라질 수 있으니 미리 확인하고 방문하는 것이 좋다.",해남군
7,대죽마을,전남 해남군 송지면 대죽리,126.5364771,34.35917377,http://tong.visitkorea.or.kr/cms/resource/04/1970904_image2_1.jpg,"마을 앞 서쪽 바다에 대나무가 많은 섬이 있는데 이중 큰 섬인 대죽도 앞에 마을이 위치한다고 하여 대죽마을이라 불린다. 다도해의 아름다운 풍경이 마을 앞으로 펼쳐져 있으며, 특히 일몰 시의 풍경이 장관이다. 최근엔 ''드라마 허준'' 촬영지로 소개되어 관광객이 갈수록 늘어나고 있다. 인근에 조개잡이 체험어장이 있어 도시민들이 자연과 더불어 즐겁게 보낼 수 있는 깨끗하고 아름다운 어촌이다.",해남군
8,대흥사[유네스코 세계문화유산],전라남도 해남군 삼산면 대흥사길 400,126.6166394,34.47718131,http://tong.visitkorea.or.kr/cms/resource/09/1929609_image2_1.jpg,"대흥사는 백제 성왕 22년에 아도화상이 창건했다고 전해지며 서산대사 유언과 의발이 전해진 삼재불입지처로 불교문화의 중흥을 이룬 곳이다. 나라의 국제를 지낸 표충사와 한국 차의 산실 일지암 등에서는 초의선사와 추사 김정희 등 당대 명사들의 글과 발자취를 만날 수 있다. 경내에는 대웅보전, 침계루, 명부전, 응진당, 천불전, 천불상, 표충사, 대광명전, 일지암, 북미륵암, 성보박물관 등이 있다. 대흥사에는 국보 대흥사 북미륵암 마애여래좌상을 비롯 선사대사 유물관에는 보물인 탑산사 동종등 많은 유물들이 전시되어 있고, 국내최대 부도전에는 서산대사 부도 등 다양한 문화유산과 설화 등을 만날수 있다.",해남군
9,두륜미로파크,전라남도 해남군 삼산면 대흥사길 88-11,126.6221801,34.49832347,http://tong.visitkorea.or.kr/cms/resource/17/2800917_image2_1.jpg,"전라남도 해남군 삼산면 구림리에 있는 테마공원이다. 서양측백나무, 동백나무, 이팝나무 등 1만 3,000여 그루의 나무로 미로를 조성한 야외미로 공원에는 숲 곳곳에 또롱이, 다롱이, 영롱이 같은 캐릭터와 잠망경, 소리통, 동물 조형물, 전망대, 신비의 거울 등을 설치하여 아이들이 다양한 체험을 할 수 있는 시설을 갖추었다. 전시동은 미로 전시관과 미로 체험관으로 구성되어 있는데, 1층에는 미로의 유래와 역사를 알 수 있는 미로 역사관과 휴게시설인 미로 카페가 있고, 2층에는 거울로 만든 미로숲과 공룡어드벤처, 도솔암 등 다섯 가지 테마의 트릭아트 존을 꾸민 미로 체험관이 있다.",해남군
