,title,addr1,mapx,mapy,firstimage,overview,addr2
0,개천사,전라남도 화순군 춘양면 변천길 389,126.9153916,34.90447161,http://tong.visitkorea.or.kr/cms/resource/46/1608446_image2_1.jpg,"개천사는 화순 천태산 중턱에 있다. 통일신라 헌덕왕 말기(809-825년) 도의선사가 창건했다는 설과 통일 신라 말 도선국사가 창건했다는 설이 있다. 정유재란으로 소실되었다가 복구되었으며 일제강점기에는 용화사로 불리웠다. 천불전이 있었는데 1950년 한국전쟁으로 소실되었다. 1963년에 주지 김태봉이 주민들의 협조로 대웅전과 요사를 중건하였다.  사찰 입구에는 나무벅수가 무심히 서 있고 주변산에는 비자나무숲(도 지정 기념물)이 우거져 있다.개천사에는 석종형과 팔각원당식 부도가 5기 있다. 모두 18~19세기에 조성된 것이다.* 비자나무 숲해발 494m의 천태산 중턱에 자생하고 있는 비자나무숲은 개천사 사찰림(약 15정보)과 사유림(약 6정보)으로 이루어져 있다. 여기에 자생하고 있는 비자나무는 대개 둘레가 2m 이상으로 서수령은 약 3백년에 이를 것으로 보고 있다.* 개천사 중수문도의 맥락이 일어나 왕성하게 됨과 발전하지 못하고, 쇠퇴하게 됨은 운수의 모임과 운수의 흩어짐을 보아 불도의 왕성할 것과 쇠퇴할 것을 가히 짐작할 수 있다. 화순고을의 남쪽에 위치한 천태산의 개천사는 호남의 명승사찰로 신라 초년 중국 한나라 선재 오봉원년(서기 57년)에 창건되었다. ",화순군
1,남산공원(화순),전라남도 화순군 화순읍 진각로 87,126.9849483,35.05912758,http://tong.visitkorea.or.kr/cms/resource/96/1970896_image2_1.jpg,전남 내륙 한가운데에 위치한 화순은 조광조가 그의 이상을 펼치지 못하고 유배되어 죽음에 이른 곳이며 방랑 시인 김삿갓은 중국 적벽에 못지 않게 아름다운 화순 적벽의 절경에 반해 그 곳에서 죽음을 맞기도 했다.  최근 들어서는 운주사 천불천탑의 고장으로 유명하다. 화순읍 남산공원은 1970년 10월 조성된 공원으로 공원 중앙에 군민회관이 자리 잡고 있으며 숲이 좋아 주민들의 좋은 휴식처 역할을 하는 곳이다. 공원 내에는 양한묵 선생추모비와 충혼탑이 세워져 있으며  편의시설로는 서양정(궁도협회 궁도장)과 각종 쉼터시설 등이 마련되어 있다. ,화순군
2,도곡원네스 리조트,전라남도 화순군 도곡면 온천1길 45,126.9033118,35.02914903,http://tong.visitkorea.or.kr/cms/resource/29/186129_image2_1.jpg,"도곡온천 관광지는 화순군 도곡면 천암리, 원화리 일원에 있다. 1988년 4월 9일 온천지구로 지정되었으며 관광지로 지정된 것은 1989년 10월 27일로 그 면적은 0.613㎢(18만 5천 평)로 1995년 2월 도곡온천 원탕호텔의 대중탕 개장과 함께 본격적인 호남의 온천시대를  맞이하게 되었다. 현재 사우나, 대중탕 등 각종 부대시설을 갖춘 호텔, 여관 등 12개 온천이용업소가 성업 중에 있으며 최근 각종 물놀이시설을 갖춘 온천이용시설이 개장하여 도곡온천 관광지를 찾는 온천관광객의 선택의 폭을 더욱 넓혀주게 되었다. 주변에 세계유산 화순고인돌공원과 2개의 골프장(클럽900, 남광주cc)  그리고 천불천탑의 운주사가 인접해 있어 남도지역을 관광할 때 이곳에 들러 심신의 피로를 씻고 쉬어가기에 좋은 곳이며 광주에서 10㎞, 남평에서 6㎞, 화순읍에서 12㎞ 거리에 있어 교통이 편리하므로 주말과 휴일에 갑갑한 도심을 벗어나 가족과 함께 하루를 보내기에도 적당한 온천휴양지다.",화순군
3,도원서원,전라남도 화순군 연곡길 137 도원서원,127.1207469,35.08135238,http://tong.visitkorea.or.kr/cms/resource/87/742087_image2_1.jpg,"1668년(현종 9) 지역 유림들이 뜻을 모아 창건하였으며, 1688년(숙종 14) ‘도원(道源)’이란 사액을 받으면서 도원서원으로 불렸다. 1868년(고종 5) 흥선대원군의 서원철폐령에 따라 훼철되었으나, 초계 최씨 후손들에 의해 1975년 유허비가 세워졌으며 1977년 사당, 1978년 동서재가 복원되었다. 경내의 구성은 크게 4위를 배향하는 사당과 강학(講學)을 위한 동재인 숭의재(崇義齋)와 서재인 집성재(集誠齋)로 이루어져 있다. 또한 바깥 출입을 위한 외삼문인 건공문(虔恭門)과 사당으로 연결되는 내삼문인 발일문(撥一門)이 있는데, 두 문 모두 맞배지붕 솟을대문이다. 해마다 음력 3월 10일이면 춘향대제를 지낸다. 2001년 7월 화순군 향토문화유산으로 지정되었다.",화순군
4,독상리석등,전라남도 화순군 동복면,127.1280437,35.0708148,http://tong.visitkorea.or.kr/cms/resource/97/742097_image2_1.jpg,"독상리 석등은 고려시대 시중 벼슬을 지낸 문헌공 오대승이 고려원종 8년(1267)에 제작한 것으로 전해지고 있다. 오대승은 동복오씨 비조로서 동복에 세거하면서 이 석등에 48개의 불을 켜 놓고 밤마다 하늘에 예를 올리니 그 후손들이 크게 번창하였다고 한다. 이 같은 내용은 신증동국여지승람 동복조에 보이고 있으며 현종11년(1670)에 세운 석등기에도 위 문헌에 나온 기록을 인용하여 후세에 전하고 있다. 석등은 홍살문이 있고 팔작지붕의 겹처마로 된 비각 안에 있는데 흔히 일반 사찰이나 민묘 앞에 있는 전형적인 석등이 아니고 약간 손질을 가한 자연석 암반(길이 136㎝, 폭 91㎝)위에 직경5~14cm, 깊이 2.5~8cm 되는 48개의 구멍을 파 놓은 상태이다.(실제 구멍수는 54개) 여기에 재래식의 심지를 놓고 기름을 부어 불을 켰던 것이다. 그런데 48등은 불교에서 말하는 48원을 의미한 것이다. 이 48원은 불교의 아미타불의 최고의 이상인 극락정토이다. 즉 생로병사가 없는 안락한 정토란는 뜻이다. 이상과 같은 내용으로 보아 이 석등은 고려시대 민간신앙이 불교와 합치되어 나타난 현상의 한 예라 할 수 있다. 1990년에는 석등각을 보수하였다.",화순군
5,만연사 선캄브리아기 화강편마암 (무등산권 국가지질공원),전라남도 화순군 화순읍 동구리,126.9858811,35.07846708,http://tong.visitkorea.or.kr/cms/resource/74/2614774_image2_1.bmp,"만연사 선캄브리아기 화강편마암은 무등산 일대 암층 중에서 가장 연대가 오래된 시기의 지질명소이다. 이곳의 선캄브리아기 암석은 화순군 만연사 일대를 비롯하여, 광주함몰체의 외곽을 둘러싸며 분포한다. 즉, 함몰체의 동-남쪽으로는 화순군 사평면, 한천면, 이양면의 주암호 주변에 넓게 분포한다. 북쪽으로는 광산구 어등산에서 북동방향으로 운남동, 수완지구, 첨단지구를 거쳐 장성군 진원면으로, 광주광역시 북구 양산동-본촌동-우치동에서 담양군 봉산면으로 연장 분포한다. 화강편마암은 담회색을 띠는 저반형 조립 내지 중립질 화강암질암으로 부분적으로 연장성이 불량한 엽리를 보여준다.",화순군
6,만연사(화순),전라남도 화순군 화순읍 진각로 367,126.9850755,35.08296934,http://tong.visitkorea.or.kr/cms/resource/36/186136_image2_1.jpg,"고려 희종 4년(1208)에 만연선사에 의해 창건되었다고 전한다. 만연선사가 무등산 원효사에서 수도를 마치고 조계산 송광사로 돌아가는 도중에 무등의 주봉을 넘어 남으로 내려오다가 만연산 중턱에 이르러 피곤한 몸을 잠시 쉬어가고자 앉은 사이 언뜻 잠이 들어 꿈을 꾸었는데, 16나한이 석가모니불을 모실 역사를 하고 있는 꿈이었다. 잠을 깨서 사방을 둘러보니 어느새 눈이 내려 주위가 온통 백색인데 신기 하게도 선사가누운 자리 주변만 녹아 김이 모락모락 올라가고 있었다.  그 길로 이곳에 토굴을 짓고 수도를 하다가 만연사를 세웠다는 것이다.6.25 이전까지  대웅전, 시왕전, 나한전, 승당,선당, 동상실, 서상실,  동병실, 서별실, 수정료, 송월료등  3전8방과 대웅전 앞의 큰 설루, 설루 아래 사천왕문과 삼청각이 있던 대찰 이 었다. 또 부속암자로는 학당암,  침계암,동림암, 연혈암이 있었는데 한국전쟁 때 전소되었다가 1978년 이후 대웅전, 나한전, 명부전, 한산전,요사채가  복원되었고 암자로는 선정암과 성주암이 있다. 경내에는 1783년에 제작된 도 지정 문화재 제185호로 괘불이 있다. 다산 정약용선생이 젊은 시절 부친이 화순현감으로 부임하던 때에 만연사 동림암에 거쳐한  적이 있으며 국창 임방울 선생이 소리를 가다듬기 위해  이 곳을 찾아 피나는 연습을 하였던 곳이기도 하다. 절에서  동쪽으로 2㎞지점에 만연폭포가 있고 고요한 숲과 계곡의  물이 좋아 소풍객이 즐겨찾는 곳이다.",화순군
7,만연산,전라남도 화순군 화순읍 진각로,126.9950577,35.09432934,http://tong.visitkorea.or.kr/cms/resource/99/2604599_image2_1.jpg,만연산은 화순읍과 광주 동구의 경계선에 위치하여 광주의 명산인 무등산으로 연계되는 산이다. 해발 609m로   화순읍 쪽에서 바라보면 날카로운 바위무리가 솟아있고 곳곳에 너덜이 있어 험하게 보인다.* 별칭 - 나한산,화순군
8,무등산 양떼목장,전라남도 화순군 화순읍 안양산로 537,127.0118923,35.0953434,http://tong.visitkorea.or.kr/cms/resource/51/2608251_image2_1.PNG,"전라남도 화순군 화순읍 수만리에 소재한 무등산양떼목장은 호남의 알프스라 불리으며 탁트인 전경에 감탄을 자아낼정도로 경관이 매우 이국적이고 아름다워 이미 사진작가들 사이에서도  정평이 나 있는 곳이다. 약 10만평 규모의 드넓은 초지에서 약 200여마리의 귀여운 양떼들이 뛰어놀며 풀을 뜯는 모습을 보며 산책할수 있는 산책코스, 음악을 들으며 거리를 걸어보며 살구나무와 그네에서 쉴수 있는 뮤직스트리트 코스, 울타리 안으로 직접 들어가 양들과 뛰어놀며 건초 먹이주기 체험을 해볼수 있는 먹이주기 체험코스, 사계장미와 조각작품이 있는 작은 정원과 미술작품 관람 코스, 봄 여름 가을 겨울 사계절의 풍경을 감상하는 알프스하우스 전망대, 아름드리 숲속에서 쉬면서 파노라마처럼 드넓은 전경을 감상하는 숲속 전망대, 사랑하는 이들과 함께 소중한 추억을 담는 러브 포토존, 목장의 풍경속의 나를 액자에 담아가는 액자 포토존, 시원한 바람을 느끼며 가장 전망 좋은지점으로 올라가보는 풍차 포토존, 간단한 도시락을 드실수있는 야외 파라솔 광장, 동심의 세계로 돌아가 동화책을 읽어볼수 있는 작은도서관 등이 있다.평화로운 목장체험을 통해 도심속에서 지친 몸과 마음을 어느덧 치유할수 있다. 유치원 어린이집 학교 여행사 등단체 관광객도 많이 찾고 있으며 가족단위, 연인들 데이트 코스, 친구들과 떠나는 우정여행지로도 손색이 없는 힐링 여행지라 할수 있다.",화순군
9,무등산국립공원,전라남도 화순군 화순읍 중지길 200,126.9930743,35.10430596,http://tong.visitkorea.or.kr/cms/resource/87/2798187_image2_1.JPG,"무등산국립공원은 정상인 천왕봉을 중심으로 주상절리 등 암석들이 멋진 경관과 어우러져 있다. 그중에서도 가장 으뜸으로 손꼽는 코스는 규봉 코스다. 전남 화순군 화순읍 수만리 수만탐방지원센터에서 출발해 장불재를 거쳐 규봉암에 도착하는 코스로 약 2시간 정도 소요된다. 중생대 백악기 후기에 화산이 폭발하면서 지표에 쌓인 화산재가 굳어 생긴 암석인 주상절리대와 풍화된 암석이 부서져 산비탈을 덮은 지공너덜은 주변 환경과 어우러져 형언하기 어려운 장관을 이루고 있다. 산속의 맑은 공기도 마시고, 계절마다 다양한 빛깔을 뽐내는 야생화도 보면서 걷다 보면 자연의 신비로움과 소중함을 느끼게 된다.",화순군
