,title,addr1,mapx,mapy,firstimage,overview,addr2
0,고창 고색창연마을 [농촌전통테마],전라북도 고창군 신림면 가평1길 65,126.7514613,35.47504603,http://tong.visitkorea.or.kr/cms/resource/42/2513742_image2_1.jpg,"방장산이 마을 남쪽방향으로 병풍처럼 감싸고 있어 조망이 좋은 곳에 위치하고 있으며 마을 앞에는 덕화천이라는 하천이 흐르고 있어, 특히 오래된 당산나무 두 그루가 있어 매년 촌제라고 부르는 제사를 지내고 있다. 고창 고색창연마을은 고창복분자와 기타 잡곡을 중심으로 한 밭농사와 논농사를 주로하는 전형적인 농촌마을로 뒤로는 방장산이 있어 등산을 하기 좋고 양반중심의 전통이 살아 있어 마을에 오시면 옛 선비들의 혼이 살아있는 마을 돌담과 전통가옥들을 만날 수 있다.",고창군
1,고창 고인돌 유적 [유네스코 세계문화유산],전라북도 고창군 고인돌공원길 74 고인돌박물관,126.6515349,35.44151204,http://tong.visitkorea.or.kr/cms/resource/17/2604617_image2_1.jpg,"고창읍에서 4km 쯤 떨어진 도산리 지동마을 김영인씨 댁 뒤 장독대 옆에 깔끔하게 정돈된 북방식(납작한 돌을 양쪽에 높이 세우고 그 위에 복석을 덮은 것) 고인돌 1기가 있고, 3km 정도 선운사 쪽으로 가면, 아산면 상갑리, 고창읍 죽림리, 매산리, 송암리 2km의 지역에 펼쳐진 고인돌군이 나온다. 여기에는 길이5m, 폭4.5m, 높이4m의 150톤으로 추정되는 고인돌을 위시로, 447기의 고인돌군이 각각 고유번호로 흰 페인트로 표시되어 있다. 이 고인돌군은 청동기시대에 이미 취락을 이루고 생활하여왔음을 엿보게 한다. 2000년 11월 29일, 강화, 화순의 고인돌군과 함께 유네스코 지정 세계문화유산에 등록되었고, 그 전후로 상갑리, 죽림리 일대의 유적지가 잘 정돈되었다.",고창군
2,고창 무장 동학농민혁명 기포지,전라북도 고창군 공음면 구암리,126.4959414,35.40427199,http://tong.visitkorea.or.kr/cms/resource/52/1602952_image2_1.jpg,"이 곳에서는 동학농민의 뜨거운 땀방울이 느껴지는 동학농민군의 훈련장이 보이고  바로 옆에는 우리나라 최초의 민권운동으로 민족·민중 운동사의 큰 분수령을 이룬 갑오 동학농민혁명의 제 1차 봉기지로서 만천하에 창의 포고문을 선포한 발상지의 상징인 동학농민혁명 기념탑이 있다. 동학농민혁명 기념탑의 전체적인 모형은 농민혁명의 강렬한 의지와 열성의 횃불을 형상화 하였고 중앙 부조 조각은 제폭구민, 보국안민의 대의를 위해 만방에 봉기할 것을 호소하고 포고문 선포의 역사적인 모습을 표현하여 그 당시의 역동적인 모습을 느낄 수 있도록 하였다. 주위에 배치한 죽창은 그 때 농민군이 사용한 무기로써 분연히 떨쳐 일어섬을 나타냈으며 혁명의 참뜻을 기리고 자손만대에 그 교훈을 널리 기리기 위해 동학농민혁명의 발상지 선양사업의 일환으로 건립하였다.",고창군
3,고창 무장객사,전라북도 고창군 무장면 무장읍성길 45,126.55743,35.41842975,http://tong.visitkorea.or.kr/cms/resource/44/196644_image2_1.jpg,"무장객사는 조선시대때 무장에 내려온 관리나 사신들의 숙소로 사용하던 곳이다. 본관에 걸린 궐(闕)자를 새긴 나무 패는 임금을 상징하는 것으로, 매달 초하루와 보름에 수령과 지방관리들은 여기에 경의를 표했다. 나라에 경사가 있을 때면 사람들은 이곳에 모여 축하의식을 행하였다. 조선 선조 14년(1581)에 건립한 것으로 추정되며 본관과 좌익헌, 우익헌 그리고 몇 개의 출입문이 있었다. 본관은 돌을 쌓고 그 위에 세운 것으로 계단에 새긴 호랑이, 구름 등의 조각이 운치가 있다. 좌우 건물의 지붕이 본관보다 낮은 점은 격을 낮추기 위해서이다. 이 객사의 정청은 정면 3칸, 측면 3칸의 홑처마 맛배지붕 건물로 초석 석재 하부는 네모지게 상부는 반구형으로 다듬고 그 위에 두리기둥을 세운 것 외에 별다른 특징은 없다. 건물 정면의 정원이 원형을 거의 그대로 보존하고 있는 것과는 대조적으로, 객사 건물은 면사무소로 사용하면서 일부 형질을 변경했던 것을 1990년 원형대로 복원하였다. 1973년 6월에 전라북도 유형문화재로 지정되었다.",고창군
4,고창 무장현 관아와 읍성,전라북도 고창군 무장면 무장읍성길 45,126.5575994,35.4179798,http://tong.visitkorea.or.kr/cms/resource/79/1602979_image2_1.jpg,"무장면 성내리에 있는 이 성은 1991년 2월 26일 사적으로 지정되었으며, 성의 남문인  진무루에서 무장초등학교 뒷산을 거쳐, 해리면으로 가는 도로의 좌편까지 뻗어 있는데 성의 둘레는 약 1,400m, 넓이는 144,949.4m²(43,847평)이다. 성내에는 객사, 동헌, 진무루 등 옛 건물이 그대로 남아있고 건물 주변에는 여러가지 유구들이 산재해 있다. 그동안 흙으로만 축조된 토성으로 알려져 왔던 이 성이 공사때에 성벽 동쪽 끝부분의 단면이 드러났었는데  성곽일부가 흙과 돌을 섞어서 축조된 것임이 밝혀졌다. 1915년에 발견된 「무장읍지」에 의하면 조선 태종 17년(1417) 병마사 김저래가 여러 고을의 백성과 승려 등 주민 20,000여명을 동원하여 그해 2월부터 5월까지 만4개월  동안에 축조했다고 전한다. 한편 1894년 일어났던 동학 농민혁명은 이곳 무장읍성에서 맨 처음 봉기하였던 역사의 현장이기도 하다.",고창군
5,고창갯벌 (전북 서해안 국가지질공원),전라북도 고창군 심원면 만돌리,126.514381,35.5311329,http://tong.visitkorea.or.kr/cms/resource/29/2615229_image2_1.bmp,"심원 갯벌은 우리나라 서해안을 대표하는 곰소만 갯벌의 일부로서 평균조차가 약 4m 이상인 대조차 환경에 해당한다. 우리나라 서해안 갯벌은 캐나다의 동부해안, 미국의 동부해안, 북해연안 및 아마존강 유역과 더불어 세계 5대 갯벌 지역으로 알려져 있다. 그 중 하전 갯벌이 포함된 곰소만 갯벌은 우리나라 전체 갯벌 면적에서 차지하는 비율은 크지 않지만 갯벌 전문가에 의해 가장 본격적으로 연구된 갯벌이기도 하다. 이 때문에 과거부터 최근까지도 국내외 해양지질 국제저명 학술지에 지속적으로 논문이 발표되고 있다.곰소만 일대의 갯벌은 세계적인 습지보호지역인 람사르습지와 유네스코 생물권 보전지역의 핵심지역이다. 특히, 하전 갯벌이나 만돌 갯벌은 전북 갯벌체험학습장을 운영하고 있어 전국적인 갯벌 생태체험 학습 명소로도 잘 알려져 있다. 이곳은 전국 최대의 갯벌 바지락을 생산하면서 어촌체험 우수마을로 선정될 정도로 갯벌 생태 관광지로서 도시와 어촌간 교류가 활발한 관광 친화적인 어촌문화를 가꾸어 가고 있다.",고창군
6,고창신재효고택,전라북도 고창군 고창읍 동리로 100,126.7030639,35.43220008,http://tong.visitkorea.or.kr/cms/resource/79/1954579_image2_1.jpg,"판소리를 집대성, 국문학사에 뛰어난 족적을 남긴 동리 신재효 선생(1812~1884)의 고택이다. 판소리박물관 바로 뒷편으로,  뒷뜰은 동리국악당(동리는 신재효의 호)과 모양성(왜구침입에 대비, 1453년 세운 자연석 성곽. 일명 고창읍성)에 대고 있다. 중요 민속자료 제 39호로 지정된 신재효의 고택은 1850년 경에 지어졌으며, 현재 정면 5칸 측면 2칸 규모로 지어진 사랑채와 오동나무, 우물 등이 남아 있다. 판소리문학의 이론가, 연출가이자 광대의 지휘자라는 평을 듣고 있는 신재효 선생은 1812년에 신광흡의 1남 3녀 중 외아들로 이곳 읍내리에서 태어났다.  동리 신재효는 애초 소리꾼이 아니라 재산이 넉넉한 중인 출신이었다. 아버지로부터 물려받은 부를 기반으로 집안을 번창시키면서 판소리의 발전에 남다른 애정을 쏟았다.  동리가에서도 노래했듯이, 그는 ""시내 위에 정자 짓고/ 정자 곁에 포도시렁/ 포도 곁에 연못이라…""를 읊을 줄 알았던 풍류가객이기도 했다.동리선생은 말년까지 이집에 살면서 노래청을 두고 수많은 제자를 불러 명창들을 길러냈으며, 토끼타령, 박타령, 심청가, 적벽가, 춘향가, 가루지기타령 등 6마당의 판소리 사설을 편술했다. 여섯 마당 판소리 중 가루지기타령(변강쇠타령)은 너무 음탕하다고 하여 부르기를 꺼려 왔던 바람에 그 가락이 잊혀지고, 오늘날 다섯 마당만이 전수되어 오고 있다. 신재효 고택은 1979년에 보수, 정화되었다.  선생을 기리기 위해 이 고택 뒤에는 동리국악당을 개관, 고창군에서 운영하고 있으며 고택을 한바퀴 돌아보는 동안 국악당에서 틀어놓은 판소리가 내내 귓전을 울린다. 생가 뜨락 한 켠, 우물 뒷편 담벼락에는 그의 노래비가 세워져 있다.동리와 얽힌 재미난 에피소드 중의 하나가 도리화가 라는 노래에 담겨 있다. 이 노래는  제자이면서 애인이었던 진채선이 대원군의 인정을 받아 운현궁의 기생이 되어 돌아오지 못하자 그이를 그리면서 지은 것이다. 또한 판소리 연구학자들은 동리 선생이 귀명창이었다고 평한다. 실제 소리는못했으나 소리를 이해하고, 사설과 소리의 궁합을 맞출 정도로 뛰어난 음악적 소양을 지닌 인물이었다는 것이다. 신재효 선생의 발자취를 더듬어보는 일은 동리국악당 탐방으로 이어진다. 고택 바로 뒤의 이 건물은 신재효 선생을 기념하고 국악발전을 위해 건립된 곳으로 가야금, 판소리, 민요, 농악 등을 교육하고 있다.",고창군
7,고창읍성,전라북도 고창군 고창읍 모양성로 1,126.7044055,35.43032809,http://tong.visitkorea.or.kr/cms/resource/43/2723743_image2_1.png,"고창은 우리나라에서 군 단위로는 최대의 고인돌 밀집지역이다. 고창읍성(모양성)과 선운사, 그리고 동리 신재효와 미당 서정주의 고장인 고창은 삼한시대인 마한의 54개 소국 가운데 ""모로비리국""의 시초로 열리기 시작, 백제 때에는 ""모량부리현"" 또는 ""모양현""으로 불렸고 고려시대 이래 ""고창현""으로 불렸다. 고창은 방장산을 긴 노령산맥을 등허리에 안고, 서해에 연해지면서 자리한 고을터이다. 특히 고창은 전북의 삼신산 중 하나인 방장산 여맥이 이어져 일으켜 세운 곳이다. 방장산이 좌우로 펼쳐져 고창군 일대를 광할한 대지로 만든다. 고창은 풍수지리학상, 오행에 적합한 형태를 취하고 있는 드문 지역으로 동쪽과 남쪽이 높은 반면 서북쪽이 낮게 형성되어 통풍과 햇빛이 골고루 퍼져 농작물 재배는 물론 인간의 두뇌 형성에도 아주 좋은 인맥의 고장이자 예향으로 널리 알려진 고을이기도 하다.고창의 산야는 전라북도의 다른 시군에 비해 낮은 야산으로 형성되어있다. 즉 비산비야 지역이다.* 연혁 고창읍성은 조선 단종 원년(1453년)에 왜침을 막기 위하여 전라도민들이 유비무환의 슬기로 축성한 자연석 성곽이다. 일명 모양성이라고도 하는 이 성은 나주진관의 입암산성과 연계되어 호남내륙을 방어하는 전초기지로서 국난호국을 위한 국방 관련 문화재로 보존되고 있다. 1965년 4월 1일 사적으로 지정된 이 성의 둘레는 1,684m 높이가4~6m, 면적은 50,172평으로 동, 서, 북문과 3개소의 옹성 6개의 치성을 비롯하여 성 밖의 해자 등 전략적 요충시설이 두루 갖추어져 있다.성내에는 동헌, 객사 등 22동의 관아건물과 2지 4천이 있었으나 전화로 소진되고 성곽과 공북루만 남아있던 것을 1976년부터 옛 모습대로 복원해 오고 있다.* 축성 목적산성은 성과 연결이 잘 되는 곳에 축성하게 되는데, 고창읍성에서 제일 가까운 곳에 입암산성이 있으며, 입암산성은 나주진관과 더불어 호남내륙을 방어하는 요충지였다. 호남내륙에서 한양에 갈 때는 노령산맥인 갈재를 넘어야 했다. 그런데 갈재는 험준하고 봉변을 주는 곳이었다. 이러한 곳을 지키고 영광, 고창, 장성 등 부근 지역의 농산물과 해산물을 법성포를 통해 반출하는 것을 막는 역할을 입암 산성이 담당했었다. 서해안을 노략질하는 왜구도 입암산성에서 막아야 하는데, 입암산성과 법성포와 고창, 영광지역은 너무 멀어 입암산성의 힘이 크게 미치지 못해 서해안 일대를 지키는 전초기지가 절대적으로 필요했다. 고창읍성은 이런 이유로 축성되었고 호남내륙을 왜구의 노략질로 부터 지켜왔다.* 축성방식축성에 사용된 석재는 거의 자연석이지만 초석, 대리석, 당간지주 등 어느 절에서 나온듯한 석재들을 깨뜨려 쓴 것도 가끔 끼여 있다. 특히 북문인 공북루의 주춧돌 높이는 제각각이라서 1m쯤 되는 것이 있는가 하면 아예 땅에 깔려 기둥이 바닥까지 내려온 것도 있어서 이채롭다.* 고창읍성의 특징조선시대의 읍성들은 평야지대에 양면을 돌로 쌓아 만들고 성문위에는 누각을 지어 적을 감시하고 전투를 지휘했으며 성내에서는 관민이 함께 생활하였다. 그런데 고창읍성만은 나즈막한 야산을 이용하여 바깥쪽만 성을 쌓는 내탁법 축성 기법을 사용하였으며, 성문 앞에는 옹성을 둘러 쌓아 적으로부터 성문을 보호할 수 있도록 축성하였다. 또한, 성내에는 관아만 만들고 주민들은 성밖에서 생활하다가 유사시에 성안으로 들어와서 함께 싸우며 살 수 있도록 4개의 우물과 2개의 연못을 만들어 놓았다. 성벽에는 축성에 참여했던 고을 이름과 축성연대가 새겨져 있어 계유년(1453)에 전라 좌, 우 도민들이 모두 참여하여 축성했음을 알 수 있다.▶ 답성(성밟기)놀이성을 밟으면 병이 없어 오래살고 저승길엔 극락문에 당도한다는 전설 때문에 매년 답성놀이 행사가 계속되고 있으며, 성밟기는 저승문이 열리는 윤달에 해야 효험이 많다고 하며 같은 윤달이라도 3월 윤달이 제일 좋다고 한다. 또한 엿새날이 저승문이 열리는 날이라고 하여 초엿새, 열엿새, 스무엿새날에 답성 대열이 절정을 이루고 있다. 성을 ""한 바퀴 돌면 다리병이 낫고, 두 바퀴 돌면 무병장수하며 세 바퀴 돌면 극락승천 한다.""고 한다. 성을 돌 때는 반드시 손바닥만한 돌을 머리에 이고 성을 돌아 성 입구에 다시 그 돌을 쌓아 두도록 되어 있다. 고창 읍성이 아낙네들의 힘만으로 축조되었다는 전설적 사연으로 답성도부녀자들 만의 전유민속이 되었지만 흙 한줌, 돌 한 개도 모두가 부녀자들의 손과 머리로 운반, 구축되었던 당시의 대역사를 되새겨 보는 뜻으로 돌을 머리에 이고 도는 풍습이 남아있다. 또한 돌을 머리에 이고 성을 도는 관습은 여인네들의 체중을 가중시켜 성을 더욱 단단히 다지게 하는 의도였을 것이다. 그리고 가장 깊은 뜻은 이 성곽의 축성 배경이 왜침을 막기 위한 것이었으므로 유사시의 석전에 대비하는 유비무환의 예지로서 머리에 인 돌을 성안에 쌓아 두고갔다는 전설도 모두가 호국의 예지를 빛내 주는 이야기들이다. 고창군에서는 답성민속을 기리기 위해 음력 9월 9일인 중양절을 군민의 날로 정하고「모양성제」와 함께 답성놀이를 재현하고 있다.▶ 수문장 재현음력 9월 9일을 전후하여 4일간 ''모양성제''가 열리며, 이때 조선시대 관군복장을 갖춘 수문장이 고창읍성을 수호하는 장면을 재현된다. 고창 읍성의 성곽 주위에 수십개의 옛 진영 깃발을 꽂아 고을수령(현감)이 재임하던 시절 관아의 위엄을 갖춰놓고 형형색색의 멋진 조선시대 관군복에 칼을 든 수문장과 흑백색의 순라복장에 창을 든 포졸을 공북루에 배치했다. 특히, 스스로 관군이 되어보기를 원하는 관광객을 위해 관리사무소에 관군복을 비치해 놓고 이를 빌려줌으로써 사진촬영을 통해 관군으로서의 체험도 직접할 수 있도록 프로그램도 마련해 놓고 있다.▶ 척화비이 비는 조선말기에 대원군이 펼친 쇄국정책의 상징이라 할 수 있는 것으로 병인년에 비문을 만들고 신미년(1871)에 세워 진 것이다. 비문의 내용은 ""서양 오랑캐가 침범하는데 싸우지 않는 것은 곧 화친을 하자는 것이요, 화친을 하자는 것은 나라를 파는 것 임을 온 백성에게 경계한다."" 라는 뜻이다. 이 비문을 지은 병인년에는 천주교에 대한 탄압도 도화선이 되어 병인양요가 발생하였고, 비를 만들어 세우 신미년에는 미국군함이 강화도를 침범한 신미양요가 발생하였다.▶ 관아건물읍성 내에는 22동의 관아건물이 있었으나, 전화로 소진되고 1976년부터 지금까지 동헌과 객사 등 12동의 관아건물을 복원완료하였고 나머지 10동도 복원할 계획으로 있다.",고창군
8,고창읍성 도예체험장,전라북도 고창군 고창읍 동리로 120,126.7054776,35.43250008,http://tong.visitkorea.or.kr/cms/resource/57/2687457_image2_1.jpg,"한옥으로 지어진 편하고 쾌적한 체험공간으로 가마, 물레, 토륜기, 각종 도구 등 완벽한 시설을 구비한 곳이다. 실내, 실외 체험이 모두 가능하며 전통자기부문 명인의 강의를 받을 수 있다.",고창군
9,고창하전갯벌마을,전북 고창군 심원면 하전리,126.5654405,35.52476781,http://tong.visitkorea.or.kr/cms/resource/97/1602997_image2_1.jpg,"바다와 갯벌을 논밭으로 삼아 살아가는 마을이다. 곰소만을 따라 펼쳐진 마을의 해안선은 10km 정도이며 갯벌의 면적은 170ha에 이른다. 이 갯벌에서 연간 4000여톤에 이르는 바지락이 생산된다. 가히 전국 최고의 규모라 하겠다.이 가운데 70% 이상을 일본에 수출하고 있다. 주민 대부분은 수산업을 주업으로삼아 77척의 어선을 보유하고 있으며 대하, 김, 굴 등의 양식업도 겸하고 있다.  경운기를 타고 넓은 갯벌에 들어가 조개를 잡고 갯벌생태를 체험해보는 이 마을은 연간 방문객이 2만 명을 넘는 최고의 갯벌체험 장소이다. 마을 주민을 따라나서면 언제든지 바지락 등 조개채취체험이 가능하다. 바다를 만난 뒤에는 선운산도립공원을 들러 선운사와 도솔암, 고창 고인돌공원, 고창읍성 답사 등에 나서 본다.",고창군
