,title,addr1,mapx,mapy,firstimage,overview,addr2
0,귀신사(김제),전라북도 김제시 금산면 청도6길 40,127.0470226,35.74531483,http://tong.visitkorea.or.kr/cms/resource/00/612500_image2_1.jpg,"귀신사는 금산사에서 모악산 서쪽 고개를 통하여 전주로 넘어가는 길 옆에 있는 청도 마을에 자리잡고 있다. 지금의 이 절은 대한 불교 조계종에 속해 있는데 처음 세워질 때에는 화엄종이었다고 한다. 일반적으로 이 절은 의상대사(義相大師)가 문무왕(文武王) 16년(676년)에 세운 것으로 알려져 있다. 그런데 귀신사에서 이 절에 관하여 여러가지 조사를 하고 있는 박희선(朴熙善)씨는 백제 법왕(百濟 法王) 때 왕실의 내원사(內願寺)로서 처음 세워졌다고 주장한다. 그 근거로써 귀신사 경내에 있는 석수(石獸)의 남근석(男根石)을 들고 있다. * 석수 석수의 몸길이는 158cm이고 높이는 62cm이다. 등에 올려진 석주는 2단으로 되어 있는데 아랫부분이 72cm, 윗부분이 40cm이며 전라북도 유형문화재로 지정되어 있다. 돌짐승상은 삼층 석탑이 서있는 방향과 달리 서 있다. 멀리 보이는 규봉을 바라보고 서 있는 것이다. 이곳은 모악산 봉우리들로 둘러 싸여 아늑한 느낌을 주는데 멀리 규봉이 남의집 담을 기웃거리듯 살짝 들여다보는 형상이라 이 돌짐승을 세웠다 한다. 한편 그 돌짐승상들은 '석등'을 올려놓은 짐승이였고, 석등과 석주는 그 모양이 완전히 파손되어 현재의 모양으로 남아서 그 의미가 잘못 전해지고 있다. 이 절의 이름은 국신사(國信寺), 귀신사(鬼神寺), 구순사(狗脣寺) 또는 귀신사(歸信寺) 등으로 불렸는데, 각각의 이름이 어느 시기에 그렇게 불렸는지 알 수 없다. 현재 절에는 지방유형문화재인 3층석탑을 비롯하여 지방유형문화재인 석수와 지방유형문화재인 부토(浮屠) 등의 석조물이 있으며, 건물로는 보물 인 대적광전(大寂光殿), 명부전(冥府殿) 그리고 한 채의 공양 집이 있다.",김제시
1,금산사(김제),전라북도 김제시 금산면 모악15길 1,127.0534615,35.72274529,http://tong.visitkorea.or.kr/cms/resource/41/1603941_image2_1.jpg," 모악산 도립공원 입구에 우뚝 서 있는 금산사는 백제 법왕 원년(599)에 창건되고, 776년에 진표율사가 고쳐 지어 대가람의 면모를 갖추게 되었다. 경내에는 국보로 지정된 미륵전을 비롯하여 지정문화재 10여점이 있으며, 그 외에도 부속 건물이 많아 호남 제일의 고찰로 손꼽힌다. 목조로 된 미륵전은 우리나라에서 하나뿐인 삼층법당으로 내부는 통층으로 되어있다. 봄철이면 산 입구에서부터 금산사까지 늘어선 벚꽃나무의 장관을 보려고 각지에서 몰려오는 관광객들로 붐비며, 한 겨울에도 신도들이 미륵전의 미륵 보살상을 찾아와 절을 올리거나 탑을 빙빙 도는 모습을 볼 수 있다. 미륵전 미륵보살상은 옥내 입불로서는 세계 최대라 하며 삼존불중 가운데 미륵불상이 11.82m, 좌,우불상은 8.8m나 된다. 1999년에 개산 1400주년을 기념하여 만든 1400주년 기념관에서는 각종 문화 행사가 열린다.* 주요문화재 *미륵전(국보), 노주(보물), 석연대(보물), 혜덕왕사 진응탑비(보물), 금산사 오층석탑(보물), 금산사 방등계단(보물), 금산사 육각다층석탑(보물), 금산사 당간지주(보물), 심원암 북강삼층석탑(보물), 금산사 대장전(보물), 금산사 석등(보물)",김제시
2,김제평야,"전라북도 김제시 만경읍 화포리,소토리,청하면 동지산리 일대",126.8158008,35.88143425,http://tong.visitkorea.or.kr/cms/resource/41/613641_image2_1.jpg,"평야 지대로는 김제시의 대표적인 들(野)로 불리우는 만경들이 위치해 있는 곳으로 1926년  화포리, 소토리, 청하면 동지산리 일대 5,360m, 392㏊ 규모의 화포 방조제의 준공으로 개간된 만경강 하구의 해안 퇴적 평야이다. 만경리, 몽산리(몽산들)의 평야는 벽골제와 함께 오랜 저수지의 하나인 능제의 몽리구역으로 오래전에 개간된 숙전(熟田)이다. 만경은 글자대로 풀면 두둑이 만개라는 뜻으로 이는 곧 들이 넓다는 뜻이라고 한다. 또한 금만평야의 광활한 농토가 지면이나 수면에 한없이 넓다는데서 불리워졌다고 한다. 옛부터 산자수명하여 유명한 곳이 많으며 만경현의 주산(主山)인 두산(杜山)을 위시로 주위 산천을 지칭한다.",김제시
3,김제향교,전라북도 김제시 향교길 89-3,126.8795083,35.80057511,http://tong.visitkorea.or.kr/cms/resource/31/1603931_image2_1.jpg,"1404년(태종 4)에 현유(賢儒)의 위패를 봉안, 배향하고 지방의 중등교육과 지방민의 교화를 위해 창건되었다. 정유재란 때 소실되었다가 1635년(인조 13)에 중건하였으며, 그 뒤 몇 차례의 중수를 거쳐 오늘에 이르고 있다. 현존하는 건물로는 대성전·명륜당·동무(東?)·서무(西?)·동재(東齋)·서재(西齋)·만화루(萬化樓)·교직사(校直舍)·내삼문(內三門) 등이 있다. 명륜당은 임진왜란 때에 소실된 것을 1842년에 보수하고 1879년에 중수하였으나 6·25사변 때 다시 소실된 것을 1958년에 복구하였으며, 정면 5칸, 측면 3칸의 고주(高柱)집으로 되어 있다. 동재는 정면 3칸, 측면 1칸의 맞배지붕이며, 만화루는 2층 누각인데 임진왜란 때에 소실된 것을 1635년에 복원하고 1964년에 중수한 정면 5칸, 측면 2칸의 팔작지붕이다. 조선시대에는 국가로부터 전답과 노비·전적 등을 지급받아 교관이 교생을 가르쳤으나, 현재는 교육적 기능은 없어지고 봄·가을에 석전(釋奠)을 봉행(奉行)하고 초하루·보름에 분향을 하고 있으며, 전교(典校) 1명과 장의(掌議) 수명이 운영을 담당하고 있다. 1973년 향교 일원에 대한 보수가 있었으며, 소장 전적은 18종 25책으로 주로 경서의 낙질본이고, ≪향안 鄕案≫ 등은 보존되어 있지 않다.",김제시
4,만경향교,전라북도 김제시 만경읍 두내산1길 25-10,126.821076,35.85433188,http://tong.visitkorea.or.kr/cms/resource/52/1603952_image2_1.jpg,"1407년(태종 7)에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위해 창건되었다. 처음에는 동헌(東軒) 서편에 있는 송전리에 설립되었으나 1620년(광해군 12)에 소실되었으며, 1637년(인조 15) 현재의 위치로 옮겨 중건하였다. 1971년에 동재와 서재를, 1975년에 대성전과 명륜당을 보수하였다. 현존하는 건물로는 정면 3칸과 측면 2칸의 맞배지붕으로 된 대성전, 정면 5칸과 측면 2칸의 팔작지붕으로 된 명륜당, 정면 4칸과 측면 2칸의 우진각지붕으로 된 동재, 정면 3칸과 측면 2칸의 우진각지붕으로 된 서재 등이 있다. 대성전에는 5성(五聖), 송조2현(宋朝二賢), 우리나라 18현(十八賢)의 위패가 봉안되어 있다. 조선시대에는 국가로부터 토지와 전적·노비 등을 지급받아 교관이 교생을 가르쳤으나, 갑오경장 이후 신학제 실시에 따라 교육적 기능은 없어지고, 봄·가을에 석전(釋奠)을 봉행(奉行)하며, 초하루·보름에 분향을 하고 있다. 대성전은 전라북도 문화재자료 제114호로 지정되어 있으며, 소장 전적으로는 사서삼경과 집해류 등 180여권이 있다. 현재 전교(典校) 1명과 장의(掌議) 수명이 운영을 담당하고 있다.",김제시
5,망해사,전라북도 김제시 진봉면 심포10길 94,126.7156797,35.8597239,http://tong.visitkorea.or.kr/cms/resource/11/2675611_image2_1.jpg,"김제에서 서북방 약27km 지점에 있으며 심포 어항에 이르기 1km 전방에서 오른쪽 언덕바지 진봉산 능선따라 올라가 고개 너머 왼쪽으로 즉 큰길에서 약500m지점 정도를 내려가면 깎은듯이 세워진 기암괴석 벼랑위에 망망대해 서해의 파도가 출렁이고 고군산열도가 내다보이는 곳에 세워져 있어 이름 그대로 망해사이다.
전하는 바로는 이곳은 본시 섬이었다 하여 642년(백제 의자왕 2년)에 부설거사가 까닭이 있어 이곳에 사찰을 개창하여 수도하다가 입적하신 곳이라 하며 그 후 754년(경덕왕 13년)에 당나라의 중 중도법사(일명 통장화상)가 중창하였으나 조선조에 들어 많은 수난을 당하였다.
그 뒤 인조대왕 때 만경 불거촌출신인 고명한 화상인 진묵대사가 재건복구하여 크게 번창하였는데 그 때가 망해사로서는 최강전성기였으며, 그 후 흥망성쇠를 거듭하면서 오늘에 이르고 있는 것이다.
망해사 경내에는 보광명전 낙서전 칠성각 요사 그리고 4개의 부도가 있다

*낙서전
전라북도 문화재자료 제128호 (지정연도 : 1986년 9월 8일)
망해사 편액은 낙서전에 걸쳐있어 그 역사의 일부를 엿볼 수 있으며, 낙서전은 비록 규모가 작으나 이익공집으로 초가지가 섬세하게 조각되어 있고 구식 한와로 지붕을 덮고 있다.
이 낙서전은 1589년(조선 선조 22년)에 진묵대사가 처음으로 세웠고 그 후 1933년과 1977년에 중수된 것으로 알려져 있다.
주불로 아미타불좌상(불신고58cm, 슬폭48cm, 좌대고18cm, 폭57cm) 우측 부처상으로는 관세음보살상(불신고58cm, 슬폭33cm, 좌고13cm, 폭40cm)을 모셔놓고 있는데 규모는 작지만 연화좌대위에 안치된 좌상으로서 조각의 수법이 기묘하다.
건물의 외형은 팔작지붕의 ㄱ자형으로써 앞으로 한 칸 나온 부분에는 마루가 놓여있고 그 위에 근래에 만든 종이 걸려있다.
또한 건물의 오른쪽에는 방과 부엌이 딸려 있어서 원래 이 낙서전은 법당 겸 요사로 사용되었음을 짐작케 하고 있다. 낙서전 맞은 쪽에는 노거수가 2그루 있어 망해사의 역사가 오래되었음을 증명해 주고 있다.

*봉수대
서해에 접하고 있는 봉화산 꼭대기에 봉화대가 설치되어 있다.
진봉반도 서남쪽 육지의 맨 끝부분에 있는 해발 50 - 60m 높이의 산인데 산아래 (서남쪽)는 황해이고 서북쪽은 만경강 입구, 동남쪽은 동진강 입구이다. 따라서 오직 동북쪽으로 만경강 연안에 봉화산 높이와 비슷한 산들이 줄지어 서 있을 뿐이고 동쪽으로는 진봉평야가 하나로 이어져 호남평야를 이루고 있다.
봉수대의 상단좌대는 가로 6m, 세로 10m의 직사각형이며 서북쪽과 동북쪽은 능선이 있고, 좌우는 절벽이다. 그리고 산꼭대기의 넓이가 100평 정도인데 세계단으로 단위 모형을 나타내어 특징이 있다. 확실한 축조연대는 알려지지 않았으나 우리나라 봉수대를 설치한 것이 고려시대라고 할 때, 이 곳 봉수대의 축조도 고려시대로 보아야 될 것 같다.
봉수는 횃불과 연기로 소식을 전하던 옛날의 통신방법으로 낮에는 연기를 피우고 밤에는 횃불을 올려 신호하였다. 우리나라에서 이 방법을 사용한 것은 아주 오랜 옛날이었으나 법을 만들어 이 제도를 실시한 것은 고려 의종 3년(1149년) 서북면 병마사 조진약이 임금께 아뢰어 실시하였으며, 조선 세종 때 정식으로 봉수제도를 마련 하였다. 봉수제도에서는 평상시에 하나, 적이나타나면 둘, 적이 국경에 가까이 다가 오면 셋, 적이 국경을 넘으면 넷, 우리 군사와 적군이 싸우면 다섯 개의 불을 피워 위급한 소식을 전했다고 한다.
한편 봉화산의 봉수대가 조선시대에 들어와서 일반 백성들에게 피해를 입히는 것이라고 말썽이 일어나자 이것을 계화도로 옮겼다는 이야기도 있는데 사실인지는 확인할 길이 없다.",김제시
6,모악산도립공원,전라북도 김제시 금산면 모악15길,127.0561029,35.72282866,http://tong.visitkorea.or.kr/cms/resource/89/1974389_image2_1.jpg,"금산사, 귀신사, 수왕사, 대원사 등을 품은 모악산은 높이 795.2m로 김제평야의 동쪽에 우뚝 솟아있어 호남평야를 한눈에 내려다 볼 수 있다. 1971년 도립공원으로 지정되었으며 호남 4경의 하나로 경관이 빼어 나고 국보와 보물 등 문화재가 많다.  특히 이곳에는 백제 법왕 원년(599년)에 세워지고 10여 점의 각종 주요문화재를 갖고 있는 금산사가 자리하고 있어, 찬란한 불교예술을 살펴볼 수 있으며 모악산을 넘으면 동남쪽 중턱에 대원사, 수왕사 등 사찰이 있고 서쪽으로 귀신사가 있으며, 금산사 입구 금평저수지는 낚시터로도 적당하다.

모악산은 예로부터 미륵신앙의 본거지로 여겨져, 증산교의 본부와 더불어 30~40년대 각종 신흥종교 집단지로도 관심을 끌어 기록에 의하면 모악산 기슭에는 대원사, 귀신사, 수왕사 등 사찰을 비롯 무려 80여개의 암자가 있었다고 한다. 등산을 하려면 금산사를 벗어나 심원암 뒤쪽의 능선을 따라 오른다. 봄철이면 정상까지 진달래가 만발해 꽃구경을 하면서 오를 수 있다. 정상에서는 김제평야와 만경강이 시야에 들어오고 전주시와 운장산도 보인다. 주차장에서 일주문에 이르기까지 벚꽃터널도 장관이다.",김제시
7,백석서원,전라북도 김제시 범득골길 187-22,126.8637039,35.80979601,http://tong.visitkorea.or.kr/cms/resource/41/2724141_image2_1.jpg,"백석서원은 1652년(효종 3) 유집(柳楫)의 학문과 덕행을 추모하기 위해 승방산에 세워졌던 하나의 사당이었다. 1696년(숙종 22)조속(趙涑)을 추가배향하고, 그 뒤 유도(柳棹)를 모셨다. 1868년(고종 5)에 대원군의 서원훼철령으로 철폐되고 1902년 지금의 자리에 단(壇)을 설치하였으며 1946년 복원하여 오늘에 이르고 있다. ",김제시
8,성모암(김제),전라북도 김제시 만경읍 화포3길 54-9,126.8052988,35.88682512,http://tong.visitkorea.or.kr/cms/resource/57/1603957_image2_1.jpg,"성모암은 전라북도 김제시 만경면 화포리 431번지 유앙산(維仰山)에 자리한 한국불교 조계종 사찰이다. 성모암은 불교계의 거목으로서 전북지역의 고승이던 진묵대사 어머니의 묘소가 모셔져 있는 곳이다. 불심과 효심이 다르지 않다고 여긴 진묵대사께서 어머님이 돌아가시자 무자손천년향화지지(無子孫 千年香火之地)에 어머님을 모셨다. 성모암에 도착하면 주차장부터 경내까지 좌우로 나지막한 석등이 쭉 늘어서 있는 것이 인상적이다.

그 석등을 지나 경내 왼쪽의 야트막한 구릉에 진묵대사 어머니의 무덤이 잘 가꾸어져 있고, 무덤을 돌볼 고시래전이 있는 것도 전국에 유일무이하다. 이곳에서 성모님께 지극 정성으로 기도하면 소원이 이루어진다는 영험이 전하면서 참배와 향화가 그치질 않는 곳이기도 하다. 고시래전을 비롯하여 성모암의 몇몇 전각은 매우 독특하다. 극락보전은 서방 극락정토를 구현하여 전각 내 세 벽마다 개인 감실을 두고 있어 영혼의 안식처인 납골당을 안치하고 있는 셈이다. 한편 산신각은 여느 전각과 달리 초가로 지붕을 씌웠을 뿐만 아니라 문살에는 귀와 눈과 입을 가리거나 합장을 한 동자를 화려화게 조각해 두었다.",김제시
9,아리랑문학마을,전라북도 김제시 죽산면 화초로 180,126.8425484,35.7743969,http://tong.visitkorea.or.kr/cms/resource/91/2788191_image2_1.jpg,"조정래 작가의 대하소설 아리랑 속 장소들을 재현한 아리랑 문학마을은 김제를 배경으로 민족의 수난과 투쟁의 역사를 체험할 수 있는 곳으로 홍보관, 하얼빈 역사, 이민자 가옥, 내촌 외리 마을, 근대 수탈 기관으로 구성되어 있다. 홍보관 1층 벽면에 12권짜리 대하소설 대강의 줄거리를 한눈에 볼 수 있고, 2층은 죽음도 불사하고 나라를 독립시키려고 전진했던 김제 출신의 독립투사들에 관한 이야기를 담아냈다. 안중근 의사의 하얼빈 의거 장면을 실감 나게 볼 수 있는 하얼빈 역사, 일제의 수탈에 고향을 떠나 타지로 갔던 사람들의 열악한 이민자 가옥, 근대 수탈 기관을 재현해낸 내촌이 재현되어 있다. 외리 마을의 촌락과 토지조사사업으로 조선의 땅을 빼앗는 데 활용되었을 망원경, 나침반, 카메라, 주판, 등사기 등이 전시된 죽산 면사무소, 주재소(일제강점기 순사가 근무하던 기관), 우체국, 정미소 등도 관람할 수 있다.",김제시
