,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가왕 송흥록 박초월 생가(송홍록생가),전라북도 남원시 운봉읍 비전길 7,127.5626899,35.45757586,http://tong.visitkorea.or.kr/cms/resource/52/2791552_image2_1.jpg,가왕 송흥록 박초월 생가는 남원시 운봉읍 화수리 비전마을에 자리 잡고 있다. 비전마을에는 동편제의 태자리가 있다. 서편제와 더불어 판소리 양대 산맥 중 하나인 동편제가 이곳에서 첫 소리를 냈다. 동편제 창시자로서 판소리계에서 최고의 칭호인 가왕으로 불리는 송흥록 명창이 이곳 비전마을에서 태어났다. 그는 200년 판소리 역사 속의 허리 역할을 단단하게 해낸 인물로 꼽힌다. 송흥록 생가 옆에 국창 박초월 선생의 생가도 나란히 자리하고 있다.,남원시
1,가장마을,전라북도 남원시 운봉읍 가장길 4,127.517934,35.41012211,http://tong.visitkorea.or.kr/cms/resource/92/2800792_image2_1.jpg,가장마을은 노치마을 오른쪽에 있는 덕산저수지 동쪽의 구릉 지대와 경계로 접하고 있다. 노치마을의 동쪽부터 가장마을까지 이어지는 들판은 해발 500m 고지라고는 믿어지지 않을 만큼 너른 들녘이 이어진다. 또한 섬진강과 낙동강을 이루는 물줄기가 처음 이루는 곳이 광천인데 이 물길은 운봉읍을 지나면서는 ‘람천’이라는 이름으로 사람들이 더 많이 부르고 있다. 풍수지리에 의하면 하늘에서 내려온 선녀가 화장을 하는 형국이라 하여 가장리(佳粧里)라 불렀다 한다. 지금은 들녘에 농사짓는 움막 터를 뜻하는 농막 장(庄) 자를 써 가장리(佳庄里)로 쓰고 있다. 마을 사람들은 옥녀봉 아래에 옥녀가 베를 짜는 옥녀직금의 천하명당이 있다고 믿고 있다.,남원시
2,광한루,전라북도 남원시 요천로 1447,127.3795269,35.40327881,http://tong.visitkorea.or.kr/cms/resource/05/1604105_image2_1.jpg,"1638년(인조16) 재건한 조선을 대표하는 누각이다. 남원시 천거동에 있다. 광한루는 본래 조선 초에 지어진 건물이다. 1419년 남원으로 유배온 명재상 황희가 광한루를 올렸다. 당시의 이름은 광통루였다. 1434년 중건의 과정을 거쳤는데, 정인지가 광한청허부(廣寒淸虛府)라 칭한 후 광한루라는 이름으로 불리게 되었다. 광한청허부는 달나라의 옥황상제가 사는 궁전을 뜻한다. 밀양 영남루, 진주 촉석루, 평양 부벽루와 함께 우리나라 4대누각에 들 정도로 만듦새가 뛰어나다. 광한루는 정면 5칸, 측면 3칸으로 이루어진 팔작지붕형태의 건물로 보물로 지정되어 있다. 광한루를 포함하여 연못, 방장정, 영주각 등이 어우러진 정원인 광한루원은 명승으로 지정되었다..",남원시
3,광한루원,전라북도 남원시 요천로 1447,127.3793853,35.40290385,http://tong.visitkorea.or.kr/cms/resource/27/219427_image2_1.jpg,"신선의 세계관과 천상의 우주관을 표현한 우리나라 제일의 누원이다.원래 이곳은 조선 세종 원년(1419)에 황희가 광통루라는 누각을 짓고, 산수를 즐기던 곳이었다. 1444년 전라도 관찰사 정인지가 광통루를 거닐다가 아름다운 경치에 취하여 이곳을 달나라 미인 항아가 사는 월궁속의 광한청허부(廣寒淸虛府)라 칭한 후 ‘광한루’라 이름을 부르게 되었다. 1461년 부사 장의국은 광한루를 보수하고, 요천의 맑은 물을 끌어다가 하늘나라 은하수를 상징하는 연못을 만들었다.호수에는 지상의 낙원을 상징하는 연꽃을 심고, 견우와 직녀가 은하수에 가로막혀 만나지 못하다가 칠월칠석날 단 한번 만난다는 사랑의 다리 ‘오작교’를 연못 위에 설치하였다. 이 돌다리는 4개의 무지개 모양의 구멍이 있어 양쪽의 물이 통하게 되어 있으며, 한국 정원의 가장 대표적인 다리이다.1582년 전라도 관찰사로 부임한 정철은 광한루를 크게 고쳐 짓고, 은하수 연못 가운데에 신선이 살고 있다는 전설의 삼신산을 상징하는 봉래·방장·영주섬을 만들어 봉래섬에는 백일홍, 방장섬에는 대나무를 심고, 영주섬에는 ‘영주각’이란 정자를 세웠다. 그러나 정유재란 때 왜구들의 방화로 모두 불타버렸다.현재의 광한루는 1639년 남원부사 신감이 복원하였다. 1794년에는 영주각이 복원되고 1964년에 방장섬에 방장정이 세워졌다. 이 광한루원은 소설 『춘향전』에서 이도령과 춘향이 인연을 맺은 장소로도 유명하여, 1920년대에 경내에 춘향사를 건립하고 김은호 화백이 그린 춘향의 영정을 모셔 놓았다. 해마다 음력 5월 5일 단오절에는 춘향제가 열린다.",남원시
4,구룡계곡,전라북도 남원시 주천면 구룡폭포길,127.4810627,35.39225682,http://tong.visitkorea.or.kr/cms/resource/00/529600_image2_1.jpg,"이 계곡은 지리산 국립공원 북부지소가 있는 주천면 호경리에서부터 구룡폭포가 있는 주천면 덕치리까지  펼쳐지는 심산유곡이다. 수려한 산세와 깍아지른 듯한 기암절벽으로 이어지는 이 계곡은 길이가 약 3㎞이다. 정상에 오르면 구곡경의 구룡폭포가 있다. 남원 8경 중 제1경인 구룡폭포 아래에는 용소라 불리는 소가 형성되어 있는데, 옛날에 이곳에서 용이 승천했다는 전설이 있다. 지리산 관광도로가 개설되어 구룡계곡의 스카이웨이는 한층 편리하게 이곳 경치를 구경할 수 있게 해준다. 계곡을 따라 오르는 정령치간 도로는 뱀사골(반선)과 노고단으로 이어져 지리산의 진수를 맛보게 해준다.
구룡계곡, 일명 용호구곡을 구간별로 소개하면,
* 제1곡
주천쪽 지리산 국립공원 매표소에 조금 못미치고 있는 송력동폭포를 1곡이라 하며, 이곳을 흔히 약수터로 불린다.
 * 제2곡
매표소를 조금 오르면 높이 5m의 암벽에 이삼만이 썼다는 용호석문이란 글이 음각되어 있는 절벽 아래 흰 바위로 둘러싸인 못이 2곡으로 불영추라 한다.
* 제3곡
육모정에서 300m 지점에 있는 황학산 북쪽에 암석층이 있는데  이 암벽 서쪽에 조대암이 있다. 이 조대암 밑에 조그마한 소가 바로 4곡인데, 학들이 이 곳에서 물고기를  잡아 먹는다해서 학서암이라 한다.
* 제4곡
학서암에서 300m쯤  오르면 유난히도 흰 바위가 물에 닳고 깎여 반들거리고, 구시처럼 바위가 물살에 패여 있다. 또 거대한 바위가  물 가운데 우뚝 솟아 있는가 하면 건너편 작은 바위는 중이 꿇어 앉아  독경하는 모습같다 하여 서암이라고 하며, 일명 구시소로 더 알려져 있다.
* 제5곡
구시소에서 1km 지점에 45도 각도로 급경사를 이룬 암반을 미끄러지듯  흘러내린곳에 깊은 못이 5곡인 유선대이다. 유선대 가운데에 바위가 있는데 금이 많이 그어져 있기 때문에 신선들이 바둑을 두었다는 전설이 있다. 이때 신선들이 속세 인간들에게 띄지 않기 위해서 병풍을 치고 놀았다 하여 은선병이라고도 한다.
* 제6곡유선대로부터 500~600m쯤 거리에 구룡산과 그밖의 여러갈래 산줄기에서 흘러내린 계곡 물이 여기에서 모두  합류한다.  둘레에 여러 봉우리가 있는데 제일 뾰족한 봉우리가 계곡물을 내지르는듯하여 그 봉우리 이름을 지주대라 하고, 이곳을 6곡이라 한다.
 * 제7곡
지주대로부터 왼쪽으로 꺾이면서 북쪽으로 1km지점에 거의 90도 각도로 깎아지른듯한 문암이라는 암석층이 있는데, 이에 속한  산이 반월봉이고 여기서 흘러내린 물은 층층암벽을 타고 포말려 비폭동이라 하며 이를 7곡이라 한다. 
* 제8곡
비폭동에서 600m쯤 올라가면 거대한 암석층이 계곡을 가로질러 물 가운데 우뚝 서있고, 바위 가운데가 대문처럼 뚫려 물이 그 곳을 통과한다해서 석문추라 하는데,바로 이곳이 8곡이다. 경천벽이라고도 부른다.
* 제9곡
경천벽에서 500m 상류 골짜기 양켠의 우뚝 솟은 두 봉우리가  있다. 멀리 지리산에서 발원한 물줄기가 두 갈래 폭포를 이루고, 폭포 밑에 각각 조그마한 못을 이루는데, 그 모습이 마치 용 두 마리가 어울렸다가 양쪽 못 하나씩을 차지하고 물 속에 잠겨 구름이 일면 다시 나타나 서로 꿈틀 거린 듯하므로 교룡담이라  하고, 이곳이 바로 9곡이다. 바로 구룡계곡의  백미,  아홉 마리 용이 살다가 승천했다는 전설을 지닌 구룡폭포이다.",남원시
5,국악의 성지,전라북도 남원시 운봉읍 비전길 69,127.5676311,35.46046451,http://tong.visitkorea.or.kr/cms/resource/88/1604088_image2_1.jpg,"지리산 자락 황산 기슭에 위치한 곳으로, 국악전시 체험관, 독공실, 야외공연장, 국악인 묘역, 사당 등의 시설물로 이루어져 있고, 판소리를 비롯한 우리 음악의 모든 것을 알 수 있는 곳이다.",남원시
6,군화마을,전라북도 남원시 운봉읍 군화동길 48-1,127.5707003,35.45771488,http://tong.visitkorea.or.kr/cms/resource/06/2800806_image2_1.jpg,"군화마을은 운봉읍 화수리에 있는 마을이다. 화신리는 북한 김신조 부대의 대남 침투 사건 이후 독가촌(獨家村)을 한데 모아 화수리에 편입하였으며, 화신리는 화수리에 새로 생긴 마을이란 뜻으로 붙여진 이름이다. 1961년 대홍수 때 소멸한 화수리 이재민들의 가옥을 군인들이 주둔하면서 13가구를 건립하였는데, 이주 후 마을 이름을 ‘군인들이 지은 화수 마을’이란 뜻으로 군화동(軍花洞)이라 부르게 되었다. 군화마을은 지리산 바래봉 자락에 자리 잡고 있어 자연 풍광이 아름답다. 지리산 자락에 있는 작은 마을의 정취를 느낄 수 있는 마을이다.",남원시
7,귀정사(남원),전라북도 남원시 산동면 대상2길 246,127.4556979,35.51246778,http://tong.visitkorea.or.kr/cms/resource/89/2550989_image2_1.bmp,"귀정사는 백제 무녕왕 15년(서기 515년)에 현오국사가 창건한 사찰로, 본래는 만행사(萬行寺)라 불렸다. 그 후에 백제의 왕이 절에 참배를 와서 高僧의 설법에 탄복하여 3일간 절에 머무르며 국정을 살피고 돌아갔다 하여 귀정사(歸政寺)라 고쳐 불렀다. 왕은 '죽고 살기를 스님과 더불어 같이 한다'는 글귀를 남겼다고 한다. 현종 5년(1664년) 설제대사가 비교적 옛 모습대로 고쳐짓고, 순조 4년(1804년)에 현일대사가 다시 보수하였으나, 우리 민족의 비극인 한국전쟁 와중에 옛 건물이 모두 전소되는 아픔을 겪었다. 옛 귀정사에는 법당, 정루, 만월당, 승당, 연화당, 삼광전, 문수전, 명월당, 시왕전, 향로전, 영당의 전각이 있었으며, 부속 암자로는 남암, 상암, 대은암, 낙은암 등이 있었다. 일제 강점기에는 귀정사에 살던 스님들이 모두 흩어지자 만공스님이 큰 법당에 모셔졌던 삼존불상을 충청도 수덕사 대웅전으로 옮겼고, 지금도 그 곳에 모셔져 있다.1968년 유정동 스님이 보광전, 승당, 요사채를 복원하였다. 2006년부터는 새로운 대승불교운동인 인드라망생명공동체 활동의 터전이 되면서 중창불사가 시작되어 보광전 개축, 만행당, 관음전, 산신각, 종각 등을 새로 건립하였고, 인드라망 수련원, 만행산 귀농학교, 숲살림원, 사회연대 쉼터 '인드라망 등이 운영되고 있다.",남원시
8,남원 교룡산성,전라북도 남원시 산성순환길 714,127.3643193,35.4280313,http://tong.visitkorea.or.kr/cms/resource/61/1606361_image2_1.jpg,"교룡산성은 능선을 따라 축조된 성곽으로 백제시대 최초 축조된 것으로 알려지는 산성이다. 남원시 산곡동 교룡산(518m)에 있다. 교룡산성은 백제가 신라의 침입을 막기 위해 축조한 것으로 추정되고 있다. 정확한 사실은 밝혀지지 않았다. 다만 남원지역이 백제권역인 데다가 축성기법에 미뤄 짐작할 뿐이다. 돌로 쌓은 이 산성은 총 둘레가 3,120m이다. 고려말과 임진왜란 당시에는 왜와 전투가 벌어지기도 했다. 성내에는 685년(신문왕 5) 창건된 선국사가 있다. 교룡산성은 전북기념물로 지정되어 있다. 산성 일대는 교룡산국민관광지로 남원시민들이 많이 찾는다.",남원시
9,남원 만복사지,전라북도 남원시 만복사길 10-3,127.3675779,35.406706,http://tong.visitkorea.or.kr/cms/resource/40/219440_image2_1.jpg,"만복사지는 기린산 아래에 지은 사찰로 일설에는 신라말 도선국사가 지었다는 설이 있으나, 기록에 의하면 고려 문종 때 세운 것으로 되어 있다. 이 사찰에는 대웅전, 천불전, 영상전, 종각, 명부전, 나한전, 약사전이 있었으며 5층석탑, 석불입상, 당간지주, 석인상등이 있어 규모가 매우 큰 사찰이었다고 하며 만복사지 부근에는 백뜰, 썩은 밥배미, 중상골 등의 지명이 있어 당시의 사찰 규모를 추정할 수 있다. 백뜰은 만복사지 앞 제방을 말하는데, 승려들이 빨래를 널어 이곳이 온통 하얗다 해서 붙여진 지명이고 썩은 밥배미는 절에서 나온 음식물 찌꺼기를 처리하는 장소로 승려의 수가 많았다는 것을 알 수 있다. 또 남원의 8경 중 만복사 귀승이 있는데 시주를 마치고 저녁 나절에 만복사로 돌아오는 승려들의 행렬이 실로 장관을 이루었다는 것에서 아름다운 경치로 꼽았다고 한다.1979년부터1985년까지 7차례 걸친 발굴조사결과 만복사지는 창건 후 몇차례에 걸쳐 중창되어 목탑지를 중심으로 동쪽,서,북쪽에 각각 금당지가 있는 1탑 3금당식의 가람 배치양식의 사찰로 북금당지 북쪽에 강당지가, 목탑지 남쪽에 중문지가 있었던 것으로 밝혀져 고려시대 사찰 가운데 유일하게 절의 구조와 형식을 알아볼 수 있는 유구가 남아있어 고려시대의 가람 연구에 귀중한 사료가 되고 있다. 만복사지는 정유재란 남원성 싸움시 소실된 후 1679년 (숙종 4년) 남원부사 정동설이 복원을 꾀하였으나 뜻을 이루지 못하고 오늘에 이르고 있는데 ""금오 신화""의 저자 김시습은 만복사를 배경으로 ""만복사저포기""라는 한문소설을 남겨 한문소설의 효시를 이루었으며 당시 만복사의 실상을 알게 했다.",남원시
