,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가마소계곡,전라북도 부안군 상서면 청림리,126.597968,35.64124956,http://tong.visitkorea.or.kr/cms/resource/72/1604272_image2_1.jpg,"가마소의 형태로 가마솥 가마소란 이름이 붙여진 것 같고 변산 산중에서 교통이 제일 불편한 곳에 있으나, 기암절벽과 협곡은 수석이 수려하여 내변산의 풍치를 더욱 어울리게 하여 준다.",부안군
1,개암사,전라북도 부안군 상서면 개암로 248,126.6498267,35.66285076,http://tong.visitkorea.or.kr/cms/resource/85/1604185_image2_1.jpg,"개암사는 634년(무왕 35)묘련(妙蓮)이 창건한 백제의 고찰이다.개암이라는 이름은 기원전 282년 변한의 문왕이 진한과 마한의 난을 피하여 이곳에 도성을 쌓을 때, 우(禹)와 진(陳)의 두 장군으로 하여금 좌우 계곡에 왕궁전각을 짓게 하였는데, 동쪽을 묘암(妙巖), 서쪽을 개암이라고 한 데서 비롯되었다고 한다. 676년(문무왕 16)원효와 의상이 중수하였고, 1276년(충렬왕 2) 원감국사(圓鑑國師)때는 30여 동의 건물을 세워 대사찰의 면모를 갖추게 되었으며 능가경(楞伽經)』설법으로 많은 사람을 교화시켜 이 산의 이름을 능가산이라 부르게 되었다. 1414년(태종 14) 선탄(禪坦)이 다시 중창하였으나 임진왜란으로 황금전을 제외한 전 당우가 소실되었고 1636년(인조 14)에 계호(戒浩)스님이 다시 중창하면서 오늘에 이르고 있다. 보물로 지정되어 있는 대웅보전은 정면 3칸, 측면 3칸의 팔작지붕으로 조선 중기를 대표하는 건물이며, 보물로 지정되어 있는 영상회괘불탱은 1749년에 제작된「의겸」의 작품으로 가로 13.25m, 폭 9m 크기의 영산해상도이다. 개암사 뒤, 우금암을 포함한 길이 3,960m의 주류성(周留城)은 백제의 유민들이 왕자 부여풍(扶餘?)을 옹립하고, 3년간에 걸쳐 백제부흥운동을 폈던 사적지로도 유명하다. 유물로는 1689년(숙종 5)에 조성한 전라북도 유형문화재인 동종(銅鐘)과「중건사적기」가 있다.",부안군
2,격포마을,전북 부안군 변산면 격포리,126.481712,35.62810743,http://tong.visitkorea.or.kr/cms/resource/11/1976011_image2_1.jpg,"변산반도 국립공원에 위치하여 자연경관이 수려하고 주변에 관광명소가 밀집해 있어, 연중 많은 관광객이 방문하는 관광어항으로 수산업과 해양레포츠가  잘 발달되어 있다. 서해 청정해역의 싱싱한 수산물이 풍부하게 생산되는 곳으로, 봄 주꾸미 산란철과 가을 전어철에는 전국 각지에서 온 미식가와 관광객들로 붐빈다.",부안군
3,격포항,전라북도 부안군 변산면 격포리 788-15,126.4686633,35.62271339,http://tong.visitkorea.or.kr/cms/resource/14/1604214_image2_1.jpg,"격포항은 1986년 3월 1일 1종항으로 승격되었으며 위도, 고군산군도, 홍도 등 서해안도서와 연계된 해상교통의 중심지다. 서해 청정해역의 감칠맛나는 수산물이 많이 나오는 곳으로,  봄 주꾸미 산란철과 가을 전어철에는 차를 주차할 공간이 없을 정도로 전국 각지에서 온  미식가와 관광객들로 붐빈다. 주꾸미, 갑오징어, 꽃게, 아구, 우럭, 노래미, 광어, 전어, 백합, 바지락 등의 수산물이 많이 나오며 그에 맞게 횟집과 음식점들이 많이 분포되어 있다. 격포항은  노을질무렵 풍경이 아름답다.
",부안군
4,격포해변,전라북도 부안군 변산면 변산해변로 29-14,126.4698103,35.62927932,http://tong.visitkorea.or.kr/cms/resource/31/2651031_image2_1.jpg,"격포해수욕장은 채석강을 끼고 있어 일명 ‘채석강 해수욕장’으로도 불린다. 해수욕장의 명성보다 채석강과 서해안의 일몰을 보기 위해 연중 관람객이 많이 오는 곳인데, 여름이면 주변 경치를 관람하고 해변에서 해수욕과 여름 레포츠를 동시에 즐길 수 있어 더욱 인기가 많다.
백사장 길이 약 500m로, 간만의 차가 심하지 않고 물이 맑으며, 경사가 완만해 해수욕장으로서 좋은 여건을 갖추고 있다. 얕은 수심과 파도가 거칠지 않아 아이에서 어른까지 가족동반 해수욕을 즐기기에 천혜의 장소이며 백사장 너머의 솔숲은 울창하고 아늑하다. 폭염에 지치면 그늘에 앉아 바다의 정취를 즐기며 쉴 수 있는 곳이다.
오랫동안 관광지로 각광받고 있는 곳이기에 주변에 편의시설이 잘 갖추어져 있다. 넓은 주차장은 여름철 많은 관람객이 주차 걱정을 덜 수 있으며 주변 음식점이나 숙박 시설 역시 잘 갖추어져 있어 가족단위의 손님이나 단체 관광객들이 머물기에 제격이다.

[출처 : 부안 문화 관광 홈페이지]",부안군
5,계화도,전라북도 부안군 계화면,126.6323167,35.78900277,http://tong.visitkorea.or.kr/cms/resource/05/1604205_image2_1.jpg,"계화도는 원래 섬이었으나 1963년 제1차 경제개발 5개년 사업으로 육지가 되었다. 돈지-계화도-문포간에 9,254m에 달하는 제2호 방조제를 쌓아 예전에 바다였던 곳을 지금의 광활한 평야로 만들었다. 그 유명한 ""계화도간척지 쌀""은 이렇게 조성된 계화도간척지에서 생산된다. 동쪽은 동진면(東津面), 남쪽은 행안면(幸安面)·하서면(下西面)과 접하고, 북쪽과 서쪽은 황해에 면한다. 5개리로 이루어져 있다. 1976년 9월 계화도(界火島)가 계화리가 되고, 행안면에 계화출장소가 설치되었다가 1983년 2월 전국 행정구역 조정에 따라 계화출장소가 계화면으로 승격하였다. 원래 면적 2.5㎢, 해안선길이 약 7,000m의 작은 섬이었으나, 1963년 시작된 동진강(東津江) 하구의 대규모 간척공사로 육지와 이어졌으며 이 공사로 조성된 경지는 약 46㎢에 이른다. 문화재로는 간재선생유지(艮良齋先生遺址:전북기념물 23), 쌍조석간(雙鳥石竿:전북민속자료 17) 등이 있다.",부안군
6,고사포해수욕장,전라북도 부안군 변산면 노루목길 8-8,126.5082533,35.66191792,http://tong.visitkorea.or.kr/cms/resource/67/636167_image2_1.jpg,부안군 변산면 운산리에 있는 해수욕장으로 약 2km에 이르는 백사장과 방풍림으로 심어 놓은 송림이 장관을 이룬다. 일대의 해수욕장 중에서 가장 맑고 깨끗하며 모래도 곱고 부드럽다. 해수욕장 앞에는 웅크리고 있는 새우 모습을 닮은 하섬(蝦島)이 있는데 매월 음력 초하루와 보름쯤에는 모세의 기적처럼 2km의 바닷길이 열리는 체험도 즐길 수 있다.,부안군
7,곰소항,전라북도 부안군 진서면 곰소리,126.6054465,35.58610596,http://tong.visitkorea.or.kr/cms/resource/25/2367225_image2_1.jpg,"곰소항은 부안에서 24km지점에 위치한 진서면 진서리 일대에 위치하고 있다. 이 항구는 왜정말엽 우리 한민족에게서 착취한 농산물과 군수물자를 반출하기 위하여 항만을 구축하고자 도로, 제방을 축조하여 현재의 곰소가 육지가 되면서 만들어진 항구이다.(작도와 웅도를 막아서 내륙이 된 곳)

이 항구는 1986년 3월 1일 제2종 어항으로 지정되어 물량장 및 부대시설을 갖추어 150척의 배를 수용할 수 있는 규모로 하루에 130여척의 어선들이 드나드는 항구로 주변에 소규모 상가와 마을을 끼고 있으며 더 나아가 염전을 두고 있는 등 항구로서의 면모를 갖추고 있다. 곰소항은 줄포항이 토사로 인해 수심이 점점 낮아지자 그 대안으로 일제가 제방을 축조하여 만들었다.  목적은 이 지역에서 수탈한 각종 농산물과 군수물자 등을 일본으로 반출하기 위해서였다. 진서에는 항구 북쪽에 8ha에 달하는 드넓은 염전이 있어 소금 생산지로도 유명하지만, 근해에서 나는 싱싱한 어패류를 재료로 각종 젓갈을 생산하는 대규모 젓갈 단지가 조성돼 있어 주말이면 젓갈 쇼핑을 겸한 관광객들로 붐비는 곳이다.

염전이란 말 그대로 ""소금을 만들어 내는 밭"" 이라고 할 수 있다. 소금은 염전에서 바람과 햇볕에 바닷물을 말려서 만들어 내는데 이것을 천일제염이라고 하며  공장에서도 소금을 만들어 내는데 이것은 화학소금이라고 부른다. 

* 소금은 어떻게 만들어 졌을까?
염전은 크게 저수지→증발지→결정지로 나누어진다.
1) 저수지에서는 밀물때 바닷물을 저수지에 저장해 놓았다가 긴 수로를 따라 바닷물을 증발지로 보낸다. 이때 바닷물은 5%의 소금기를 담고 있다. 
2) 증발지에서 또 7∼8일을 증발시킨다. 
3) 결정지(일명 소금밭 , 항아리 조각 타일을 붙인 밭)로 바닷물을 보낸다.  소금밭 1개소에 기존의 소금 30㎏정도와 증발수를 혼합하면서 거품이 많이 나도록 하면, 거품이 떠다니면서 증발되는 염기가 거품에 부착되어 무게를 이기지 못하고 가라 앉는다. 이때 바닷물은 약 25%의 소금기가 들어있는 짠물이다. 이 결정지에서 바람과 햇볕에 2∼3일 말리면 소금이 만들어진다. 그러면 고무래로 소금을 긁어 모아 소금창고로 간다. 이렇게 만들어진 천일제염으로 만든 특산물인 곰소젓갈은 전국적으로 유명하여 곰소를 찾는 사람이면 누구나 곰소젓갈에 대한 구매력을 느낀다.",부안군
8,궁항,전라북도 부안군 변산면 격포리 720-2,126.4687721,35.6033517,http://tong.visitkorea.or.kr/cms/resource/06/2755806_image2_1.png,"전북 부안의 작은 어항인 궁항(弓項)은 한자로 활의 목덜미를 뜻한다. 반월(半月) 모양의 산이 둘러있고 마을 앞바다에는 견도(犬島-개섬)가 자리하고 있는데, 바다에서 궁항을 보면 마을이 활과 같은 모양이고 견도는 활촉 같아서 활궁 또는 목항, 즉 활목이라 부르게 되었다고 한다. 주변에 펜션 등 숙박 가능한 시설들이 많이 있어 휴양지로도 좋고 많이 알려지지 않아 조용한 가운데 휴식을 취할 수 있는 곳이다. 그리 넓은 규모는 아니지만 방파제 걷기, 마을 탐방과 바닷가에서 시간을 보내도 그리 바쁘지 않다.  키 작은 소나무와 넓적한 바위가 한 폭의 그럼처럼 어우러진 정자에서 바라보는 궁항의 낙조는 장관이다. 부안의 많은 항구 중에 작지만 아름다운 항구로 낙조의 경관이 뛰어나 해넘이 장소로 제격인 궁항은, 두 개의 방파제에 낚시객들이 낚시하는 모습을 많이 볼 수 있다.",부안군
9,내변산,전라북도 부안군 변산면 내변산로 232,126.5473611,35.65176418,http://tong.visitkorea.or.kr/cms/resource/07/1604207_image2_1.jpg,"전라북도의 서남단 서해의 고군산군도와 위도 앞바다로 돌출하여 장장 99km에 이르는 해안선과 북쪽으로는 새만금과 남쪽 해안은 곰소만으로 둘러싸인 변산반도는 천혜의 명승지로 이 일대를 묶어 변산반도 국립공원이라 일컫는다. 안쪽 산악지대를 내변산, 그 바깥쪽 바다주변을 외변산으로 구분한다. 내변산의 중심은 변산반도의 최고봉인 의상봉(509m)을 비롯하여 남서쪽의 쌍선봉과 낙조대, 월명암, 봉래구곡, 직소폭포 일대라 할 수 있다.

변산일대의 산들은 예부터 능가산, 영주산, 봉래산 등 별칭을 가지고 조선 8경 또는 호남 5대 명산 중의 하나로 손꼽히고 있다. 변산의 첩첩한 산과 골짜기는 해발 400~500m 정도로 낮은 편이나 기기묘묘한 형상으로 심산유곡을 방불케하고 특히 낙조대에서의 월명낙조는 변산의 풍경 중 으뜸이다.",부안군
