,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가인 김병로 생가터,전라북도 순창군 복흥면 하리길 160,126.9774224,35.45056932,http://tong.visitkorea.or.kr/cms/resource/00/2357300_image2_1.jpg,"조선 중기의 도학자 하서 김인후 선생의 15대손인 가인 김병로 선생의 생가로 이곳에서 태어나 유년시절을 지냈으며, 1948년 대한민국 초대 대법원장을 지낸 법조인이자 정치가로서 우리나라 사법부 역사상 법조 3성(聖)으로 한국 근현대사에 큰 획을 그은 인물로 법조인들로부터 가장 추앙받고 있다. 가인 생가는 당초 안채, 사랑채, 문간채로 이루어 졌으나, 6.25 한국전쟁때 소실되어 옛모습을 찾아 볼 수 없었으나, 순창군에서 후손들의 고증을 거쳐 안채와 문간채를 2014년 5월에 복원을 완료하여 오늘에 이르고 있다.",순창군
1,강천사 모과나무,전라북도 순창군 팔덕면 강천산길 270,127.0556863,35.39875708,http://tong.visitkorea.or.kr/cms/resource/58/2357358_image2_1.JPG,"강천산의 앞쪽과 삼인대 사이에 한 그루 노거수가 서 있는데 나무의 높이는 20m, 둘레는 3.1m, 수령은 300년이 된 모과나무이다. 이 모과나무는 지금도 꽃을 피우고 열매를 맺고 있어 가을에 이곳을 찾는 사람들에게 기분 좋은 볼거리가 되고 있다. 순창군에서는 우리나라에서 가장 오래된 이 모과나무를 지난 1981년 보호수로 지정하고 관리하다가 지난해 1998년 1월 9일에는 기념물로 지정하여 관리하고 있다.",순창군
2,강천사(순창),전라북도 순창군 팔덕면 강천산길 270,127.0555668,35.39841545,http://tong.visitkorea.or.kr/cms/resource/60/1954560_image2_1.jpg," 강천사 군립공원 입구에서 1.8km 지점에 위치한 강천사는 신라 진성여왕 원년(887년)에 도선국사에 의해 창건되었다. 그 후 번창하여 고려 충숙왕 3년(1316년) 덕현선사가  사찰을 중창하고 5층 석탑을 세웠고 한때 12개 암자와 1천여명의 승려들이 머물렀다고 한다. 그런데 임진왜란 때 석탑만 남고 모두 소실되었다. 선조 37년 (1604년)에 소요대사가 재건했으나 다시 한국전쟁 때 소실되었다가 1959년 원상대로 복원하였다.충신리와 남계리, 석장승, 순창객사, 순화리 3층 석탑 등의 문화재가 있으며 주변 관광지로 금성산성, 용소폭포, 강천호, 담양호, 추월산, 희문산, 내장산국립공원 등이 있다.",순창군
3,강천사계곡,전북 순창군 팔덕면,127.0647188,35.39983211,http://tong.visitkorea.or.kr/cms/resource/71/1604371_image2_1.jpg,"강천산은 계절따라 산의 경관이 변하고 그 경관이 한결같이 수려해 호남의 소금강으로 불린다. 산입구에서 시작되는 두 개의  산줄기를 사이에 두고 약 8㎞나 뻗은 계곡을 따라 가노라면 기암괴석과 크고 검은 못, 자연폭포가 엇갈리면서 주변의 수림과 조화를 이루어 절경을 연출한다. 뿐만 아니라 단풍나무가 많아  단풍철엔 더욱 장관을 이루고 그 중에서도 강천산의 자랑인 아기단풍이 붉게 물들어 만산홍엽을 이룬 가을철과 맑고 깨끗한 물이 흐르는 여름철 관광지로는 제격이다. 순창 강천산은 높이는 낮지만 맑은 계곡물, 그리고 병풍 치듯 늘어선 기암절벽 덕에 일찍부터 ‘호남의 소금강’이라는 찬사를 받아왔다. 매표소에서 강천사까지 이어진 계곡은 경사도 완만해 거닐기도 좋고 중간중간 계류에 발을 담그고 쉴 수 있는 공간도 많다. 비구니들의 도량인 강천사는 신라 때 도선국사가 창건했다는 고찰이다.",순창군
4,강천산 군립공원,전라북도 순창군 팔덕면 강천산길 97,127.0675127,35.40882836,http://tong.visitkorea.or.kr/cms/resource/95/2634995_image2_1.JPG,"전북 순창군 팔덕면 청계리 996번지 일대에 위용을 자랑하고 있는 강천산 왕자봉(해발583.7m)과 광덕산 선녀봉(해발578m)을 비롯하여 산성산 연대봉(해발603m)을 중심으로 세개의 산 사이로 병풍을 둘러치듯이 남록과 북록으로 나뉘어 작은 협곡을 이루고 있으며, 사방이 모두 바위산으로 빼어난 아름다움을 간직한 자랑스러운 산이다. 골짜기마다 단단한 암반위로 깨끗하고 맑은 물이 샘처럼 솟아 흐른다하여 강천이라 불렀고 그 주변의 모든 산을 강천산이라 하였다. 예전에는 용천산(龍泉山)이라 불렀다고 한다. 두 마리의 용이 하늘을 향해 꼬리를 치며 승천하는 형상이라 지어진 이름이다.노령산맥에서 추월산을 이어 광덕산과 용천산을 이루고 강천의 진산으로 하늘높이 우뚝 솟은 산성산(두마리의 용이 동쪽하늘에서 서쪽하늘로)에서 두 마리의 용이 나란히 수 십리를 동으로 달린다. 그 속에 수많은 봉우리들 있는데 이름 있는 봉우리만 말하면 연대봉, 운대봉, 수령봉, 천자봉, 깃대봉, 왕자봉, 견제봉, 송락봉 등이다. 그야말로 천봉, 만학, 기암, 괴석이 천태만상이고 거기에 우거진 천연림은 태고를 자랑하듯이 바람만이 물결을 이루고 있다. 이 두 산속 가운데는 수 십리 깊은 계곡이 있다. 이름 있는 계곡만 말하면 연대계곡, 선녀계곡(저부제골), 원등계곡(용대암골), 분통골, 지적골, 소목골, 삼인대계곡(황우제골), 기우제골, 세냥골, 물통골, 초당골, 우작골, 동막골, 금강계곡(탑상골), 승방골, 변두골 등 이다. 골골마다 발원하여 흐르는 맑은 물이 중천으로 합류하여 바위와 바위, 돌과 돌에 부딪히는 물소리는 계곡을 울리며 강천호로 들어간다.시냇가에 봄이 오면 버들강아지 피어오르고 개나리, 진달래꽃 만발할 때쯤이면 산봉우리마다 산벗꽃이 한창이다. 십오리가 넘는 계곡길을 따라 자갈과 자갈사이를 맑고 깨끗한 물에 쉴세 없이 흘러내린다. 너무나 차가워서 인지 맑아서인지 이끼가 끼지 않는다는 강천수로 한여름이 더위를 식혀본다. 유달리 잡목과 단풍나무가 많은 강천산은 일곱가지나 되는 단풍(나무)속에서 애기단풍과 애기다람쥐가 가을의 정취를 더한다. 산세가 가파르거나 위험하지 않는 여러 갈래의 소로길은 가족이나 친구, 연인들이 즐겨 찾는다. 또한 산을 좋아하고 산을 사랑하는 등산객의 산행에도 안성 맞춤이다. 백설이 휘날리며 고드름이 열고 소복이 쌓인 강천의 풍경, 한 폭의 설화를 화폭에 담으려는 화가들의 발길이 끊이지 않는다. 이처럼 강천산의 사계절이 제각기 모습을 달리 하기에 찾는 이의 마음을 설레이고 새롭게 한다.",순창군
5,강천산휴양농원,전라북도 순창군 구림면 강천로 854-23,127.0627071,35.42772059,http://tong.visitkorea.or.kr/cms/resource/57/2356057_image2_1.jpg,"1990년부터 터를 닦아 1997년 본격적인 관광농원으로 문을 열었다.강천사 입구 삼거리에서 정읍쪽으로 1.5km 거리인 중바위 유원지 안에 자리잡고 있다.33,058m²(1만여 평)에 이르는 산자락에 잔디마당과 산장 형태의 숙박시설, 허브온실을 갖춘 허브전문 관광농원이다.농원 안에는 숙박시설 외에도 자연 하천을 이용한 물놀이가 가능하며, 강천산 계곡 등 들러 볼 곳이 많다. 서울과 중부권을 비롯해 88고속도로를 이용한  영남권에서도 하루나 1박 2일 코스로 무난하다.",순창군
6,건강장수연구소 쉴랜드,전라북도 순창군 인계면 인덕로 427-128,127.1306038,35.43165464,http://tong.visitkorea.or.kr/cms/resource/69/2705769_image2_1.jpg,"건강과 친해지는 첫걸음은 순창읍내로 들어가는 모악로 길목에서 시작된다. ‘쉴랜드’. 표지판에 적힌 이름만 봐도 마음이 평온해진다. 이곳은 군에서 직접 운영하는 건강장수연구소다. 넓은 부지 안에 건강장수체험과학관, 명상관, 찜질방, 방갈로, 의농업체험관, 편백치유숲 등 다양한 시설이 들어서 있다. 일반적으로 공공기관이나 기업에서 단체 연수를 받으러 오는 곳이기에 생소하게 느껴질 수 있지만, 개인 자격으로 예약 없이 방문해도 얼마든지 좋은 경험을 쌓을 수 있다. ",순창군
7,구송정 유원지,전라북도 순창군 동계면 서호길 48-12,127.2377304,35.43069548,http://tong.visitkorea.or.kr/cms/resource/19/2357319_image2_1.JPG,"이곳은 면 소재지로부터 서쪽으로 1km 지점에 위치한 곳으로 약 300년전에 나라의 창고가 서쪽에 위치하고 있다 하여 서창(西倉) 이라 불리우다가 마을앞에 조그마한 호수가 있어 이를 본따 서호(西湖)라 부르게 되었다. 특히 마을앞에 계수천이 양갈래로 흐르고 그 중간에 약 6천명 정도의 평지를 이룬 곳이 있어, 봄, 여름, 가을이면 행락객들이 붐비는데 이곳이 바로 구송정(九松亭)이다. 전설에 의하면 옛날 이곳 마을에 양씨, 김씨, 하씨, 정씨, 황씨, 최씨, 박씨, 이씨, 벽씨 등 70세 이상의 백발노인 아홉명이 구노회(九老會)라는 계를 조직하여 풍류를 즐기며 기념으로 소나무 한 그루씩 심었는데 지금도 이 소나무들이 남아 있어 사철 푸른 기상을 더해주고 있다. 특히 1991년부터 군에서 체육시설과 각종 편의시설 설치하여 방문객들에게 편의를 제공하고 있다.",순창군
8,구암사(순창),전라북도 순창군 복흥면 봉덕길 131-144,126.8860721,35.45530333,http://tong.visitkorea.or.kr/cms/resource/64/2355964_image2_1.jpg,"구암사는 전라북도 순창군 복흥면 서북단 노령산맥에 위치하고, 국립공원인 백양사와 내장사의 중간지대 영봉으로 연접하고 있으며, 백제 무왕 37년(서기 636년) 숭제선사에 의해 창건, 1392년(태조 원년) 각운선사가 중창하였다. 구암사라 함은 사찰 동편 지점에 숫거북 모양의 바위가 있고, 대웅전 밑에는 암거북 모양의 바위가 있어 구암사라 했으며, 신령스러운 거북 모양을 닮았다고 해서 영구산이라 명명하였다고 전해진다. 구암사는 예로부터 유명한 대종사들이 주석하셨던 곳으로, 영조때에는 화엄종주인 설파대사가 주석한 곳이며, 이로부터 100여년간 화엄종맥의 법손이 계승된 전통적인 사찰이다. 당시는 전국 굴지의 사찰로 각처에서 운집한 승려가 1,000여명에 이르렀다. 그 후 강원, 선원등으로 구분해 존속해 오다가 임진왜란 때 병화로 전소되었다. 백파스님의 설법으로 입산수도한 승려가 각처에서 운집하여 선문 중흥조라 일컬었고, 그 법맥이 고창 선운사와 정읍 내장사, 장성 백양사, 해남 대흥사 등에 전법하였으며, 헌종 때는 설두스님과 노사 기정진 선생이 친교 정진하였다. 추사 김정희가 쓴 백파율사대기대용지비(지방문화재)의 비문은 제자들에 의해 대대로 구암사에 보관되어 오다가 율사의 출가 본사인 선운사에 보내져 비를 세웠다고 한다. 당시 추사 선생은 백파 대종사를 높이 추앙하여 그 친필을 무수히 남겨 놓았으며, 고종 때 전라관찰사 이경상은 백파스님의 선교강설에 감동되어 대웅전을 중창하고, 정조 350석을 희사하여 사찰 전답을 매입 관리토록 하였다.구한말 간재 전 우선생이 설유스님과 함께 불학을 연구하엿으며, 많은 고승을 다 열거할 수는 없지만, 대한불교 지도자이신 영호당 대종사께서 도제양성과 근세 불교교육을 위해 크게 진력하셨던 역사적 산실이며, 재가자로는 이광수, 서정주, 신석정, 조지훈 등이 있고, 출가자로는 청담, 청우, 서경보, 운허, 운성, 운기, 만암대종사 등이 계시다. 유명한 대종사를 줄줄이 배출한 교학의 중심지답게 구암사에서 저술된 책들도 많다. 백파긍선 스님은 구암사에서 <정혜결사문(定慧結社文)선문수경 등을 저술하였다고 전해져온다.",순창군
9,구장군폭포,전북 순창군 팔덕면 청계리,127.0668823,35.40832285,http://tong.visitkorea.or.kr/cms/resource/93/1954193_image2_1.jpg,"군립공원 강천산 입구에서 강천사, 현수교를 지나 강천 제2저수지 조금 못 미치면 120여m 높이의 웅장한 구장군 폭포가 나타나 관광객들에게 좋은 볼거리를 제공하고 있다. 풍수객들에 의하면 음양의 조화를 이룬 명소라며 극찬을 아끼지 않는다.
전설에는 마한시대 혈맹으로 맺어진 아홉 명의 장수가 전장에서 패한 후 이곳에 이르러 자결하려는 순간 차라리 죽기 전에 한 번 더 싸워보자는 비장한 결의로 마음을 다지고 전장에 나가 승리를 얻었다는 아홉 장군의 전설이 담긴 폭포이다.",순창군
