,title,addr1,mapx,mapy,firstimage,overview,addr2
0,경천저수지,전라북도 완주군 화산면 성북리,127.2395172,36.03814317,http://tong.visitkorea.or.kr/cms/resource/44/2784844_image2_1.png,"전북 완주군 화산면에 있는 저수지다. 둘레가 16km, 만수 면적이 319ha에 이르고 담수어가 많이 서식하고 있다. 저수지 제방 아래 피는 벚꽃은 아름다운 경관을 자랑하며 저수지 북쪽의 고성산성은 백제 시대 축조된 산성으로 화산면 일대를 한눈에 조망할 수 있다. 서쪽으로 호남고속도로가 지나고, 익산시 미륵사지를 중심으로 한 관광 명소에 인접해 있다. 경천저수지에서 잡히는 참붕어는 전국적으로 유명하다. 아름다운 풍경 속에서 캠핑을 즐길 수 있는 완주 자연쉼터빌리지가 있다. 


?",완주군
1,고산향교,전라북도 완주군 고산면 고산로 147-27,127.2144711,35.97616369,http://tong.visitkorea.or.kr/cms/resource/98/1604398_image2_1.jpg,"1397년(태조 7) 지방의 중등교육과 현유(賢儒)의 위패를 봉안, 배향하고 지방의 중등교육과 지방민의 교화를 위하여 창건되었다. 1399년(정종 1)에 소실되었다가 그 뒤 복원하였으며, 임진왜란 때 다시 소실되어 1601년(선조 34) 대성전을, 1604년 명륜당을 건립하였다. 1966년 대성전과 명륜당을 보수하였으며, 현존하는 건물로는 대성전·명륜당·동재·서재·삼문(三門)·교직사(校直舍)·기타 부속건물 등이 있다. 정면 3칸, 측면 3칸의 맞배지붕으로 된 대성전에는 5성(五聖), 송조4현(宋朝四賢), 우리나라 18현(十八賢)의 위패가 봉안되어 있으며, ‘대성지성문선왕(大成至聖文宣王)’이라 쓰인 공자(孔子)의 영정은 조선 중기 송영구(宋英耉)가 당나라의 화가 오도현(吳道玄)의 작품을 받아온 것이라 전한다. 조선시대에는 국가로부터 전답과 노비·전적 등을 지급받아 교관이 교생을 가르쳤으나, 현재는 교육적 기능은 없어지고 봄가을 석전(釋奠)을 봉행(奉行)하고 초하루와 보름에 분향을 하고 있으며, 전교(典校) 1명과 장의(掌議) 6∼7명이 운영을 담당하고 있다. 이 향교에는 효종 6년(1655)부터 영조 때까지의 역사를 기록한 서적 및 광해조 때부터 전해오는 족자 등이 있다. 이 향교의 대성전은 전라북도 유형문화재로 지정되어 있다.",완주군
2,고산향교대성전,전라북도 완주군 고산면 고산로 147-23,127.2137378,35.97611368,http://tong.visitkorea.or.kr/cms/resource/01/1604401_image2_1.jpg,"* 지방백성의 교육을 담당하던 곳 * 전라북도 유형문화재 제116호로 지정되었다. 조선시대의 지방 국립학교로 성현의 위패를 모시고 제사를 지내며, 지방 백성의 교육을 담당하기 위해 국가에서 세운 지방 교육기관이다.대성전은 정면 3칸, 측면 3칸의 맞배집 구조 이며, 처음 지어진 연대는 정확히 알 수 없으나 태조 7년(1398)에 지금의 위치에 세워진 것으로 추정된다. 정종 2년(1400)에 불타 없어진 것을 다시 지었는데, 당시의 건물들은 임진왜란 때 모두 불타 없어지고 1601년(선조 34)에 대성전이, 그리고 1604년에 명륜당이 재차 중건되어 오늘에 이른다. 현재 남아있는 건물은 대성전·명륜당·동재·서재·내삼문 등이 있다.경사지에 외삼문-명륜당-내삼문-대성전을 하나의 축선상에 배치하여 뚜렷한 수직적 위계를 보여준다. 현재 명륜당을 중심으로 동재(東齋)와 서재(西齋)가 명륜당 뒤편에 있으며, 동재와 서재 가운데에 마당이 있고, 이 마당 뒤편 중앙에 대성전으로 들어가는 내삼문(內三門)이 있다. 대성전은 1948년 전면을 보수하였는데, 정면 3칸 측면 3칸의 맞배지붕으로 되어 있다.* 18인의 위패를 모셔놓은 곳 대성전 * 대성전은 제사공간의 중심을 이루는 건물로 앞면 3칸·옆면 3칸이며, 지붕은 옆면이 사람 인(人)자 모양인 맞배지붕이다. 안에는‘대성지성문선왕’이라 쓴 공자의 위패를 중심으로 중국 성현을 모시고 있다. 공자의 영정은 조선 중기에 당나라 화가의 작품을 받아온 것이라 한다. 고산향교는 매년 봄, 가을로 두 차례 공자를 위시한 중국5성과 송조4현 및 우리나라의 유학자 설총, 최치원, 정몽주, 이황 등 18현의 위폐를 모셔놓고 제사를 지내고 있다.",완주군
3,구이 안덕 건강힐링체험마을,전라북도 완주군 구이면 장파길 72,127.099833,35.69559084,http://tong.visitkorea.or.kr/cms/resource/20/1814620_image2_1.jpg,"* 뜨끈한 힐링타임 완주 안덕마을 *‘자연과 함께하는 건강?힐링 체험’을 테마로 한 안덕마을은 완주의 모악산 자락의 계곡 주변에 위치하여 자연과 어우러져 아기자기한 주변 경치가 뛰어나다. 건강과 힐링을 추구하는 마을답게 한옥 황토펜션뿐만 아니라 황토한증막 등을 갖추고 있어 추운 겨울, 설경을 즐기며 뜨끈한 찜질을 즐길 수 있는 곳이다. 연중으로는 흔들다리 등으로 구성된 체육시설에서 아이들의 모험심을 기를 수 있는 미니어드벤처 프로그램을 진행하며 인근의 자연동굴 탐사도 기억에 남는 경험이 될 것이다.",완주군
4,농업회사법인 주식회사 공동체공간 수작,전라북도 완주군 단지길 37,127.2631954,35.94206287,http://tong.visitkorea.or.kr/cms/resource/48/2995148_image2_1.jpg,"공동체공간 수작은 스토리가 있고 근본을 찾는 지역특산주를 생산하는 양조장이다.장기간의 누룩의 법제를 통해 기존누룩이 가지고 있는 장점과 지역의 자연환경에 있는 자연효모를 채집하여 기존 누룩에서 발현하지 못하는 다양한 향관 맛을 만들어 내고 있다. 쌀과 누룩, 정제수만을 활용해서 지역특산주를 생산하고 있으며, 쌀이 가지고 있는 본연의 맛을 추구하고자 하며, 장기간의 저온 숙성과정을 거친후 제품을 생산하고 있다.자연환경과 농촌민박 및 튀르키예 전문 찻집을 활용한 지역 관광의 중심이 되게 하고자 노력 중이다.",완주군
5,달달구리(주식회사달달구리),전라북도 완주군 봉동동서로 134-4,127.1668457,35.93866991,http://tong.visitkorea.or.kr/cms/resource/32/2995132_image2_1.jpg,"달달구리는 완주 청년들이 지역 생태 관광의 중심지로 떠오르고 있는 만경강에 터를 잡아 지역 식음기념품을 개발하여 판매하는 청년 사업체이다. 베이킹, 플로리스트등 역량을 갖춘 청년들이 ‘달달구리 카페’를 거점으로 지역 농산물을 주재료로 삼는 식음 및 체험관광 서비스, 기념품 등을 만들고, 지역의 주요 관광 거점을 통해 지역을 찾는 관광객들에게 제공한다.",완주군
6,대둔산도립공원(전북),전라북도 완주군 운주면 산북리 611-34,127.3345288,36.11761078,http://tong.visitkorea.or.kr/cms/resource/77/2827477_image2_1.jpg,"노령산맥 줄기가 김제의 만경평야를 향하다 금산지역에서 독립된 산군을 이루며 절경을 이룬 곳이 대둔산이다. 호남의 소금강이라 불리는 이 산은 정상인 마천대(879.1m)를 비롯하여 사방으로 뻗은 여러 산줄기가 어우러져 칠성봉, 장군봉 등 멋진 암봉을 이루고, 삼선 바위, 용문골(장군봉, 칠성봉), 금강통문(동심암, 금강암, 약수터, 삼선암, 왕관암, 마천대) 등 사방으로 기암괴석과 수목이 한데 어우러져 산세가 수려하다. 마천대에서 북쪽 능선을 따라 낙조대에 이르는 구간은 특히 장관으로 이 낙조대에서 바라보는 일출, 일몰 광경이 일품이다. 1977년 도립공원으로 지정되어 관광객을 위해 케이블카, 금강 구름다리 등이 설치되어 새로운 명물이 되었다. 5분 정도 케이블카를 타고 내려서면 가파른 계단을 올라 금강구름다리인데 이는 임금바위와 입석대 사이를 가로질러 놓은 것으로 높이 81m, 길이 50m다. 이곳에는 또한 진산의 태고사, 운주의 안심사, 별곡의 신소운사 등의 유서 깊은 절도 남아 있다.",완주군
7,대둔산케이블카,전라북도 완주군 운주면 대둔산공원길 55,127.3294987,36.11669135,http://tong.visitkorea.or.kr/cms/resource/05/2707905_image2_1.jpg,"대둔산 케이블카는 1990년 11월 운행을 시작했으며, 선로길이 927m 경사 23도를 유지하며 2대가 서로 교행하는 왕복식 케이블카로 상부역사까지 최대 50명이 약 5분안에 도착할 수 있는 케이블카다. 케이블카에서 내려다 보이는 대둔산의 웅장한 산세와 기암괴석은 병풍처럼 펼처져 절경을 이루고 있으며, 호남의 소금강이라 불린다.",완주군
8,대아저수지(대아호),전라북도 완주군 동상면 대아리,127.2732437,35.97308173,http://tong.visitkorea.or.kr/cms/resource/01/287401_image2_1.jpg,"운암산과 동성산, 위봉산 등 아래 계곡을 막아 인공적으로 만들어진 대아 저수지는 주변 산세와 호수가 절묘하게 어우러져 아름다운 자태를 뽐내고 있는 완주 8경 가운데 하나이다.1920년~1922년 기간에 만들어진 댐이 노후 되어 기존 댐의 300m 하류지역에 새 댐을 건설하였다.새 댐은 1983년 착공하여 1990년에 완공되었으며 대아댐은 5,464ha/㎥이르는 방대한 저수량을 자랑한다. 대아저수지는 인공으로 만들어진 저수지답지 않게 자연스럽고 빼어난 경관을 자랑한다. 기암절벽이 병풍처럼 둘러있는 운암산 (해발 597m)과 우아하고 부드러운 산세의 동성산은 그 아래 잔잔하고 푸른 두 개의 호수를 곱게 물들인 치맛자락처럼 펼쳐놓았다.* 20km의 아름다운 호반도로 *대아저수지를 감돌아 동상저수지에 이르는 호반도로는 말끔히 포장되어 드라이브 코스의 운치를 만끽할 수 있다. 두 개의 저수지를 잇는 20km의 호반도로가 관통하는 주변경관은 사시사철 빼어난 경관을 자랑하고 있다.주변 운암산 기슭에는 대단위 자연휴양림이 조성되어 있으며, 연장 255m, 높이 55m의 댐에서 낙차 47m로 방류하는 모습은 장관을 이룬다.
완주군 대아·동상저수지 호반도로 주변을 돌아오는 드라이브 산책 코스는 권할만하다. 가족과 함께, 아니면 연인과 함께 대자연의 아늑함을 느끼면서 하루를 보낼 수 있는 이곳은 전국적으로도 유명한 드라이브 코스로 각광받고 있기 때문이다. 인근에는 미륵사(彌勒寺) 위봉산 위봉사, 위봉폭포가 있어 많은 관광 휴양객들이 찾아온다.",완주군
9,동상운장산계곡,전라북도 완주군 동상면 대아리,127.2860868,35.9783508,http://tong.visitkorea.or.kr/cms/resource/55/215355_image2_1.jpg,"전주에서 32Km 지점, 완주군의 최동단에 위치한 동상운장산계곡은 소양면 위봉산과 진안 운장산 사이에 위치한 우리나라 8대 오지중의 하나로 깊은 계곡이다. 대아댐을 지나 소양 쪽으로 732번 지방도를 따라 가다보면 첫 번째로 나타나는 계곡은 은천계곡이다. 이어 우암교를 지나 좀 더 가다보면 진안 주천으로 향하는 계곡이 나타난다. 이곳 신월교에서 부터 동상운장산계곡이 시작된다. 신월교에서 운장산에 이르는 9.2Km 계곡 길은 어느 것 하나 대수롭게 여길만한 것들이 하나도 없을 만큼 신비경으로 감탄사가 절로 난다. 여름이면 계곡마다 피서인파로 발디딜 틈이 없을 만큼 북새통을 이루고, 가을이면 주변경관과 어우러져 한 폭의 산수화를 연상하게 한다.",완주군
