,title,addr1,mapx,mapy,firstimage,overview,addr2
0,금강,전라북도 장수군 천천면 오리골길,127.5300813,35.78891552,http://tong.visitkorea.or.kr/cms/resource/41/1603841_image2_1.jpg,"전라북도 장수군(長水郡) 장수읍(長水邑)에서 발원하여 서해의 군산만(群山灣)으로 유입하는 한국 6대 하천의 하나. 유역면적 9885㎞², 유로연장 401㎞로 남한에서는 한강·낙동강 다음으로 큰 강이다. 본류는 구리향천(九里香川)·정자천(程子川) 등의 지류들과 합류하여 북쪽으로 흐르다가 전라북도 북동부에서 남대천(南大川)·봉황천(鳳凰川)과 합류하고 충청북도에서 송천(松川)·보청천(報靑川)과 합류한 뒤 다시 충청남도 부강에 이르러 미호천(美湖川)과 합류하고 공주·부여 등 백제의 고도(古都)를 지나 강경에 이르러 충청남도와 전라북도의 도계를 이루며 서해로 흘러들어간다.《동국여지승람(東國輿地勝覽)》에는 금강은 공주에 이르러서는 웅진강, 부여에서는 백마강, 하류에서는 고성진강(古城津江) 등으로 불린다고 기록되어 있다.
소백산맥에서 노령산맥이 갈라지는 상류지역은 높이 1000m이상의 산들이 진안고원을 형성하고 있는데, 덕유산(1594m)·백운산(1279m) 등 험준한 산들을 깎아 흐르는 많은 지류들은 감입곡류(嵌入曲流)하면서 무주구천동, 영동(永同)의 양산팔경(陽山八景)같이 아름다운 계곡을 이룬다.
중·하류는 금산분지(錦山盆地)·보은분지(報恩盆地)·청주분지(淸州盆地)·대전분지(大田盆地) 등 분지들과 미호평야·논산평야 등 기름진 충적평야가 발달해 있어 일찍이 우리 민족의 정착지 중 하나였고 백제문화의 본고장이었다. 
하류지역은 서해안의 계속적인 침강으로 익곡(溺谷)이 발달하여 하구가 넓고 깊기 때문에 하항(河港)의 발달과 내륙수운 이용에 유리하다. 원래 금강은 호남평야의 젖줄로서 백제시대에는 수도를 끼고 문화의 중심지를 이루었으며 일본에 문화를 전파하는 수로가 되기도 하였다.",장수군
1,논개사당(의암사),전라북도 장수군 장수읍 논개사당길 41,127.5228441,35.64379297,http://tong.visitkorea.or.kr/cms/resource/56/798156_image2_1.jpg,"임진왜란 때 순국한 주논개의 초상화를 모시고 제사 지내는 사당이다. 의암사는 장수현감 정수석이 주논개의 충절을 기리기 위하여 1846년 논개생장향수명비를 세운 후 1955년 군민들의 성금으로 남산에 사당을 건립하였으며, 1974년 현 위치로 옮겼다.
매년 음력 9월 3일 이곳에서 제례를 지내며 각종 문화행사가 열리고 있다.

(출처 : 장수군청 문화관광 홈페이지)",장수군
2,논개생가,전라북도 장수군 장계면 의암로 558,127.6212317,35.67921013,http://tong.visitkorea.or.kr/cms/resource/40/1605340_image2_1.jpg,"논개는 선조 7년(1575년 9월 3일)에 장계면 대곡리 주촌마을에서 훈장 주달문과 밀양박씨 사이에서 태어났다. 천품이 영리하고 자태가 아름다웠으며, 임진왜란 당시 나라가 위태롭자 19세의 꽃다운 나이로 자진하여 기적에 이름을 올렸다.  나라와 부군(夫君)의 원수 왜장  게야무라 로꾸스께를 껴안고 진주 남강에 투신 순절한 의암 주논개의  충절의 정신을 기리고자 66116m²(20,000여평)의 부지에 50억원을 투자한 논개생가 복원사업이  2000년 9월 완료되어 많은 관광객들의 발길이 이어지고 있다.  또한 생가지가 있는 지역은  덕유산, 오동제 등 주변경관이 수려하고 장안산 군립공원과 지지계곡, 동화댐을 연계한 등산 코스가 열려있어 논개생가와 연계한 관광코스로 손색이 없으며, 연중 많은 관광객과 등산객들이 찾는 곳이다.",장수군
3,덕산계곡(덕산용소),전라북도 장수군 장수읍 덕산로 620-200,127.5456681,35.6049811,http://tong.visitkorea.or.kr/cms/resource/14/2791614_image2_1.jpg,"전북 장수의 덕산계곡은 장수군의 군립공원인 장안산에서 발원한 계곡으로 법년동에서 시작해 밀목치를 지나 장수로 흘러 들어간다.
계곡 주위로 숲이 울창하고 바위가 많아 곳곳에 절경이 펼쳐진다. 이곳에는 용소라 부르는 소가 두 개 있다. 큰 용소와 작은 용소인데, 두 곳의 경관이 특히 아름답다. 가을이면 단풍과 어우러져 더욱더 멋진 경관을 연출한다.",장수군
4,무병장수마을,전라북도 장수군 계북면 토옥동로 114,127.6396711,35.80648213,http://tong.visitkorea.or.kr/cms/resource/47/1976047_image2_1.jpg,"양악마을은 국립공원인 남덕유산과 토옥동계곡을 끼고 있어 자연경관이 빼어나고, 지방문화재인 양악탑과 백제시대의 절 심방사 절터가 있는 역사적으로 유래깊은 마을이다. 봄이면 진달래꽃으로 붉게 물들고, 남덕유산 깊은 골짜기에서 채취한 고로쇠가 있으며, 여름이면 토옥동계곡에서 쏟아지는 시원한 물로 더위를 잊고 , 가을이면 돌담사이에 노오란 호박과 생명력이 넘치는 곡식이 풍부하고 , 겨울이면 양악저수지에서 빙어를 낚을 수 있다. 그리고 한글학자 정인승 박사 생가와 한글기념관이 설립되어 일제강점기때부터 지금까지 우리 한글의 과거와 현재, 미래를 경험할 수 있다.",장수군
5,성관사,전라북도 장수군 장계면 장무로 492-83,127.6036174,35.75244041,http://tong.visitkorea.or.kr/cms/resource/39/1605339_image2_1.jpg,"성관사는 전라북도 장수군에 위치하고 있으며, 대한불교 조계종 제17교구 본사 금산사의 말사이다. 구전에 의하면 고려시대에 창건하여 법등을 이어온 사찰로 알려져 있다. 1999년 7월 전통사찰로 지정되었다.",장수군
6,신광사(장수),전라북도 장수군 천천면 신광길 31,127.4949033,35.70506609,http://tong.visitkorea.or.kr/cms/resource/78/1605378_image2_1.jpg,"신광사는 830년(신라 흥덕왕 5년)에 무주 무염이 창건했다.  무염은 충남 보령 성주사에서 구산선문의 하나인 성주산문을 일으켜 학도들을 지도하다가 이 지방에는 그럴만한 절이 없는 것을 안타깝게 여기고 이 절을 짓게 되었다. 절 이름은 항상 새로운 인재가 자라나라는 뜻에서 신광사라고 했다. 신광사가 창건된지 733년이 되는 정유재란 때 화재로 소실되었다.그후 51년이 지난 1549년(조선조 인조 27년)에 전해선사에 의하여 중건되었다. 신광사 대웅전은 지방유형문화재로 지정하였고 전면3칸, 측면 2칸 목조  맞배집으로 지붕은 너새라는 돌로 이어있다.신광사는 대웅전, 명부전, 요사채, 산신각, 객사 등으로 이루어져 있다.",장수군
7,영월암(장수),전라북도 장수군 산서면 봉서로 182-135,127.3855005,35.54663769,http://tong.visitkorea.or.kr/cms/resource/81/1976081_image2_1.jpg,"전북 장수군 산서면 봉서리 성산(城山)에 자리한 대한불교조계종 제17교구 본사 금산사의 말사이다. 달을 맞이하고 보낸다는 문학적인 이름을 가진 사찰이다. 영월암의 경내에 서면 부근의 여러 면이 다 내려다보일 정도로 높은 성산(城山)의 깊은 곳에 자리하고 있다. 전각들은 산세를 거스르지 않고 좁은 공간에 위로 향해 하나씩 배치하여 일찍 떠 오른 달을 가까이서 보고 늦게까지 머물게 하는 그런 곳이 아닌가 싶다.그렇게 영월암의 풍광은 아름답다. 절에 갈 때마다 절은 참 아름다운 곳에 있구나 하는 생각을 하게 되는데, 영월암 또한 우리의 그런 생각을 배반하지 않는다. 그다지 높지 않음에도 나름대로 빼어난 경관을 자랑하는 산을 병풍처럼 두르고 있으며, 그 산과 어우러지게 산의 모습대로 전각을 배치하고 있는 것 또한 그러하다. 그리고 그곳에 위치한 전각들 또한 어느새 자연과 하나가 되어 산의 일부인양 여겨진다.",장수군
8,원흥사(장수),전라북도 장수군 산서면 원흥길 102-6,127.4210073,35.58917794,http://tong.visitkorea.or.kr/cms/resource/88/1976088_image2_1.jpg,"원흥사는 전북 장수군 산서면 마하리 447-1에 있는 팔공산에 자리한 한국불교태고종 사찰이다. 작지만 결코 작지 않은 사찰이 원흥사이다. 여느 작은 사찰과 마찬가지로 원흥사의 경내에 가면 친근한 석물들이 먼저 반갑게 맞아준다. 원흥사에도 여러 석물이 모셔져 있다. 관음보살과 지장보살 및 동자상이 있으며, 성화염주탑과 사자상도 배치되어 있다. 이들 석물들은 작고 오밀조밀하여 속세의 무거운 짐을 짊어진 채 사찰에 온 사람들에게 짐을 벗게 해준다. 자비로운 미소가 가득한 석물을 향해 두 손을 모으면 마음이 편해지게 되는 것이다. 이렇게 마음을 위로받으며 경내를 돌다가 규모가 꽤 크고 웅장한 미륵보전 안으로 들어가면, 이제는 바깥과는 또 다른 미륵의 세계가 펼쳐진다. 전각 안에는 4m가 넘는 크고 우람한 미륵불이 현현해 있기 때문이다. 미륵 부처님을 향해 두 손을 모으고 절을 올리면 이제 세속에서 지은 마음의 때조차 깨끗하게 씻기는 느낌이다. 이처럼 원흥사는 사찰 자체는 매우 작지만 4m가 넘는 미륵부처가 있어 결코 작게 느껴지지 않는 그런 곳이다.",장수군
9,월강서원,전라북도 장수군 장계면 도장골길 37-8,127.5962464,35.73200093,http://tong.visitkorea.or.kr/cms/resource/42/2553342_image2_1.bmp,"1826년(순조 26)에 지방유림의 공의로 백장(白莊)·송보산(宋寶山)·김남택(金南澤)·최경회(崔慶會)의 학문과 덕행을 추모하기 위하여 창건, 위패를 모셨다. 선현배향과 지방교육의 일익을 담당하여오던 중 1868년(고종 5)에 대원군의 서원철폐령으로 훼철되었으나, 유림과 후손에 의하여 제단을 마련하고 춘추로 향사를 지내오다가 그 뒤 1948년에 복원하였다. 1974년에는 백여옥(白如玉)·김남중(金南重)·송수산(宋壽山)을 추가 배향하였다. 경내의 건물로는 3칸의 사우(祠宇), 4칸의 강당, 고사(雇舍)·행랑·대문 등이 있다. 사우에는 백장을 주벽(主壁)으로 하여 좌우에 송보산·백여옥·김남중·최경회·김남택·송수산의 위패가 봉안되어 있다. 중앙의 마루와 양쪽 협실로 된 강당은 원내의 여러 행사와 유림의 회합 및 학문의 토론장소로 사용된다. 행랑은 공부하는 유생이 거처하는 곳으로 사용하며, 고사는 관리자가 거처하는 곳이다. 이 서원에서는 매년 3월과 9월 15일에 향사를 지내고 있으며, 제품(祭品)은 4변(?) 4두(豆)이다. 유물로는 『사선생사실록(四先生事實錄)』1책 등 40여 권의 문헌이 있으며, 재산으로는 전답 1,500여 평과 임야 700여 평이 있다.",장수군
