,title,addr1,mapx,mapy,firstimage,overview,addr2
0,객사길,전라북도 전주시 완산구 중앙동2가 10-1,127.1437287,35.81766661,http://tong.visitkorea.or.kr/cms/resource/19/2774219_image2_1.jpg,"고려와 조선 시대에 고을마다 설치했던 객사는 외국 사신이나 다른 지역에서 온 벼슬아치를 대접하고 묵게 했던 숙소다. 전주 시내에도 이 같은 객사가 남아 있는데, 그 주변으로 전주 구도심 최대의 번화가가 조성돼 '객사길'로 불린다. 객사 길에는 수많은 로드숍과 프랜차이즈 음식점들이 즐비해 시민들은 물론 관광객들도 즐겨 찾는다. 특히 전주 객사 길은 매년 열리는 전주국제영화제의 배경이기도 하다. 국내 3대 영화제의 하나로 꼽히는 전주국제영화제는 독립영화를 중심으로 운영되며 수많은 화제작과 신인배우를 발굴했다. 객사길 한편에는 전주영화제작소를 비롯해 여러 영화관이 밀집해 '영화의 거리'로도 불린다. 영화의 거리 뒤편으로는 영화 팬들의 감성을 겨냥한 음식점과 카페, 옷가게가 자리해 일명 '객리단길'을 형성하고 있다.",전주시
1,경기전,전라북도 전주시 완산구 태조로 44,127.1498644,35.81520589,http://tong.visitkorea.or.kr/cms/resource/80/2648780_image2_1.jpg,"경기전은 조선왕조를 연 태조의 초상화, 즉 어진을 봉안하고, 제사를 지내기 위해 태종 10년(1410년) 지어진 건물이다. 전주, 경주, 평양 등의 어진 봉양처를 처음에는 어용전이라고 불리었는데, 태종 12년(1412년)에 태조 진전(眞展)이라 하였다가 세종24년(1442년)에 전주는 경기전, 경주는 집경전, 평양은 영숭전이라 각각 칭하였다.경기전은 선조30년(1597년) 정유재란 때 소실되었으나 광해군6년(1614년) 중건되었다. 경기전은 누구든 말에서 내려야 한다는 신성함을 표시한 하마비, 붉은 색칠을 한 홍살문, 외신문, 내신문 그리고 어진을 모신 정전으로 구성되어 있다. 왕실 사당임을 감안할 때 신문(神門)이라고 호칭되며 홍살물 안쪽 내·외신문의 세 문을 통과할 땐 ''동입서출'', 다시 말해 동쪽(오른쪽)으로 들어가 서쪽(왼쪽)으로 나와야 한다. 가운데는 태조의 혼령이 드나드는 ''신도''이기 때문이다.경기전은 조선 태조 이성계의 어진 봉안과 함께 전주사고(史庫)가 설치되었다는 점에서 매우 중요한 의미를 안고 있다. 경기전에 사고가 설치된 것은 1439년(세종21년)의 일이다. 경내에는 태조의 영정을 봉안한 경기전(유형문화재)과 그의 22대조이며 전주 이씨의 시조인 신라 사공공(司空公) 이한(李翰) 부부의 위패를 봉안한 조경묘 (肇慶廟·유형문화재)가 있다. 특히 태조 어진(국보)과 함께 현존하는 조선왕조 어진들이 모셔진 어진박물관도 자리하고 있다.경기전이 오랫동안 관광객과 시민들로부터 사랑을 받아온 이유 가운데 하나는 도심속에 담긴 고풍스러운 모습과 우거진 수목 덕분이다. 경기전에는 다양한 수종의 나무가 있다.

(출처 : 전주시 문화관광 홈페이지)",전주시
2,기지제,전라북도 전주시 덕진구 장동 1110,127.0627519,35.84607586,http://tong.visitkorea.or.kr/cms/resource/54/2795454_image2_1.jpg,"전주시 덕진구 여의동에 있으며 1934년에 만들어진 저수지이다. 베틀처럼 생긴 연못 같다고 하여 이름 붙여졌다. 수변 전망대, 체력 단련 시설 및 휴게 시설이 설치되어 있고, 생태 공원의 습지에는 갈대, 억새 숲을 조성하고, 아름다운 틀못다리와 정자 만성루도 설치되어 있다. 데크로 조성된 산책로를 걸으며 호수와 습지에서 살아가는 여러 생물을 만나고 연꽃과 억새, 갈대, 노을과 같은 자연을 만끽할 수 있는 도심 속의 휴식처로 사랑받고 있다. 데크길을 한 바퀴 도는데 소요되는 시간은 성인 걸음으로 약 1시간 정도 소요된다.",전주시
3,기지제 수변공원,전라북도 전주시 덕진구 장동 1094,127.0645268,35.84130699,http://tong.visitkorea.or.kr/cms/resource/22/2798322_image2_1.jpg,"기지제 수변공원은 전북 혁신도시가 있는 덕진구 혁신동과 만성동에 걸쳐 있는 호수에 조성된 공원으로 피크닉 명소로 꼽힌다. 기지제(호수) 주변으로 데크가 조성되어 있으며 중간중간 쉬어갈 수 있는 그늘막 벤치도 있다. 산책 중에 습지에서 지저귀는 다양한 새소리를 들을 수 있고 수달 등 습지에 사는 여러 생명체를 만날 수 있다. 공원 내 약 460m 구간에 가우라베이비, 니포피아, 억새, 백합 등 개화기가 각기 다른 5종의 화초류 7,544본이 식재되어 있어 사계절의 즐거움을 느낄 수 있다. 또한, 밤에는 물에 반영되어 비친 아파트의 불빛과 고요한 호수의 모습이 어우러져 멋진 풍광을 이룬다. 기지제를 끼고 전망 좋은 카페나 음식점도 많다.",전주시
4,남고사(전주),전라북도 전주시 완산구 남고산성1길 53-88,127.1589501,35.79974391,http://tong.visitkorea.or.kr/cms/resource/25/1605525_image2_1.jpg,"절에서 아래쪽을 내려다보면 전주 시가지가 한 눈에 바라다 보이고, 시선을 위로 하면 멀리 완산칠봉이 그림처럼 펼쳐진다. 한 마디로 남고사는 시내에서 그닥 떨어져 있지 않고 가볍게 산책하면서 들를 수 있는 아주 가까운 곳에 있는데도 불구하고 전망이 아주 근사하다. 더욱이 절 주위의 아름다운 경치를 그냥 즐기기 싫어서 절 주위의 절벽마다 천경대 만경대 억경대 등의 이름이 붙어 있는 곳이기도 하다. 하지만 남고사를 더욱 유명하게 만든 것은 ‘해질녘 남고사의 종 치는 광경’이라 한다. 이 광경이 얼마나 아름다운지 전주8경 가운데 하나로 꼽히고 있는데, 정말 그런지 확인하려면 아무래도 해가 뉘엿뉘엿 서산에 지려고 할 때 산에 올라 종치는 모습을 지켜보아야 제 격일 것 같다.남고사를 기억하는 또 다른 점은 사천왕문이 매우 독특하다는 것이다. 사천왕문에 서서 입구를 살피거나 외관을 빙 둘러 보기만 하면 일반적인 사천왕문과 그다지 다르지 않다. 다만 사천왕문에 한 발 들어서 사천왕상에게 합장을 하려는 순간, ‘아!’하는 탄성이 나올 것이다. 내부에는 규모가 꽤 큰 사천왕상을 각각 1폭씩 그린 4점의 탱화가 걸려 있기 때문이다. 이렇게 남고사는 속인들이 사는 시내에서 멀지 않은 곳에 있다. 따라서 산책 삼아 가벼운 마음으로 부처님을 만나러 갔으면 한다. 더욱이 해질녘에 종 치는 광경이 그렇게 아름답고 근사하다고 하니 기왕 가고자 한다면 그 시각을 맞춰가길 권한다. 그러면 우리 곁에 가까이 다가운 사천왕의 모습까지 생생하게 보게 될 것이다.",전주시
5,남천교 청연루,전라북도 전주시 완산구 천경로 40,127.1531753,35.81072034,http://tong.visitkorea.or.kr/cms/resource/15/2040715_image2_1.jpg,"* 전주 한옥마을의 새로운 랜드마크 남천교와 청연루 *전주시 교동 한옥마을과 서학동을 잇는 남천교, 그리고 남천교 위에 세워진 팔작지붕을 한 청연루가 ‘전주 남천교 명품화사업’을 통하여 한옥마을의 새로운 랜드마크로 자리매김하고 있다. 남천교 주변의 미관 향상과 한옥마을의 인프라 확충을 위해 인근 도로, 하천, 건물을 단계적으로 정비하고 있다. 남천교(길이 82.5m, 폭 25m)는 이 자리에 있던 옛 홍예교의 이미지를 살려 아치형 교량 구조를 하고 있다. 다리 위에 세워진 청연루(晴烟樓)는 전주 8경 중 하나인 한벽청연(寒碧晴煙)인 한벽당(寒碧堂, 누각)과 대칭적 의미로 붙여진 이름이다. 청연루에 올라 앉아 동쪽을 바라보면 멀리 기린봉 자락에 자리 잡은 동고사가 아스라이 보인다.* 전주천 상류 남천교 위에 세워진 팔작지붕 형태의 청연루 *남천교 위에 기와로 지붕을 얹고 목재로 기둥을 세워 청연루를 만들어 놓았는데, 그 모습이 천년고도다운 격조가 있고 고풍이 완연하다. 완산팔경 가운데 하나가 ‘한벽청연’이다. ‘한벽’과 ‘청연’을 대구로 사용해서 다리 위쪽으로 한벽루가 있으니, 그 아래쪽에다가 청연루를 지은 것이다. 다리 위에 이런 정자가 있으니 여름엔 아주 시원할 듯하다. 무지개 모양의 교각과 한옥 모양의 다리가 아름다움을 자아낸다. 역시 전주는 한옥이 강세이다.",전주시
6,다가공원,전라북도 전주시 완산구,127.1377933,35.81406136,http://tong.visitkorea.or.kr/cms/resource/37/1605537_image2_1.jpg,"* 전주 상징에 조금도 손색이 없을 만큼 전주 비경 *다가공원은 전주의 상징에 조금도 손색이 없을 만큼 전주 비경의 하나로 손꼽힌다. 다가산에는 다가공원 외에도 유서 깊은 활터가 있다. 이곳은 예부터 우리 조상들의 무예의 수련장이 되기도 했다. 이 활터를 일컬어 천양정이라고 한다. 이조 숙종 28년에 전주의 유지들이 뜻을 모아 다가천 옆에다가 정자 네 칸을 마련하고 천양정이라고 이름을 지었다. 과녁판은 서북방인 황학대 밑에다 세웠다. 그 후 9년이 지나 대홍수 때 떠내려가고 다시 다가산 바로 밑에 세우니 산의 이름을 따라 다가정이라 했다. 그 후 57년이 지난 정조 2년에는 앞에 정원을 만들었고 황무지를 일구어 활터를 더 넓혔다. 또 순조 30년 8월에는 다가정 구내에 일사정을 건립하고 과녁판을 남쪽에 설치했다. 그때 이름을 다시 천양정으로 부르게 됐다. 이 후 이곳은 노인들이 사용하고 북향으로 활을 쏘는 다가정은 장년들의 활터로 사용하게 되었다. 요즘에는 풍남제 행사에서도 특색 있는 ‘무과 급제 재현’을 1995년부터 재연하여 볼거리가 되고 있다. 천양정 옆 다가천변으로 관찰사 원인손 불망비 외 26기의 불망비와 선정비가 있으며, 공원 정상 부근에 시조 문학과 국문학의 거목인 가람 이병기 시인의 시비가 서 있어 유서가 깊은 곳이다.* 전주팔경 중 하나 다가사후(多佳射帿)를 찾다 *전주시를 남에서 북서로 반월형으로 휘감고 도는 전주천을 따라가다 보면 바위벼랑이 냇물에 불쑥 내민 곳이 많다. 그 중 수목이 울창하고 물에 비치는 바위의 절경이 볼 만하여 일찍부터 전주팔경으로 꼽은 곳, 5월이면 벼랑에는 하얀 꽃송이가 피어나는 이팝나무 군락으로 유명한 다가공원이 있다. 다가공원(多佳公園)에 이르면 천년 전주를 상징이라도 하듯이 300년이 넘은 고목들이 방문객을 맞이한다. 다가공원에는 전주의 오랜 역사를 웅변이라도 하듯이 26기의 불망비(不忘碑)와 선정비(善政碑)가 줄지어 서있다.",전주시
7,덕진공원,전라북도 전주시 덕진구 권삼득로 390,127.1218688,35.84751561,http://tong.visitkorea.or.kr/cms/resource/93/2366393_image2_1.jpg,"전주는 마한시대 이래 호남지방에서 규모가 큰 고을로 그 이름은 마한의 원산성에서 유래했다. 40여년 간 후백제의 수도였으며, 조선시대에는 이성계의 선조가 살았던 고향이라는  이유로 완산유수부로 개칭되기도 했다. 전주에서 볼거리로 강한 인상을 받게 되는 것 중의 하나가 덕진공원에 피는 연꽃이다. 그 만큼 덕진공원 연못은 전주의 명물이다. 전주 IC에서 시내로 들어가는 팔달로변에 위치한 덕진공원은 고려시대에 형성된 자연호수가 1978년 4월 시민공원 결정고시에 의거, 도시공원으로 조성되었고 취향정과 더불어 유서깊은 곳이다.

4만 5천평의 경내에는 남쪽으로 3분의 2를 차지하고 있는 연못과 북쪽의 보트장을 동서로 가로지른 현수교가 그 사이를 양분하고 있다. 그윽히 풍기는 연못중앙으로 아치형 현수교를 거닐면서 한없는 시정에 젖어볼 수 있다. 특히, 대대적으로 정비공사를 하여 1998년부터 재개장한 공원의 특색은 마운딩 시공으로 향촌의 작은 숲(언덕)을 연상케 하고, 전통 정자와 창포늪을 조성하여 역사성을 극대화하였고 또한 인공폭포와 목교를 설치하여 자연친화시설로 시민의 정서에 맞도록 조성하였으며 단오절에는 연못물로 부녀자들이 아침 일찍 머리를 감고 한해 건강을 기원하는 단오 창포물 잔치로도 유명하다. 또한 이 덕진공원 안에는 ""어린이 헌장"", ""신석정 시비"", ""김해강 시비"", ""전봉준 장군상"" 등 9개의 석조 기념물이 조성되어 연꽃 향기와 더불어 이곳을 찾는 이들에게 전주의 정취를 안겨주는 문화공간이 되고 있다.",전주시
8,동고사(전주),전라북도 전주시 완산구 낙수정2길 103-100,127.1677213,35.80959572,http://tong.visitkorea.or.kr/cms/resource/98/1605498_image2_1.jpg,"동고사는 전주시 완산구 교동 승암산에 자리한 한국불교태고종 사찰이다. 동고사에 오르면 가슴이 탁 트인다. 전주 시내에서 교통이 막혀 답답했던 마음이 동고사가 위치한 승암산의 등산로를 따라 오르며 점점 맑은 공기에 숨쉬기 편해지다가, 막상 절집에 오르면 발 아래 그림같이 펼쳐지는 전주 시내를 보며 가슴이 뻥 뚫리는 그런 느낌을 받기 때문일 것이다. 절집은 대웅전을 중심으로 새가 날개를 활짝 펼친 듯 일렬로 늘어서 있다. 자연을 거스르지 않고 산굽이를 따라 하나씩 하나씩 전각을 세웠기 때문이리라. 대웅전을 중심으로 염불실과 심우당이, 그 밖으로 삼성각과 종각이 세워져 있어 마치 연꽃잎이 한잎한잎 벌어지듯한 형상으로 배치되어 있다. 동고사를 바라보며 오른쪽으로 난 등산로를 따라 옆으로 조금 오르다보면 조선후기 18세기말, 19세기초 그리고 20세기초에 이곳에서 스러져 간 천주교 신자들의 순교지인 치명자산으로 연결된다. 타 종교를 배척하지 않고 함께 껴안고 더불어 공존하는 불교의, 부처님의 포용심과 만나게 된다. 이것이 바로 불교의 진면목일 것이고, 종교로서 불교의 위대함일 것이다. 스님의 머리모양을 닮았다는 승암산 중턱에 산굽이와 공존하며 전각이 배치되어 있는 동고사. 크지 않지만 이곳 절집과 인연이 닿은 고승들의 영정을 만날 수 있고, 쉽게 만날 수 없는 목각탱이 모셔져 있어 한껏 멋을 부린 곳이다. 전주 시내를 한 눈에 보고 싶을 때 찾길 권한다.",전주시
9,동락원,전라북도 전주시 완산구 은행로 33-6,127.1529168,35.81684464,http://tong.visitkorea.or.kr/cms/resource/24/1035824_image2_1.jpg,"동락원은 전통적인 한옥생활을 체험할 수 있는 한옥마을의 대표적인 명소일 뿐만 아니라, 전주기전대학 부설의 전통문화생활관으로 미국 남장로교선교회가 전주에 들어와 학원선교를 구체화 시킨 전킨(W.M.Junkin)선교사의 기념관이다. 동락원은 전킨선교사가 활동하던 당시 전주 한옥의 옛 모습을 재현한 곳으로 안채와 사랑채 그리고 행랑채를 갖춘 전통한옥 시설이며 한국의 전통생활 즉 전통숙박, 전통음악, 전통공예, 전통무용 등을 직접 체험하며 교육을 할 수 있는 전통한옥 공간이다. 개별적인 숙박외에도 각족 모임, 세미나, 학회, 집안행사 등 단체숙박을 위해 전체대관도 가능하다. 전체대관은 승독당, 승화당, 청류제, 마당 등 동락원 전체를 대여하는 것으로 모든 체험관을 이용하기 때문에 30명 이상의 단체에 적합하다.",전주시
