,title,addr1,mapx,mapy,firstimage,overview,addr2
0,고부향교,전라북도 정읍시 고부면 교동4길 18,126.7707337,35.6216686,http://tong.visitkorea.or.kr/cms/resource/17/1605617_image2_1.jpg,"1403년(태종 3) 현유(賢儒)의 위패를 봉안, 배향하고 지방의 중등교육 및 지방민의 교화를 위하여 창건되었다. 임진왜란 때 소실된 것을 1597년 현재의 위치로 옮겨 중건하였다. 전라북도 문화재자료로 지정되어 있으며, 현존하는 건물로는 대성전·명륜당·양사재·동재(東齋)·서재(西齋)·사마재(司馬齋)·전직사(典直舍)·내삼문(內三門) 등이 있다. 정면 5칸, 측면 3칸의 맞배지붕으로 된 대성전에는 5성(五聖), 10철(十哲), 송조 6현(宋朝六賢), 우리나라 18현(十八賢)의 위패를 봉안하고 있다. 동재·서재는 각각 정면 3칸, 측면 1칸의 맞배지붕이며, 명륜당은 정면 5칸, 측면 3칸의 맞배지붕에 처마는 홑처마로 되어 있다. 조선시대에는 국가로부터 전답과 노비·전적 등을 지급받아 교관이 교생을 가르쳤으나, 현재는 교육적 기능은 없어지고 봄·가을에 석전(釋奠)을 봉행(奉行)하고 초하루·보름에 분향을 올리고 있으며, 전교(典校) 1명, 장의 수명이 운영을 담당하고 있다. 소장 전적은 71종 128책으로, 지방사연구에 참고가 된다.",정읍시
1,고사부리성(고부구읍성),전라북도 정읍시 고부면 고부리,126.7690254,35.62467101,http://tong.visitkorea.or.kr/cms/resource/31/176331_image2_1.jpg,"정읍시는 갑오동학혁명의 시발지이자 주요 무대로 덕천면의 황토현 전적지를 중심으로 고부 관아터, 만석보터, 말목장터, 전봉준장군고택 등 많은 관련 유적이 있다.높이 132m의 성황산(城隍山)에 쌓여진 고부의 옛 읍성은 고려시대부터 있었던 것이다. 성안에서 발견되는 각종 그릇과 기와조각으로 미루어 보아서는 삼국시대 백제가 이미 성을 쌓았을 가능성이 높다. 조선 초기의 기록에 이미 둘레 460보(步)의 돌로 쌓은 읍성이 있었다 하였으며, 문종실록에 의하면 문종 원년(1451)경에 더욱 넓혀 쌓아 둘레 1,803척(尺) 높이 9척이었고, 성벽 위에 높이 3척의 여장(女墻)을 더 쌓았으며 2개의 문이 있었으나, 옹성(擁城)과 적대(敵臺)는 없었다고 하였다. 성 안에 우물 4개와 하나의 작은 연못이 있었다.동국여지승람에는 규모가 더욱 큰 읍성으로 기록되어 있다. 현재의 성터는 동서방향으로 길쭉한 타원형이며 둘레는 1,050m에 이른다. 성 안에 객사(客舍)터를 비롯한 건물터가 있다.  성벽은 거의 허물어져 원형을 알기 어려우나, 북쪽에 돌로 쌓았던 성벽의 일부가 남아있고 흙으로 묻힌 성벽의 아랫부분은 마치 흙더미가 이어진 듯 완만한 자취를 보여주고 있다.
당초 구부구읍성(도 기념물)이었으나 고사부리성(사적)으로 변경되었다.",정읍시
2,고택문화체험관,전라북도 정읍시 산외면 공동길 58,127.0201949,35.616604,http://tong.visitkorea.or.kr/cms/resource/37/2009137_image2_1.jpg,"고택문화체험관은 정읍시 산외면 '김동수씨 가옥' 옆에 위치해 있으며, 정읍의 선비문화와 풍류예술을 컨셉으로 다양한 문화예술을 체험할 수 있는 시설로, 쉽고 재미있게 고택문화예술을 체험하며 우리 전통문화예술의 우수성을 이해할 수 있는 문화 및 교육시설이다. 전통문화의 신명과 풍류를 결합하여 현대인의 감성에 맞는 여가문화를 제공하는 체험 프로그램이 진행되며, 문화예술 체험과 숙박을 체험하는 사람들에게 전국 어디에서도 경험하지 못할 감동 체험과 힐링의 시간을 제공한다. ",정읍시
3,남산사(정읍),전라북도 정읍시 북면 정신로 183-64,126.8623314,35.60850777,http://tong.visitkorea.or.kr/cms/resource/39/1605639_image2_1.jpg,"남산사는 남산의 정기를 받은 참선도량이다. 정읍의 남산은 예로부터 반야선(般若禪) 터라고 알려져 있었다. 이 곳 선(禪)의 도량에는 병자호란 이전에 승려가 100여 명이나 기거한 큰 절이 있었다고 하며, 이 절은 옛날에는 한적사(閑寂寺)였다고 한다. 조선시대 후기인 1745년 무렵에 금토선사가 중건했지만 그 뒤 언제부터인가 폐허가 되었다고 한다. 그 때문인지 지금도 남산의 절터에서는 주춧돌과 기와장이 무수히 나오고 있단다.하지만 지금은 남산사는 옛날에 규모를 자랑하던 남산사가 아니다. 남산의 야트막한 구릉에 맞게 낮은 모습의 대웅전이 한창 세워지고 있다. 부처님의 원력으로 이곳 정읍에 알맞게 새롭게 사찰이 일어나고 있는 모습을 보여주는 현장인 것이다. 바로 이곳의 산하와 어울려, 이곳의 인심을 담아 부처님과 함께 호흡하고자 하는 것이다. 따라서 파랗게 익어가는 벼이삭이 논두렁을 가득 채운 정읍의 들녘을 지나 그다지 험하지 않은 남산길을 따라 남산사에 가면, 한창 새로 짓고 있는 대웅전에서 바로 이 자리에 우리와 함께 하고 있는 부처님의 존재감을 생생하게 느낄 수 있다.",정읍시
4,내장산 단풍생태공원,전북 정읍시 내장동 560,126.9069744,35.50906426,http://tong.visitkorea.or.kr/cms/resource/79/2715679_image2_1.jpg,"내장산국립공원과 정읍시가 공동으로 조성한 공원시설로 내장호 인근에 위치해 있으며 넓이는 69,000여㎡로 내장호 체험학습관과 조류관찰대, 멸종위기 식물원, 생태습지, 세계단풍원, 단풍분재원, 단풍전통차길, 체육시설등이 조성되어 있다. 정읍시민과 탐방객은 누구나 이용할 수 있고 잔디광장 경관이 좋고 편리한 공간은 야외 결혼식장이나 각종 문화행사장으로 활용되고 있다.",정읍시
5,내장산 문화관광 음악분수 (내장산 워터파크),전라북도 정읍시 내장호반로 37,126.8974,35.52078777,http://tong.visitkorea.or.kr/cms/resource/34/2740834_image2_1.png,"규모 25,600㎡의 내장산 워터파크 내에 위치한 내장산 문화관광 음악분수는 110여 곡(동요, 가요, 영화OST 등)을 14종(워터스크린, 고사분수, 곡사분수, 하트분수, 안개분수 등)의 분수쇼로 보여준다. 규모는 56m×21m, 분수노즐 463개, 수중조명 276개로 지켜보는 사람들의 탄성을 자아낼만한 스케일이다. 음악분수는 하루에 3번 공연하는데 시간대 별로 음악이 다르다. 기성가요 중심의 7시 공연, 유아·어린이 동요 중심의 8시 공연, 발라드·아이돌 음악 중심의 9시 공연 등 좋아하는 시간대를 골라서 즐길 수 있다. 음악에 맞춰 환상적인 춤을 추는 듯한 분수쇼를 통해 연인, 가족과 함께 행복한 시간을 누릴 수 있다.",정읍시
6,내장산 케이블카,전라북도 정읍시 내장산로 936,126.9086221,35.48670016,http://tong.visitkorea.or.kr/cms/resource/01/1929801_image2_1.jpg,내장산 케이블카는 탐방안내소부터 연자봉 중턱 전망대까지 운행을 한다. 케이블카에서 내려서 300m정도 거리에 전망대가 위치하고 있다. 케이블카를 타고 이동하는 5분정도의 시간동안 내장산 전체 산세를 한눈에 내려다 볼 수 있어 단풍 풍경을 비롯한 내장산의 모습을 감상할 수 있다.,정읍시
7,내장산국립공원,전라북도 정읍시 내장호반로 328,126.8985702,35.48686941,http://tong.visitkorea.or.kr/cms/resource/25/2616825_image2_1.jpg,"산 안에 숨겨진 것이 무궁무진하다.' 하여 붙여진 이름이 내장산(內藏山)이다. 가을이면 온통 선홍빛 단풍으로 지천을 물들이는 내장산은 찾는 이의 가슴에 진한 추억을 남기는 ""호남의 금강""이다. 이다. 불타는 단풍터널과 도덕폭포, 금선폭포가 이루어내는 황홀경은 단풍 비경의 대명사로 손색이 없다. 해마다 단풍 천지를 이루는 가을뿐만 아니라 봄에는 철쭉과 벚꽃, 여름에는 짙고 무성한 녹음으로, 겨울에는 바위 절벽의 멋진 비경과 아름다운 설경, 그리고 사계절 내내 갖가지 야생화가 흐드러지게 만개하여 오가는 사람들을 감동시킨다. 내장산국립공원은 ""호남의 5대 명산""인 내장산을 비롯하여 남쪽으로 이어진 백암산, 그리고 내장사, 백양사 등 유서 깊은 사찰과 함께 전봉준 장군이  체포되기 전에 마지막으로 거쳐 간 입암산성까지를 포괄하는데, ""봄 백양, 가을 내장""이란 말처럼 비경의 연속이다.

 내장산 연봉들이 병풍처럼 둘러쳐진 아래, 아담하게 자리잡은 내장사(內臟寺), 대웅전과 극락전 등 조선 중기의 건물들이 다수 남아있는 웅장하고도 고풍스러운 면모를 갖추고  있는 백양사(白羊寺), 동지섣달 엄동설한에도 여전히 그 잎새들을 반짝거리는  굴거리나무와 비자나무 노목들이 천 년을 넘나드는 불심으로 아름다운 숲을 이뤄 역사의 심오한 향기를 더해준다.  또한 내장사를 가운데 두고 신선봉(763m)을 주봉으로 하여 장군봉(696m), 서래봉(624m),  불출봉(619m), 연자봉(675m ), 까치봉(717m) 등이 말발굽처럼 둘리워진 특이한 자연경관을 가지고 있다.760종의 자생식물과 숲, 그리고 천연기념물을 비롯한 다양한  야생동물이 숨 쉬고 있는  내장산은 전북 정읍시와 순창군, 그리고 전남 장성군에 걸쳐있으며 소백산맥에서 갈라진 노령산맥이 호남평야의 한가운데 이르러서 다시 한번 빚어낸 우리나라 최고의 가을산이다. 총면적이 81.715㎢ 에 달하며  1971년 11월 17일 백양사지구와 함께 국립공원으로 지정되었다.

[서래봉]
내장산의 북쪽을 두른 암산이며 내장산의 대표적인 경관이다. 암봉(岩峰)의 모양이 마치 농기구인 써래처럼 생겼다하여 “써래봉”이라고 부르기도 하며 달마조사(達磨祖師)가 양(梁)나라로부터 이웃에 왔다하여 “서래(西來)라고 쓰기도 한다는데 이 사찰이 있는 산명(山名)이 붙은 “수리봉”이란 이름에서 비롯된 것이라고 한다. 정상에 올라서서 서쪽을 바라보면 내장저수지와 정읍시 일부가 보인다. 서래봉은 약 1km의 바위절벽이 그대로 하나의 봉우리를 형성하고 있는데, 그 기묘한 바위절벽 아래로 단풍나무가 아름드리 둘러쳐져 있어 마치 여인이 고운 치마를 입은 듯한 자태이다. 에코엔티어링, 쓰레킹(쓰레기 줍기+트래킹) 등 다양한 탄소저감 체험활동과 자연환경해설사와 함께하는 자연체험과 놀이, 취약계층 맞춤 해설 서비스 등 다양한 탄소저감 프로그램을 운영중이기도 하다.",정읍시
8,내장산수목원,전라북도 정읍시 내장호반로 194-28,126.898178,35.50991124,http://tong.visitkorea.or.kr/cms/resource/60/2405160_image2_1.jpg,"내장산수목원은 대상그룹(전 미원그룹)이 1984년 정읍시민과 내장산탐방객의 자연학습과 야외 여가활동에 기여하고자 내장산 일대 부지 총 2,993,732㎡를 기부하였음. 1996년 그 중 50,000㎡의 부지에 내장산 자생수목을 중심으로 다양한 관목류와 초화류를 식재하고, 각종편의, 휴게시설을 설치, 수목원으로 조성하여 무상으로 개방. 운영하고 있음.",정읍시
9,내장산조각공원,전라북도 정읍시 내장호반로 214,126.9002222,35.50973351,http://tong.visitkorea.or.kr/cms/resource/27/1605627_image2_1.jpg,"국립공원 내장산 서래봉 자락 아래 내장호수와 잘 어우러진 자리에 국내4대 미술전 대상 수상 작가 16명의 수준높은 작품을 전시한 조각공원으로, 동학농민혁명100주년기념탑과 농민군 대표 동상 설치, 수목원 등 관광객의 휴식처로 각광받는 공원이다.",정읍시
