,title,addr1,mapx,mapy,firstimage,overview,addr2
0,갈거계곡,전라북도 진안군 정천면 휴양림길 77,127.4377085,35.90854197,http://tong.visitkorea.or.kr/cms/resource/79/219579_image2_1.jpg,"갈거계곡은 전북 진안군 운장산(1,126m)에 위치하며 연석산의 연동골, 운장산의 검태골 황금리골, 쇠막골 등과 함께 수량이 풍부해 사계절 계곡물이 끊이지 않고 흐른다. 경부고속도로와 대전통영간 고속도로를 타고 약 3시간 달리면 무주IC에 도착하고 여기서 다시 남쪽으로 약20분 달려 진안군에 들어서고 다시 진안읍 정천을 거쳐 주천을 향하여 2km를 가다 보면 갈거마을 나오는데 여기서 운장산 정상으로 통하는 약 7km의 깊은 계곡이 눈에 들어온다. 갈거계곡은 흔히 비경이라고 하는 범주에 포함될 만한 풍광을 지니고 있다. 특히, 가을철 계곡을 물들이는 단풍은 국립공원에 견주어도 모자람이 없으며, 700여 평이나 되는 마당바위, 해기소, 감탄이 절로 나는 정밀폭포 등 운장산으로 오르는 등산로는 우거진 원시 수림과 깊은 계곡, 크고 작은 폭포와 어울러진 기암 괴석이 몇 폭의 산수화를 이어 놓은 듯 첩첩이 눈 아래 펼쳐진다. 운장산은 1000m 이상으로 높은 산이지만 완만하고 시원한 코스로 노인이나 어린이를 동반한 가족이 오르기에도 무리가 없다. ?",진안군
1,고원화목원,전라북도 진안군 백운면 덕현리 678-3,127.3777448,35.68320818,http://tong.visitkorea.or.kr/cms/resource/01/2774201_image2_1.jpg,"진안 백운면에 위치한 고원 화목원은 전라북도 산림환경연구소에서 운영하는 자연학습공간이다. 11.8ha에 달하는 방대한 규모를 자랑하는 고원 화목원은 전문원 23개, 아열대 식물원 1동, 자연학습공간, 편의시설 등을 갖추고 있으며 무려 1,150종류의 다양한 식물을 보유하고 있어 식물 종 다양성 확보와 보전에 기여하고 있다. 고원 화목원이란 이름답게 진안지역의 지리적 특성을 살려 고원 지역에서 볼 수 있는 구름국화와 한라구절초, 구상나무 등을 위주로 우리 꽃과 나무로 녹지공간을 조성한 점도 눈길을 끈다. 피라미드형 온실 내부엔 260여 종 7,000여 본의 열대 식물들이 자라고 있어 1년 365일 언제든 활짝 피운 다채로운 꽃을 만나볼 수 있다. 산책로도 잘 다듬어져 있어 아이들은 물론 온 가족이 함께 산책을 즐기기에도 좋다.",진안군
2,국립 운장산자연휴양림,전라북도 진안군 정천면 휴양림길 77,127.4244517,35.8963459,http://tong.visitkorea.or.kr/cms/resource/75/219375_image2_1.jpg,"진안군 정천면, 주천면, 부귀면과 완주군의 동상면에 걸쳐있는 해발 1.126m의 운장산은 호남 노령산맥의 여러 봉우리 중 으뜸이라 할 수 있다. 특히 동쪽령 해발 1,002m에 위치한 구봉산은 아홉 개의 기암명봉으로 형성되어 1일 등산 코스로서도 각광을 받고 있어, 운장산 구봉산은 주말이면 등산객이 끊이질 않는다. 북두칠성 별들의 전설이 담겨 있는 칠성대를 지나 조선조 성리학자 송익필(1534~1599)이 은거하였던 오성대가 있고 송익필 선생의 자가운장이였기에 이산의 명칭 또한 운장산으로 불러져 내려온다. 운장산자연휴양림은 갈거계곡에 위치하고 있고 약 7km에 달하는 운장산 계곡은 원시수림과 양산유곡의 옥류가 연중 흐르며 순환도로와 연접하여 ""마당바위"", ""해기소"" 등이 자연 수목과 조화를 이루어 멋진 풍광을 연출하고 있다.",진안군
3,금당사(진안),전라북도 진안군 마령면 마이산남로 217,127.3974855,35.75804726,http://tong.visitkorea.or.kr/cms/resource/75/1605775_image2_1.jpg," 마이산 남부 진입로에서 마이산을 오르다보면 매표소를 조금 지나서 왼쪽에 금당사가 있다. 금당사에서 1.4km를 올라가면 마이산 탑사가 나온다. 신라 현덕왕 6년 (814년) 혜감대사가 창건하였다고 전해지고 있다. 극락전에는 수천년이 넘은 은행나무를 깎아서 만든 금당사목불좌상(지방유형문화재)과 가로 5m, 세로 9m 크기의 괘불탱화(보물)가 있다. 이 괘불탱화는 단독의 관음보살입상이 그려져 있으며 표현양식으로 보아 17세기 후반의 뛰어난 솜씨를 자랑하는 걸작으로 통도사의 관음보살 괘불탱화나 무량사의 미륵보살 괘불탱화 등과 함께 걸작으로 손꼽힌다. 이 괘불을 걸고 기우제를 지내면 반드시 비가 온다는 얘기가 전해온다. 또한 이곳에는 백제시대 축조된 것으로 추정되는 금당사 3층석탑(지방문화재자료)이 있다.",진안군
4,노채마을,전라북도 진안군 안천면 노성리 337-1,127.5581097,35.88024175,http://tong.visitkorea.or.kr/cms/resource/93/1545593_image2_1.JPG,"노채마을은 2003년에 전라북도 청정 테마 파크 시범 마을로 선정 되었다. 마을 동남쪽에는 국사봉이, 동북쪽에는 형제봉이 있어 자연경관이 뛰어나다. 또한 일교차가 큰 고원 산간 지역으로 이곳에서 생산한 고추, 머루, 포도, 인삼, 영지, 천마 등이 유명하다. 마을에서는 포도따기체험, 포도씨로 작품만들기, 두부만들기, 고구마캐기 등의 프로그램을 운영 중이며, 마을 내에 지역 주민이 운영하는 숙박 시설이 있어 휴양하기에도 좋다.",진안군
5,데미샘(섬진강발원지),전라북도 진안군 백운면 데미샘1길 172,127.4610576,35.65703483,http://tong.visitkorea.or.kr/cms/resource/38/2369838_image2_1.jpg,"데미샘은 진안군 원신암마을 상추막이골에 위치해 있다. 섬진강의 발원지인 데미샘이 있는 봉우리를 천상데미라고 부르는데, 데미라는 말은 전라도 사투리인 ‘더미(봉우리)’에서 유래 되었다. 천상데미는 ‘섬진강에서 천상으로 올라가는 봉우리’란 뜻이다. 데미샘으로 가려면 원신암마을의 팔선정 정자에서부터 1.19km의 오솔길을 한 시간 여 정도 걸으면 다다를 수 있는데 자연 보존이 잘 되어 있어 자연생태학습장으로도 유용하다.",진안군
6,마이돈테마공원,전라북도 진안군 진안읍 마이산로 130,127.4178888,35.77550119,http://tong.visitkorea.or.kr/cms/resource/43/2521543_image2_1.JPG,"진안읍에서 북부마이산 방면으로 가는 길에 위치한 마이돈테마공원은 돼지를 주제로 한 공원이다. 공원 곳곳에는 개성 있는 돼지 조형물들이 있어 사진 찍기 좋다. 마이돈테마공원에서는 소시지 만들기, 불고기 피자 만들기, 홍삼 아이스크림 만들기 등의 체험 프로그램이 준비 되어 있다. 공원 입구에는 진안의 명물 흑돼지를 판매하는 음식점들이 늘어서 있다.",진안군
7,마이산 벚꽃길,전라북도 진안군 마령면 동촌리,127.3941803,35.75538361,http://tong.visitkorea.or.kr/cms/resource/81/1998581_image2_1.jpg,"마이산 벚꽃길은 진안 고원의 독특한 기후로 인하여 전국에서 가장 늦게 벚꽃이 핀다. 이산묘와 탑사를 잇는 2.5km의 벚꽃길에 수령 20~30년의 벚나무가 수천그루 식재 되어 있는데 일제히 피어나면 화려한 장관을 이룬다. 마이산 벚꽃길에서는 드라마 '49일', '남자가 사랑할 때' 등이 촬영 되었다.",진안군
8,마이산 타포니지형,전라북도 진안군 진안읍 마이산로 255,127.4127036,35.75965012,http://tong.visitkorea.or.kr/cms/resource/96/198596_image2_1.jpg,"마이산을 남쪽에서 보게되면 봉우리 중턱 급경사면에  군데군데 마치 폭격을 맞았거나 무언가 파먹은 것처럼 움푹 움푹 파인 많은 작은 굴들을  볼 수 있는데  이는 타포니 지형이다. 풍화작용은 보통 바위 표면에서 시작되나 마이산 타포니 지형은 풍화작용이 바위 내부에서 시작하여 내부가 팽창되면서 밖에 있는 바위 표면을 밀어냄으로써 만들어진 것으로 세계에서 타포니 지형이 가장 발달한 곳이다.※ 타포니(tafoni)타포니는 비교적 건조한 지방의 암석 절벽이나  해안에서  잘 형성되는 구조라고 할 수 있다.  외형적으로 보이는 형태가 마치 벌집모양이라고 하여  지질학에서는 벌집구조(honeycomb structure)라고 부른다. 우리 나라에서는 마이산에서 가장 뚜렷하게 관찰되고 있다. 그리고, 울릉도나 제주도 산방산 절벽에서도 관찰된다. 해안 지역에서 타포니는 주로 염분이 암석의 입자 사이에 들어가 풍화가 진행되면서 시작된다.  풍화가 진행되어 어떤 부분이 상대적으로 약하게 되면 그 곳을 중심으로 풍화가 심화된다. 마이산의 경우처럼 암석이 자갈로 이루어진 경우에 절벽에서 자갈덩어리가 빠져 나오면 그 곳을 중심으로 풍화가 빠르게 진행된다. 마이산의 타포니에서 주의해야 할 것은 하나의 구멍이 점차 커져서 진행되기도 하였지만 작은 구멍이 합쳐져서 지금처럼 커진 경우가 많다.한마디로 말하면 암석 절벽에서 약한 부분이 풍화가 진행되면서 둥그런 모양으로 떨어져 나가 형성된 벌집모양의 구조라고 정리할 수 있다.",진안군
9,마이산 탑사,전라북도 진안군 마령면 마이산남로 367,127.4112037,35.758503,http://tong.visitkorea.or.kr/cms/resource/67/1605767_image2_1.jpg,"전북 진안군 마령면 동촌리, 마이산의 남쪽 사면에 탑사가 있다.  마이산의 남부주차장에서 약 1.9km 정도 떨어진 곳에 있는 마이산 탑사는 이갑용 처사가 쌓은 80여 개의 돌탑으로 유명하다.  돌탑들의 형태는 일자형과 원뿔형이 대부분이고 크기는 다양하다. 대웅전 뒤의 천지탑 한 쌍이 가장 큰데, 어른 키의 약3배 정도 높이이다. 어떻게 이런 높은 탑을 쌓아 올렸는지는 아직도 정확히 밝혀지지 않아 사람들의 궁금증을 불러일으키고 있다. 이 돌탑들은 1800년대 후반 이갑용 처사가 혼자 쌓은 것으로 알려져 있다. 이갑용 처사는 낮에 돌을 모으고 밤에 탑을 쌓았다고 한다.  이 탑들은 이제 100년이 넘었는데, 아직도 아무리 거센 강풍이 불어도 절대 무너지지 않는다고 하니, 그저 신기할 뿐이다. 이 탑사는 봄 벚꽃으로도 유명하다. 진입로 입구의 마이산 남부주차장에서 탑사앞까지 약 1.9km의 길에 벚나무가 늘어서있어 봄이면 벚꽃 잔치가 벌어진다. 이 기간에 이곳에서 마이산 벚꽃축제가 펼쳐지기도 한다. 마령면 동촌리의 남부주차장에서 탑사까지는  약 30분 정도 걸어 들어가야 한다.* 마이산 천지탑 *주탑인 천지탑은 부부탑으로 2기로 되어 있으며 높이는 13.5m이고 남.북으로 축조되어 있다. 주탑인 천지탑을 정점으로 조화의 극치를 이루며 줄줄이 세워져 있고 팔진법의 배열에 의하여 쌓았다고 전해지며, 당초에는 120기 정도가 있었으나 현재는 80여기가 남아있다. 맨 앞 양쪽에 있는 탑을 일광탑.월광탑이라 하며 마이산 탑군은 태풍에 흔들리기는 하나 무너지지 않는 신비를 간직하고 있으며 탑들을 보면 양쪽으로 약간 기울게 쌓여져 있는 것을 볼 수 있는데 이는 조탑자가 바람의 방향 등을 고려하여 축조한 것으로 보인다.",진안군
