,title,addr1,mapx,mapy,firstimage,overview,addr2
0,갓도넛(주식회사 갓도넛),충청남도 금산군 금산천길 106 금산시장,127.4918597,36.09979337,http://tong.visitkorea.or.kr/cms/resource/24/2996124_image2_1.jpg,"금산군의 지역특산물인 인삼 및 깻잎의 소비 촉진 및 판로 확대를 위한 방안으로 지역농산물을 활용한 도넛으로 지역특산품인 홍삼크림치즈도넛, 깻잎커스터드도넛을 제작했다.
지역 농가의 판로 확대 필요성에 대해 깊게 느껴본 경험이 있으며, 지역 청년 농부들과 협업하여 특산품 도넛을 개발하고자 한다.",금산군
1,개삼터·개삼각,충청남도 금산군 남이면 개삼로 101,127.4782838,36.07539313,http://tong.visitkorea.or.kr/cms/resource/97/1600197_image2_1.jpg,"* 금산인삼이 처음 재배된 곳, 개삼터 *충남 금산군 금산읍 남이면 개삼로 산자락에 개삼터공원이 조성되어 있다. 개삼터는 금산에서 최초로 인삼을 심은 곳이다. 고려인삼의 종주지이며, 유통의 중심지이자 인삼의 고장인 금산에서는 매우 중요한 의미를 갖는다. 전설에 따르면 금산인삼이 처음 재배되기 시작한 것은 지금으로부터 1,500여 년 전. 강씨 성을 가진 선비가 진악산 아래서 홀어머니를 모시고 살았다. 어머니가 병환으로 눕자 관음굴에서 지성으로 기도하던 중 산신령이 나타나 “관앙불봉 바위벽에 가면 붉은 열매가 3개 달린 풀이 있다. 그 뿌리를 달여 어머니에게 드리면 병이 곧 나을 것이다”라고 말했다. 이튿날 산신령이 알려준 풀뿌리를 달여 드리니 어머니의 병이 깨끗이 나았다. 강 처사는 풀의 씨앗을 받아 성곡리 개안마을의 밭에 뿌렸는데, 그 뿌리 모양이 사람 비슷해서 인삼이라고 불렀다. 개삼터에는 산신령이 강 처사에게 인삼을 내리는 그림이 있는 개삼각과 강 처사의 집이 있다. 강 처사가 인삼을 얻어 재배하기까지의 과정을 모형으로 재현해놓았다.",금산군
2,고경명선생비,충청남도 금산군 금성면 양전리,127.4732996,36.12290429,http://tong.visitkorea.or.kr/cms/resource/25/183025_image2_1.jpg,"임진왜란 때 금산에 주둔한 왜적을 유인하여 금성면 파초리 눈벌싸움에서 싸우다가 장렬히 전사한 제봉 고경명 선생의 순절비이다.  전라도 출신의 의병장인 고경명의 순절비가 여기에 세워진 이유는 다음과 같다.본래 고경명선생은 고향인 장흥에서 의병을 일으켰다. 더욱이 임금인 선조가 파천하였다는 소문을 듣고 격분함을 참지 못한 선생은, 큰 아들 종후와 여주인 김천일, 담양부학유 유팽노 등을 찾아 상의하고 의병을 일으켰다. 그 후 금산의 왜적을 향하여 적정을 수색하는 한편, 충청 의병장 조헌에게 서신을 보내서 같이 평강을 건너 금산의 왜적을 칠 것을 약속하였다.이 때 진산에 이르자, 왜병이 전주로 진군하려고 진산에 오는것을 맞아 접전 끝에 왜적을 물리쳤다. 이에 왜군은 서서히 후퇴하여 금산성으로 돌아가 수세를 취하였다. 임진년 7월 9일 새벽에 작전계획을 세우고 곽영의 군은 북문을 담당하여 공격하고 고경명 군은 서문을 담당하여 공격하였다. 북문에서 승리한 왜군이 후방에서 고경명 군을 공격하니, 앞뒤로 적을 대항해 싸우게 된 고경명군은 후방의 왜군을 쫓아 눈벌에서 왜군에 포위당하고, 전군이 순절하였다. 고경명 군의 거병 보고를 들은 선조는 공조 참의라는 관직을 하사하고  초토사라는 겸관을 전지하였으며, 순절한 소식을 듣고 애통하게 생각하여 사우를 광주에 세워 액호를 포충사라 하고 배향케한 다음 금산의 종용사에도 배향케하여  그 충의를 기억하도록 했다. 조선 17대 효종 27년에 당시  군수 여필관이 순절비를 세운 것을 일제 때 없애 버렸으나, 해방 후 후손들이 다시 세우고 1964년 비각을 건립했다.",금산군
3,권율장군 이치대첩비,충청남도 금산군 진산면 대둔산로 191,127.3531212,36.13230943,http://tong.visitkorea.or.kr/cms/resource/01/757601_image2_1.jpg,"이치는 순우리말 '배티재'의 한자 이름이다. 이 배티재는 대둔산 중허리를 넘어 전북 완주군으로 통하는 교통의 요지이며 전략상 중요한 곳이었다. 임진년 7월 경상도와 충청도를 휩쓴 왜군이 군량미의 현지 보급을 위해 이 배티재를 넘어 호남평야로 진출하려 하였다. 이때 왜장 고바야가와가는 2만 병력을 이끌고 재를 넘으려 했다. 한편, 이보다 앞서 권율장군은 동복현감 황진과 1,500여명의 군사를 거느리고 이 재를 지켜 왜군의 호남진출을 막으려고 만반의 준비를 하고 있었다. 왜군은 수의 우세함과 승승장구의 힘을 믿고 단숨에 이 재를 넘으려고 공격했지만, 장군은 전병력을 독려, 결사전을 벌여서 적을 섬멸하여 승리를 거두니, 이를 일컬어 이치대첩이라 하고, 이후 왜군의 호남 진출 전략에 차질을 빚게 되었다.1866년 금성면(錦城面) 상가리(上佳里)에 이치대첩비와 대첩사 (大捷祠)를 세웠으나 1944년 6월 일제가 항일유적 말살정책으로 폭파하여 그 파편이 진산면 사무소에 보관되었다. 1963년 대첩에 참여한 후손과 지역 유지가 지금의 장소에 비석을 건립하였다. 1991년부터 성역화계획이 수립되어 사당·비각 및 안내판 이축, 내삼문·외삼문·담장을 건립하였다.장군의 묘소(경기기념물)는 경기도 양주군 장흥면(長興面) 석현리(石峴里)에 있다.",금산군
4,권충민공순절비,충청남도 금산군 제원면 저곡리,127.5665361,36.10952414,http://tong.visitkorea.or.kr/cms/resource/00/1600200_image2_1.jpg,"임진왜란 때 금산으로 쳐들어 오는 왜적을 막다 장렬히 순절한 금산군수 권종(權悰)의 충의를 기리고 있는 유허비(遺墟碑)이다.권종(?~1592)은 영동지방으로 쳐들어오는 왜적을 막기 위하여 출정하였다가 강을 건너려는 왜구를 막아내고자 200여 명도 못되는 병사를 거느리고 싸우다가 왜적을 무수히 무찌르고 용감히 싸웠으나, 그의 아들 권준과 함께 전사하고 말았다. 비석은 제원대교 입구에서 서남으로 약 50m 지점에 세워져 있는데 전면에 ‘贈正憲大夫李朝判書諡忠愍公行錦山郡守安東權公諱悰殉節遺墟碑’ (증정헌대부이조판서시충민공행금산군수안동권공휘종순절유허비) 라고 한자로 새겨져 있다. 순절비의 글은 이승보가 지었고 글씨는 11대손인 정현이 썼다. 1878년(고종 15) 금산 유림에서 비를 세웠으나 1941년 일제에 의해 비석의 비문이 뭉개진 것을 815광복 후 다시 비를 찾아 세워 놓았고, 1974년 비를 보호하고자 비각을 세워 두었다.",금산군
5,금강 농바우마을 [농촌전통테마마을],충청남도 금산군 부리면 어재1길 2,127.5945843,36.0837859,http://tong.visitkorea.or.kr/cms/resource/69/2518269_image2_1.jpg,"기우제를 지내는 농바우가 있는 금강 농바우 마을은 인삼의 고장 금산 끝자락에 자리 잡은 어재1리 마을이다. 금산군의 오지 마을로 인심 좋고 시골적 경관이 있어 살기 좋은 곳으로 수박, 배, 고추, 인삼, 사과, 딸기를 주 작물 생산하고 마을 앞으로는 금강이 유유히 흘러 민물고기, 다슬기 체험이 가능하고 또한 깊은 계곡을 가지고 있는 양각산이 마을 모퉁이에 자리 잡아 고사리, 버섯, 산나물 채취 체험과 계곡 물놀이가 가능하다.",금산군
6,금산 대원정사,충청남도 금산군 금산읍 비범3길 17,127.4915762,36.10854514,http://tong.visitkorea.or.kr/cms/resource/99/182999_image2_1.jpg,"대원정사는 원래 하신리 온양 이씨 어필각(溫陽李氏 御筆閣) 인근에 있었으나, 일제강점기 때 현재의 위치에서 약 100m 정도 떨어진 곳으로 옮겨졌다가 1982년 다시 현재의 위치로 옮겨졌다.이 건물은 정면 3칸, 측면 2칸의 규모로 내부에 우물마루를 깔고  중앙의 뒤칸에 불단을 조성한 후, 신안사(身安寺)에서 옮겨온 것으로 전해지는 비로사나불(毘盧舍那佛)을 봉안하고 있다. 정면 3칸에 달려 있는 창호(窓戶) 중 특히 중앙칸의 창호는 정교한 쌍여닫이 연꽃살문으로 처리하여 많은 정성을 들인 것이다. 건물 구조는 길게 다듬은 돌로 된 기단(基壇) 위에  높이 93cm의 초석(礎石)을 놓고 짧은 원형 기둥을 세웠는데, 이 주춧돌의 모양이나 재질로 보아 창건 당시의 것이 아니고 옮겨 지을 때 기둥 아래 부분의 부패 방지를 위하여 교환한 것으로 추정된다. 지붕은 겹처마 팔작지붕을 이루고 있다.",금산군
7,금산 바리실마을,충청남도 금산군 제원면 바리실길 206,127.5242948,36.13419557,http://tong.visitkorea.or.kr/cms/resource/33/2518233_image2_1.jpg,"사과와 인삼 그리고 인정이 넘치는 바리실은 스님의 밥주발인 바리를 닮았다 해서 부처봉이라 이름 붙여진 봉우리가 6봉 가득 담긴 곳으로 산세가 마을을 내려다보는 마을이다. 그런데 바리실의 '실'이 실과 실(實)이라 한다. 그래서 이름하여 스님의 욕심없는 바리에 과실이 가득 담겨 '부자'되라는 뜻의 바리실이라니 그야말로 '부자'가 될 수밖에 없는 풍요로운 마을이다.마을 앞을 흐르는 개천에 버들치가 살아 1급수 청정지역을 자랑하는 바리실 마을에서는 지금도 버들치를 옛 사투리 그대로 '중태기'로 부르는 낭만스런 고집도 은근하다.잘 알려지지 않았지만 이 곳의 명품은 다름 아닌 '사과'이다. 10월에 열리는 사과 맛보기 대회에는 사과로 만든 갖가지 진기한 식품이 등장한다. 사과떡, 사과튀김, 사과술, 사과김치,사과고추장 등 무려 10여 가지에 이른다.금산의 대표 인삼을 마다하고 사과를 마을의 명품으로 키워낸 장인정신이 또다른 아름다움으로 빛나는 인심도 풍요로운 양반고을이 바리실 마을이다.",금산군
8,금산 천내리 용호석,충청남도 금산군 제원면 천내리,127.5686802,36.11763436,http://tong.visitkorea.or.kr/cms/resource/06/1600206_image2_1.jpg,"용호석은 2기로 이루어져 있으며 제원면 천내리 마을 서쪽을 흐르는 강변에 있다. 제원대교에서 북쪽으로 500m 지점에는 용석(龍石), 그리고 그로부터 다시 북방으로 100m 떨어져 호석(虎石)이 위치하고 있다. 용석은 70×80cm 가량 되는 대석(臺石) 위에 조각되었으며 높이 138cm 전후, 폭 81cm인데 이름을 상징하는 듯한 여러 개의 과형 돌기(過形突起)와 그 사이에 꿈틀거리는 용의 몸체가 조각되어 있다. 여의주를 물고 있는 입 양편에는 아가미와 수염이 표현되어 있다. 한편 호석은 110×65cm의 장방형 대석 위에 앞발을 세우고 앉아있는 모습을 조각하였는데, 동체에는 두툼하게 융기(隆起)된 곡선과 원형을 교호(交互)로 조각하여 호랑이 털 모양을 만들었다. 몸체는 서쪽을 향하고 있으나 머리는 북쪽을 향하였으며 입을 크게 열고 있다.이 용호석의 유래에 대해서는 고려 말 홍건적의 난을 피하여 안동으로 피난 내려 온 공민왕이 자신의 능묘의 위치를 정하여 필요한 석물을 준비케 하였으나 개경에 환도한 후에는 그대로 방치하였다는 전설이 전해온다.* 규모 - 용석 높이 138cm, 호석 높이 140m * 재료 - 화강암 ",금산군
9,금산 천내리/용화리 고인돌,충청남도 금산군 제원면 용화리,127.5834793,36.09913118,http://tong.visitkorea.or.kr/cms/resource/86/2522586_image2_1.jpg,"고인돌은 청동기시대 지배층의 무덤으로 '지석묘'라고도 한다. 이 고인돌이 있는 자리는 일용골 마을 뒷산으로, 남북으로 길게 낮은 구릉성(丘陵性) 산지가 형성되어 있다. 용화리에서 흘러 내려오던 금강의 물줄기가 이 구릉을 ‘S'자 형태로 휘어 돌아 충청북도 영동쪽으로 빠져나가면서 금산읍에서 무리를 이루고 있는데 모두 12기가 확인된다. 덮개 돌은 사각형(四角形) 또는 일정하지 않은 모양의 200cm 안팎의 크기로, 주변에서 돌칼, 돌화살촉, 붉은 색을 띤 토기 등이 출토되었다.전국에 흩어져 있는 고인돌 중 14기가 금산에 있는데 그 중 청동기 시대의 고인돌 12기가 제원면 천내리 470-5번지에, 고인돌 2기가 용화리 502-1번지에 위치하고 있다.",금산군
