,title,addr1,mapx,mapy,firstimage,overview,addr2
0,강경 옥녀봉,충청남도 논산시 강경읍 북옥리,127.0119397,36.16490806,http://tong.visitkorea.or.kr/cms/resource/65/1280565_image2_1.jpg,"옥녀봉은 논산 8경 중 하나로, 송재정(정자)과 봉수대에서 강경읍내나 금강을 조망하기에 좋다. 옥녀봉 정자에서 바라보면 사방이 거칠 것이 없이 훤하고, 논산평야가 한눈에 들어온다. 또 부여와 익산이 파노라마처럼 펼쳐져 있고, 평야와 강이 조화를 이루고 저멀리 산이 배경처럼 서 있어 한폭의 수채화를 연상케 한다. 옛날 이 산 아래로 흐르는 강물은 아주 맑았고, 산은 숲으로 우거져 있었으며 사방으로 끝없이 펼쳐진 넓은 들이 있어 경치가 더없이 좋았다고 한다.때문에 옥녀봉은 달 밝은 보름날 하늘나라 선녀들이 이 산마루에 내려와 경치의 아름다움을 즐겼고 맑은 강물에 목욕을 하며 놀았다는 전설을 간직하고 있다. 옥녀봉 봉수대는 전북 익산 광두원산의 봉수를 받아 황화산성, 노성봉수로 연락을 취하던 곳이다. 송재정 바로 아래편에는 국내 최초의 침례교회 예배터가 자리하고 있어 성지순례지로도 유명하다.",논산시
1,개태사(논산),충청남도 논산시 연산면 계백로 2614-11,127.229371,36.2407282,http://tong.visitkorea.or.kr/cms/resource/37/1278637_image2_1.jpg,"충남 논산시 연산면(連山面) 천호리(天護里) 천호산에 있는 사찰로 고려 태조가 후백제의 신검(神劍)을 무찌르고 삼국을 통일한 것을 기려 황산을 천호산이라 개칭하고 창건하였다. 고려 태조 19년(936)에 창건된 사찰로 그 내역은《고려사》와《여지도서》에 기록되어 있다. 그 기록에 의하면 개태사는 왕건이 후삼국을 통일한 후 후백제를 평정한 것을 기념하기 위해 약 4년간에 걸쳐 축조했다. 그래서 태조의 영정을 모시는 진전(眞殿)이 있었으며, 국가에 변고가 있을 때에는 이곳에서 신탁(神託)을 받는 등 왕실과 긴밀한 관계를 맺으면서 유지되어 왔다. 그러나 고려 말기에 이르러 사운은 쇠퇴하기 시작한 것으로 전한다. 즉 고려 말기 잦은 왜구의 침입에 의해 잦은 방화와 약탈을 당하게 되어 조선시대에는 계속 폐사된 채 방치되어 왔는데 1934년에 이르러 오늘날의 사찰이 재건된 것으로 알려지고 있다.조선조시대에는 퇴락하여 폐사로 있던 것을 1930년 김광영(金光榮)이 새로 짓고 도광사(道光寺)로 이름을 고쳤다가 다시 태광사(泰光寺)라고 하였다. 중요문화재로는 보물인 사지석불입상(寺址石佛立像), 충남민속자료인 개태사철확(鐵?), 충남문화재 자료인 5층석탑과 석조(石槽)가 있다.예전에 이 절에서 쓰던 철확, 즉 큰 가마솥은 승려들의 식사를 위해 국을 끓이던 것으로 지름 3m, 높이 1m, 둘레 9.4m이다.* 개태사지 석조삼존불입상 (보물 제219호) *개태사 석조삼존불입상은 경내(境內) 북단에 위치하고 있으며 남쪽을 주시하고 있다. 본존불은 높이 4.15m 크기로 복연(伏蓮:아래로 향한 연꽃) 의 방형 기단상에 안치되어 있는데, 중앙부에 만들어진 방형의 불대(佛臺) 후면에 2개의 구멍이 있는 것으로 미루어 본래는 광배가 있었던 것으로 보인다. 불상의 형태는 크게 돌출된 육계에 둥그런 얼굴을 지니고 있으며, 이마에 백호가 선명하고 이목구비의 형태가 뚜렷하나 얼굴의 규모에 비해 크게 과장된 형상이다. 불상의 규모에 비해 크게 과장된 듯한 양손은 오른손을 들어 가슴에 붙이고, 왼손은 배에 대어 무엇을 잡은 것처럼 만들었는데, 이로 미루어 본존은 아미타불로 추정된다. 좌우의 협시보살은 각각 시무외인, 여원인을 나타내고 있는데, 오른손과 왼손의 위치가 다르게 있다는 특징을 보인다. 보살상은 각각 지름 2m 내외의 팔각형 연꽃 대좌에 올려져 있으며, 높이는 3.12m 내외이다. 새로이 만들어진 얼굴은 육계가 크며, 본존불보다 더욱 치졸하다. 머리띠 장식은 귀 뒤로 어깨까지 내려져 있으며, 양팔에는 팔찌를 돌리고 있다. 법의는 우견편단으로 양팔에서 좌·우로 늘어져 있고, 배에서 무릎까지 한줄의 매듭장식이 드리워져 있다. [문화재현황개태사지석불입상(보물)개태사지철확(충남 민속자료)개태사지 5층석탑(문화재자료)연산화악리의 오골계(천연기념물)",논산시
2,계백장군 유적지,충청남도 논산시 부적면 충곡로 311-54,127.1814127,36.19245232,http://tong.visitkorea.or.kr/cms/resource/43/1279043_image2_1.jpg,"백제 말기 성충(成忠)·흥수(興首)와 더불어 백제 3충신으로 꼽히는 계백의 유허지로 최후의 결전장이던 황산벌과 가까운 곳에 있다.1966년 묘를 발견할 당시, 봉분이 반 이상 붕괴되어 내광이 노출되었으며 광벽까지 일부 파손된 채 방치되어 있었는데 부적면 사람들이 지석(支石)을 안치하고 내광회벽을 완봉한 후 봉분 둘레 47.6m, 지름 15.15m, 높이 6.5m로 복묘하였다. 1976년 5월 19일에는 봉토를 만들고 비석을 세웠다. 비석에는 ''전백제계백장군지묘(傳百濟階伯將軍之墓)''라고 씌어 있다.

* 백제의 마지막 장수, 계백 장군 *
계백(階伯 ; ?~660)은 백제의 장군이다. 554년 성왕(聖王)이 관산성(管山城)에서 전사한 뒤 백제와 신라의 관계는 매우 악화되었다. 641년 의자왕(義慈王)의 즉위이래 백제는 고구려와 제휴하면서 신라를 자주 공격했다. 그러나 고립된 신라가 당나라와 협력하여 고구려.백제 두 나라를 노리면서 상황은 크게 변했다. 더욱이 의자왕의 실정으로 국내가 혼란해지고, 고구려가 연개소문의 정변 등 국내 문제로 백제와의 동맹에 소극적으로 되자 백제의 위기는 점차 현실화되었다. 결국 660년(의자왕 20) 소정방(蘇定方)과 김유신(金庾信)의 나당연합군이 백제의 요충지인 탄현(炭峴)과 백강(白江)으로 쳐들어왔다. 이에 의자왕은 계백에게 5,000명의 결사대를 주어 이를 막게 했다. 계백은 죽기를 각오하고 출전하여 1당 100의 열세에도 불구하고 4번을 싸워 이겼으나 백제군은 결국 중과부적으로 대패하여 계백이 전사했다. 이 황산벌전투로 백제는 비운의 종말을 맞이했으며, 계백장군은 통한을 품고 이곳에 묻혀 있다.

* 백제의 마지막 장수, 계백 장군 *
계백(階伯 ; ?~660)은 백제의 장군이다. 554년 성왕(聖王)이 관산성(管山城)에서 전사한 뒤 백제와 신라의 관계는 매우 악화되었다. 641년 의자왕(義慈王)의 즉위이래 백제는 고구려와 제휴하면서 신라를 자주 공격했다. 그러나 고립된 신라가 당나라와 협력하여 고구려.백제 두 나라를 노리면서 상황은 크게 변했다. 더욱이 의자왕의 실정으로 국내가 혼란해지고, 고구려가 연개소문의 정변 등 국내 문제로 백제와의 동맹에 소극적으로 되자 백제의 위기는 점차 현실화되었다. 결국 660년(의자왕 20) 소정방(蘇定方)과 김유신(金庾信)의 나당연합군이 백제의 요충지인 탄현(炭峴)과 백강(白江)으로 쳐들어왔다. 이에 의자왕은 계백에게 5,000명의 결사대를 주어 이를 막게 했다. 계백은 죽기를 각오하고 출전하여 1당 100의 열세에도 불구하고 4번을 싸워 이겼으나 백제군은 결국 중과부적으로 대패하여 계백이 전사했다. 이 황산벌전투로 백제는 비운의 종말을 맞이했으며, 계백장군은 통한을 품고 이곳에 묻혀 있다.",논산시
3,관촉사(논산),충청남도 논산시 관촉로1번길 25,127.1136855,36.18883488,http://tong.visitkorea.or.kr/cms/resource/35/1278835_image2_1.jpg,"관촉사는 논산8경 중에서도 제1경으로 꼽히는 명승지다. 관촉사에는 독특한 볼거리가 많은데, 그중 으뜸은 ‘은진미륵’이라 불리는 석조미륵보살입상(보물)이다. 높이 18m의 석불이 온화하고 자비로운 얼굴을 하고 있다 하여 ‘백제의 미소’로 표현되곤 한다. 은진미륵 앞에 선 석등과 오층석탑, 석문 등도 눈여겨볼 것. 불경을 넣어둔 윤장대의 축을 잡고 돌리면 경전을 읽는 것과 같다고 한다. 관촉사 앞마당에 서면 풍요로운 논산평야가 한눈에 들어온다.",논산시
4,궐리사,충청남도 논산시 노성면 교촌길 35,127.1332924,36.28236897,http://tong.visitkorea.or.kr/cms/resource/31/1600231_image2_1.jpg,"공자(孔子)의 영상을 봉안한 영당(影堂)으로 기와로 된 정면 3칸, 측면 3칸, 면적 약 1,564㎡의 맞배지붕 건물이다. 권리는 노나라의 곡부(曲阜)에 공자가 살던 곳을 본떠 지은 이름이다. 원래 1687년(숙종 13) 송시열(宋時烈)이 궐리사를 건립하고자 하였으나 뜻을 이루지 못하고 세상을 떠났다. 1716년(숙종 42)에 권상하(權尙夏)·김만준(金萬俊)·이건명(李健明)·이이명·김창집(金昌集) 등 제자들이 노성산 아래 궐리촌(闕里村:현 위치의 서쪽)에 궐리사를 건립하고 이듬해에 공자의 영정을 봉안하였으며 1791년(정조 15)에는 송조5현(宋朝五賢)의 영정을 봉안하였다. 1805년(순조 5) 관찰사 박윤수(朴崙壽) 등이 현재의 위치로 이건하였다. 지금의 건물은 중건 당시 규모가 축소된 것으로 일명 춘추사(春秋祠)라고도 한다. 궐리사는 강릉·제천·오산에도 있었으나 현재는 이곳과 오산에만 남아 있다. 유림에서는 선인들을 높이 받들고 가르침을 지켜나가기 위하여 매년 음력 3월과 9월 초정일(初丁日)에 모여 석전(釋典)을 봉행하고 있다.",논산시
5,금곡서원,충청남도 논산시 연무읍 왕릉로 170-35,127.0843678,36.118123,http://tong.visitkorea.or.kr/cms/resource/24/1279124_image2_1.jpg,"조선 중기의 문신으로 1636년 병자호란 때 강화도 남루(南樓)에서 스스로 분사(焚死)한 김수남(金秀南)을 추모하기 위하여 지은 서원이다. 1687년(숙종 13) 송시열(宋時烈)·송준길(宋浚吉)이 가야곡면(可也谷面) 조정리(釣亭里)에 신축하고 위패를 봉안하였다. 창건과 함께 ‘금곡사(金谷祠)’라는 사액을 받았다. 1690년(숙종 16)에 김수남의 유풍지(流風地)인 현재의 위치로 이축하였으며, 1781년(정조 5) 성삼문(成三問)과 조계명(曺繼明) 양위를 추가로 배향하였다. 1868년 흥선대원군의 서원철폐령으로 훼철되어, 그해에 서원터에 단소(壇所)를 설치하고 봄 가을에 향사를 지내오다가 1977년에 사우를 건립, 복원하였다. 경내의 건물로는 3칸의 사우, 각 2칸의 동재(東齋)·서재(西齋), H자형의 강당, 외삼문(外三門)·내삼문(內三門), 4칸의 고직사(庫直舍), 3칸의 전사청(典祀廳)이 있고 이 밖에 김수남의 정문(旌門) 및 충노(忠奴) 무작김(無作金)의 불망비(不忘碑) 등이 있다.",논산시
6,노강서원(논산),충청남도 논산시 광석면 오강길 56-5,127.0732317,36.25976495,http://tong.visitkorea.or.kr/cms/resource/44/1279144_image2_1.jpg,"1675년(숙종 원년)에 김수항(金壽恒)의 발의로 윤황(尹煌)의 학문과 덕행을 추모하기 위하여 창건하고 위패를 모셨다. 1682년(숙종 8)에 ‘노강’이라는 사액(賜額)을 받아 사액서원으로 승격되었으며 석호(石湖) 윤문거(尹文擧)를 추가 배향하였다. 그 후 1723년(경종 3)에는 명재(明齋) 윤증(尹拯)과 윤선거(尹宣擧)를 추가 배향하였다. 1717년(숙종 43) 사액현판이 철거되었다가 1722년(경종 2)에 회복되었고 1781년(정종 5)에 나라에서 중수하였다. 흥선대원군의 서원철폐령 때 훼철되지 않고 보존되었던 전국 47개 서원 중 하나이다. 기와로 된 맞배지붕 건물이며 경내는 상하 2단으로 되어 있다. 전면에는 정면 5칸, 측면 3칸의 강당, 후면에는 정면 3칸, 측면 3칸의 사우(祠宇)가 자리잡고 있는데, 강당이 있는 일곽은 입구에 외삼문을 세우고 강당 앞마당의 좌우에 동재와 서재가 배치되었고, 사우 주위는 근래에 자연석 담장을 돌리고 전면에 문도 설치하였다.",논산시
7,노성향교,충청남도 논산시 노성면 노성산성길 54,127.1306204,36.28219394,http://tong.visitkorea.or.kr/cms/resource/85/1954585_image2_1.jpg,"1398년(태조 7)에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교화를 위해 창건되었다. 그 뒤에는 1967년과 1975년에 중수하였다는 기록만이 전한다. 현존하는 건물로는 대성전·명륜당·동재(東齋)·서재(西齋)·삼문(三門) 등이 있으며 대성전에는 5성(五聖), 송조2현(宋朝二賢), 우리나라 18현(十八賢)의 위패가 봉안되어 있다. 조선시대에는 국가로부터 토지와 전적·노비 등을 지급받아 교관이 교생을 가르쳤으나, 갑오개혁 이후 신학제 실시에 따라 교육적 기능은 없어지고, 봄·가을에 석전(釋奠)을 봉행(奉行)하며, 초하루·보름에 분향을 하고 있다.",논산시
8,논산 노성산성,충청남도 논산시 노성면 송당리,127.1237151,36.29542286,http://tong.visitkorea.or.kr/cms/resource/44/1600244_image2_1.jpg,"노성산성은 노성면 소재지에서 서쪽에 있는 노성산에 위치하고 있다. 이 산성은 백제시대에 축성된 것으로 자연적인 지세를 교묘하게 이용하여 둘레 약1km를 석축으로 거의 완벽하게 쌓은 성지이다. 동면, 북면, 서면을 할석을 다듬어 네모지게 하여 쌓았고, 봉우리 정상에는 장대지로 추정되는 곳과 동벽으로 약간 내려온 곳에 봉수대로 보이는 곳이 남아 있다. 영조 때의 기록『여지도서』에 의하면 노성산 봉수는 남쪽으로는 은진의 황화산 봉수에서 신호를 받아, 북쪽으로는 공주 월성산 봉수로 신호를 전달해 준다고 되어 있다. 은진에서 노성을 거쳐 공주로 통하는 중요 길목에 자리했음을 확인할 수 있다.성내에는 우물지가 4곳이 있고, 건물지로 보이는 여러 개의 유지가 있으며, 동문과 서문이 있었던 곳이 발견되었는데, 최근에는 남문지가 발견되어 주목을 끌었다. 이곳에는 백제시대의 기와편과 토기편 그리고 고려, 조선시대에 이르기까지 다양한 유물들이 산재해 있다. 이 성은 동쪽으로 계룡산이 막아서고 남쪽으로는 논산평야가 바라다 보이며 북쪽으로는 공주, 서쪽으로는 부여방면이 한눈에 조망되는 요지로, 연산 황산성과 함께 백제와 신라가 대치했던 방어선에 위치한 산성이다. 이러한 중요성 때문에 노성산성은 삼국시대로부터 조선시대에 이르기까지 계속해서 사용했던 것으로 전해지고 있다.",논산시
9,논산 딸기삼촌농장,충청남도 논산시 노성면 병사리 423-9,127.0937823,36.27109179,http://tong.visitkorea.or.kr/cms/resource/51/2372151_image2_1.bmp,"딸기삼촌은 예전에 시장과 백화점, 마트에 출하를 해왔지만 중간 유통마진을 축소하고 소비자 직거래를 위한 딸기 체험농장을 운영 중이다.  딸기삼촌농장에서 재배하는 딸기는 친환경 저농약인증을 받은 상품이다.다년간 자연농법과 친환경농법을 이용해 딸기를 재배하고 있다. 값비싼 미생물 제재를 통해 소요되는 천적 값만 해도 1년에 400여만원정도 소요되지만 정말로 안전한 상품성 높은 딸기를 소비자에게 제공한다는 책임감과 사명감으로 최선을 다하고 있다.",논산시
