,title,addr1,mapx,mapy,firstimage,overview,addr2
0,고대지구근린공원,충청남도 당진시 송악읍 고대공단2길 357-18,126.7776057,36.97608298,http://tong.visitkorea.or.kr/cms/resource/67/2736867_image2_1.jpg,"고대지구 근린공원은 바로 앞에 바다가 있으며, 그 앞에는 공원이 조성되어 있다. 근린공원 입구에는 5가지의 운동기구들이 있다. 또한 농구장도 있어 공원을 다양하게 즐길 수 있다. 공원은 물품보관소, 운동장, 파고라, 전망스탠드, 데크 등 다양한 시설이 있어 휴식을 취하기에 좋다. 아울러 해가 질 무렵 방문하면 아름다운 야경을 즐길 수 있다. 석양과 함께 저 멀리 보이는 아산국가산업단지의 실루엣도 인상적이다.",당진시
1,난지섬해수욕장,충청남도 당진시 석문면 난지1길 67,126.4241914,37.04701029,http://tong.visitkorea.or.kr/cms/resource/20/1932520_image2_1.jpg,"* 난지도 해수욕장난지도 섬에 위치한 난지섬해수욕장은 길이 700m, 폭 50m의 백사장에 질 좋은 모래가 깔려 있으며, 수심이 얕고 수온이 비교적 따뜻하며, 바닷물의 빛깔도 서해치고는 깨끗한 편이다. 또 천여 평의 소나무숲이 해변을 감싸고 있어 운치 좋고 시원스럽다. 피서철에는 매점, 야영장, 샤워장, 식수대, 화장실 등의 편의시설이 잘 갖춰져 있다. 그리고 백사장 서북쪽의 암석해안은 우럭, 놀래미 등이 잘 낚이는 바다 낚시 포인트여서 낚시와 해수욕을 한꺼번에 즐길 수 있다. 또한 조금 멀긴 하지만, 인천항을 출발하여 영흥도, 팔미도, 선재도, 국화도, 육도, 풍도 등의 섬들 사이를 지나는 약 50km의 뱃길에서는 아기자기하고도 서정적인 바다 풍경을 감상할 수 있다. 해수욕장 내에는 142,810m²(43,200평)의 대지에 건물면적 2,181m²(660평) 규모로 지어진 당진시 청소년 수련원이 조성돼 있으며, 수련원에서는 여름철 해양레프팅 프로그램을 운영하고 있다.* 난지섬당진에서 가장 큰 섬인 난지섬은 난초와 약초인 지초가 많이 자생한다 하여 이름 붙여졌다. 여름이면 해안에 자생하는 해당화가 곱게 꽃을 피워 올리고 천연기념물인 검은 머리 물떼새가 날아들기도 하는 천혜의 자연 자원을 지닌 섬이다. 난지섬에는 소난지도와 대난지도가 나란히 자리해 있는데 관광객이 주로 찾는 곳은 대난지도다. 한가로운 섬마을 풍경을 즐기며 호젓하게 머물기 좋고 해수욕장, 갯벌 체험장, 캠핑장, 낚시터를 두루 갖추고 있어 가족 단위 여행객에게 안성맞춤이다. 빛 모래사장과 드넓은 갯벌, 야생화가 지천으로 피어나는 해안 둘레길, 다도해 비경을 품은 전망대 등 즐길 거리와 볼거리가 가득하며, ‘섬캉스’를 즐기기 좋은 곳이다.",당진시
2,단호박올리고마을,충청남도 당진시 신평면 동산절길 39,126.7396114,36.89368905,http://tong.visitkorea.or.kr/cms/resource/48/2518348_image2_1.jpg,충남 북부 해안에 접해있는 단호박올리고마을은 서해안 고속도로 충남의 관문에 위치하고 있다. 장엄한 서해대교를 건너 우측으로 삽교호 관광지를 거쳐 당진방면으로 가다보면 신평면 소재지 인근에 자리잡고 있다. 마을 특산품인 단호박은 토심 깊은 황토에서 해풍을 맞으며 커서 당도가 높으며 국내시장은 물론 해외시장에서도 호평을 받고 있다.,당진시
3,당진 백석올미마을,충청남도 당진시 순성면 매실로 246,126.700539,36.82272711,http://tong.visitkorea.or.kr/cms/resource/95/2635095_image2_1.jpg,"백석마을에 위치한 순성면을 흐르는 남원천 가장자리에는 매실나무 수천그루가 줄을 서 있다. 백석마을은 매실을 활용하여 한과를 만들어 팔고 있는데, 14년에는 농업 6차산업화 우수사례 경진대회에서 대상을 수상하기도 했다. 수확한 매실로 새콤달콤 매실청을 담아 가져 갈 수 있으며 전통방식으로 매실한과를 만드는 체험도 해 볼 만하다. * 먹거리 : 매실한과, 왕매실 막걸리 * 인근볼거리 : 아그로랜드, 아미미술관, 삽교천",당진시
4,당진 안국사지 석탑,충청남도 당진시 정미면 원당골1길 188,126.5572517,36.83197078,http://tong.visitkorea.or.kr/cms/resource/50/2518350_image2_1.jpg,"안국사지는 당진시내에서 서남쪽으로 10.5km 떨어진 정미면 수당리 원당굴 은봉산 중턱에 있는 절터이다. 안국사지 석불에서 서남쪽으로 500m쯤 채석장을 끼고 올라가면 1,000여 평의 터가 남아있다. 안국사터의 앞면은 돌로 축대를 쌓았고 터 안에는 장대석이 이리저이 나뒹굴고 주춧돌 3개가 보인다. 이 주춧돌들은 자연석이 아니라 양각 형태로 잘 다듬어서 사용했던 것들이다. 빈 터 한쪽에 작은 옹달샘이 있고, 그 뒤쪽으로는 부속건물이 있었음직한 터에 기와조각이 흩어져 남아 있다.「신증동국여지승람」해미현조에 보면『안국산에 안국사가 있다』는 기록이 있다. 창건연대는 문헌에 나타나 있지않아 분명치 않으나 백제 말엽 창건되어 고려 시대에 번창한 대사찰이었다고 한다. 그러나 언제 폐찰되었는지 알 수 없으며, 석불, 석탑, 석축, 배바위돌 하수구 등이 현존하여 사찰이었음을 입증하고 있다. 이 터의 동북쪽으로 500여m쯤 아래쪽에 보물 석불입상과 보물 석탑이 서 있고 그 뒤로 배바위 매향암각이라 불리는 큰 바위가 있다.",당진시
5,당진 영전황토마을,충청남도 당진시 고대면 황토마을로 141,126.5621921,36.96673308,http://tong.visitkorea.or.kr/cms/resource/68/2519768_image2_1.jpg,"충남 당진시 고대면 당진포 1리에 위치한 영전황토마을은 예로부터 양질의 황토 토양을 갖고 있는 지역으로 유명하며, 이곳에서 생산되는 농산물은 최근 각광받고 있는 친환경 청정 농산물로서 황토배를 비롯하여, 당진시 명품브랜드인 해나루쌀, 표고 버섯 등의 양질의 농산물을 재배, 생산하는 전형적인 농촌마을이다. 지리적으로는 충청남도의 최북단에 있으며, 북쪽과 서쪽으로 바다를 경계하고 있어 해양성 기후를 갖고 있다. 비교적 평탄한 지형을 갖고있는 영전마을은 침체되어 있는 농촌경제를 활성화 하기위해 다각적인 방법을 찾던 중 천혜의 자원인 황토를 이용하여 체험관광마을로 변화를 시도하였다. 황토염색체험과 도자기제작체험을 비롯한 다채로운 체험프로그램을 운영 중이다.",당진시
6,당진 필경사,충청남도 당진시 송악읍 상록수길 97,126.7717374,36.9520551,http://tong.visitkorea.or.kr/cms/resource/58/537958_image2_1.jpg,"서해안고속도로 서해대교 완공 이후 수도권에서 손쉽게 다녀올 수 있는 문학유적지가 바로 심훈 문학의 산실인 필경사(筆耕舍)이다. 서해안고속도로의 송악 나들목을 빠져나온 뒤, 한진나루에 닿기 직전 상록초등학교를 지나자마자 필경사라는 안내판을 만나게 된다. 논밭사이로 구불구불하게 이어진 길을 따라가면 정비가 잘 된 필경사 주차장에 닿는다. 이곳에 바로 그 유명한 소설 상록수의 작가 심훈선생의 집이 그대로 보존되어 있다. 심훈선생 고택 앞에는 이 집의 내력을 적은 안내문도 잘 만들어져 방문객들의 이해를 돕고있다. 건물은 남남동향에 정면 5칸 측면 2칸으로 구성되어 있고, 바로 앞에는 상록수문화관 건물이 들어 서 있다. 문화관 뜰에 서면 아산만의 물결과 서해대교가 한눈에 잡힌다.  한편, 현지의 석비 후면에는 선생의 출생지가 서울 노량진동이라고 기록되어 있지만 이는 잘못된 것이다. 필경사 뒤로는 대숲이 우거져 바람이 불 때마다 사각사각 소리를 털어낸다.여행자들은 심훈고택과 문화관을 둘러보며  상록수의 스토리를 자연스레 연상한다. 주인공 채영신과 박동혁이 이 마을에서 농촌계몽운동을 폈던가.  그러나 채영신의 본 인물 최영신은 경기도 반월의 샘골마을에서 농촌운동을 하던 여인이고 박동혁은 심훈의 조카로 역시 농촌운동을 하던 심재영의 소설 속 인물로 두 사람은 실제로는 전혀 알지 못하는 사이였다. 어쨌든 최영신의 고향에는 수도권전철 상록수역이 세워져 있고 이곳 심재영의 고향에는 상록초등학교가 서 있어 두 사람의 소설속 행로가 완전히 허구의 산물만은 아니었음을 느끼게 한다. 심훈은 1933년(1932년이라는 설도 있다) 서울생활을 청산하고  부친이 살고 있는 이곳으로 내려와 영원의 미소, 직녀성등을 집필하였다. 1934년 독립하면서 직접 설계하고 지은 집이 바로 필경사이다. 심훈선생은 1935년 이 집에서 대표적 농촌소설인 상록수를 집필했다.  필경사는 한 때 그의 장조카인 고 심재영옹이 관리하다가 당진시에 기부한 이후 군에서 관리를 하고 있다. 마당의 시비는 1996년 한국문인협회가 세운 것이다. 비에는 그날이 오면 이라는 시가 새겨져 있어 생전의 심훈선생 음성을 듣는 듯하다. 그날이 오면  그날이 오며는/ 삼각산이 일어나 더덩실 춤이라도 추고/ 한강물이 뒤집혀 용솟음칠 그날이/ 이 목숨 끊치기 전에 와 주기만 하량이면/ 나는 밤하늘에  나는 까마귀와 같이/ 종로의 인경을 머리로 들이받아 울리오리다/ (중략)/ 우렁찬 그 소리를 한번이라도 듣기만 하면/ 그 자리에 꺼꾸러져도 눈을 감겠소이다.",당진시
7,당진관광정보센터,충청남도 당진시 석문면 석문방조제로 1755,126.5796084,37.02352682,http://tong.visitkorea.or.kr/cms/resource/62/2732662_image2_1.jpeg,"당진관광정보센터는 석문국가산업단지 안에 위치하고 있으며 1층 홍보관, 4층 전망대로 구성되어 있다.주위에는 마섬포구와 달맞이공원, 음악분수대가 있으며, 봄철에는 유채꽃이 활짝 피어 한면은 바다, 한면은 자연환경 및 석문국가산업단지를 둘러 볼 수 있는 장소이다.",당진시
8,당진농업테마파크,충청남도 당진시 구봉로 46,126.6497023,36.91390737,http://tong.visitkorea.or.kr/cms/resource/75/2736875_image2_1.jpg,"농업테마파크는 당진시 원당동에 있는 '농업기술센터' 바로 옆에 있다. 주차는 농업기술센터 주차장과 식물 생태학습원 뒤편에 하면 된다. 농업 테마파크는 가까운 곳에서 자연을 관찰하고 예쁜 꽃들을 볼 수 있는 생태 공간이다. 도시민 체험 학습장인 자연식물 체험학습원, 흑염소, 거위 외 30여 종의 조류가 사육되고 있는 동물농장, 가족과 함께 산책할 수 있는 풍차 전망대, 열대식물, 선인장류 등 200여 식물이 재배되고 있는 식물 생태학습원이 있다.*사진 출처: 당진시 문화관광과",당진시
9,당진면천읍성,충청남도 당진시 면천면 몽산길 14,126.6115611,36.81652906,http://tong.visitkorea.or.kr/cms/resource/68/533468_image2_1.jpg,"당진시는 서산, 태안 등과 더불어 옛부터 중국으로 통하는 중요한 바닷길이 있었던 곳이다. 이처럼 중국과의 통상에 중요한 통로이기도 했지만, 동시에 국방상의 중요한 거점이기도 했다. 면천읍성은 고려시대 충렬왕 16년(1290)에 세워졌다고 하나 실은 백제 초기부터 외적의 침입을 막기 위해 있었을 것으로 추정된다.면천읍성은 동, 서, 남, 북의 사대문까지 갖춘 성이었다. 조선 태종13년에 다시 쌓았으며 경종 때 중수되었다. 면천에 읍성이 있었던 것은 이곳이 1914년까지 당진에 버금가는 주요 군소재지였기 때문이다.",당진시
10,당진전력문화홍보관,충청남도 당진시 석문면 교로길 30,126.5107084,37.05170847,http://tong.visitkorea.or.kr/cms/resource/71/1852871_image2_1.JPG,"당진전력문화홍보관은 당진화력발전소를 운영하는 한국동서발전(주)이 지역주민들에게 전력산업에 대해 홍보하고 문화교류의 장을 제공하기 위해 만들었다. 내부 전시시설은 에너지관·전기관·환경관·지구관 등으로 구성되어 있는데 인류가 불을 발견할 때부터 전기를 이용하게 되기까지의 역사와 전기에너지 생성과정을 볼 수 있다. 지구 환경과 미래 대체에너지에 대해 설명하고, 축소 설계된 발전설비·전기시설 등을 전시하는데 단순한 설명판 대신 영상매체와 게임과 퀴즈 등을 이용해 전기에너지를 흥미롭게 체험할 수 있도록 한 점이 이곳의 특징이다. 손을 갖다 대면 전기가 반응하면서 움직이고, 전기장에 따라 움직이는 물의 모습을 볼 수 있는 등 전기 에너지를 오감으로 확인해 볼 수 있는 교육적인 청소년 체험학습장이다.",당진시
11,당진항만관광공사 (삽교호 함상공원),충청남도 당진시 신평면 삽교천3길 79,126.8244038,36.89059367,http://tong.visitkorea.or.kr/cms/resource/44/2617944_image2_1.jpg,"대양을 호령하던 우리의 자랑스런 군함이 명예로운 퇴역과 함께 삽교호 함상공원에 해군과 해병의 역사와 문화를 체험 할 수 있는 이색적인 공간이 조성되었다. 해군·해병의 주제별 전시관, 함정 내·외부, 항공기 등이 전시되어 자라나는 어린이들에게 바다에 대한 동경과 해군·해병의 친밀감을 느끼게 하고 있으며, 3D 영상관, 게임센터, 카니발프라자, 실내위락시설 등은 잠시나마 모든 것을 잊고 재미있는 동심의 세계로  빠져들어 즐거움을 만끽할 수 있다. 또한 삽교호 함상공원만의 색다른 휴식공간인 함상카페는 삶에 즐거움과 풍요로움을 주고 있다.* 상륙함 전장약100m, 전폭 15m로 적의 해안에 상륙작전과 수송임무를 주로 수행하는 함정으로 함승조원 약120명, 수륙양용전차 15대, 트럭 15대, 해병대 작전병력 500여명을 탑재할 수 있으며, 지금은 상륙함 내부를 학생층과 일반인의 교육적 효과와 이해를 돕고자 주제별 전시관으로 시설을 개조하여 우리 해군과 해병대의 성장과 발전과정 함정과 함포의 세계, 연평해전, 해병대 상륙작전과 활약상 등을 입체 디오라마, 특수부대요원 밀랍인형, 영상설명 등을 통해 다양하고 현실감 있게 표현하여 새로운 볼거리로서 방문객에게 교육적 즐거움과 신선함을 느끼게해 준다.* 구축함 전장 약120m, 전폭 12.5m의 대공, 대함, 대잠 전투 능력을 골고루 갖춘 전투함으로 함포, 미사일, 어뢰, 폭뢰, 기관포 등으로 중무장되어 대잠수함 작전능력이 특히 우수한 함정이었고, 함상공원은 구축함을 원형 그대로 보존하여 관광객이 군함내부 동선을 따라 관람하면서 함교와 작전실, 레이더실, 함장실, 수병 내무반등 실제해군의 생활상과 군함시설물들을 직접 체험할 수 있다.",당진시
12,대난지도,충청남도 당진시 석문면 난지도리 4-27,126.435432,37.04893526,http://tong.visitkorea.or.kr/cms/resource/92/2372092_image2_1.jpg,"충청남도에서 최북단에 위치하며, 서울·경기와 가장 가까이 있는 대난지섬은 당진시 석문면의 3개 유인도서 중에 가장 큰 섬이며, 난초와 지초가 많이 자란다고 하여 난지섬이라 한다. 난지 마을은 대조도와 소난지도를 지나 육지로 연결되는 뱃길을 이용하고 있으며, 마을과 해수욕장 사이에 위치한 용못공원에는 방갈로가 설치되어 있어 사계절 숙박이 가능하다. 또한 대난지섬은 한국 10대 명품섬으로 뽑힐 정도로 아름다운 섬으로, 해수욕장을 중심으로 휴양림들이 조성되어 있으며, 해수욕장에서 보는 일몰이 아름답기로도 유명하다. 갯벌체험, 바다낚시 등 생태체험을 즐길 수 있고, 각종 생태자원이 풍부하여 다양하고 신선한 해산물을 맛볼 수 있어 가족과 함께 찾기 좋은 곳이다.",당진시
13,면천향교,충청남도 당진시 면천면 동문2길 36-7,126.672525,36.82062409,http://tong.visitkorea.or.kr/cms/resource/64/2720364_image2_1.jpg,"1392년(태조 1)에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 1966년에 대성전과 동재(東齋)를 보수하였으며, 현존하는 건물로는 대성전·동재·서재·명륜당 등이 있다. 대성전에는 5성(五聖), 송조2현(宋朝二賢), 우리 나라 18현(十八賢)의 위폐가 봉안되어 있다. 조선시대에는 국가로부터 토지와 전적·노비 등을 지급받아 교관이 교생을 가르쳤다. 그러나, 갑오개혁 이후 신학제 실시에 따라 교육적 기능은 없어지고, 봄·가을에 석전(釋奠)을 봉행하며 초하루·보름에 분향을 하고 있다. 현재 전교(典校) 1명과 장의(掌議) 수 명이 운영을 담당하고 있다.",당진시
