,title,addr1,mapx,mapy,firstimage,overview,addr2
0,개화예술공원,충청남도 보령시 성주면 성주산로 673-47,126.6585619,36.31331829,http://tong.visitkorea.or.kr/cms/resource/65/531565_image2_1.jpg,"충남 보령시 성주면 성주산로 일대에 개화예술공원이 자리를 잡았다. 약 18ha 규모로 모산조형미술관과 세계 최대 규모의 조각공원, 화인음악당, 허브랜드로 이뤄졌다. 주황색 지붕의 모산조형미술관은 보령에서 나는 오석으로 지었다. 여러 유망 작가들의 작품을 감상할 수 있다. 조각공원은 조각상, 시비 등 총 1,500여 점의 작품을 전시한다. 입구로 들어서기 전부터 거대한 조각 작품들이 즐비하다. 주로 오석을 이용한 작품들이다. 현존하는 시인들의 시를 새긴 육필시비공원도 볼거리다. 허브 향기 가득한 허브랜드에서는 식사도 가능하다. 공원 곳곳에 7개의 연못과 폭포, 산책로 등이 조성되었다. 사슴과 토끼, 오리 등도 자유롭게 노닌다.",보령시
1,고대도,충청남도 보령시 오천면 고대도1길 1,126.366864,36.38790753,http://tong.visitkorea.or.kr/cms/resource/66/1811966_image2_1.jpg,"옛부터 일찍이 사람이 정착하여 마을이 형성되었던 섬으로 면적은 0.92㎢의 조그만 섬이지만 풍부한 어자원과 어장으로 일찍이 자가발전소는 물론 자체전화, 상수도 시설과 현대식 주택에 문화생할을 누리고 사는 부유한 섬마을이다. 특히 고대도는 넉넉한 인심과 섬 어디에서나 손쉽게 조개나 굴을 채취할 수 있으며 물 속이 환히 들여다 보일 정도로 깨끗한 청정해역으로 인접해 있는 장고도와 함께 태안해안국립공원으로 지정된 곳이기도 하다. 또한 마을에서 가까운 당산너머에는 기암괴석과 금사홍송으로 둘러싸인 당산 해수욕장과 섬의 남쪽 끝머리에 있는 자갈해수욕장이 있어 가족단위 피서지로 많은 피서객이 찾고 있는 섬이다.고대도라 하면 이 땅에 최초로 기독교 선교가 이루어진 섬으로 일컬어진다. 단일 마을로 구성된 고대도 선착장에서 마을길을 따라서 가다보면 고대도교회가 나온다. 조선에 배를 타고 들어온 최초의 선교사 칼 귀츨라프 선교사를 기념하는 기념교회이다. 귀츨라프는 당시 먹을 것이 없어 빈궁한 삶을 사는 조선의 백성들을 위해 씨감자를 밭에 심고 재배하는 방법을 글로 남기기도 하였다. 멋진 풍경 뿐 아니라 이러한 역사까지 갖고 있는 고대도는 한층 더 깊은 여행의 맛을 느낄 수 있게 할 것이다.",보령시
2,국립 오서산자연휴양림,충청남도 보령시 청라면 오서산길 531,126.6729069,36.45341913,http://tong.visitkorea.or.kr/cms/resource/71/219371_image2_1.jpg,"2001년 9월 22일 개장한 오서산 자연휴양림은 충남 보령시 청라면에 있는 명대계곡 부근에 위치하고 있다. 오서산으로 가려면 보령을 거쳐서 가야 하는데 , 여느 도시와는 다른 한가로움을 느낄 수 있고, 또한 휴양림이 있는 청라 방면으로 가는 길은 한적한 시골길이라 도심에서 벗어난다는 해방감을 느끼기에 충분하다. '오서산(烏捿山)'이라는 지명은 '까마귀의 보금자리'란 뜻에서 나온 것으로, 예로부터 까마귀와 까치가 많이 살았다고 하나, 아쉽게도 현재는 까마귀를 찾아보기 힘들다고 한다. 매표소와 휴양림 관리소를 지나 이어지는 임도를 따라 들어가면 갈림길이 나오고, 왼편에 큰 숲속수련관의 뒤쪽으로는 나 있는 탐방로를 따라 가면 대나무 숲을  비롯하여 휴양림 주변의 숲을 한바퀴 돌아볼 수 있다. 가족 또는 연인과 함께 낙조를 감상하기에도 좋은 오서산 정산(왕복 2~3시간)에 올라 시원하게 틔어 있는 서해바다를 바라보는 것도 운치있다.",보령시
3,군헌갯벌체험장,충청남도 보령시 해안로 607-5,126.5325754,36.33723561,http://tong.visitkorea.or.kr/cms/resource/64/2751164_image2_1.jpg,"군헌 갯벌체험장에서는 조개를 직접 채취하는 체험을 할 수 있다. 정해진 체험료를 지불하면 호미, 장화, 조개를 담을 수 있는 망을 제공한다. 채취한 조개는 지급된 망에만 담아 갈 수 있다. 갯벌체험장에 방문하기 전에 홈페이지의 물때표를 확인해야 순조로운 체험이 가능하다. 체험장에는 안전요원이 배치되어 있어 혹시 모를 사고를 미연에 방지할 수 있다. 자녀들과의 가족 체험으로 인기가 좋다.",보령시
4,김좌진장군묘,충청남도 보령시 청소면 김좌진로 200,126.6163453,36.45708718,http://tong.visitkorea.or.kr/cms/resource/69/218969_image2_1.jpg,"독립운동가인 백야(白冶) 김좌진(1889∼1930) 장군의 묘소이다.홍성의 부유한 농가에서 태어난 장군은 개화사상이 투철하여 15세 때 집안의 노비문서를 불태우고 논밭을 나누어 주었다. 또한 1905년 호명학교를 설립하여 문맹퇴치에 앞장섰으며, 1913년에는 군자금을 모금하다 3년간 옥고를 치르기도 하였다.1917년 만주로 건너가 대한광복단에 가입한 이후 북로군정서의 사령관이 되어 독립군을 훈련시켰으며, 이를 기반으로 청산리에서 일본과 전투를 벌여 독립운동사상 최대의 승리를 이루었다.조국광복을 위해 노력했던 장군은 1930년 공산주의자 박상실에 의해 암살 당했다. 암살 직후 만주땅에 묻혔다가 아내 오숙근 여사가 1940년 장군의 유해를 밀감상자로 위장해 비밀리에 홍성군 서부면 이호리에 안장하였다. 그 후 1957년 부인이 타계하자 아들 김두한이 현 위치에 합장하였다. 현재 묘역에는 뒤편으로 담장이 설치되어 있으며, 봉분은 아랫부분에 둘레석을 둘렀다. 봉분 앞에는 상석과 장명등(長明燈:무덤 앞에 세우는 돌로 만든 등)이, 옆에는 묘비가 있으며, 좌우에는 마(馬)석상 한 쌍이 세워져 있다.* 수량/면적 - 25,344a㎡* 시대 - 일제강점기* 소유자 - 안동김시 문증 ",보령시
5,남포관아문,충청남도 보령시 남포면 읍성향교길 19,126.6093165,36.30573776,http://tong.visitkorea.or.kr/cms/resource/25/2518325_image2_1.jpg,"조선시대 여지도서(輿地圖書)에 의하면 남포읍성의 관아 건물로서, 객사(客舍), 동헌(東軒), 아사(衙舍), 향청(鄕廳), 작청(作廳), 현사(縣司) 등 많은 건물이 있었으나, 현재 남아있는 것은 동헌, 내삼문 그리고 관아문 진서루이다. 이중 현감 집무실인 동헌은 정면 7칸 측면 3칸의 팔작지붕의 건물이며, 남포현 관아의 정문으로 사용되었던 관아문은 정면 3칸 측면 2칸의 2층 문루 건물로 아래는 출입구, 위는 누마루를 설치하고, 팔작지붕이며, 조선왕조의 중앙 집권을 상징하기 위해 당시 전국에 똑같이 만들어진 관아문 양식을 충실히 따르고 있으며 진서루(鎭西樓)라는 현판이 걸려있다. 또한 내삼문은 정면 7칸 측면 1칸인데, 중앙은 솟을대문 1칸이 있어 출입구 역할을 하였고, 건물의 정면에는 옥산아문(玉山衙門)이라는 현판이 걸려있다.",보령시
6,남포방조제,충청남도 보령시 남포방조제로 154,126.5374458,36.28360574,http://tong.visitkorea.or.kr/cms/resource/35/217635_image2_1.jpg,"남포 간척지를 만들기 위해 만든 방조제로 길이가 3.7km에 이르며, 드라이브 코스로 제격이다. 방조제 중간 지점에 죽도라는 섬이 위치하고 있다. 방조제와 연결되어 있어 들어갈 수 있으며, 죽도 주변은 바다낚시로 유명하다. 방조제 중간에는 팔각정을 세워 휴식공간을 마련하였는데, 이곳에서 성주산, 옷 마산, 남포 평야, 죽도 등이 보인다. 앞에는 경정훈련장도 있어 팔각정에 앉아 구경하는 것도 하나의 볼거리다.",보령시
7,남포읍성,충청남도 보령시 남포면 읍성향교길 19,126.6095943,36.30562389,http://tong.visitkorea.or.kr/cms/resource/18/1601118_image2_1.jpg,"읍성(邑城)이란 군이나 현의 주민을 보호하고, 군사적·행정적인 기능을 함께 하는성을 말한다. 남포읍성은 차령산맥 서쪽 끝자락의 구릉에 돌로 쌓은 성으로, 남포는 백제 때 사포현이라고도 불리었다. 이 읍성은 원래 고려 우왕 때 서해안을 침범하는 왜구를 막기위해 쌓았던 성이었는데, 공양왕 2년(1390) 군대가 머물 수 있는 진영을 추가하여 완성하였다. 성벽은 비교적 잘 남아 있는데, 바깥쪽 벽은 돌을 이용하여 직각으로 쌓았고, 성벽의 안쪽은 흙으로 쌓아올렸다. 동·서·남 세 곳에는 성문을 보호하기 위해 4m의 높이로성 바깥에 설치하는 또 하나의 성벽인 옹성을 둘렀는데, 1m 이상의 큰 돌로 축성하였다. 성벽이 꺾이는 부분에는 적의 접근을 빨리 관측할 수 있도록 성벽의 일부를 튀어나오게 쌓았으며, 그 양쪽 성벽에 몸을 숨기고 적을 공격할 수 있도록 몇가지 시설을 해놓았다. 성 안에는 3채의 관아건물인 진남루와 옥산아문, 현청 보존되어 있으며, 동서에 80㎝ 높이로 배수시설이 마련되어 있다. 기록에 의하면 우물이 세 군데 있었다고 한다. 이 읍성은 서해안의 요충지로 왜구를 경계하는 한편, 해상 교통을 보호하고 감시하는 역할을 하던 곳으로 여겨진다.* 수량/면적 - 86,528㎡* 시대 - 조선시대* 소유자 - 보령시",보령시
8,대천한내돌다리,충청남도 보령시 동대동,126.6005357,36.34840216,http://tong.visitkorea.or.kr/cms/resource/17/2369917_image2_1.jpg,"대천천 하류에 있었던 다리로, 예전에는 남포와 보령을 이어주는 중요한 교통로였다고 한다. 세월이 흐르면서 물살에 쓸려 떠내려 가거나, 하천 제방공사를 하면서 파손되어 얼마남지 않은 것을, 1978년 수습하여 옮겨 두었다가, 1992년에 대천천 강변에 옮겨 일부만 복원해 놓았다. 거대한 화강암으로 만들었는데, 근처에 있는 왕대산의 돌을 깎아내어 뗏목으로 운반해 온 것으로 보인다. 다리의 몸체를 받치는 기둥은 거칠게 손질한 2∼3개의 돌을 쌓아 이루게 하여, 모두 6개의 기둥이 불규칙하게 배치되어 있다. 그 위로 넓적한 판돌을 걸쳐서 다리를 완성하였는데, 원래는 12칸 돌다리라 하나 적어도 22칸은 되었던 것으로 추측된다. 다리의 높이는 낮은 편이어서 바닷물이 밀려오거나 홍수가 질 때면 물에 잠기고, 보통 때에도 가끔 잠기었다 한다.『동국여지지』,『신안읍지』,『여지도서』등의 기록으로 보아 적어도 18세기에는 이 다리가 설치되어 있었던 것으로 보인다. 보령에서는 해마다 향토문화축제가 열리는데 이 때 12칸 돌다리밟기제(祭)와 돌다리밟기에 많은 시민이 참여하고 있다.* 시대 - 조선시대* 수량/면적 - 1개소",보령시
9,대천항,충청남도 보령시 대천항중앙길 42,126.5092444,36.32735024,http://tong.visitkorea.or.kr/cms/resource/05/1601105_image2_1.jpg,"보령시내에서 12km 대천해수욕장에서 1km 바야흐로 서해안시대를 맞아 대천항은 해상교통의 요충지에서 어업전진기지까지 성가를 한껏 높이고 있다. 최근 환경시비가 끊이지 않는 서해라지만, 대천항은 드물게 오염되지 않은 청정수역을 끼고있는 항구다. 
바다가 깨끗하니 어족도 풍부하다. 꽃게, 배오징어, 소라, 우럭, 도미, 대하 등 하나같이 싱싱하고 풍성하여 찾는 이의 발걸음도 가볍다. 특히 꽃게와 배오징어는 보령의 특산물로 손꼽히는 어족인데, 꽃게는 그 크기와 맛으로 정평이 나있고, 대천항 부두 한쪽 건조대에 빼곡이 널린 배오징어는 쫄깃한 맛과 감칠맛으로 찾는 이들이 많다. 귀항한 어선에서 막 건져낸 우럭과 도미 등 생선회는 값이 싸고 맛이 뛰어나 이곳을 찾은 여행객과 미식가에게 큰 인기를 얻고 있다.
바다가 그렇고 항구가 다 그렇듯이 대천항 역시 삶의 활기가 언제나 넘치는 곳이다. 
부두를 가득메운 어선과 어민, 보령근해의 섬으로 떠나고 돌아오는 여행객, 어판장을 떠들썩하게 만드는 상인들의 활어처럼 싱싱한 삶. 특히 대천항은 새벽에 더욱 활기가 넘쳐난다. 바로 새벽경매가 한창이기에 더욱 그렇다. 상인들의 경매가 끝난 후에는 싱싱한 해산물을 직접 구매하기 위해 몰려드는 외지인을 위한 수산시장이 들어선다. 값싸고 싱싱한 해산물을 사려는 외지인과 흥정하며 각종 해산물을 파는 아낙들의 질박한 보령 사투리를 들으며 노상에서 맛보는 회맛 또는 부두에서 맛보는 회맛, 또는 부두에서 방파제로 향하는 길 왼편에 몰려있는 횟집에서 꽃게 매운탕이나 각종 회를 맛볼 수 있다. 
대천항은 해산물의 집산지면서 동시에 보령 도서민들과 여행객의 발이 되는 곳이다. 원산도를 비롯하여 외연도, 삽시도, 녹도 등으로 떠나는 여객선의 출발지이며 도착지인 것이다. 따라서 피서철이나 주말이면 서해의 크고 작은 섬으로 떠나는 여행객들로 붐비고, 배를 세내어 낚시를 즐기려는 꾼들의 발길도 끊이지 않는다. 보령 앞바다에서는 특히 우럭과 보구치가 많이 잡히는데, 부두에 정박되어 있는 어선의 난간에 앉아 망둥어나 살감성돔 낚시를 하는 이들이 눈에 띈다.",보령시
