,title,addr1,mapx,mapy,firstimage,overview,addr2
0,거전마을 [농촌체험],충청남도 부여군 은산면 지천로525번길 7-14,126.8403694,36.35973,http://tong.visitkorea.or.kr/cms/resource/85/2517985_image2_1.jpg,"옛 정취 묻어있는 마을에서의 체험, 거전마을 칠갑산에서 발원한 백마강이 아흔 아홉 골을 구비 돌아 마을 앞을 시원스레 지나 흐르는 천혜의 보금자리를 자랑하는 곳이 거전마을이다. 충청도 두메산골을 자임하는 거전마을은 논과 밭이 옛모습 그대로의 다랭이 논과 산비탈 밭으로 이뤄져 있다. 거전마을은 우리의 아름다운 야생화와 들풀이 마을에 지천으로 깔려져 다소곳함과 자애로움의 한국적 미를 은근히 뽐내기도 한다. 또 이들이 잎새를 뛰어다니는 풀벌레와 시냇물을 노니는 토종물고기가 어우러져 토속적인 아름다움을 더해준다.또한 산채나물, 밤밥, 밤막걸리, 다슬기국 등 다양한 먹거리와 인근에 구곡지천, 부여박물관, 백제역사재현단지 등 다양한 볼거리가 있어 먹거리와 볼거리를 동시에 충족시키는 마을이라 할 수 있다. 거전마을의 체험 프로그램거전마을에서는 계절별 체험 프로그램을 운영하고 있다. 봄에는 봄나물채취, 봄야생화관찰, 전통차 등의 체험을 할 수 있으며, 여름에는 망우제, 물고기관찰·잡기, 원추리꽃축제 등을 할 수 있다. 또한 가을에는 알밤줍기, 가을야생화관찰·스케치, 사진촬영 등을 통해 가을의 정취를 그대로 느낄 수 있다.",부여군
1,고란사(고란약수),충청남도 부여군 부여읍 부소로 1-25,126.9132091,36.29263895,http://tong.visitkorea.or.kr/cms/resource/83/1601183_image2_1.jpg,"* 삼천궁녀의 넋을 기리는 사찰, 고란사 *

낙화암 아래 백마 강가 절벽에 자리하고 있는 고란사는 대한불교조계종 제6교구 본사인 마곡사(麻谷寺)의 말사이다. 절 뒤 바위 틈에 고란정(皐蘭井)이 있으며, 그 위쪽 바위틈에 고란초(皐蘭草)가 나 있다. 고란사 뒤편 바위틈에서 솟아나는 약수와 고란초의 전설이 유명하며, 백마강을 바라보는 주위 경관이 비길 데 없이 아름답다. 일설에 의하면 이 절은 원래 백제의 왕들을 위한 정자였다고 하며, 또 궁중의 내 불전(內佛殿)이었다고도 전한다. 백제가 멸망할 때 낙화암(花岩)에서 사라져간 삼천궁녀의 넋을 위로하기 위하여 1028년(고려 현종 19)에 지은 사찰이라고도 한다.",부여군
2,고란사유람선,충청남도 부여군 부여읍,126.9152117,36.29215571,http://tong.visitkorea.or.kr/cms/resource/90/1601190_image2_1.jpg,"* 유람선을 타고 낙화암의 전설을 만난다 *
유람선을 타고 백제역사를 품에 안고 말없이 흐르는 백마강에는 백제시대 중요한 국사를 결정했다는 천장대, 낙화암, 조룡대, 구드래, 부산·대재각, 자온대,수북정 발길닿는 곳마다, 뱃길 가는 곳마다 백제를 만나볼 수 있다. 백마강은 낙화암, 꽃들이 떨어진 곳. 목덜미 뒤에서 나ㆍ당 연합군의 말발굽소리가 들려오는 듯하다. 백제가 무너지던 날 (의자왕 20년,서기 660년)백제의여인들이 적군에게 잡혀 치욕스러운 삶을 이어가기 보다는 충절을 지키기 위하여 스스로 백마강에 몸을 던졌던 곳으로 삼국유사는 기록하고 있다. 훗날 그 모습을 꽃이 날리는 것에 비유하여 낙화암이라 부르게 되었다. 백마강에서 바라보면 아직도 절벽 색깔이 붉은데, 당시 백제여인들이 흘린 피로 물들었기 때문이라는 전설이 전해온다. 낙화암의 기암절벽은 아래쪽에서 배를 타고 돌아갈 때에 더 잘 보이므로 유람선을 이용해 관람해볼 만하다.
* 백마강 주변의 다른 볼거리들 *
백마강을 끼고 좌측으로 펼쳐진 10만여평의 파아란 잔디광장은 군민의 휴식 및 체육활동 공간으로 이용되고 있고 수북정 건너로 1만여평의 노란 수채화 물감을 뿌려 놓은듯 드넓게 펼쳐진 유채단지가 조성되어 관광객의 발길이 끊이질 않고 있으며매년10월이면700년 백제역사를 재현하는 문화의 표현 백제문화제가 열리고 금년엔 전국유 소년축구대회가 개최되어 황포돛배에서 바라보는 백마강 풍경이 더욱 아름답게 느껴지게 될 것이다.선착장에서 내려 조금 걷다보면 구드래조각공원이 보이고 부소산과 정림사지, 백제역사문화관, 궁남지, 국립박물관등 문화 유적지가 지척에 있어 황포 돛배여행과 함께 백제고도를 둘러보기엔 더없이 좋은 코스로 부상할 전망이다.1400여년이 지난 지금도 백제의 흥망성쇠를 말없이 지켜본 백마강이 역사의 증인이 되어 흐르고 그위로 눈부시게 펼쳐지는 아름다운 풍광이 잔잔한 설레임으로 우리를 기다리고 있다.
1) 고란약수가 유명한 고란사
조룡대의 슬픈전설을 뒤로하고 남쪽으로 내려가다 보면 낙화암 절벽 아래 백마강과 맞닿은 곳에 조용하고 단아한 사찰이 하나 보인다.낙화암에서 떨어져 죽음으로 절개를 지킨 백제여인들을 추모하는 의미로 고려시대 말기에 지어진 절로 백제 시대에는 이곳에 절이 아닌 사당이 있었던 것으로 추정되고 있으며 절 뒤쪽바위에서 자라는 고란초에서 유래해 절이름을 고란사라고 했다.고란사 위쪽으로는 약 50m의 깎아질듯한 절벽이 낙화암을 받치고 있는데 절벽 아래에는 조선시대 학자인 우암 송시열 선생이 쓴 ‘낙화암(落花岩)’ 글씨가 붉게 한자로 새겨져 있다. 또 강가의 절벽이 마치 그림 병풍과 같아서 백제왕이 매번 놀고 잔치하고 노래하고 춤을 추어 지금도 대왕포라고 부를 정도로 풍경이 아름답다.
2) 따뜻한 돌의 전설이 전해지는 자온대
부산을 지나면 황포돛배 여행의 마지막 장소로서 부여에서 보령쪽으로가는 다리인 백제교 아래로 바위가 하나 있다. 열명은 앉을 정도가 되어 백제왕이 왕흥사(王興寺)에 행차하여 예불 하려면 먼저 이 바위에서 부처를 바라보며 절을 했는데, 그 바위가 저절로 따뜻해져 이름을 돌석이라 하며 지금은 자온대라고 명명되어 전한다.자온대 암벽위에는 조선조 광해군때 수북 김흥국이 세운 정자인 충청남도 문화재자료  ‘수북정’이 자리해 따스한 봄 아지랑이 피는날 부소산과 나성이 보이는 전망에 그앞으로 유유히 흐르는 백마강과 함께 절경을 이루고 있다.",부여군
3,관북리유적과 부소산성 [유네스코 세계유산],충청남도 부여군 부여읍 부소로 15,126.9133648,36.28553144,http://tong.visitkorea.or.kr/cms/resource/33/2366333_image2_1.jpg,"* 백제 문화의 보고, 부소산과 부소산성부여에 들어서면 시가지 북쪽에 검푸른 숲을 이룬  해발 106m 의 나지막한 부소산이 제일 먼저 눈에 들어 온다. 부여의 진산인 부소산에는 수많은 백제 여인들이 꽃잎처럼 떨어져 죽음으로 절개를 지킨 낙화암, 백화정, 사자루,  반월루, 궁녀사, 고란사, 부소산성(사적), 해맞이하는 영일루, 성충ㆍ흥수ㆍ계백의  백제 충신을 모신 삼충사, 곡식 창고터였던 군창지, 백제 군인의 움집 수혈병영지  발길 닿는 곳마다 발걸음을 붙잡는 토성들, 백제의 역사와 백제왕실의 이야기가 곳곳에  배어 있다. 금강의 남안에 있는 부소산의 산정을 중심으로 테뫼식  산성이 동서로 나뉘어 붙어 있고, 다시 그 주위에 북동쪽의 계곡을 둘러쌓은 포곡식(包谷式)산성을  동반한 복합식 산성으로, 성내에는 사자루, 영일루(迎日樓), 반월루(半月樓), 고란사(皐蘭寺),낙화암(落花巖),사방의  문지(門址), 군창지(軍倉址) 등이 있다.『삼국사기(三國史記)』 백제본기(百濟本紀)에는  사비성, 소부리성(所扶里城)으로 기록되어 있으나, 산성이 위치한 산의 이름을 따서  부소산성으로 불리고 있다. 이 산성은 백제의 수도인 사비 도성의 일환이며, 왕궁을  수호하기 위하여 538년(성왕 16)수도의 천도를 전후한 시기에 축조된 것으로 보이나,  이 보다 먼저 500년(동성왕22)경 이미 산성이 축조되었을 가능성이 있다. 이후 천도할  시기를 전후하여 개축되었고, 605년(무왕 6)경에 대대적인 개수축이 이루어진 것으로  추정되고 있다. 한편 일부의 성벽은 통일신라시기에 수축되고 고려와 조선 시대에는  고을의 규모에 맞도록 축소되어 이용된 것으로 여겨진다.[백제 문화를 만난다, 부소산의 유적지]* 삼충사부소산성 정문인 사비문을 지나 조금 걸어올라가면  삼충사가 있다. 외삼문과 내삼문을 지나 사당에 들어서면 백제말 삼충신인 성충,  흥수,계백의 영정과 위패가 모셔져 있다. 해마다 10월 백제문화제때 제향을 올리고  세분의 숭고한 구국충절을 기린다.* 영일루영일루는 부소산성의 맨 동쪽 산봉우리에 세워져  백제왕과 귀족들이 멀리 계룡산의 연천봉에서 떠오르는 해를 맞이하며 국정을 계획하고,나라의  태평과 백성들의 평안을 기원했던 영일대에 세운 누각이다.* 군창지일명 만리창(萬里倉)이라 불렀던 이곳은 1915년  불에 탄 쌀이 발견된 군대 곡식을 보관했던 창고이다.* 수혈병영지군창지를 조금 지나면 움집이 보인다. 움집은 백제  때 군인들의 움막을 발굴,복원한 것으로 1m 가량 움을 파고, 사방을 나무나 짚으로  벽을 두른 뒤 초가지붕을 얹은 모습이다. 원래 움집터와 저장고를 발굴한 곳에 전시실을  지어 구조를 자세히 살필수 있게 하였다.* 사자루부소산 가장 높은 곳(해발 106m)에 위치한 사자루는  동쪽 영일루와 더불어 일월 음양을 뜻하며 달이 밝은 밤 누각에 오르면 아름다운  경치가 눈앞에 펼져지고 시흥이 절로 일어난다. 사자루 건립 당시 터를 파다가 광배  뒷면에 명문이 새겨진(정지원명) 금동석가여래입상(보물)이 발견되었다.  사자루 현판 글씨는 의친왕 이강의 친필이고,뒤쪽에 붙은 白馬長江은 서예가 해강  김규진의 작품이다.* 백화정낙화암 절벽위에 세워진 육각지붕의 정자가 백화정이다.  백마강을 시원하게 내려다 볼 수 있는 백화정은 백제멸망 당시 꽃잎처럼 떨어져 죽음으로  절개를 지킨 숭고한 백제 여인들의 원혼을 추모하기 위해 1929년에 부풍시사(扶風詩社)라는  시모임에서 세웠다.* 궁녀사반월루 광장에서 동북쪽 태자골로 조금 내려가면  궁녀사가 나온다. 이 궁녀사는 백제 의자왕 20년(660)에 나당 연합군에 의해 사비성이  함락되던 날,낙화암에서 꽃잎처럼 떨어져 죽은 백제 여인들의 충절을 추모하고 그  뜻을 후세에 널리 기리고자,1965년에 세웠다. 10월 백제문화제 때 제향을 올리고  있다.* 부여관북리백제유적부여군 부여읍 관북리 725번지에 위치한 이 유적은  현재 왕궁지로 알려져 있으며, 국립부여 문화재연구소 남쪽일대 184필지 95,048㎡(28,780평)  중 33필지 2,102㎡는 1983년 9월 충청남도 기념물 전백제왕궁지(傳百濟王宮址)로  지정되어 있다. 1982년부터 이 일대를 중심으로 충남대학교 박물관에서 5차에 걸쳐  발굴조사하여 1983년도에는 방형석축연지(方形石築蓮池)가 발견되었고, 1988년 발굴조사에서는  토기 구연부에 북사(北舍)라는 명문이 발견되었으며, 1992년 조사에서는 현재 국립부여문화재연구소의  남쪽 50m 지점에서 백제시대의 도로유적과 배수시설이 드러났다. 삼국시대의 궁궐  중 고구려의 안학궁을 제외하면 아직까지 신라와 백제의 왕궁은 정확한 위치를 알  수 없지만, 백제시대 마지막 도읍이었던 사비도성의 일부 유적이 밝혀진 것은 매우  중요한 학술적 의미를 지닌다고 할 수 있다.",부여군
4,구드래조각공원,충청남도 부여군 부여읍 나루터로 60,126.9084235,36.28749501,http://tong.visitkorea.or.kr/cms/resource/33/1954533_image2_1.jpg,"부소산 서쪽 끝자락에 있는 구드래는 백마강과 어울려 빼어난 경승을 이루고 조각공원이 잘 꾸며져 있어 많은 사람들이 즐겨찾는 휴식공간이다. 구드래 나루는 백제시대에 도성인 사비성을 출입하는 항구와도 같은 큰 나루였으며, 현재는 백마강을 오르내리는 유람선의 선착장으로 주변에는 토속음식이나 별미를 즐길 수 있는 식당들이 많이 있다.1985년도에 국민관광단지로 조성된 구드래에는 옛 백제인의 조각 기술을 이어받은 지역 출신 유명 조각가 작품 30점과 1999년도 국제현대조각 심포지움에 참가한 국내·외 유명 조각가의 작품 29점 등 총 59점의 조각 작품으로 옛 정취와 함께 현대적인 아름다움을 함께 갖춘 공원을 조성하여 관광객에게 상시 개방, 볼거리를 제공하고 있다. 또한, 이 곳은 부여 사람들의 휴식처이기도 하며, ""백마강과 물새가 울고, 일엽편주 돛단배를 홀로 저어가는 사공""으로 시작하여 널리 알려진 '백마강 달밤 노래비'가 세워져 있다. 백제시대 왕을 부를 때 지배족은 어라하(於羅瑕), 백성은 건길지라 하였다. 구드래는 '구ㄷ으래' 로 '구(大)'가 왕칭어인 어라하에 접두하고 두말사이에 지격촉음인 'ㄷ'이 끼어들어 '구ㄷ어라하' 가 되고 다시 줄어들어 '구ㄷ으래(구드래)'로 변천한 것으 로 볼 수 있다. 또한 '구드래'는 '大王'의 의미로 일본서기(서기 720년 편찬)에 백제를 '구다라'로 부른 대목이 많이 나타나는데 이 '구다라' 도 大王國이란 뜻으로 높여 부른 것이라 할 수 있다.",부여군
5,군창지,충청남도 부여군 부여읍 쌍북리,126.9156172,36.28991986,http://tong.visitkorea.or.kr/cms/resource/12/773012_image2_1.jpg,"부소산성 내의 동남부 가장 높은 위치에 해당되는 곳에 있는 이 군창지(軍倉址)는 1915년 이곳 지하에서 불에 탄 곡식이 발견됨으로써 백제시대 군량(軍糧)을 비축해 두었던 창고터로 알려지게 되었다.백제 때 군수물자를 비축했던 곳으로 부여 부소산성(扶蘇山城:사적 5) 동쪽 정상부에 있다. 이곳은 영월대(迎月臺)라 하여 넓고 평평한 광장인데,1981년과 1982년 두 차례 국립문화재연구소에서 발굴조사를 실시함으로써 건물터의 규모가 상세히 밝혀졌다.건물의 배치는 ㅁ자 모양으로 가운데 공간을 두고 동서남북으로 배치하였는데 길이 약 70m, 넓이 약 7m, 땅속 깊이 약 47cm 정도이다. 지금도 이 일대를 파보면 불에 탄 곡식들이 많이 나오고 있어 660년 백제가 나당연합군의 공격을 받고 사비성 함락과 함께 멸망할 때의 비극적 역사를 말해준다. 군창이 있던 곳은 지금도 더러 발굴되고 있는데, 이 군창지는 그중에서도 가장 널리 알려진 곳이다. ",부여군
6,낙화암,충청남도 부여군 부여읍 성왕로 247-9,126.9154674,36.28626194,http://tong.visitkorea.or.kr/cms/resource/96/210096_image2_1.jpg,"부소산 북쪽 백마강을 내려다보듯 우뚝 서 있는 바위 절벽이 낙화암이다. 낙화암은 사비성이 나당연합군에게 유린될 때, 수많은 백제 여인들이 꽃잎처럼 백마강에 몸을 던졌다는 전설이 깃든 곳이다. 이 전설로 낙화암이라는 꽃답고 애절한 이름을 얻었지만, [삼국유사]에는 타사암(墮死岩-사람이 떨어져 죽은 바위)이라고 기록되어 있다. 백제 성왕이 국가 중흥의 원대한 꿈을 펼치려 사비로 도읍을 옮긴 후 관산성 전투에서 전사하는 비운을 맞기도 하였으나, 위덕왕ㆍ무왕ㆍ의자왕에 이르는 동안 최강의 국력을 자랑하게 되었다. 이에 신라는 단독으로 백제에 대항하기가 어려워 당나라와 연합하여 백제와 대결하기에 이르렀다. 이때 백제는 국운을 다했던지 의자왕도 정사를 소홀히 하고, 나라가 흔들리게 되었다. 결국 의자왕 20년(660) 사비성은 신라ㆍ당나라 연합군에게 함락되고, 성내에 살던 궁녀와 도성에 남은 여인들은 부소산성으로 피신하였다. 그러나 침략군이 부소산성까지 몰려들자, 백제 여인들은 적군에게 잡혀가 치욕스러운 삶을 사느니보다 차라리 푸른 강물에 몸을 던져 무너지는 국운과 함께 목숨을 깨끗이 버리는 길을 택했다. 이처럼 여자의 정조를 생명보다 더 소중히 하고, 백제 마지막 순간까지 지키려 했던 백제 여인들의 충절과 넋이 어린 곳이 바로 낙화암이다. 바위 절벽에 새겨진 ‘낙화암(落花岩)’이라는 글씨는 조선시대 학자인 우암 송시열 선생이 쓴 글씨이다.부소산 서쪽 낭떠러지 바위를 가리켜 낙화암이라 부른다.낙화암은 백제 의자왕(재위 641∼660) 때 신라와 당나라 연합군이 일시에 수륙양면으로 쳐들어와 왕성(王城)에 육박하자, 궁녀들이 굴욕을 면하지 못할 것을 알고 이곳에 와서, 치마를 뒤집어쓰고 깊은 물에 몸을 던져 죽은 장소로 『삼국유사』에 기록되어 있다.훗날 그 모습을 꽃이 떨어지는 것에 비유하여 낙화암이라 부르게 되었으며, 절벽에 조선시대 학자인 우암 송시열 선생이 쓴 낙화암(落花岩) 글씨가 선명하게 보인다. 낙화암의 기암절벽은 백마강에서 배를 타고 돌아갈 때 더 잘 보인다.",부여군
7,대조사(부여),충청남도 부여군 임천면 성흥로197번길 112,126.9009684,36.19079206,http://tong.visitkorea.or.kr/cms/resource/37/210537_image2_1.jpg,"서기 501년에 쌓은 임천 성흥산성 아래에 황금새의 전설을 간직한 대조사와 미륵석불이 있는데 백제 성왕 5년부터 5년간에 걸쳐 창건했다는 대조사는 신비스러운 전설이 내려오고 있다. 백제시대 성흥 산 중턱의 커다란 바위 아래에 한 노승이 조금만 암자를 짓고 살고 있었다. 어느 따뜻한 봄날 노승이 양지바른 곳에서 경건한 마음과 자세로 참선 삼매 도중에 그만 잠이 들었는데 꿈속에서 한 마리의 커다란 새가 서쪽에서 날아와 신기하게도 황금빛을 발산하면서 현재의 대조사가 있는 곳에 앉아 큰 바위를 향해 계속 날개를 저었다. 그러자 햇빛에 반사된 한줄기 광명이 바위에 집중되더니 그곳에서 관세음보살이 나타났다.
이후에도 노승은 여러 날 동안 같은 시각에 같은 꿈을 꾸게 되어 이를 가림 성주에게 알렸고 성주는 곧바로 성왕에게 보고하였다. 성왕은 사비로 천도할 시기가 왔음을 알고 이곳에 대사찰을 짓도록 하였는데 10년이 걸릴 대규모 사업이었으나 사공을 주야로 투입하여 공사를 서둘렀다. 그때마다 신기하게도 공사현장 새가 날아와 울어 주위를 밝혔고 새소리에 사공들은 피곤을 잊고 공사에 매진하여 5년 만에 대사찰을 완공할 수 있었다고 한다. 절 이름을 황금빛 큰 새가 나타났다 하여 대조사(大鳥寺)라 지었고 관세음보살이 나타난 큰 바위에 석불을 조성하였다고 전해온다.
고려 시대에 유행한 거대한 석조 미륵보살의 하나로 논산에 있는 관촉사 석조미륵보살입상 (보물)과 쌍벽을 이루는 작품이다. 미래 세계에 나타나 중생을 구제한다는 미륵보살을 형상화한 것으로 높이가 10m나 되는 거구이다. 머리 위에는 이중의 보개(寶蓋)를 얹은 네모난 관(冠)을 쓰고 있으며 보개의 네 모서리에는 작은 풍경이 달려있다. 관 밑으로는 머리카락이 짧게 내려져 있는데 이와 같은 머리모양은 관촉사 석조 미륵보살도 마찬가지이다. 얼굴은 4각형으로 넓적하며, 양쪽 귀와 눈은 크나 코와 입이 작아서 다소 기이한 느낌을 주지만 관촉사 보살보다는 덜하다.
양어깨를 감싼 옷은 두껍고 무거워 이는데 매우 투박한 모습이다. 팔의 윤곽은 몸통에 붙여 옷자락으로 겨우 표현되었고, 손도 간신히 나타냈는데 오른손은 가슴에 대고 왼손은 배에 대어 연꽃 가지를 잡고 있다. 보살상 앞에는 제사 음식을 차려 놓기 위하여 판판한 돌을 마련해 놓았다. 전반적으로 관촉사 석조 미륵보살과 함께 동일한 지방 양식을 보여주는 보살상으로 높이 평가되고 있다.
대조사 원통보전 앞에 서 있는 탑으로, 일부만 남아있던 것을 1975년에 다른 일부를 찾아 다시 세운 것이다. 탑은 전체의 무게를 지탱해 주는 기단(基壇)을 2층으로 마련하고, 그 위로 3층의 탑신(塔身)을 올려놓은 모습인데, 탑신의 2·3층 몸돌과 꼭대기의 머리 장식은 새로 만들어 놓은 것이다. 기단은 각 층마다 면의 모서리와 가운데에 기둥 모양을 본뜬 조각을 두었다. 탑신의 지붕돌은 밑면에 받침을 두었는데, 1·2층은 3단, 3층은 2단으로 새겨 불규칙한 모습이다. 지붕돌의 처마는 가운데에서 수평을 이루다 네 귀퉁이에 이르러 가볍게 위로 들려있다. 위로 올라갈수록 줄어드는 비율이 비교적 낮아 안정감을 주고 있는 탑으로, 고려 시대에 세운 것으로 추측된다.",부여군
8,뒷개한옥촌민박협의회,충청남도 부여군 뒷개로27번길 10-1,126.9245164,36.29290579,http://tong.visitkorea.or.kr/cms/resource/04/2820604_image2_1.jpg,"뒷개한옥촌민박협의회는 부여읍에 위치한 한옥 단지에 위치해있다. 10여개의 한옥이 단지를 이루고 있으며, 현 사업체는 나성한옥, 월함지, 의자왕한옥, 서동선화한옥 4곳의 한옥이 참여중이다.  한옥 카페가 있는 나성한옥, 단체 숙박하기 좋은 의자왕한옥, 연인들이 사랑을 키우는 서동선화한옥, 가족 숙박객들이 편히 쉬어가는 월함지 등 한옥마다 색다른 특징으로 숙박 프로그램을 운영중이다. 특히 평일 단체와 기관 등이 부여 방문 시 한옥 단제 전체가 숙박이 연계되 있어 100여명도 동시 숙박이 가능하다.",부여군
9,만세장터영농조합법인,충청남도 부여군 성흥로97번길 4-5,126.8928691,36.18990036,http://tong.visitkorea.or.kr/cms/resource/09/2820609_image2_1.JPG,"만세장터영농조합법인은 부여 임천면 토박이 어머님 7분이 모인 주민사업체이다. 3년전부터 임천만세장터에서 로컬장터를 운영하며 지역의 농산물을 활용한 상품을 개발 중이다. 부여 농산물이 들어간 수제 영양바와 오란다등의 강정 세트가 대표 상품이며, 직접 농사지은 부여산 100%의 건강한 고추장 된장 등의 장류 등도 판매중이다.
겨울에만 볼 수 있는 동치미 키트는 만세장터의 겨울 히트상품이다. 현재 공간 리모델링을 통해 도시락 카페를 준비중이며, 어머님들의 손맛으로 만들어진 다양한 반찬과 장류 등도 차후 맛볼 수 있어 매우 기대가 되는 팀이다.",부여군
