,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가야산(서산),충청남도 서산시 해미면 산수리,126.609106,36.70398643,http://tong.visitkorea.or.kr/cms/resource/00/1961100_image2_1.jpg,"주봉인 가야봉(677.6m)을 중심으로 원효봉(677m), 옥양봉(621.4m), 일락산(521.4m), 수정봉(453m), 상왕산(307.2m) 등의 봉우리가 연결되는 다양하면서도  어렵지 않은 등산로가 개설되어 노약자 및 여성, 어린이도 쉽게 산을 오를 수 있다. 또한, 정상에서는 서해가 아련하게 보이고 봄철에는 철쭉과 진달래 등 각종 야생화가 흐드러지게 피어나는 등 사시사철 경치가 수려해 관광객의 탄성을 자아내게 한다. 백제 시대 마애석불의 최고 걸작으로 손꼽히는 국보 서산마애삼존불상을 비롯한 보원사지, 개심사, 일락사 등이 가야산 자락의 품에 자리를 잡고 있다. 또한, 국보 1점, 보물 6점, 기타문화재 4점 등을 비롯한 각종 문화재가 산재해 있어 내포문화권의 핵심지역이며, 그 자체가 거대한 문화재라 불려도 손색이 없다. 유서 깊은 문화유적과  오염되지 않은 자연경관을 찾아 매년 5십만 명 이상의 관광객이 찾아오고 있다.",서산시
1,간월도 어리굴젓 기념탑,충청남도 서산시 부석면 간월도리,126.4136207,36.60573049,http://tong.visitkorea.or.kr/cms/resource/48/188448_image2_1.jpg,"간월도에 들어서면 어리굴젓 기념탑이 먼저 눈길을 끈다. 그만큼 굴이 유명하다는 얘기이다. 지난 1990년 세워진 이 기념탑은, 높이 15m 정도의 흰색 시멘트 탑 끝에 굴 모양의 조형물이 매달려 있다. 기념탑 앞에는 굴을 채취하는 아낙네 세 명의 청동상도 세워져 있다. 기념탑  부근에는 어시장과 포장마차촌이 형성돼 있다.",서산시
2,간월도마을,충청남도 서산시 부석면 간월도리,126.4227029,36.61928464,http://tong.visitkorea.or.kr/cms/resource/20/2518020_image2_1.jpg,"서산A지구 방조제 중앙에 위치하여 남쪽으로는 약 30km 길게 펼쳐진 천수만이 있고, 북동쪽으로는 간월호가 있어 바다와 육지와 호수가 잘 어우러진 간월도. 간월도 해변 광장에는 우리나라에서 최초로 건립된 음식물 기념탑 ＂어리굴젓 기념탑＂이 있다. 무학대사가 창건하고, 그 이후 송만공 대사가 간월임이라는 암자를 중건하였는데, 간월도는 그 암자의 이름에서 유래한다고 한다. 간월암은 작은 돌섬에 있어 하루에 2번 간조 때면 걸어서 갈 수 있다.",서산시
3,강댕이 미륵불,충청남도 서산시 운산면 마애삼존불길 18-1,126.6025047,36.77781114,http://tong.visitkorea.or.kr/cms/resource/58/187958_image2_1.jpg,"이 미륵불은 강댕이로 진입하는 지점에 설치된 강당교에서 북쪽으로 약 100m 지점의 전(前) 군장동 안, 현(現) 고풍저수지안에 있었다. 이곳은 지대가 높아 지금도 섬처럼 되었으며 풀이 자라고 있어 쉽게 확인할 수 있다. 이곳이 저수지로 수몰되게되어 현재의 위치로 옮긴 것이다. 조성연대는 고려말~조선초로 추정되는데 높이는 216cm, 어깨의 폭은65cm, 두께는 25cm이고 머리에 보관을 쓰고 있으며, 오른팔을 위로 올려 가슴에 붙이고, 왼팔은 구부려 배위에 대어 서산지방의 다른 미륵과 같은 형식이다. 전설에 의하면 서해로 통하는 중국 사신들이 오가는 통로에 세워졌다고 하며 또는 보원사를 수호하는 비보장승 이었다고 한다.",서산시
4,개심사(서산),충청남도 서산시 운산면 개심사로 321-86,126.5901483,36.74690616,http://tong.visitkorea.or.kr/cms/resource/48/2562948_image2_1.jpg,"해미면에서 6km쯤 떨어진 상왕산(307m)의 울창한 숲속에 자리한 개심사는 충남 4대 사찰 중의 하나다. 주차장에서 절마당에 이르는 굽이진 산길이 호젓하고 아름다운데 봄철에는 벚꽃이 화사하게 피어난다. 개심사 대웅전은 정면 3간, 측면 3간의 단층 맞배집으로, 그 구조 형식은 다포집 계통과 주심포집 계통의 기법을 혼합한 절충식이다. 1484년, 성종 15년에 지어졌으며, 보물로 지정되어 있다. 휘어진 나무를 그대로 기둥으로 삼아 지은 절집이 있어 눈에 띈다.개심사는 운산면 신창리에 위치한 충남 4대 사찰중의 하나로써 백제 의자왕 14년인 654년에 혜감국사가 창건하여 고려 충정왕 2년인 1350년에 처능대사에 의하여 중수되었다고 전하고 있다. 대웅전의 기단만이 백제 때의 것이고 건물은 조선 성종 6년(1475)에 산불로 소실된 것을 조선 성종 15년(1484)에 다시 중건하여 오늘에 이르고 있다. 보물 대웅전은 창건당시의 기단 위에 조선 성종 15년(1484)에 중창한 다포식과 주심포식을 절충한 건축양식으로 그 작법이 미려하여 건축예술의 극치를 이루고 있다. 또한 사찰을 중심으로 우거진 숲과 기암괴석 그리고 석가탄신일을 전후하여 만개 하는 벚꽃은 주위 경치를 더욱 아름답게 하고 사찰 주변이 온통 벚꽃으로 만발해 마치 속세의 시름을 잊은 선경에 와 있는 듯한 감동 마저 느끼게 한다.",서산시
5,고파도,충청남도 서산시 팔봉면 고파도2길 10,126.3359808,36.91073564,http://tong.visitkorea.or.kr/cms/resource/71/2537971_image2_1.jpg,"서산시 팔봉면 북쪽 해상인 가로림만 내에 있는 섬으로 지역 주민 외에는 외지인들의 발길이 아주 드문 섬이다. 청정지역으로 해산물이 많이 잡혀 최근에 알려지기 시작했다. '古波島' 라는 섬이름에서도 알 수 있듯이, 파도가 아름답다. 태안반도와 서산 땅끝이 옴팍하게 패여, 파도와 거센 바람을 막아주는 로가림만에 안겨있어서 파도라고 할 것도 없이 잔잔하게 다듬어진 물결만이 밀려온다. 이 물결에 실려온 고운 모래는 고파도 해변에서 황금빛 모래 사장을 이루고, 해마다 6월이 되면 붉은 해당화가 흐드러지게 피어난다. 특히, 이곳의 해당화는 순수 야생이어서 색깔이 더욱 곱고 자태가 건강하다. 이렇듯 붉은 해당화와 누런 모래밭, 쪽빛수평선이 어우러진 풍경은 한 폭의 수채화 같다.
섬의 면적은 총 1.23㎢이고, 최고봉의 높이는 해발 69.1m, 해안선의 길이는 약 5km 정도이다.  수산업의 중심지로서 부근 바다에는 조기, 새우 등이 많이 잡히며 연안의 개펄에서는  바지락 같은 조개류의 양식업도 성하다.",서산시
6,국립 용현자연휴양림,충청남도 서산시 운산면 마애삼존불길 339,126.6076521,36.75192811,http://tong.visitkorea.or.kr/cms/resource/66/1994266_image2_1.jpg,"해발 678m의 가야산 줄기인 석문봉(653m), 일락산~상왕봉, 옥양봉~수정봉으로 이어지는 능선 사이에 있는 용현계곡 한가운데 자리해 심산유곡의 경치를 자랑하는 산림휴양의 적지이다. 능선을 따라 연결되는 등산로와 순환임도는 서산목장길과 연결되어 산책과 등산이 용이하고 멀리 서해바다를 조망할 수 있다. 특히, 계곡물이 맑고 깨끗하며, 참나무류가 울창한 휴양림 내에는 산림문화휴양관 등 숙박시설, 숲속 교실 등이 있으며, 주변에는 백제의 미소로 불리는 서산마애삼존불상, 보원사지와 개심사 등 백제 후기 문화유산이 접해있어 서해안 관광시대의 발달과 함께 자연교육과 문화유적 탐방을 겸할 수 있는 곳으로 각광받고 있다. 용현이란 지명은 예로부터 강당을 설치하여 글을 가르친 곳이라 하여 “강당이 마을”이라고도 불리고 있다.",서산시
7,김공 휘 유경 효자문·김공 휘 홍익 충신문,충청남도 서산시 음암면 유계리,126.517655,36.73861975,http://tong.visitkorea.or.kr/cms/resource/59/187959_image2_1.jpg,"* 김공 휘 유경 효자문이 효자문은 김공 휘 유경(단기 4002~4081년/서기 1669~1748년)께서 10세때 친상을 당하여 예법대로 복을 입지 못한 것을 애통하신 나머지  공의 춘추 17세(단기 4073년/서기1740년)에 추복을 하고 조석으로 곡하며 여묘3년간 슬픔을 다하신 효행을 기리기 위하여 건립된 정문이다. 영조께서 들으시고 가상한 마음이라 하며 식물까지 내리시고는 경은 사양치 말라 하셨다. 그리고 공께서는 평생동안 내외 요직을 두루 거치시며  충언으로 일관하시니 이로 인하여 일신상의 영달보다는 언제나 환해의 풍파가 거세였다. 공은 충신문 김묵재공의 종증손이며 자는 덕유요 호는 용곡이시다. 현종 10년 기유 2월 4일생으로 영조24년 (단기 4081년/서기 1748년) 무진 7월 8일에  졸하시니 향수 80이셨고, 용곡집이 가장으로 전한다. 후에 효정이라 증시하고 영조 27년 (단기 4084년/서기 1751년) 신미에 나라에서 정려를 명하다.* 김공 휘 홍익 충신문이 충신문은 김공 휘 홍익(단기 3914~3969년/서기 1581~1636년)께서  병자호란때 연산 현감으로 재직중 근왕병을 이끌고 수원 험전땅에서  중과부적의  적병과 일척단검으로 항전하시다가 단기 3969년(서기1636년) 12월 27일에 춘추 56세로 장렬히  순국하신 충절을 기리기 위하여 건립된 정문이다. 또한 충곡서원에 사육신과 함께 위패가 봉안되어 춘추로 제향을 받들고 있다. 그리고 묵재공 실기 1권이 전한다. 공의 본관은 경주요, 자는 익지며 호는 묵재니 선조 14년 신사 2월 12일생이시다.  영조 17년(단기 4074년/서기 1741년) 신유에 나라에서 정려의명이  내려지고 정조 18년(단기 4102년/서기 1769년) 갑인에는 충민이라 증시되어 현판을 개건하다.",서산시
8,망일사(서산),충청남도 서산시 대산읍 망일산로 831-134,126.4466089,36.93783164,http://tong.visitkorea.or.kr/cms/resource/85/2537985_image2_1.JPG,"망일산 망일사는 서산이 서해의 바닷가에 위치한 갯마을임을 깨닫게 해주는 사찰이다. 그만큼 망일사는 서쪽 바닷가에 외따로 위치한 한적한 사찰임에도 불구하고 서해에서 해를 바라볼 수 있는 또 다른 시각적인 즐거움을 주는 곳이다. 날씨도 스산한 12월 한 겨울의 해질녁에 찾아간 망일사는 서해바다에 뉘엿뉘엿 잠기듯 지는 해를 듬뿍 받아 부처님의 불신(佛身)마냥 금빛으로 반짝반짝 빛나며, 서쪽을 향해 있어서 겨울의 추위가 뼛속까지 시리게 만들고 손을 연신 호호 불면서 부처님이 계신 절집을 바라보게 만든다. 대웅전을 비롯한 절집들은 서해의 기운을 담뿍 받기 위해 서쪽을 향해 서 있으며, 그 곳에 칠해진 단청의 빛깔은 원래의 색 대신 노을빛을 받은 색다른 색으로 바뀌어 무한한 부처님의 공력을 느끼게 만든다. 대신 아침의 망일사는 서쪽 절집이어서인지 해가 늦게 뜨고 그래서 서늘한 푸른 빛과 추위를 많이 느끼게 한다.절의 오랜 역사를 말해주듯이 경내 앞마당에는 수령 700년의 괴목이 서 있다. 사찰의 역사를 말없이 대변하고 있는 나무는 모진 서해바다의 모든 것을 오랜 세월안 지켜보면서 망일사를 망일사답게 해준다. 사람은 가도 나무는 남아서 이곳 사람들의 믿음과 사랑을 여전히 받고 있는 것이다. 특히나 이들 나무들은 대웅전 앞에 서 있는 뒤틀리며 용트림하는 오래된 고목을 통해 사찰이 겪었을 긴 세월에 걸친 영욕의 이야기를 전해 들을 수 있다. 망일사에서 서해의 해를 바라보고 싶다면 대웅전 마당 앞 나무에 기대어 서거나 혹은 이 절집에서 그나마 오랜 역사를 지닌 망로정에 올라 내려다보길 권한다. 그러면 거짓말처럼 서해바다가 그대로 내 눈앞에 다가오는 것을 느낄 수 있다. 좀더 마음의 여유를 가지고 좀더 오래 사찰에 머물러 해가 질 때까지 기다리면 붉은 노을빛이 서해바다를 물들이는 것도 충분히 감상할 수 있는 절집, 서쪽 바닷가에서 해를 바라보이는 산에서 해를 바라볼 수 있는 사찰이 바로 망일산 망일사이다.",서산시
9,명종대왕태실및비,충청남도 서산시 운산면 태봉리,126.5828231,36.77811355,http://tong.visitkorea.or.kr/cms/resource/98/2520298_image2_1.JPG,"태봉골의 구릉 정상부에 위치한 명종대왕태실및비는 조선 제13대 왕 명종의 태를 봉안한 곳이다. 명종대왕태실 앞에는 기념비 3기가 있다. 명종대왕태실과 오른쪽에 위치한 비는 1538년(중종 33)에 건립 되었고, 왼쪽에 있는 비는 1546년(명종 1), 가운데에 있는 비는 1711년(숙종 31)에 세웠다. 오른쪽의 비는 태실을 만들면서 함께 세운 것이고, 왼쪽의 비는 왕자의 태실비로 용을 새긴 머릿돌을 올렸고, 가운데의 비는 주상의 비로 거북받침 위에 비몸을 올리고 용이 새겨진 머릿돌 얹었다.",서산시
