,title,addr1,mapx,mapy,firstimage,overview,addr2
0,국립 희리산해송자연휴양림,충청남도 서천군 종천면 희리산길 206,126.6683912,36.11735479,http://tong.visitkorea.or.kr/cms/resource/32/2032732_image2_1.jpg,"1998년 개장한 해송 천연림으로 산 전체가 해송 천연림으로 경관이 수려하다. 또한 입구에 저수지가 위치하여 산림휴양이 가능하다. 등산로를 따라 정상에 올라가면 서해바다를 관망할 수 있고 춘장대해수욕장, 금강하굿둑 및 한산 모시 타운 등이 근거리에 위치하여 주변 관광지와 연계 이용이 가능하다. 휴양림에는 산림의 공익기능, 미래의 임업 등을 설명하는 전시관과 진입로를 따라 대전광역시, 충청남도 지역의 야생화 등을 심어 전시하는 야생화 관찰원, 표고와 영지버섯을 재배하는 버섯 재배원, 무궁화를 품종별로 전시한 무궁화 전시포 등 교육 시설이 있고, 참나무, 낙엽송, 삼나무, 해송, 층층나무, 잣나무, 소나무 등의 판재로 만든 숲속의 집이 있다. 또한 성인 50명~60명을 수용할 수 있는 숲속 수련장도 운영 중이다. 체육시설로는 족구장, 농구장이 있다.",서천군
1,국립생태원(서천),충청남도 서천군 마서면 금강로 1210,126.724669,36.02971022,http://tong.visitkorea.or.kr/cms/resource/70/2659670_image2_1.jpg,"국립생태원 에코리움은 세계 5대 기후를 재현한 열대관, 사막관, 지중해관, 온대관, 극지관 등 각 기후대 대표 동식물 1,600여 종이 함께 전시외어 살아있는 생태계를 생생하게 체험할 수 있다. 또한 생태계의 기본 개념을 배울 수 있는 상설주제전시관1·2, 한반도의 범과 생태계 주제가 열리는 기획전시관, 눈높이별 생태교육이 이루어지는 에코랩 그리고 어린이 생태글방, 4D 영상관 등이 있다. 야외전시구역에는 습지 생태계의 특징을 관찰할 수 있는 금구리구역, 우리나라의 기후대별 삼림식생을 재현한 하다람구역, 우리나아 대표적 사슴류의 서식공간을 재현한 고대륙구역, 야생에서 날아드는 다양한 종류의 백로류와 오리류를 감상할 수 있는 나저어구역, 고병원성 조류인플루엔자 예방 격리 및 국제적 멸종위기동물 보호 시설인 에코케어센터, 밀수·밀거래되는 국제적멸종위기동물을 보호하기 위한 CITES동물 보호시설 등이 있다.",서천군
2,금강2경 도보여행길,충청남도 서천군 마서면 장산로855번길 56-2,126.7367015,36.01998653,http://tong.visitkorea.or.kr/cms/resource/29/2786229_image2_1.jpg,"전국적으로 도보여행 바람이 불면서 충남에도 48개 길에 총연장 1074.89km에 달하는 도보여행길이 생겼다. 그 중 하나인 금강2경 도보여행길은 금강 8경 중 2경인 신성리갈대밭을 목적지로 하여 걷는 길이다. 총 15.04km에 달하는 이 길은 금강하굿둑 관광단지부터 조류생태전시관을 거쳐 신성리갈대밭으로 이어진 길로, 걸어서 5시간 이상 소요된다. 조류생태전시관 옆에 금강 종주 자전거길 무인인증센터가 있는데 이곳에서 자전거를 빌려서 달릴 수도 있으며, 길 곳곳에 조각상들과 벤치들이 있어 쉬엄쉬엄 걸으며 조각상을 구경하는 재미도 느낄 수 있다. 금강 2경의 마지막 코스인 신성리갈대밭은 200,000여㎡(6만여 평) 부지에 끝없는 갈대밭이 펼쳐진다. 갈대길 안에는 문학길, 소 떼길 등이 조성되어 있고, 중간중간 쉼터도 있다.",서천군
3,금강하구 철새도래지 (서천),충청남도 서천군 마서면 장산로 916,126.7427008,36.02283909,http://tong.visitkorea.or.kr/cms/resource/31/2786231_image2_1.jpg,"금강하굿둑은 충청남도 서천군과 전라북도 군산시 사이에 있다. 1990년 금강하굿둑이 완공된 후 겨울 철새들이 찾아오기 시작했고,  이후 금강하구는 우리나라에서 철새를 가장 가까이서 만날 수 있는 철새 탐조 최적지가 되었다. 조류생태전시관에서 멀리 떨어져 있지 않은 금강하구 철새도래지는 국내 최대의 철새도래지이며 금강 1경이자 서천 2경으로 꼽힌다. 해마다 겨울이면 가창오리, 청둥오리, 검은머리갈매기 등 희귀한 철새들 수만 마리가 날아와 장관을 이루는 이곳을 찾는 철새는 40여 종 50여 마리에 달한다. 특히 웅장한 날갯짓 소리를 내며 일제히 날아오르는 가창오리 떼의 군무는 자연의 신비로움으로 보는 이를 압도한다. 조류생태전시관부터 금강 생태공원까지 이르는 1.3km 구간에 자전거길, 조류 관찰시설, 조류생태공원을 조성하여 조각들을 설치했고, 금강 생태공원 내에는 두 개의 철새 조망대가 있어 이곳에 오르면 철새도래지를 한눈에 볼 수 있다.",서천군
4,금강하구둑 관광지,충청남도 서천군 장산로855번길 56-2,0.0,0.0,http://tong.visitkorea.or.kr/cms/resource/39/1598939_image2_1.jpg,"충남 서천군 마서면 당선리에 위치한 금강하구둑 관광지는 해마다 금강하구둑을 찾아오는 철새들을 볼 수 있는 명소다. 금강하구둑은 장엄하게 흐르는 금강이 바다를 만나 품을 넓히는 곳에 만들어진 대규모 수리시설로, 충남 서천과 전북 군산을 잇는 교량 역할도 하고 있다. 드넓은 갈대밭과 농경지를 품고 있는 금강 하구에는 가창오리, 청둥오리를 비롯해 검은머리물떼새 등 희귀 조류와 수만 마리 철새들이 날아와 장관을 이룬다. 이른 아침 안개가 피어오르는 풍경도 좋고, 해질 무렵 낙조와 함께 바라보는 풍광도 일품이다. 철새가 찾지 않는 계절이라도 금강 하구의 넉넉하고 여유로운 풍경을 감상하려는 여행자들이 끊이지 않는다.

사계절썰매장과 바이킹, 회전목마 등 놀이시설이 있는 드림랜드와 게임월드, 자동차극장으로 이루어진 금강하구둑 관광지는 식당과 주차장 등 편의시설을 잘 갖추어 금강하구둑을 돌아보며 즐거운 시간을 보내기 좋다. 특히, 뒤편 산책로를 따라 전망대까지 걸어 올라가면 금강 하구와 건너편 군산이 한눈에 들어와 일대를 조망하기에 그만이다. 금강하구둑 관광지 앞 강변 산책로에는 아기자기한 카페들과 김인전공원이 있어 데이트를 즐기려는 연인들에게 인기 있다. 나란히 이어지는 자전거길을 따라 하이킹을 즐기는 여행자도 많다. 금강 하구를 따라 조성된 긴 산책로를 천천히 걸으며 햇살에 반짝이는 강변 풍경을 감상하고 조금 더 걸어 조류생태전시관까지 함께 둘러볼 수 있다.",서천군
5,금강하굿둑놀이동산,충청남도 서천군 마서면 장산로855번길 56-2,126.7367015,36.01998653,http://tong.visitkorea.or.kr/cms/resource/05/2752005_image2_1.jpg,"금강하굿둑 놀이동산에는 아이들과 함께 즐길 수 있는 다양한 놀이 시설이 조성되어 있다. 또한, 놀이동산 주변에는 카페, 식당이 있으며, 서천 관광 정보를 안내 받을 수 있는 서천 종합관광안내소가 위치해 있다. 봄에는 금강 하구 놀이동산 주변에 벚꽃이 만개해 핑크빛 풍경을 감상할 수 있다. 밤에는 금강 하구 놀이터 일대의 야간조명이 점등되어 낭만적인 분위기를 연출한다.",서천군
6,남당리 행복마을,충청남도 서천군 비인면 남당길63번길 23-6,126.6158889,36.17133105,http://tong.visitkorea.or.kr/cms/resource/34/1961134_image2_1.jpg,"전원이 개발되지 않고 자연상태로 보존되어 있는 남당마을. 도시민이 전원적인 농촌분위기를 체험할 수 있는 곳으로 교통이 편리하여 드라이브 코스로 즐기기에 좋다. 또한, 넝쿨 콩따기, 손두부만들기, 고추따기 등의 농촌체험과 갯벌체험, 서해일출·일몰 감상 등의 다양한 프로그램이 마련되어 있다. 예부터 벼농사를 위한 남당소류지가 있는데 토종 붕어, 중태기 등 민물고기와 반딧불을 볼 수 있으며, 숲과 어우러져 마치 원시림을 연상케 하는 등 자연 생태를 체험할 수 있다.  남당리(南塘里)는 비인군 북면(北面)의 지역으로서  남쪽을 향한 전원이 밝은 곳이라 하여 남당(南塘)이라고 부르던 지역이다. 1914년 행정구역 개혁 때에 남당리라 해서 서천군에 편입 되었으며, 기계유씨(杞溪兪氏)가 뿌리를 내리고 많이 살며 그 집성부락도 있다. 남당이란 뜻 자체는 남쪽의 신선지라는 뜻과 통한다. 즉 이곳의 남당은 새로 개척하러 들어와서 스스로 이룩하는 새로운 명소를 만든다는 뜻이 포함되어 있는 마을이다.",서천군
7,동백꽃마을,충청남도 서천군 마서면 합전길 77,126.6691734,36.04820715,http://tong.visitkorea.or.kr/cms/resource/60/509860_image2_1.jpg,"합천마을이라 부르는 동백꽃마을은 마서면 합전길에 위치하고 있으며 87농가가 옹기종기 모여 있는 마을로 서해의 넓은 해안지역으로 풍부한 어패류와 넓은 갯벌이있으며 주변의 크고 작은 산과 송림들이 우거지고 마을주변에는 대나무숲이 우거져 어촌, 산촌, 농촌이 적절히 조화되어 있는 곳이다. 이곳에서는 농촌체험,갯벌체험 등 다양한 체험이 진행되고 있다.",서천군
8,마량포구,충청남도 서천군 서면 서인로 56,126.5036334,36.12943115,http://tong.visitkorea.or.kr/cms/resource/68/2786268_image2_1.jpg,"서천군 서면 마량포구는 바다 쪽으로 툭 튀어나온 끄트머리에 있어 지형적 위치상 일몰과 일출을 함께 볼 수 있다. 그래서 마량포구에 위치한 마량리는 ‘마량포해돋이마을’이라는 이름으로도 불린다. 매해 연말연시에는 전국 각지에서 일몰과 일출을 보기 위해 많은 관광객이 모여든다. 마량포구 방파제는 고기가 잘 잡히는 포인트이며, 새벽에 마량포구 어판장에 가면 어민들이 갓 잡아 온 싱싱한 해산물을 경매하는 광경을 볼 수 있다. 또한, 마량포구에서는 축제가 많이 열리고 있다. 1월에는 마량포 해돋이축제, 3월에는 동백꽃주꾸미축제, 그리고 5월에는 자연산 광어도미축제가 줄줄이 열려 볼거리, 먹을거리가 넘쳐난다. 마량포구 뒤편으로 가면 500여 년의 수령을 자랑하는 동백나무 70여 그루가 숲을 이루고 있는 동백나무숲이 있다. 여름철 저녁엔 LED 조명을 밝히는 조형물들이 있는 마량포구 광장에서 종종 작은 음악회가 열려 로맨틱한 분위기를 연출하기도 한다.",서천군
9,문헌서원,충청남도 서천군 기산면 서원로172번길 66,126.7851814,36.09167362,http://tong.visitkorea.or.kr/cms/resource/66/2022266_image2_1.jpg,"1594년(선조 27) 지방 유림의 공의로 이곡(李穀)과 이색(李穡)의 학문과 덕행을 추모하기 위해 창건하여 위패를 모셨다. 임진왜란 때 소실되었다가 1610년(광해군 2) 한산 고촌으로 이건, 복원하여 1611년 ‘文獻(문헌)’이라고 사액되었으며, 이종학(李鍾學)·이개(李塏)·이자(李?)를 추가 배향하였다. 선현 배향과 지방 교육의 일익을 담당하여오던 중 흥선대원군의 서원철폐령으로 1871년(고종 8)에 훼철되어 그 자리에 설단(設壇) 하고 분향하여왔다. 그 뒤 1969년 지방 유림이 복원하여 이종덕(李種德)을 추가 배향하였다. 경내의 건물로는 3칸의 사우(祠宇), 2층 누각으로 된 6칸의 강당, 4칸의 진수당(進修堂), 3칸의 목은 영당(牧隱影堂), 5칸의 재실(齋室), 3칸의 전사청(典祀廳), 3칸의 수호사(守護舍), 내삼문(內三門)·외삼문(外三門)·이색 신도비·이종덕 효행 비각 등이 있다.",서천군
