,title,addr1,mapx,mapy,firstimage,overview,addr2
0,강당골(양화담),충청남도 아산시 송악면 강당리 강당골,127.0221465,36.70532405,http://tong.visitkorea.or.kr/cms/resource/78/1601578_image2_1.jpg,"아산시와 천안시에 걸쳐 있는 광덕산내의 계곡인 강당골은 일명 양화담이라고도 한다. 이곳은 물이 맑고 계곡의 주변은 울창한 노목이 숲을 이루고 있어서 심산유곡의 정취를 맛볼 수 있으며 개울바닥이 암반으로 되어 있어 물과 숲, 돌이 조화를 이루는 아름다운 계곡으로 도시 생활의 피로를 풀기 위해 많은 사람들이 찾아오고 있다. 광덕산의 임도 및 등산로가 잘 정비되어 있다. 송악면은 전국에서 사슴을 제일 많이 사육하는 지역으로 현지에서 녹용, 육골즙, 사슴고기 샤브샤브 등 다양한 사슴제품 생산 및 구입할 수 있다.",아산시
1,고용산(고룡산),충청남도 아산시 영인면 신화리,126.9681159,36.88704939,http://tong.visitkorea.or.kr/cms/resource/51/2758551_image2_1.jpg,"고용산은 충남 아산시 영인면 신화리에 자리 잡고 있다. 초목은 없고 큰 돌만 많이 쌓여 있는 산봉우리가 들 가운데 솟아 있다고 하여 고용산이라 불린다. 해발 296m로 아산시 북부에서는 영인산 다음으로 높은 산이다. 평야 지대에 높이 솟아 있어 산 정상에서 주변의 아산호는 물론 인근 충청남도 천안, 경기도 평택 시가지까지 한눈에 보인다.*사진 및 정보 출처: 한국향토문화전자대전, 한국학중앙연구원",아산시
2,곡교천 은행나무길,충청남도 아산시 염치읍 송곡리,127.0168278,36.79954644,http://tong.visitkorea.or.kr/cms/resource/24/2676024_image2_1.JPG,"곡교천 은행나무길은 ‘전국의 아름다운 10대 가로수길’로 선정된 충남 아산의 명소다. 현충사 입구의 곡교천 충무교에서부터 현충사 입구까지 2.2㎞ 길이의 도로에 조성되어 있다. 350여 그루의 은행나무가 일제히 노란 빛을 내는 가을이면 평일에도 많은 인파가 몰려들고, 휴일이면 찾아오는 사람들로 인산인해를 이룬다. 현충사를 찾는 관광객에게는 꼭 들러야 하는 필수 여행코스다. 청명한 가을 하늘을 배경으로 한 노란 은행나무길은 가을 정취를 만끽하고, 사진으로 남겨두기에 적격이다. 봄이면 유채꽃이 피어 또 다른 멋을 선사한다.",아산시
3,관음사석탑,충청남도 아산시 영인면 여민루길 122,126.9534072,36.84615662,http://tong.visitkorea.or.kr/cms/resource/12/532812_image2_1.jpg,"관음사 석탑은 아산시 영인면 아산리 관음사 경내에 대웅전 앞에 있다. 고려 시대에 만들어진 것으로 추정되며, 석가모니의 사리를 모시기 위해서 만들어진 석탑이다. 석탑의 상륜부는 사라지고 없으며, 탑의 기단부위나, 괴임돌등의 모서리가 많이 파손이 되어 세월의 흔적을 느끼게 한다. 원래 5층이었으나, 현재 3층만 남아 있다. 전체적인 형태는 2층의 기단 위에 3층의 탑신이 올라가있는 형태로 두꺼워 보이는 지붕돌은 완만한 경사를 이루다가 네귀퉁이에서 약간 치켜올라 있다. 지붕돌의 각 모서리에는 작은 종을 매달았던 구멍이 있다. ",아산시
4,다라미자운영마을,충청남도 아산시 송악면 평촌길 107-9,127.0085304,36.73081254,http://tong.visitkorea.or.kr/cms/resource/17/1961317_image2_1.jpg,"다라미 이름의 유례는 마을 뒷산인 월라산이 바위가 많다는 뜻으로 '다암'이라 하였고 명칭이 변하여 다라미로 불리었다. 월라산 상봉에 큰 암석이 둥근 달이 더 있는 형상과 흡사하여 다라미라 칭하였고 마을의 맞은편 산에서 달이 떠오르면 가장 먼저 월라산에 달빛이 비치므로 '달의 이마'라 하여 '달아미'라 불리다 '다라미'로 변형되었다. 다라미자 운영마을은 친환경 농업으로 안전하고 건강한 먹거리를 생산하고 있으며, 이로 인해 많은 종류의 논생태 생물과 아름다운 시골풍경, 그리고 다양한 테마체험과 더불어 마을 주민들의 훈훈한 인정까지 모두 보고 즐기고 느낄 수 있는 곳이다. 또한, 5월이면 녹비식물(친환경퇴비작물)인 자운영이 군락을 이루어 마을을 아름답게 수놓으며 친환경 농업지역인 이 마을의 대표적인 축제에도 한몫을 하고 있다.",아산시
5,설화산,충청남도 아산시 송악면 외암로,127.0274673,36.7389425,http://tong.visitkorea.or.kr/cms/resource/81/1495881_image2_1.jpg,"설화산은 좌부동과 송악면 그리고 배방읍에 걸쳐 있는 산으로서 서쪽 산기슭에 외암민속마을, 동쪽 산기슭에 맹씨행단을 품고 있는 해발 441m가 되는 높지 않은 산이다. 이른 가을철부터 늦은 봄철까지 눈이 덮여 장관을 이룬다해서 설화산이라고 한다. 또한, 붓끝 같은 봉우리가 솟아 있어 문필봉이라고도 하며 그 기세가 매우 독특하여 문필가 등 많은 인물이 배출되었다는 전설이 있다. 이 곳에는 칠승팔장지지의 명당이 있어 예로부터 투장이 성행하여 가뭄이 들면 투장한 곳을 찾아 파헤치고 기우제를 지내는 관습이 내려오고 있다.",아산시
6,세계꽃식물원,충청남도 아산시 도고면 아산만로 37-37,126.8589156,36.75028267,http://tong.visitkorea.or.kr/cms/resource/64/2366364_image2_1.jpg,"아산세계꽃식물원은 연중 3,000여종의 원예종 관상 식물을 관람할 수 있는 국내 최대 규모의 실내 온실 식물원이다. 2004년 개장 이후 매년 15~20만명의 관람객 분들께 많은 사랑을 받아왔으며, 식물원에서의 시간이 집에서도 이어지기를 바라는 마음에서 모든 관람객분들께 증정하기 시작한 다육 식물은 100만여개가 넘어가고 있다. 전시 뿐만 아니라 꽃손수건 염색과 분갈이 등 직접 손으로 체험해볼 수 있는 프로그램을 운영하면서 꽃을 사랑하고 즐기는 문화를 만들기 위해 노력해 왔다.

지난 십년간 관람객분들께 꽃처럼 아름답고 특별한 시간을 선물하고 싶은 마음으로 운영해온 세계꽃식물원은 LIAF를 설립했다. “Life is a Flower”의 첫 글자를 딴 LIAF는 “삶이 꽃이다”라는 의미 그대로 우리 모두의 인생이 꽃처럼 아름답고 즐겁기를 바라는 마음에서 출발했다. 원예와 정원 문화가 발달한 유럽과 미국, 일본에서는 흔히 볼 수 있는 '가든센터'라는 공간을 한국에 최초로 도입하여 다양한 원예 체험 프로그램을 개설하고, 원예 관련 제품을 소개하고 판매한다. 또한 카페와 레스토랑, 휴식 공간을 운영하여 관람객 여러분을 보다 편안하게 모시고자 한다. '가든센터'가 아직 우리나라에서는 생소한 개념이지만 건강한 여가를 즐기고자 하는 분들께 사랑받는 공간이 될 것이다.",아산시
7,세심사(아산),충청남도 아산시 염치읍 산양길 180,126.9268292,36.84225938,http://tong.visitkorea.or.kr/cms/resource/02/1962002_image2_1.jpg,"원래는 신심사였던 것을 최근에 세심사라고 개명한 이 절은 고려조에 창건되었다. 영인산 기슭에 자리하고 있는 세심사는 절의 중심부에 고려 시대 유행하던 청석으로 만든 9층 석탑이 있고, 상륜부가 없으며 1968년 일타와 도견이 옥신 등의 새로운 부재를 가미하여 원래의 모습을 잃었다. 부도 은 원래 절 입구에 3기가 있었는데, 지금은 대웅전에서 영산전으로 오르는 계단 옆에 ""송매당"" 부도 2기만 있다. 이 밖에 1563년(명종 18년)에 판각된 부모 은중경판과 불교 의식집인 청문판 4매가 남아 있다. 세심사가 위치한 영인산은 산세가 수려하고 주변에는 많은 유적이 있으며, 산의 정상부에는 고대의 산성이 있어서 학술적으로도 중요한 평가를 받고 있다. 최근에는 영인산 자연휴양림과 민족의 시련과 영광의 탑을 건립하여 많은 관광객이 찾아오고 있다.",아산시
8,송악 오돌개마을,충청남도 아산시 송악면 송악로 112,126.9565856,36.70997514,http://tong.visitkorea.or.kr/cms/resource/44/2519844_image2_1.jpg,'오돌개'라는 뜻은 오디(뽕나무 열매)의 방언으로 주변에 장군석의 전설과 오형제 고개 전설이 함께하는 오돌개마을은 서기 1640년경 약 370년전에 마을이 형성되었다고 한다. 주변이 온통 산으로 둘러싸인 전형적인 시골마을로 각종 농사체험과 누에체험을 할 수 있다. 누에체험과 더불어 뽕잎순을 따고 뽕잎으로 떡을 만드는 체험도 가능하다.  맑고 깨끗한 물이 흘러 가재를 잡을 수 있고 밤에는 반딧불이를 볼 수 있다.,아산시
9,신정호관광지,충청남도 아산시 신정로 616,126.9839593,36.7715352,http://tong.visitkorea.or.kr/cms/resource/08/2519808_image2_1.jpg,"신정호관광지는 1993년 아산시 방축동 일원에 272,000㎡로 조성되어 잔디광장, 조류사, 야생화공원, 조각공원, 청소년수련시설등과 8.45m의 이충무공동상이 있는 곳이다. 특히, 조각공원 내에는 조각품과 야생화원이 조성되어 지역 주민 및 청소년들을 위한 문화예술체험의 장으로 활용되고 있다.신정호관광지 입구의 생태공원은 3천여 평의 부지에 소나무, 철쭉, 연산홍 등 각종 식물 21종이 식재된 자연학습 공원으로 조성되어 있다. 또한, 겨울철에는 조각공원내에 폭 8m, 높이 3m의 대형 얼음조형물을 설치, 겨울철 볼거리를 제공하고 있다.관광지 앞쪽으로는 신정호수가 있는데 모터보트, 오리배, 보트 등을 탈 수 있고 사계절 낚시터로도 각광을 받고 있으며, 관광지 뒤쪽으로는 도심속의 울창한 숲으로 되어 있는 남산공원이 위치해 이곳에서는 산림욕과 레져 및 운동을 즐길 수 있는 곳이기도 하다.가족들의 나들이 장소로도 적합한 이곳은 청소년 심신단련장, 직장의 단체 야외 모임에도 많이 이용되고 있으며, 인근에 민물장어, 붕어찜 등 토속음식점이 있다. 이곳은 자연경관이 수려해서 사계절 휴양지로 온양온천과 연계하여 많은 관광객이 모여드는 곳이기도 하다.",아산시
