,title,addr1,mapx,mapy,firstimage,overview,addr2
0,광시 한우거리,충청남도 예산군 광시소길 6,126.7747591,36.54890715,http://tong.visitkorea.or.kr/cms/resource/17/2026117_image2_1.jpg,"* 한우 맛의 진수, 광시한우거리 *충남 예산군 광시면 광시소길에 들어서면 한우 고깃집들이 즐비하다. 300m 도로변에 약 30개의 고깃집이 있는데 대부분 식당과 정육점을 겸한다. 바로 대흥슬로시티마을에서 남쪽으로 7km 떨어진 광시한우거리다. 30여 년 전부터 고깃집이 하나둘 생겨났는데 이제는 전국 각지에서 찾아든다. 직접 도축을 하거나 인근에서 한우 암소를 가져오기 때문에 육질이 좋고 신선해 믿을 만하다. 생등심에서 특수부위, 육회, 소고기버섯전골 등을 맛볼 수 있다.",예산군
1,국립예산치유의숲,충청남도 예산군 치유숲길 203-31,126.8595751,36.70327699,http://tong.visitkorea.or.kr/cms/resource/88/2987388_image2_1.jpg,"천혜의 자연환경을 품은 관모산 일대에 자리한 국립예산치유의숲은 모든 국민이 산림복지서비스를 향유할 수 있도록 탁월한 시설과 수려한 경관을 갖췄다. 데크로드, 테마별 숲길 및 쉼터, 전망대, 건강측정실이 있어 누구나 자신에게 맞는 온전한 쉼을 경험할 수 있다. 특히 다양한 산림치유 프로그램이 일상에 지친 현대인들에게 힐링을 선사한다. 산림욕 멍때리기 체조(정신이완체조), 자연물 공예, 치유명상, 트리허그 등 정서적 안정에 도움이 되는 활동들로 이뤄져 있다. 또한 치유센터에서 체험할 수 있는 반신욕 프로그램과 다도 체험, 싱잉볼 프로그램은 여행 속 소중한 힐링 시간을 만들어준다.",예산군
2,내포보부상촌,충청남도 예산군 덕산면 온천단지1로 55,126.6500749,36.69127194,http://tong.visitkorea.or.kr/cms/resource/83/2723883_image2_1.JPG,"내포 보부상촌은 천백년 역사 향기 가득한 예산군에 위치한 복합 테마파크로 한국의 전통 유통문화와 자연이 살아 숨 쉬는 전통문화 재현 체험형 테마파크이다. 전통사회에서 시장을 중심으로 봇짐이나 등짐을 지고 생산자와 소비자사이에 교환경제의 중간자 역할을 했던 상인 보부상을 중심으로 조성된 복합 테마 공간으로 역사 전통문화의 창달, 상업과 유통에 대한 보부상 고유의 문화를 활용한 다양한 콘텐츠를 쉽게 접하고 체험하고 학습 할 수 있다.",예산군
3,느린호수길,충청남도 예산군 응봉면,126.7990019,36.63382003,http://tong.visitkorea.or.kr/cms/resource/64/2658964_image2_1.jpg,"예당호를 따라 2019년 10월에 조성한 느린호수길은 예당호출렁다리를 거쳐 대흥면의 예당호중앙생태공원까지 7km에 이른다. 예당관광지 공연장과 충효정 아래로 굽이굽이 이어진 길은 예당휴게소 아래를 지나면 곧 예당호 수변에 부드럽고 온화하게 연결되며, 수심이 낮은 곳은 나무가 물에 반쯤 잠겨 몽환적인 분위기를 선사한다. 전 구간 나무 데크에 턱이나 계단이 없어 유모차나 휠체어 이용자도 불편하지 않으며, 남녀노소 누구나 걷기 쉬운 곳이다.",예산군
4,대련사,충청남도 예산군 광시면 동산2길 119,126.7812047,36.58728896,http://tong.visitkorea.or.kr/cms/resource/70/1281070_image2_1.jpg,"백제 부흥의 한이 서린 임존산성이 예당호수를 내려 보는 절집, 예산 봉수산(鳳首山) 대련사 사찰에 가까운 임존산성 안에 연못(蓮塘)과 우물(蓮井)이 있어서 큰 연꽃이 피기 때문에 붙여진 이름, 바로 대련사이다. 현재는 더 큰 연못이라 할 수 있는 아름다운 예당호수가 저 멀리 보이고, 절 앞에 위치한 늙은 두 그루의 느티나무가 있는데 그중 하나는 700년을 훨씬 넘긴 고목이다. 닭 벼슬을 닮은 봉수산에 위치한 이 대련사는 백제와의 깊은 인연을 갖고 있는 사찰이다. 물론 백제 지역에 위치한 사찰 치고 백제 멸망의 슬픈 사연을 한처럼 지니지 않은 곳이 없다. 하지만 이 사찰은 백제가 신라에게 최후까지 항전을 했던 임존산성 가까이에 있어 더욱 신빙성이 높다. 대련사는 백제가 멸망하기 얼마 전인 의자왕 16년(656)에 의각(義覺)ㆍ도침(道琛) 두 스님이 창건했다고 전해지는 고찰이다. 더욱이 근처에 위치한 임존산성은 백제의 유민을 이끌어 백제 부흥군을 결성하고 나당연합군의 공격을 물리쳤던 역사적인 곳인데, 이 때 부흥군을 지휘하여 끝까지 항전을 하게 했던 사람이 이 사찰을 창건한 도침스님이기 때문이다. 창건 이후로도 대련사는 통일신라 때인 845년(문성왕 7)에 무염(無染) 스님이 중창했다거나, 조선 후기 인조 때 중수했으나 숙종 때 화재로 당우 전체가 소실되었다가 영조 때 중수되는 등 그 역사가 깊다.",예산군
5,대흥동헌,충청남도 예산군 대흥면 동서리,126.7884147,36.60674796,http://tong.visitkorea.or.kr/cms/resource/72/2518372_image2_1.jpg,"동헌(東軒)이란 고을의 수령(守令)이 정무를 집행하던 건물을 말하는데, 생활처소인 내아(內衙, 서헌이라고도 함)와 구분되어 보통 그 동편에 위치하였기 때문에 동헌이라 불리게 되었으며 수령이 주재하는 관청(官廳)의 본 건물이다. 대흥동헌은 정면 6칸(14.4m), 측면 2칸(4.8m), 처마높이 3.3m의 홑처마 팔작지붕의 목조 기와집이다. 대흥면 동헌은 조선후기의 건축양식인데 상량문에 영락(永樂) 5년(1407년)에 지었다는 기록이 있어 대흥향교(1405년)와 함께 ‘조선 태종’때에 지어진 것으로 생각되나, 강희(康熙) 42년(1703년)에 중수하였다는 기록이 있어 ‘조선 숙종’때에 대흥이 군으로 승격될 당시 중수 하였을 것으로 추측된다.현재의 동헌 건물은 일제의 강점 후 대흥면이 예산군에 통합되면서 동헌 건물을 대흥면사무소로 개조하여 해방 후까지 사용하다가 대흥면사무소를 현 위치로 신축하면서 1979년에 해체 복원되었다.",예산군
6,대흥향교,충청남도 예산군 대흥면 교촌향교길 88,126.7829262,36.61139733,http://tong.visitkorea.or.kr/cms/resource/00/1599800_image2_1.jpg,"1405년(태종 5) 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 그 뒤의 역사는 전하지 않으며, 현존하는 건물로는 대성전(大成殿)·명륜당·동무(東?)·서무(西?)·삼문 등이 있다. 대성전에는 5성(五聖), 10철(十哲), 송조6현(宋朝六賢)의 위패가, 동무·서무에는 우리나라 18현(十八賢)의 위패가 봉안되어 있다. 조선시대는 국가로부터 토지와 전적·노비 등을 지급받아 교관 1인이 정원 30인의 교생을 가르쳤으나, 갑오개혁 이후 신학제 실시에 따라 교육적 기능이 없어지고, 봄·가을에 석전(釋奠)을 봉행(奉行)하며 초하루·보름에 분향을 하고 있다. 이 향교의 대성전은 충청남도 문화재자료 제172호로 지정되어 있으며, 전교 1명과 장의(掌議) 수명이 운영을 담당하고 있다.",예산군
7,덕산 메타세쿼이아길,충청남도 예산군 덕산면 시량리 27-31,126.6596214,36.68710314,http://tong.visitkorea.or.kr/cms/resource/37/2793137_image2_1.jpg,"주로 공원 수로 식재되는 메타세쿼이아는 곧은줄기와 울창한 잎, 푸른색과 붉은색 등 계절의 색감을 고스란히 담아내는 나무로 사랑받는다. 덕산 메타세쿼이아길 역시 온천 둘레길, 황토체험 숲길과 함께 예산 명상 치유숲길로 같이 묶여 온천단지의 힐링 코스를 이룬다. 다른 테마에 비해 450m의 짧은 길이지만, 메타세쿼이아길 중간에 설치된 나무 의자에 앉아 신선한 바람을 맞으며 가만히 논두렁을 바라보고 있노라면 절로 힐링이 된다. 다른 지역에 비해 나무와 나무 사이 간격이 넓은 편이라 상대적으로 편안하고 안정적인 기분도 느껴진다. 메타세쿼이아길 한쪽에 새빨간 사랑의 우체통이 눈길을 사로잡는데, 멸종한 지 45년 만에 자연적 부화에 성공한 황새를 기념하기 위해 매년 7월 23일에 발송되는 느린 우체통이다. 우체통 앞에 엽서가 무료로 제공되니 사랑하는 가족에게, 고마웠던 친구에게, 혹은 도움을 받았던 누군가에게 따스한 마음을 전해봐도 좋겠다.",예산군
8,덕산도립공원,충청남도 예산군 덕산면,126.6225055,36.6801283,http://tong.visitkorea.or.kr/cms/resource/32/1961332_image2_1.jpg,"덕산도립공원은 덕산면의 시량리, 사천리, 둔리, 상가리, 광천리 등을 포함하여 1973년에 도립공원으로 지정되었다. 공원내에는 원효봉, 석문봉, 호서의 소금강이라 일컬어지는 덕숭산과 해태바위 등 폭포와 아름다운 계곡들이 있다. 수덕사가 자리하고 있는 곳이다. 수덕사 대웅전은 부석사 무량수전, 안동 봉정사 극락전등과 함께 현존하는 고려시대 목조건물이다. 대웅전은 1936년부터 4년동안 절을 고치다가 대들보에서 나온 묵서(墨書)에서 고려 충렬왕 34년(1308년) 건립되었다는 사실을 확인했다. 국보인 대웅전은 남아있는 고려시대 건축물 가운데 특이하게 백제적인 곡선을 보여주고 있다. 앞 세칸 곁 네칸의 단층 맞배집으로 그 형태가 장중하다. 덕산도립공원은 1990년 11월 1일 부터는 취사행위가 전면 금지되었다.

* 덕숭산지구 - 수덕사, 환희대, 견성암, 금강암, 정혜사, 소림초당, 만공탑, 일주문, 여승당 등
* 가야산지구 - 가야사지, 옥계저수지, 남연군묘, 상황사지, 보덕사, 쉬흔길바위, 옥양폭포, 거북바위, 고려자기묘지

※ 주요문화재
수덕사대웅전(국보), 수덕사 대불, 3층석탑, 7층석탑, 육괴정, 만공선사 사리탑, 황하루, 성보박물관",예산군
9,덕산온천지구,충청남도 예산군 덕산면,126.6534911,36.69544374,http://tong.visitkorea.or.kr/cms/resource/36/1961336_image2_1.jpg,"동국여지승람과 세종실록지리지 등 옛 사료에서 온천역사 500년을 확인할 수 있는 덕산온천은 그 유래가 매우 신비롭다. 이율곡 선생의 저서 '충보'에 의하면 ""날개와 다리를 다친 학이 날아와 이곳에서 나오는 물을 상처에 바르며 치료한 후에 날아갔는데, 학이 앉았던 자리를 살펴보니 따뜻하고 매끄러운 물이 솟아나고 있었다""고 적혀 있다. 덕산온천은 1917년 처음으로 탕을 이용한 온천으로 개장되었으며, 게르마늄 성분이 함유된 45℃이상의 천연 중탄산나트륨 온천수는 근육통, 관절염, 신경통, 혈액순환 촉진, 피하지방제거와 세포재생을 촉진시켜 주는 전국 최고의 온천수로 인정받고 있다. 온천지구내에는 온천장 9개소와 관광호텔, 일반호텔  등 50여 개의 숙박업소 및 각종 음식점 등 편의시설을 갖추고 있다.",예산군
