,title,addr1,mapx,mapy,firstimage,overview,addr2
0,각원사,충청남도 천안시 동남구 각원사길 245,127.197005,36.834079,http://tong.visitkorea.or.kr/cms/resource/87/2648687_image2_1.jpg,"태조산은 천안의 진산으로 유량천, 산방천의 분수령을 이루고 있고 정상에 오르면 천안을 한눈에 내려다볼 수 있다. 고려 태조 왕건이 이 산을 중심으로 해서 군사 양병을 했다는 설에 인연하여 ‘태조산’이라는 이름이 지어졌다고 전해온다. 대한불교 조계종 각원사는 남북통일을 기원하기 위해 불교신도들과 많은 사람들의 정성 어린 성금들에 의해 1977년 5월 9일이 곳 태조산 중봉에 봉안하였다. 청동대불은 높이 15M, 둘레 30M, 귀 길이 175cm, 손톱 길이 30cm, 무게 청동 60ton의 청동좌불은 태조산 주봉을 뒤로하여 서향을 바라보며 자비의 미소로 많은 중생들을 맞이하고 있다. 대좌불 좌측에 국내에서 규모가 가장 큰 대웅보전과 요사채를 비롯한 사찰 건물이 짜임새 있게 배치되어 많은 사람들의 기도처로 유명하다.",천안시
1,광덕사(천안),충청남도 천안시 동남구 광덕면 광덕사길 30,127.0423566,36.67590834,http://tong.visitkorea.or.kr/cms/resource/02/565702_image2_1.jpg,"광덕사는 신라 선덕여왕 때(637년) 자장율사가 창건하고 흥덕왕 때(832년)에 진산 화상이 중건했다고 전해진다. 아산시와 천안시의 경계를 이루는 광덕산(699.3m) 동남쪽, 그리고 태화산(455.5m) 서남쪽 산자락에 있다. 일주문 앞쪽은 ""태화산 광덕사"", 뒤쪽은 ""호서제일선원""이라는 편액이 걸려있고 참선을 수행하는 스님들의 도량임을 짐작게 하듯 고즈넉한 분위기가 물씬 풍겨온다. 조선 초기에 세조가 지병을 치유하려고 다녀가기도 했다는 일화가 전해 내려오며 임진왜란 전까지는 충청, 경기지역에서 가장 큰 절로 꼽힐 정도로 사세가 컸다. 그러나 임진왜란 때 거의 불타버려 옛 영화는 찾을 수 없고 대웅전을 비롯, 명부전, 천불전 등 주요 전각들은 대부분 근래에 새로 지었다.대웅전으로 들어가는 보화루 앞에는 몇백 년 묵은 호두나무가 서 있고 요사채 옆에도 키 큰 호두나무가 서 있어 이곳 광덕사가 호두의 원적지임을 알게 해준다. 광덕사는 곳곳이 단아하게 단장되어 있다. 꽃밭이 그렇고 진입로 옆으로 흐르는 계류가 엔 법정 스님의 수필 ""무소유""의 한 구절을 옮겨 적은 팻말도 보인다. ""우리의 목표는 풍부하게 소유함이 아니라 풍성하게 존재하는 데 있다. 삶의 부피보다는 질을 문제 삼아야 한다""라는 글귀가 광덕사를 찾는 이들의 마음을 정화해 준다.",천안시
2,광덕산(아산),충청남도 천안시 동남구 광덕면 광덕사길,127.0355346,36.68890951,http://tong.visitkorea.or.kr/cms/resource/64/1495664_image2_1.jpg,"광덕산은 아산시 송악면과 천안시 광덕면을 경계로 하고 있는 산으로 깨끗하고 맑은 계곡과 부드럽고 유연한 산세를 자랑하고 있으며 차령산맥이 만들어 낸 명산으로 해발 699m로 전국에 잘 알려진 100대 명산 중의 하나이다. 예로부터 산이 크고 넉넉하여 덕이 있는 산이라 하였으며 또한, 나라에 전란이 일어나거나 불길한 일이 있으면 산이 운다는 전설이 전해져 오고 있다. 광덕산의 등산코스는 송악면 강당골에서 시작하는 코스와  마곡리(마실)에서 시작되는 코스가 있는데, 임도가 개설되어 있어 산중턱까지 올라갈 수 있으며 등산로도 잘 정비되어 있으며, 산악자전거를 탈 수 있는 코스도 있어 산악자전거를 즐기는 사람들이 이용하는 주요 코스이기도 하다. 산이 그리 높지않고 험하지 않아 가족단위, 연인, 친구끼리의 등산로로 각광받고 있는 곳이다. 또한, 광덕산은 물이 맑고 울창한 숲과 노목들이 둘러싸여 있어 많은 산행객들이 찾아와서 심산유곡의 정취를 만끽할 수 있으며, 정상에 오르면 차령산맥의 크고작은 봉우리들이 파노라마처럼 겹겹이 펼쳐지고 발 아래로 광덕사가, 서북쪽으로는 송악저수지가 아스라이 보인다.",천안시
3,국립 망향의 동산,충청남도 천안시 서북구 성거읍 망향로 372-8,127.1888664,36.85217677,http://tong.visitkorea.or.kr/cms/resource/64/565764_image2_1.jpg,"망향의 동산은 해외에 이주해 살면서 연고지가 없거나 조국에 묻히기를 원하는 100만 해외 동포를 위한 국립묘원으로서 1976년에 개설되었다. 묘역 안에는 묘지외에도 위령탑과 KAL 희생자 위령탑, 재일동포 조림지가 있으며, 매년 10월 2일에는 망향의 날로 합동위령제가 거행된다. 경부고속도로 망향휴게소는 이곳의 이름을  본따 만들어졌으며, 휴게소 맞은 편(동편)에도 위령탑이 세워져 있다.* 총면적 - 359,288㎡ (108,684평)",천안시
4,누리마루숲,충청남도 천안시 동남구 향교1길 104-24,127.1704079,36.81466687,http://tong.visitkorea.or.kr/cms/resource/35/2820035_image2_1.jpg,"'주식회사 누리마루숲'은 건물 안과 밖의 넓고 다양한 공간을 활용하여, 일반 관광객들은 물론 반려견을 동반한 관광객들도 즐길 수 있는 체험 콘텐츠와 식음 서비스를 제공하고자 하는 마을기업이다. 야외 공간을 활용한 도심 속 피크닉 체험은 사진으로 추억을 남기고 싶어하는 분들, 바쁜 일상에서 숲 속 힐링을 하고 싶어하는 분들께 호응을 얻고 있다.
천안의 지역 색을 살린 식음 서비스를 제공하기 위해 천안의 특산물 호두를 활용해 다양한 상품을 개발했고, 22년도에 상품 개발을 완료한 누리쿠키(호두초코맛, 호두아몬드맛, 호두스콘)와 호두쉐이크, 호두라떼는 좋은 반응을 이끌어내고 있다. 또한 여름 시즌에는 전국 최초의 호두 팥빙수를 개발해 판매할 예정이며 향후 더 다양한 체험 콘텐츠를 계획 중에 있다.",천안시
5,마정저수지,충청남도 천안시 서북구 직산읍 마정리,127.0971768,36.87317272,http://tong.visitkorea.or.kr/cms/resource/50/2758650_image2_1.JPG,"마정저수지는 충남 천안시 서북구 직산읍에 자리 잡고 있다. 저수지에는 수초 군락이 잘 조성되어 있어 산책 삼아 방문해 풍경을 감상하기에도 좋다. 저수지는 북천안IC에서 가깝고, 주변에 현충사, 온양온천이 있다.",천안시
6,미나릿길벽화마을,충청남도 천안시 동남구 원성천1길 17,127.1526655,36.80009879,http://tong.visitkorea.or.kr/cms/resource/32/2770632_image2_1.jpg,"미나릿길 벽화마을은 충남 천안시 동남구에 자리 잡고 있다.
천안역 가까이에 자리 잡은 미나릿길 벽화마을은 좁지만 알찬 벽화 골목으로 가족, 연인, 사진가 등 다양한 사람들에게 주목받는 곳이다. 
낙후되어 좁고 허름하던 골목은 도심재생사업을 통해 현재 트릭아트, 3D 벽화 등 다양한 그림들로 가득하다.",천안시
7,불당동 유적공원 (선사유적지 공원),충청남도 천안시 서북구 불당동 815,127.1143522,36.80494199,http://tong.visitkorea.or.kr/cms/resource/69/2758669_image2_1.jpg,"불당동 유적공원은 충남 천안시 서북구에 자리 잡고 있다. 천안시 불당지구 택지개발사업 과정에서 발굴 조사된 유적을 정비하고 복원하여 조성되었다. 공원에서는 청동기 시대의 집터와 후대의 무덤들을 살펴볼 수 있다. 특히 청동기 시대의 집터는 아주 긴 방형 주거지가 특징적이며, 부여 송국리 유적에서 많이 유행하는 원형, 방형 집 자리가 주를 이룬다. 청동기 시대의 전기와 중기에 해당되는 대단위 취락유적이며, 우리나라 선사문화를 연구하는데 귀중한 자료이다.",천안시
8,성불사(천안),충청남도 천안시 동남구 성불사길 144,127.1968552,36.82829633,http://tong.visitkorea.or.kr/cms/resource/72/565772_image2_1.jpg,"고려 목종 때 혜선국사가 이곳에 법당을 세우고 암자를 지어 태조산 성불암이라 칭했다. 성불사는 임진왜란 등으로 몇 차례 불탔으며 절 입구의 괴목은 큰 바위 위에 서있어 불상이 앉아 있는 모습과 흡사하고 그 밑에 있는 안서 저수지의 잔잔한 물결은 더욱 아름다운 경치를 이룬다.  주변엔 각원사, 태조산수련장 등 천안의 명소들이 있다. 이 사찰이 창건될 무렵 하늘에서 백학 한 쌍이 날아와 이곳 천연 암벽에 불상을 조성하다가 완성하지 못하고 날아가 버렸기 때문에 성불사라고 부르게 되었다고 한다. 현재 경내에는 대웅전, 산신각, 칠성각 등이 남아있다.",천안시
9,성성호수공원,충청남도 천안시 서북구 성성2길 66,127.1308829,36.84530153,http://tong.visitkorea.or.kr/cms/resource/11/2824511_image2_1.JPG,"업성동의 '성', 성성동의 '성'을 따서 합쳐 만든 업성저수지의 탈바꿈.
업성저수지의 수질이 6등급으로 악화되어 농업용 저수지로서의 기능이 상실, 천안시의 수질개선 및 자연생태계 복원 사업으로 업성저수지는 '성성 호수 공원'으로 탈바꿈되었다. 방문자 센터(홍보관/체험관), 잔디마당과 숲 놀이터, 생태탐방로 및 자연 관찰 교량인 성성 물빛 누리교, 인공식물 섬, 물 순환시설 등 자연과 사람이 공존하는 도시생활 속 친환경 생태공원이며, 이 공원에는 멸종 위기의 금개구리와 맹꽁이 등 다양한 양서류들과 원앙, 청둥오리, 흰뺨검둥오리 등을 구경해 볼 수 있다.",천안시
