,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가파마을,충청남도 청양군 대치면 가파로 506-6,126.8796427,36.49763153,http://tong.visitkorea.or.kr/cms/resource/20/2629520_image2_1.bmp,"아름다운 언덕마을인 가파마을에는 '세 가지 아름다움(3嘉)’이 있는데 이 곳에 다녀가는 사람들은 생태, 농촌체험을 통한 ‘마음이 아름다워지는 마을’, 염색체험을 통한 ‘몸이 아름다워지는 마을’ 그리고 넉넉한 인심과 상생의 정신을 실현하고 있는 공동체의 따뜻함으로 '영혼이 아름다워지는 마을’을 체험할 수 있다. 또한 가파마을은 일교차가 심하여 농산물을 키우는 천혜의 조건을 갖추고 청정환경에서 깨끗한 농산물을 생산하기 위해 노력하여 청양의 명물, 청양고추의 최대생산지로 그 입지를 확고히 하고 있다.",청양군
1,고운식물원,충청남도 청양군 청양읍 식물원길 398-23,126.7606635,36.43378124,http://tong.visitkorea.or.kr/cms/resource/10/1999210_image2_1.jpg,"* 일반인을 위한 자연학습장, 고운식물원 *고운식물원은 1990년 부지조성을 시작으로 1997년 식물원 조성인가 후 2003년 4월 28일 개원까지 다양한 식물구입 및 식재작업을 통해 만들어졌다. 일반인을 위한 자연학습장, 식물 유전자원 보존 기능수행, 전공학생들을 위한 실습장 기능, 조경인들의 실무교육장 역할 담당 등을 목적으로 약 12년간의 준비과정을 거쳐 완공되었다. 식물원 규모는 20ha(약 60,400평) 정도이고 교육실습장이 10ha(3만 명) 정도이다. 희귀 및 멸종위기 식물인 미선나무(목본), 가시연꽃(초본) 외 15종을 보유하고 있으며, 총 4,500여 종의 식물 유전자원을 보유하고 있다. 또한, 고운시굴원에서는 전문인과 일반인을 위한 교육 프로그램 개발과 초,중,고교생을 위한 자연 학습장 설치 등의 프로그램을 운영하고 있다.※ 초본류 - 2,000여 종 / 목본류 - 1,300여 종 / 도입식물종 - 1800여 종 / 미확인종 - 1,000여 종* 고운식물원의 다양한 학습장 *언덕이 끝나는 길 우측 직원숙소 앞에 위치하고 있는 무늬원은 자연적인 상태에서 식물에  잎이나 꽃에 무늬가 들어가는 종을 수집 전시하는 공간입니다. 붓꽃원은 이른 봄 피어나는 꽃 봉오리가 옛날 선비들이 쓰던 붓을 닮았다하여 붓꽃이라 불리어 왔다는 붓꽃을 만날 수 있는 공간이다. 이외에 야생화와 조각이 어우러진 야생화원 및 조각공원과 수련과 홍령, 백연 등 150여 종의 연꽃이 전시되어 있는 수련원, 작약 · 모란원 등이 있다.",청양군
2,꽃이 머무는 자리(찬고을),충청남도 청양군 사수터길 99-14,126.8569836,36.39404858,http://tong.visitkorea.or.kr/cms/resource/47/2821547_image2_1.JPG,"2021년 관광두레 주민사업체에 선정되어 카페 ‘꽃이 머무는 자리’를 개장하고 꽃차 판매와 꽃차 아카데미 교실을 운영하고 있다.
아름다운 꽃차 농원과 포토존, 꽃차와 어울리는 디저트, 쿠킹클래스를 체험하며 즐길 수 있으며, 매월 셋째 주 토요일 팜파티, 매년 6월에는 마리골드 축제를 개최한다.",청양군
3,냉천골,충청남도 청양군 정산면 칠갑산로,126.8955544,36.42324312,http://tong.visitkorea.or.kr/cms/resource/56/1902756_image2_1.jpg,"* 청양군의 숨은 명소, 냉천골 *
냉천골은 칠갑산 산자락 마을인 마치2리에 있는 계곡이다. 골이 좁고 깊어 여름철에도 발이 시릴 정도로 시원하고 맑은 물이 흐른다. 나무가 계곡을 뒤덮어 터널을 이루어 햇빛을 보기 어려울 정도다. 여름철에는 많은 피서객이 모여 들며 최근 모텔과 여관, 식당 등 편의시설이 확충되는 등 피서지로 활기를 띠고 있다. 서해안 고속도로가 뚫리고, 36번 국도변에 위치해 있어서 쉽게 찾아올 수 있다.

* 냉천골이 위치한 마치리에 대하여 *
충청남도 청양군 정산면에 있는 리(里)이다. 칠갑산(七甲山) 동쪽에 위치하며, 전형적인 중산간 지역이다. 동쪽에는 잉화달천(仍火達川)이 남류한다. 자연마을로는 구를(구을), 새말(사점), 재징골(자점동) 등이 있다. 구를은 뒷산에 깊이 약 5m의 굴이 있다 하여 붙여진 이름이다. 새말은 마을 위쪽에 사기점이 있었다하여 이름 붙여졌고, 재징골은 자기점이 있었다 하여 붙여진 이름이다.",청양군
4,도림계곡,충청남도 청양군 장평면,126.8592587,36.38211665,http://tong.visitkorea.or.kr/cms/resource/58/1902758_image2_1.jpg,"* 청양군의 대표적 여름 휴양지, 도림계곡 *
칠갑산 산자락 마을인 도림리에 있는 계곡은 숲이  울창하게 뒤덮여 터널을 이루어 햇빛을 보기 어려울 정도다. 계곡은 좁고 긴데, 물이  맑고 시원하다. 또한 팔만대장경이 보관되어 있었다는 도림사지가 있으며 여름철에는  피서객이 많이 모여든다.",청양군
5,소찬 협동조합,충청남도 청양군 비봉면 은골1길 196,126.8148842,36.51320917,http://tong.visitkorea.or.kr/cms/resource/21/2821321_image2_1.JPG,"청양군 운곡면 향적선원의 공부모임에서 만나 동네 어르신을 위한 음식봉사를 하던 불자들이 2020년 8월 한국관광공사 관광두레 주민사업체로 선정되어 2021년 소찬협동조합을 설립했다. 스님 쉐프를 모시고 비건음식 쿠킹클래스와 예약제 식사를 운영 중이다. 비건음식은 채소를 재료로 하지만 한식, 양식, 일식의 범위를 넘나들며 음식의 종류, 맛, 모양에서 뛰어나 채식에 대한 새로운 경험을 제공한다.",청양군
6,알프스마을,충청남도 청양군 정산면 천장호길 223-35,126.9141947,36.40979221,http://tong.visitkorea.or.kr/cms/resource/44/2632944_image2_1.bmp,"칠갑산은 충남의 알프스라고 합니다. 칠갑삽 정상 바로 아래 칠갑산 산기슭에 자리잡은 마을로 천장처럼 높다는 뜻으로 천장리라 하며 아름다운 천장호수와 더불어 천장리 알프스마을로 불리게 되었다.알프스마을에는 칠갑산 등산로와 천장호수를 가로 지르는 한국 최장의 천장호 출렁다리와 도농교류센터, 웰빙체험농원이 있으며 매년 겨울이면 많은 방문객들이 붐비는 얼음분수축제가 열리는 마을이며, 눈과 얼음으로 만들어진 조각 작품도 감상할 수 있으며 각종 썰매, 얼음 봅슬레이 체험도 즐길 수 있는 축제입니다. 또한 짚트랙, 조롱박 공예등 체험도 즐길 수 있다.",청양군
7,어슬티굿밤,충청남도 청양군 운곡면 어슬티안길 71-15,126.8226481,36.48782611,http://tong.visitkorea.or.kr/cms/resource/31/2821331_image2_1.jpg,"충청남도 청양군 운곡면에 위치한 어슬티굿밤은 레저 체험상품과 숙박시설을 제공하는 관광두레 협동조합이다. 살아온 연륜만큼 넉넉한 마음을 가진 이 곳의 주인장들은 하나부터 열까지 정성을 다해 직접 가꾼 공간을 여행객들과 아낌없이 나눈다. 시골집과 같은 편안한 숙박시설뿐 아니라, 인접한 저수지에서 차박이나 캠핑을 즐기며 가족 낚시 체험도 가능하다. 다양한 활동을 자유롭게 즐길 수 있어 가족 단위 여행자가 취향껏 쉬기에 부족함 없다. 밤이 되면 아름다운 자연을 배경으로 청양의 로컬푸드와 항아리 훈제 통삼겹살로 차려진 팜파티가 열린다. 어슬티 굿밤에서의 하룻밤은 피곤한 도시 생활에서 벗어나 편안한 행복과 휴식을 느끼기에 충분하다.",청양군
8,이플아토,충청남도 청양군 청양읍 중앙로열길 3,126.8035924,36.45203822,http://tong.visitkorea.or.kr/cms/resource/34/2821334_image2_1.jpg,"㈜이플아토는 2021년 관광공사의 청양지역 관광두레 주민사업체로 선정이 되면서 다양한 배움과 파일럿을 통해 건강한 지역 농산물과 지역 캐릭터를 활용해 비누, 캔들, 디퓨저, 석고, 인센스,초콜렛, 굿즈 등을 청양의 젊은 엄마들과 청년들 그리고 학교 밖 청소년들과 함께 다양한 것들을 만들고 개발해 보면서 갖고 싶은 건강한 기념품들을 선보이고 있다.",청양군
9,작천계곡,충청남도 청양군 대치면,126.8628053,36.39381815,http://tong.visitkorea.or.kr/cms/resource/63/1902763_image2_1.jpg,"작천계곡은 칠갑산에서 발원하여 흘러내린 지천의 한 줄기이다. 칠갑산에서 발원한 물은 어을하천, 작천, 지천, 금강천의 순서로 흐르는데 작천, 지천이 온직리, 구치리, 개곡리, 장곡리, 작천리, 지천리 등 협곡과 아름다운 산수경을 이루는데 흐르는 물굽이가 기묘하고 기암괴석이 아름다워 지천구곡이라한다. 특히 이 중 까치내계곡이라고도 불리는 작천계곡은 물 흐름이 완만하고 깊지 않아 여름철 물놀이 장소로 인기가 좋아 한여름에 많은 인파가 모여든다.",청양군
10,장곡사(충남),충청남도 청양군 대치면 장곡길 241,126.8597022,36.41736539,http://tong.visitkorea.or.kr/cms/resource/57/1954557_image2_1.jpg,"장곡사는 칠갑산 등산로에 자리한다. 12세기에 창건된 사찰로 소박하고 정갈하다. 그 가운데 모양새와 방향이 다른 상대웅전과 하대웅전이 눈길을 끈다. 아래쪽 하대웅전 옆으로 난 계단을 오르면 상대웅전이 나타나는 구조다. 보물 하대웅전은 정면 3칸, 측면 2칸의 다포계 맞배지붕으로 금동약사여래좌상(보물)이 모셔져 있다. 보물 상대웅전은 박공지붕을 인 정면 3칸, 측면 2칸 건물로 철조약사여래좌상(국보)을 모셨다.장곡사는 이들을 포함해 국보 2점, 보물 4점을 보유하고 있다. 상대웅전에서 푸른 산세를 뒤로하고 지천구곡의 물길을 발아래에 두면 삼라만상의 근심이 단숨에 씻겨나간다. 850년 묵은 고목도 눈여겨볼 만하다.",청양군
11,장곡사벚꽃길,충청남도 청양군 대치면 장곡길 241,126.8602744,36.4176737,http://tong.visitkorea.or.kr/cms/resource/68/2732568_image2_1.jpg,"나선형 도로와 함께 한국의 아름다운 길 100선에 선정됐다. 
이 길은 벚나무 가지가 터널을 이루는 길이어서 벚꽃 피는 봄이면 환상의 분위기를 연출한다.
장곡사 삼거리에서 36번 국도와 만나는 주정교 삼거리까지 5.7Km의 구간인 이 길은 드라이브 코스로도 유명하다.",청양군
12,정혜사(청양),충청남도 청양군 장평면 상지길 165-10,126.8558761,36.36935972,http://tong.visitkorea.or.kr/cms/resource/55/1962055_image2_1.jpg,"* 과거 대사찰의 면모를 간직하고 있는 곳, 정혜사(청양) *정혜사는 칠갑산(七甲山) 남단 기슭에 자리잡고 있는 사찰이다. 창건 연대는 정확히 알 수 없으나 신라 제46대 문성왕 2년(AD 840)에 혜초국사가 창건하였다고 전해지며 「東國與地勝覽」엔 칠갑산에「淨慧寺」가 있었다고 기록되어 있다. 이것으로 조선 전기까지 절이 있었고 고려 이전부터 고찰이었음을 알 수 있다. 그후 조선시대를 걸쳐 淨慧寺가 定慧寺로 바뀐 것으로 보인다. 1907년 큰 화재로 소실되고 1908년 월파스님에 의해 지금 정혜사가 재건되었다. 이 사찰에는 오세창 선생이 쓴 「정혜사」라는 편액이 걸려 있다. 이 정혜사는 대사원으로 소속 암자도 많았던 것으로 추정된다. 지금도 혜림암, 석굴암, 서전암 등이 남아있다.* 정혜사의 건물과 구조에 대하여 *대웅전은 자연석으로 쌓은 기단 위에 자연석으로 주춧돌을 놓고 네모기둥을 세웠다. 정면 5칸, 측면 1칸의 팔작지붕 건물로, 앞뒤에 툇간이 있다. 가운데 3칸은 뒤쪽 툇간까지 방을 넓혀 불전으로 사용하고, 동쪽 방은 승방, 서쪽 1칸은 부엌이다. 불전과 승방 앞에는 툇마루를 깔았다. 대웅전 안에는 목조로 된 석가여래불좌상·아미타여래불좌상·약사여래불좌상의 삼존불이 봉안되어 있는데, 조선시대에 조성된 것으로 보인다.",청양군
13,지천구곡,충청남도 청양군 대치면 지천구곡로 424-7,126.8383296,36.39860884,http://tong.visitkorea.or.kr/cms/resource/48/1902748_image2_1.jpg,"* 아흔아홉 굽이에 숨은 아홉 가지 경승, 지천구곡 *
충남 청양군 대치면 지천구곡로를 따라 지천이 흐른다. 지천은 칠갑산에서 발원한 계곡의 한 줄기로 어을하천과 작천을 지나 지천을 이룬 후 금강으로 흘러든다. 특히 지천이 지나는 협곡은 풍경이 빼어나기로 소문났다. 굽이굽이 흐르는 물길을 따라 기암괴석이 호위하듯 조화롭다. 아흔아홉 굽이를 지나기까지 아홉 가지 경승이 들고나며 지천구곡을 이룬다. 물레방앗간 다리 인근과 까치내 등은 여름 물놀이 장소로도 인기다. 도로를 따라 차를 타고 달릴 때 창밖으로 보이는 풍경도 일품이다. 지천구곡에서는 김주혁과 정려원이 주연한 영화 <적과의 동침>을 촬영했다. 영화의 시대적 배경인 1950~60년대에 어울릴 만큼 때 묻지 않은 하천과 계곡이다.",청양군
