,title,addr1,mapx,mapy,firstimage,overview,addr2
0,각연사(괴산),충청북도 괴산군 칠성면 각연길 451,127.9274861,36.75430414,http://tong.visitkorea.or.kr/cms/resource/75/730975_image2_1.jpg,"신라 법흥왕때에 유일대사가 현재의 충북 괴산군 칠성면 쌍곡리근처에 터를 잡고 절을 지으려 했다. 재목 다듬는 공사를 하는데, 까마귀 떼가 날아들어 쉬지 않고 대팻밥과 나무부스러기를 물고 어디론가 사라졌다. 유일대사는 이 모습을 기이하게 여겨 까마귀들을 따라가 보았다. 현재의 각연사 터 연못에 대팻밥이 떨어져 있어 들여다보니 연못 안에 돌부처님 한 분이 계시고, 그 부처님 몸에선 광채가 퍼져 나왔다. 부처님을 뵙고 유일대사는 크게 깨달은 바가 있어 못을 메우고 그 자리에 절을 세웠다. 연못속의 돌부처님을 보고 깨침을 얻었다 하여 ""깨달을 각(覺), 연못 연(淵)""자를 써, ""각연사""라고 이름을 지었다. 절 주변은 우뚝 솟은 산들이 마치 연꽃이 피어있는 듯 둘러싸여 있다.[괴산 각연사 통일대사탑비] 보물 제1295호 (1999년 6월 23일 지정)고려 초기 통일대사의 행적을 기록한 비이다. 탑비는 각연사에서 동남쪽 약 1km 지점에 있으며, 여기에서 동남쪽 보개산 주봉을 향해 올라가면 산마루에 통일대사의 탑이 세워져 있다. 통일대사는 고려 전기에 중국유학을 다녀온 학승으로 당대에 명망이 높았다. 입적후 고려 광종은 ‘통일대사’란 시호를 내렸고, 당대의 문장가인 김정언에게 비문을 짓게 하였다. 여의주를 문 용머리 거북받침돌(귀부) 위에 비문은 윗 부분만 조금 판독될 정도로 마멸되어 3, 500여자 해서체 가운데 260자 정도만 보인다. 구름과 어우러진 4마리의 용틀임 장식 머릿돌(이수)에는 보주(연꽃봉오리 모양 장식)가 놓여져 있다.[괴산 각연사 석조비로자나불좌상] 보물 제433호 (1966년 2월 28일 지정)통일신라시대의 불상. 전체 높이 3.02m, 불상 높이 1.28m이다. 몸 전체에서 나오는 빛을 형상화한 광배와 대좌가 모두 온전한 상태로 남아있다. 삼각형의 얼굴에 이목구비도 평범하다. 움츠린 어깨와 빈약한 가슴, 평면적인 하체, 그리고 간략하게 표현된 옷 주름에서 불상 특유의 비로자나불을 보여주면서도 얼굴과 몸, 옷주름에서는 10세기 불교조각양식위엄을 찾아볼 수 없다. 이렇듯 불상의 양감이 줄어들고 모습이 온화해지는 반면, 불상 뒤의 광배와 불상을 앉힌 대좌의 장식이 화려해진 것은 통일신라 후기에 나타나는 석조여래좌상에서 흔히 볼 수 있는 특징이다. 9세기의 전형적인 이 엿보인다. 석굴암 본존불 이후의 조각양식이 어떻게 전개되었는지 잘 보여주고 있다.
[괴산 각연사 비로전] 충북유형문화재 제125호 (1982년 12월 17일 지정)1982년 12월 17일 충청북도유형문화재 제125호로 지정되었다. 각연사 석조비로자나불좌상(보물 433)을 본존(本尊)으로 한 비로전으로 불상이 조성된 통일신라시대에 처음 지어진 것으로 추정된다. 1923년 중수할 때 대들보에서 발견된 문서에는 고려시대인 944년(혜종 1)에 중수된 기록이 있고 1648년(인조 26)에 중건되어 1655년(효종 6), 1899(광무 3)에 중수한 것으로 기록되어 있다. 1975년에 보수하면서 중도리를 빼는 등 도리 상부를 완전히 변형하여 원형을 잃었다. 기둥 위에서 지붕 처마를 받치는 공포가 기둥위와 기둥 사이에도 있는 다포계 양식의 건물이다. 각연사 비로전은 조선 후기의 건축물로 전체적으로 단아하며, 당시의 건축기법을 잘 보이고 있다.[괴산 각연사 대웅전] 충북유형문화재 제126호 (1982년 12월 17일 지정)오랜 역사를 이어온 고찰, 각연사 안의 대웅전이다. 대웅전은 사찰의 본존불을 모시는 전각으로 가장 중심이 되는 곳이기도 하다. 각연사 대웅전은 사각형의 석축기단 위에 정남향한 정면 3칸 측면 2칸의 단층 맞배지붕 다포집이다. 주초는 다듬지 않은 덤벙초석이며 기둥에는 가벼운 배흘림이 있다. 정면 3칸에는 모두 빗살합문을 달아 출입토록 하였으며 측면 앞쪽 칸에도 빗살문을 달았다. 건물 내부에는 장엄한 닫집을 달았는데 천개 각부를 후대에 보수하였으나 원형이 잘 남아 있다. 조선시대 후기의 건축물이나 전체적으로 짜임새가 있는 아름다운 건물로 당시의 건축기법을 잘 살필 수 있다. 각연사에는 통일대사탑비와 석조비로자나좌불상 등 다양한 불교문화재가 있다.[괴산 각연사 통일대사탑] 보물 제1370호 (2003년 03월 14일 지정)괴산군 칠성면의 각연사 근처에 있는 불교문화재이다. 각연사 통일대사탑은 각부의 조각 수법법도 우수하고 무너져 있던 것을 복원했음에도 불구하고 탑의 구성이 완전하다. 또한 통일신라시대에 확립된 팔각원당형 석조탑의 양식을 충실히 계승하고 있어서 양식적으로도 고려 전기 석조탑의 수법을 잘 보여주고 있다. 탑의 주인공이 통일대사임이 입증된 점으로 보아 탑비와 같은 시기에 건립된 것으로 보인다. 현존하는 절대 다수의 석조탑는 사찰의 한쪽 한적한 곳에 자리하고 있으며 탑비 역시 인근에 위치하는 것이 일반적이다. 그런데 이 탑은 탑비와 멀리 떨어진 산 중턱에 자리하고 있어서 위치상의 색다른 면을 보이고 있다. 탑이 있는 자리는 각연사의 조망권으로는 다른 탑과는 비교되는 입지이다. 주변 및 사찰을 조망하기에 좋은 지점에 탑을 건립한 것은 9세기 산천비보사상에 의해 산 정상부에 석탑을 건립하는 것과 같은 사상적 배경을 지닌 것으로 추정된다. 가까운 곳에 산막이 옛길, 갈론계곡과 쌍곡계곡 등 둘러볼만한 곳이 많이 있다.",괴산군
1,갈론계곡,충청북도 괴산군 칠성면 사은리 92-1,127.8569708,36.73226649,http://tong.visitkorea.or.kr/cms/resource/81/2675581_image2_1.JPG,"계곡 인근에 갈씨 성을 가진 사람들이 많이 살았다고 해서 이름 붙여진 갈론계곡은 아홉 곳의 명소가 있다고 해서 갈론구곡이라 부르기도 한다. 골이 깊기로 소문난 괴산에서도 가장 깊은 곳이라 할 만큼 깊숙히 들어가 있는 계곡이어서 아직도 찾는 사람이 많지 않은 호젓한 계곡이다. 유리알같이 맑은 계곡이 곳곳에 비경을 만들고 있으며 물놀이하기에도 좋은 계곡이다. 갈론계곡이란 이름은 이 계곡 입구 마을에 갈 씨 성을 가진 사람들이 은거했다 하여 붙여진 이름이다. 갈론구곡의 구곡은 다음과 같다. 제1곡 갈은동문, 제2곡 갈천정, 제3곡 강선대, 제4곡 옥류벽, 제5곡 금병, 제6곡구암(거북바위), 제7곡인 고송유수재, 제8곡 칠학동천, 제9곡 선국암이다. 강선대, 칠학동천, 선국암 등 신선과 학의 이름이 자주 등장하는 것을 보아도 갈론계곡의 호젓한 아름다움을 짐작할 수 있다.",괴산군
2,개심사(괴산),충청북도 괴산군 괴산읍 역말길 22,127.7947185,36.81492531,http://tong.visitkorea.or.kr/cms/resource/09/731009_image2_1.jpg,"개심사는 괴산읍 동부리에 있는 자그마한 전통사찰로 연혁에 대해서는 현재 거의 알려져 있지 않다. 다만 사찰에 보관중인 1935년 보학(寶學)스님이 쓴『개심사기(開心寺記)』를 통해 근세의 연혁을 짐작할 뿐이다. 현판 기록에는 여신도인 김경림(金瓊林)이 절에 10여칸의 큰 법당을 시주하였다고 기록되어 있는데, 이는 사찰에 구전되어 내려오는 창건에 관한 이야기, 즉 괴산읍 칠성면 두천리에 있던 도덕암(道德庵)이 폐사됨에 따라 현재 개심사터에 전각을 짓고 불상 2구를 이안하였다는 내용과 일치한다.이는 1935년의 기록으로 김경림보살이 법당을 시주할 때 개심사에 도덕암 불상 2구가 안치되었으며, 개심사가 새롭게 중창된 것으로 볼 수 있다. 이후 긍허(亘虛)스님이 절에 상주하며 괴산시민들의 불심으로 절이 발전하였으며, 그 뒤 몇 번의 중수를 거쳐 오늘에 이르고 있다. 한국전쟁 이후에 신축된 대웅전을 해체하고, 1997년에 주법당인 극락보전을 중창하였으며, 범종각을 불사하여 괴산읍의 전통사찰로서 입지를 굳히고 있다.[개심사 목조여래좌상과 목조관음미륵좌상]괴산군의 개심사에 있는 두개의 불상이다. 원래 칠성면 두천리의 도덕암에 있던 것을 폐사되면서 옮겨온 것이다. 괴산읍 서부리에 살던 김경림이 1935년경 현재의 개심사를 신축하면서 옮겨왔다고 전한다. 2구의 각부 조각과 단아한 양식수법은 조선후기의 불상으로 보존상태가 양호하다. 목조여래좌상은 한 나무로 조성한 좌상인데 나발의 머리와 상호가 정제되어 원만하며 백호를 갖추고 있다. 양 눈썹과 눈, 입과 입술 등이 정돈되고 목에는 삼도가 뚜렷하다. 통견인 법의는 조선시대 특유의 양식으로 손목에서 두껍게 표현되었다. 관음보살상은 역시 한 나무로 조성한 것인데 머리에는 금속제의 화사한 보관을 쓰고 있다. 상호는 원만하며 이마에 백호가 있고 양미안과 구순 등이 정제되어 목에 돌려진 삼도와 어우러진다. 통견과 법의는 두툼하면서도 유려하여 조선시대 작품으로는 우수한 것으로 평가된다. 개심사 주위에는 홍범식 고택과 괴산향교, 애한정 등 가볼만한 곳이 많이 있다.",괴산군
3,고산 9경,충청북도 괴산군 괴산읍 제월리,127.8327261,36.81722019,http://tong.visitkorea.or.kr/cms/resource/06/731506_image2_1.jpg,"괴산읍에서 수안보로 가는 19번 국도를 따라 4km쯤 가면 한강의 상류인 달천이란 강을 만난다. 달천 양측 기슭에 고산 9경이 산재해 있다. 고산은 넓은 들판 가운데 하나의 산이 돌출하고 달천의 푸른물이 이를 감싸고 돌아 태극의 형상을 이룬다. 고산정에 올라 사방을 둘러보면 멀리는 속리산에서 발원한 푸른물이 정자 밑을 돌아 흐르고 남으로는 작은 봉우리들이 마치 말을 탄 수천의 군사가 진을 친 듯하다.* 고산9경 - 고산정, 황니판, 관어대, 은병암, 제월대, 창벽, 영객령, 영화담, 고산정사1) 고산정 : 충청북도 기념물 / 1978년 10월 27일 지정
조선 선조 때의 명현 서경 유근이 충청 관찰사로 있을 때인 1596년에 창건하였으며 만송정이라 하였다. 광해군 때 어지러운 정치를 피해 고향에 돌아와 이곳에 머물면서 고산정이라 개칭하였다. 선조 때 명나라 학자 주지번이 썼다는 '은병(隱屛)' 두글자가 새겨져 있다.2) 관어대 : 영화담 위에 바위 절벽 아래서 내려다 보면 한가롭게 놀고 있는 물고기들의 모습을 볼 수 있는데 이곳이 관어대이며 세속을 떠난 신선처럼 마음의 평화를 찾을 수 있는 것이다.3) 은병암 : 제월대에서 강을 따라 조금 내려가면 푸른 강물이 S자로 크게 굽이치는 절벽과  절벽에 연이은 큰 바위들이 강물에 반쯤 드리워져 있어 절경을 이루고 있는데  이 바위를 은병암이라 한다.4) 제월대 : 고산정이 있는 부분의 절벽부분을 지칭하는 것으로 일반적으로 강줄기 양편에 흩어진 일련의 경승지를 통칭 제월대라 한다.5) 영화담 : 고산정 아래 속리산으로부터 흐르는 푸른 물이 여울 소리를 내며 유유히 흘러와 정자 밑에서 머물러 푸른 연못처럼 평온하고 많은 물고기들이 노닐고 있어 한폭의 동양화를 연상시킨다. 봄에 진달래 꽃이 피면 꽃 그림자가 물에 비춰서 산 그림을 펼쳐 놓은 것처럼 아름다우며 봄부터 가을까지 관광객들의 발길이 끊이지 않는다.6) 고산정사 : 고산정에 걸려 있는 고산정이란 글을 말하며 서경 유근 선생이 혼정을 피해 은거하면서 고산정이라 했다.",괴산군
4,괴산 고산정 및 제월대,충청북도 괴산군 괴산읍 제월리,127.8285986,36.81936153,http://tong.visitkorea.or.kr/cms/resource/06/731506_image2_1.jpg,"고산정은 달천변의 경승지를 일컫는 고산구경의 하나인 제월대 옆에 자리하고 있는 정자이다. 충북에서 가장 오래된 정자로 알려져 있으며 1978년 10월 27일 충청북도 기념물로 지정되었다. 고산정은 1596년(선조 29)에 당시 충청도 관찰사였던 유근이 건립하였다. 처음에는 만송정이었으나 유근이 이곳에 은거하면서 그의 호를 따서 고산정으로 칭하게 되었다. 정면 2칸, 측면 2칸 규모에 팔작지붕을 올린 단층 정자로 마룻바닥을 따라 평난간을 둘렀다. 처마 밑에는 이원이 쓴 ‘孤山亭(고산정)’이라는 현판이 걸려 있다. 안에는 명나라 사신이었던 주지번이 1606년(선조 39)에 쓴 '호산승집', 웅화가 1609년(광해군 1)에 쓴 ‘고산정사기’등의 편액이 있다. 달천강의 아름다운 모습이 한눈에 들어오는 조망을 자랑하는 곳이다. 바로 아랫쪽의 달천은 여름철 유원지로도 사람들이 많이 찾는 곳이다. 가까운 곳에 소설가 벽초 홍명희 선생의 제월리 생가와 문학비가 자리하고 있다.",괴산군
5,괴산 김항묵 고택,충청북도 괴산군 칠성면 칠성로4길 20,127.8592136,36.78169142,http://tong.visitkorea.or.kr/cms/resource/38/2517538_image2_1.jpg,"조선시대 상류층 가옥으로 ‘칠성고택’이라고도 부른다. 1800년대 지어진 안채 이외에 사랑채, 중문간채, 대문채, 행랑채, 광채, 헛간채 등으로 구성되었다. 안채는 대청을 중심으로 안방과 건넌방이 있고, 안방 옆에 부엌이 딸려 있다. 정원쪽으로 누마루를 배치한 사랑채는 안채 쪽 부엌, 대청과 작은 사랑으로 이어져 있다. 사랑채 마당은 바깥마당보다 지대가 높고 외부와 차단되어 있다. 사랑채의 합각에 전돌로 새긴 완자무늬를 비롯하여, 광채벽의 수복무늬와 팔각겹곡두무늬, 담장의 화문담 문양 등이 아름다워 눈여겨 볼 만하다. 대청(大廳)을 중심으로 좌우에 크고 작은 사랑방과 부엌으로 구성되어 있는데 큰 사랑방 동쪽에 누마루를 덧달아서 정원을 감상할 수 있도록 하였다. 사랑채 정원에는 원래 초당(草堂)과 연못이 있었다고 하나 현재는 없다. ㄷ자형의 안채는 약 30여평 규모로 정면에 부엌·안방·대청·뒷방을 일렬로 배치하고 꺽어진 곳에 건넌방과 부엌을 두었다.",괴산군
6,괴산 둔율 올갱이마을,충청북도 괴산군 칠성면 둔율길 142,127.8487673,36.78302718,http://tong.visitkorea.or.kr/cms/resource/25/2517525_image2_1.jpg,"* 가족을 위한 건강 먹거리 만들러 괴산 둔율 올갱이마을 *
둔율 올갱이마을은 올갱이가 많이 서식하는 너른 하천이 인근에 흘러 여름철에 휴가객들에게 인기가 높은 곳이다. 그러나 수확이 끝나고 겨울이 다가오는 11월이면 또다시 마을이 분주해진다. 괴산은 절임배추 생산지로도 유명하지만 고추 농사도 많이 짓는다. 이런 지역 특산물을 활용한 김장 체험이 활발하게 진행되기 때문이다. 김장뿐만 아니라 청국장, 손두부 등의 건강한 우리 음식 만들기 체험도 할 수 있다.
* 먹거리 : 올갱이국, 올갱이 부침개, 올갱이 만두
* 인근볼거리 : 각연사, 군자산, 산막이 옛길, 갈은 계곡, 김기응 가옥",괴산군
7,괴산 문당리 서낭단,충청북도 괴산군 청안면 문당리,127.6826361,36.74348981,http://tong.visitkorea.or.kr/cms/resource/19/731019_image2_1.jpg,"문당리 성황단은 오리목(鴨項)마을 입구에 있는데 느티나무군락 옆에 막돌을 이용하여 제단을 조성하고 제단 좌우에 1기씩의 원추형 돌탑을 배치하였다. 제단부는 마을을 둘러싼 능선 하단의 경사지에 막돌을 사용하여 2.5m 높이로 조성하였는데, 윗 부분은 여러 명이 함께 제사할 수 있을 만큼 폭 3m, 길이 5m 규모의 평탄한 제사공간을 만들고 산 쪽으로90×90cm 정도의 제물대를 갖추고 있다. 제단부의 위쪽으로 산의 능선을 향하여 꼬리를 끌 듯 폭 1.5m, 길이 10m  이상의 돌무지를 늘여 쌓아 마을 주산으로의 연결을 도모하고 있는 듯하다. 좌우의 원추형 돌탑은 각각 남녀의 성을 표현하고 있는 것으로 믿어지며, 돌탑의 크기는 높이 1.5m, 지름 3m 정도이다. 이 성황단은 차츰 사라져가는 마을 신앙의 유제(遺制)로 조성된 시기가 분명하지 않으나 지금까지 알려진 일반적인 형태와는 다른 독특한 형태를 갖춘 제당(祭堂)형식으로 그 예가 매우 드문 유적이다.",괴산군
8,괴산 백운사 승탑군,충청북도 괴산군 사리면 사리로소매2길 125-146,127.6682898,36.85478509,http://tong.visitkorea.or.kr/cms/resource/28/2720828_image2_1.jpg,"괴산 백운사 승탑군은 승려의 유골이나 사리를 모셔둔 탑이다. 괴산의 백운사에 자리 잡고 있는 이 부도밭에는 모두 5기에 이르는 부도들이 놓여 있다. 4기는 모두 조선시대에 세운 것이며 다른 1기만 1955년 송운제 스님이 세운 것이라 한다. 모두 낮은 받침돌 위에 종모양의 탑몸돌을 올렸다. 그 중 4기는 4각 지붕돌이나, 옛 가옥에서 보이는 독특한 모습의 지붕돌을 올려놓았다.  지붕돌은 각 귀퉁이마다 용머리 장식을 두고, 꼭대기에는 꽃봉오리 모양의 머리장식을 올렸다. 대체로 본래의 모습을 잘 갖추고 있다. 가까운 곳에 가볼만한 명소로는 홍범식 고택과 제월대, 괴강유원지 등이 있다.",괴산군
9,괴산 보안사 삼층석탑,충청북도 괴산군 청안면 효근1길 3-8,127.6544882,36.75835703,http://tong.visitkorea.or.kr/cms/resource/57/731257_image2_1.jpg,"보안사 3층석탑은 옛 보안사 터의 북쪽에 위치하고 있는데 단층기단 위에 3층의 탑신으로 건립되었다. 전체높이 325cm의 이 석탑은 1매의 지대석 위에 4면에서 면석을 조합하여 단층 기단부를 형성하고 탑신을 올렸다. 기단 면석에는 우주(隅柱)를 모각하였다. 별도의 조식이 없는 갑석 위에 초층 탑신을 놓았는데 초층탑신의 남쪽면 중앙에 12×9cm의 방형 감실(龕室)을 조식하였다. 옥개석은 둔중하여 낙수면이 급하며 초층 옥개받침은 3층이며, 2·3층에서는 2단으로 되었다. 석탑의 각 부재는 비교적 완존하나 전체적인 체감비율과 옥개받침의 양식화 등을 볼 때 고려후기의 석탑으로 추정된다. 탑신부(塔身部)에 감실이 조형된 석탑은 충북지역에서는 극히 이례적인 예에 속하여 주목된다.",괴산군
