,title,addr1,mapx,mapy,firstimage,overview,addr2
0,고운골남한강갈대숲,충청북도 단양군 가곡면 사평리 673,128.3820044,37.01975154,http://tong.visitkorea.or.kr/cms/resource/37/2736737_image2_1.jpg,고운골남한강갈대숲은 경관이 뛰어나며 갈대숲을 배경으로 하여 사진 명소로 주목받고 있다.  산책로(데크)가 정비되어 있어 남한강과 갈대숲 전망을 바라보며 산책이 가능하며 산책로 주변에 화장실과 소규모 주차장이 정비되어 있다.,단양군
1,구담봉.옥순봉,충청북도 단양군 단성면 월악로 3827,128.2478271,36.93994709,http://tong.visitkorea.or.kr/cms/resource/89/2366289_image2_1.jpg,"구담.옥순봉(372m)은 단양팔경으로 유명한 구담봉과 옥순봉을 말한다. 구담봉은 기암절벽의 암형이 거북을 닮았고 물속의 바위에 거북무늬가 있다 하여 구담이라 하며, 옥순봉은 희고 푸른 아름다운 바위들이 힘차게 솟아 마치 대나무 싹과 같다 하여 옥순이라 불리우며  조선 명종 초 단양군수로 부임한 퇴계 선생이 암벽에 단구동문이라 각명하여 소금강이란 별칭이 있을 만큼 아름다운 곳이다. 여지승람에 의하면 연산군 때의 문신 김일손이 절경의 협곡을 극찬한 곳으로 충주댐 호반과 금수산의 아름다운 절경을 한 눈에 볼 수 있다.

깎아지른 듯한 장엄한 기암절벽 위에 바위가 흡사 거북을 닮았다 하여 단양 구담봉
단양팔경의 세 번째 풍광을 만나기 위해서 충주호의 물길에 오른다. 장회나루에서 유람선을 타고 청풍나루까지 가는 길. 거대한 바위절벽이 시야를 가득 채우더니 이내 뱃머리를 비끼어 천천히 지나간다.
마치 커다란 거북이 한마리가 절벽을 기어오르고 있는 듯 한 형상으로 물 속의 바위 거북무늬가 있다고 하여 구담(龜潭)이라는 이름을 얻었다고 한다. 이 아담한 봉우리는 욕심도 많아 가깝게는 제비봉과 금수산을 끼고, 멀게는 월악산을 바라다보고 있어 충주호 수상관광 코스 중에서도 가장 빼어난 경관을 자랑하고 있다.
구담봉의 풍광을 두고 중국의 소상팔경이 이보다 나을 수 없다며 극찬한 퇴계 이황 선생의 감상은 지나친 것이 아니었나 보다. 조선 인종 때 이지번이 이곳에 머무르며 칡넝쿨을 구담의 양안에 매고 비학(飛鶴)을 만들어 탔는데 사람들이 이를 보고 신선이라고 불렀다는 이야기도 잇다. 누구라도 구담봉의 신비로운 풍경 안에서는 전설이 되는 것 같다.

희고 푸른 바위들이 힘차게 치솟아 절개 있는 선비의 모습을 하고 있는 옥순봉 장회나루에서 청풍나루까지 가는 물길에서 구담봉의 꿈결같은 풍경을 뒤로하고 계속 유람선을 달리면서 눈 앞에 빨간 교각이 매력적인 옥순대교가 보이기 시작한다. 이는 옥순봉에 거의 다 이르렀다는 뜻이다. 희고 푸른 빛을 띤 바위들이 힘차게 솟아 마치 대나무싹과 같이 보인다는데서 유래한 옥순봉은 원래 청풍에 속해있는 경승지였다. 조선 명종 때 관기였던 두향은 그 절경에 반해 당시 단양 군수로 부임한 퇴계 이황 선생에게 옥순봉을 단양에 속하게 해달라는 청을 넣었다고 하다. 하지만, 청풍부사의 거절로 일이 성사되지 않자 이황 선생은 석벽에 단구동문(丹丘洞門) 이라는 글을 새겨 단양의 관문으로 정했다는 사연이 전해진다. 훗날 청풍 부사가 그 글씨를 보고 감탄하여 단양군에 옥순봉을 내주었다는 뒷 이야기도 있다. 하지만, 자연이 선사하는 아름다운 풍광에 과연 주인이 있겠는가? 보는 이는 그저 오랫동안 잊지 않도록 두 눈과 가슴에 그 모습을 깊게 새길 뿐이다.",단양군
2,금수산,충청북도 단양군 적성면 상학1길 210,128.2568666,36.98493376,http://tong.visitkorea.or.kr/cms/resource/00/1959700_image2_1.jpg,이 산의 원래 이름은 「백암산」이라 불리던 것을 조선조 중엽 단양군수로 있던 퇴계 이황 선생께서 너무도 아름다운 경치에 감탄하여 금수산으로 개명한 산이다. 특히 가을 경치가 빼어난 아름다운 암산으로 월악산 국립공원의 최북단에 위치하고 있으며 매년 4월 초까지 얼음이 얼다가 처서가 지나면 얼음이 녹는 얼음골에는 돌구덩이를 30cm정도 들추면 밤톨만한 얼음 덩어리가 가을까지 나오고 있어 자연의 신비감을 더해준다. 산 중턱에는 바위틈에서 한해나 장마에도 일정한 수량이 용출되는 맛 좋은 물이 있어 산을 찾는 이들의 목을 적셔주고 있다. 금수산 정상부의 원경은 길게 누운 임산부의 모습을 하고 있어 옛부터 아들을 낳으려면 이 곳에서 기도를 하면 된다고 하는 이야기가 있다.,단양군
3,남천계곡,충청북도 단양군 영춘면 남천계곡로 375,128.5107839,37.04310129,http://tong.visitkorea.or.kr/cms/resource/88/1598388_image2_1.jpg,"남천계곡은 단양에서 고수대교를 건너 595번 지방도 - 가곡면 - 군간교 건너서 우회전 -  영춘방면 522 지방도 - 영춘교 건너 우회전 -  영춘면 하2리 - 왼쪽으로 남천계곡에 접어들어 소백산 국립공원 지역내에 위치하고 있으며(단양에서 25km),  물이 맑으며 아직까지는 인적이 드물어 천연림이 잘 보존되어 있는 곳으로 여름에는 울창한 수목과 계곡의 은옥같은 물이, 가을에는 단풍이 장관을 이룬다. 계곡안의 물은 전혀 오염이 되지 않아 보기드문 물고기들이 많이 서식하며 소백산 국립공원에서 조성한 야영장 2개소(2,240평)가 있다.",단양군
4,노동리 노동동굴,충청북도 단양군 노동장현로 381-21 소백산장,128.3831201,36.95307033,http://tong.visitkorea.or.kr/cms/resource/43/2917843_image2_1.jpg,"노동동굴은 천연기념물로 지정되어 있으며, 고생대 석회암이다. 동굴은 원줄봉에 위치하여 있어서 원줄굴이라고 하며, 지하수의 침투로 이루어진 공동이 확장되면서 천장이 낙반하여 커다란 광장이 이루고, 동굴의 경사가 40-50도로 대형 수직동굴 중 하나이다. 수직벽 바닥에는 뼈무덤, 토기의 파편 등이 산재되어 선조들의 피난지와 은거지로 사용되었다.현재는 동굴 환경을 보호하기 위하여 개방되지 않는다.
<출처 : 국가지질공원>",단양군
5,다리안 연성전단대,충청북도 단양군 단양읍 천동리,128.4197469,36.97083565,http://tong.visitkorea.or.kr/cms/resource/45/2917845_image2_1.jpg,"단양군의 소백산 국립공원 입구에 위치하고 있는 다리안 연성전단대는 원생대 화강편마암과 고생대 캠브리아기 장산규암이 접촉하고 있는 곳으로 둘 사이의 접촉대는 압쇄압이 발달하여 전단대를 이루고 있다. 이는 옥동단층의 일부이며, 이들 지층 간의 시간적 간격을 13억년으로 지질학적으로 매우 중요하다.
<출처 : 국가지질공원>",단양군
6,다리안계곡,충청북도 단양군 단양읍 다리안로 528-10,128.4202193,36.96355872,http://tong.visitkorea.or.kr/cms/resource/98/176498_image2_1.jpg,"* 다리안국민관광지의 명소, 다리안계곡 *다리안계곡은 다리안국민관광지에 있으며 단양에서 고수대교를 건너 계속 직진하면 6km 지점 천동동굴 경유 1km 더 올라가면 된다. 울창한 수목사이로 수정같이 맑은 물이 이끼 하나 없는 바위를 휘감으며 청량한 소리를 내고 흐르는 곳. 폭염 속에서 피서지를 찾는 사람들이라면 한 번쯤 소망해 보는 곳이다.소백산 자락 내밀한 곳을 흐르며 발만 담가도 더위가 싹 달아나는 다리안계곡 다리안 관광지 바로 옆에 계곡이 있으며 국민관광지 편익시설인 원두막, 야영장, 주차장, 매점 등이 있어 가족 피서지로 좋다. 계곡 중간쯤에 용담이라는 작은 소가 하나 있는데 이곳에서 용이 승천했다고하며 큰바위에 용이 지나간 흔적이 남아 있다고 전한다. 주변에는 단양의 명소인 3대동굴, 도담삼봉, 수상관광인 구담봉, 옥순봉, 소백산관광목장 등이 산재해 있어 한곳에 머무는 단조로움도 피하고 더위탈출도 하는 일석이조의 효과를 얻기에 부족함이 없다.* 소백산 깊은 계속을 만날 수 있는 곳, 다리안국민관광지 *소백산국립공원 진입 관문에 위치한 다리안국민관광지는 단양시내에서 7.1km 떨어진 곳으로서 소백산 깊은 계곡에서 흘러나오는 깨끗한 물줄기가 다리안 관광지를 휘돌아 흐르며 깊은 골짜기에서 배어나오는 상큼한 공기는 찾는 이의 마음을 상쾌하게 해주는 곳이다.153,835㎡ 면적에 조성된 관광지내 시설로는 원두막, 주차장, 야영장, 취사장을 비롯하여 소백산 유스호스텔이 자리하고 있어 관광휴양지로서 더할 나위없이 좋은 곳이다. 용이 승천하였다는 전설을 간직한 다리안계곡을 주위로 3대 동굴과, 소백산 등이 있어 등산과 피서, 휴양을 겸한 관광지로서 좋은 곳이다.",단양군
7,단양 감골 바람개비마을,충청북도 단양군 적성면 금수산로 784-10,128.2844145,36.97380777,http://tong.visitkorea.or.kr/cms/resource/12/2726312_image2_1.jpg,"감골 바람개비마을에서는 계획 또는 바람을 풍등에 적어 밤하늘에 띠우고, 고운 빛깔의 한지로 만든 풍등이 밝게 빛나며 밤하늘 속으로 사라져가는 모습을 보며 다시 한 번 가족의 소원을 빌어볼 수 있다. 밤에는 풍등을 날렸다면 낮에는 소원을 적은 바람개비를 만들어 보는 시간도 갖는다.",단양군
8,단양 관광특구,충청북도 단양군 단양읍 고수동굴길 3-11,128.3817415,36.98769689,http://tong.visitkorea.or.kr/cms/resource/38/1945638_image2_1.jpg,"단양 8경으로 유명한 단양은 유람선을 타고 도담삼봉과 구담봉, 옥순봉 등 충주호반의 절경을 유유자적 관람할 수 있는 관광특구다. 굽이도는 물길과 함께 사인암, 상선암 등의 선경을 감상하다 보면 신선놀음을 하는 듯 한가로운 기분도 만끽할 수 있다.소백산 국립공원은 한반도 중심에 우뚝 솟아 백두대간의 장대함과 신비로움을 엿볼 수 있는 명산이다. 소백산의 주봉인 비로봉을 비롯해 여러 봉우리를 따라 걷는 종주 코스는 많은 등산객이 사랑하는 트레킹 코스다. 가족 단위의 여행객이라면 다리안관광지, 천동관광지, 온달관광지 등의 유원지에서 여유로운 휴식을 취할 수 있다.자연을 만끽하는 캠핑, 드라마촬영지에서의 추억 만들기 등 특별한 재미가 가득한 공간이다. 사계절 모두 아름다운 단양관광특구에서는 꽃과 자연, 단양의 역사를 알 수 있는 특별한 행사가 열린다. 5월의 소백산철쭉제, 10월의 온달문화축제이다. 축제시기에 단양을 찾으면 활기찬 단양의 매력을 만끽할 수 있다. 또, 단양읍의 도전, 별곡, 상진, 고수리 일대에는 관광객을 위한 숙박 시설과 각종 편의시설이 들어서 있어 관광 도시로서 면모를 갖추고 있다.* 단양 관광특구 현황1) 범위 / 충청북도 단양군 단양읍과 매포읍 일원2) 면적 / 4,448,737㎡3) 관광특구 지정일 / 2005년 12월 30일* 단양 관광특구 시설 현황소백산 국립공원, 도담삼봉, 사인암 관광지, 고수동굴, 활공장, 유람선 선착장, 불교천태중앙박물관, 대성산 자연휴양림 등",단양군
9,단양 다리안관광지,충청북도 단양군 단양읍 소백산등산길 12,128.4208025,36.96483358,http://tong.visitkorea.or.kr/cms/resource/03/176503_image2_1.jpg,"소백산국립공원 진입 관문에 위치한 다리안국민관광지는 소백산 깊은 계곡에서 흘러나오는 깨끗한 물줄기가 다리안 관광지를 휘돌아 흐르며 깊은 골짜기에서 배어 나오는 상큼한 공기는 찾는 이의 마음을 상쾌하게 해주는 곳이다. 용이 승천하였다는 전설을 간직한 다리안계곡을 주위로 3대동굴과, 소백산등이 있어 등산과 피서, 휴양을 겸한 관광지로서 좋은 곳이다.",단양군
