,title,addr1,mapx,mapy,firstimage,overview,addr2
0,구병리아름마을,충청북도 보은군 속리산면 구병길 6,127.8712877,36.47984289,http://tong.visitkorea.or.kr/cms/resource/49/2517149_image2_1.jpg,"충청북도 보은군 속리산면에 있는 마을로 구병산 자락에 아늑하게 놓여있는 산촌마을이다. 그 지형이 소의 자궁과 같다하여 우복동(牛福洞 )으로 불려지기도 한다. 구병산 밑이 되므로 구병이라는 명칭이 생겼다. 자연마을로는 느진모기, 된모기, 웃멍어모기 등이 있다. 된모기는 산밑에 바짝 붙어있는 마을이다. 웃멍어모기는 구병리에서 으뜸 되는 마을로 모양이 소의 멍에처럼 생겼다 한다. 노송이 우거지고 산비탈에 메밀꽃이 피어나는 보은군 구병리마을은 그리 크지 않은 아담한 마을이다. 지친도시 생활에서 활력을 찾고 자연과 벗하며 한가로이 농촌을 체 험하고 싶다면 이 곳을 권한다.여느 산간 마을처럼 산자락을 개간한 밭이 주종을 이루는 이 마을은 총 6개 농가가 옹기종기 모여 팜스테이를 구성하고 도시민을 기다리고 있다. 농사 체험은 산간 마을답게 채취가 주종을 이루는데 봄에는 복분자 딸기가 여름에는 각종 버섯이 채취된다. 그리고 가을에는 머루·다래 등도 채취할 수 있다고 한다. 이곳은 특히 토속음식 체험 프로그램을 마련하고 있는데 메밀묵 만들기와 옥수수 엿 만들기를 손수 해 볼수 있다. 손이 많이 가는 메밀묵 만들기는 주부들은 물론 어린이나 남자들까지 함께 참가할 수 있다. 여러 과정을 거쳐 시식을 한다면 손수 만든 것이라 더욱 맛이 좋을 것이다.",보은군
1,구병산,충청북도 보은군 마로면 적암리,127.8621666,36.46979109,http://tong.visitkorea.or.kr/cms/resource/89/1959689_image2_1.jpg,"* 충북의 알프스, 구병산 * 
구병산은 호서의 소금강인 속리산에서 뚝 떨어져  나와 마로면 적암리와 경북과의 도계에 웅장하고 수려한 아홉개의 봉우리로 이루어진  산이다. 구병산은 속리산의 남단에 위치하여 속리산의 명성에 가려져 잘 알려져 있지  않았으나, 최근 많은 등산객이 찾고 있다. 특히 가을단풍이 멋들어진 곳으로 유명하다.   또한, 가을단풍이 기암절벽과 어우러져 장관을 이루고 있어 가을 산행지로 적격이다. 예로부터 보은 지방에서는 속리산 천왕봉은 지아비 산, 구병산은 지어미 산, 금적산은 아들 산이라 하여 이들을 '삼산'이라 일컫는다. 속리산의 명성에 가려 일반인에게는 잘 알려져 있지 않아 산 전체가 깨끗하고 조용하며  보존이 잘 되어 있는 편이다.  보은군청에서는 속리산과 구병산을 잇는 43.9km  구간을 1999년 5월 17일 ‘충북알프스’로 출원 등록하여 관광상품으로 널리 홍보하고  있다.

* 구병산 인근의 여행지 *
구병산 인근에는 다양한 볼거리가 즐비하다. 10㎞  정도 거리에 아름다운 자연과 시설물이 조화를 이룬 서당골청소년수련원이 있으며,  구병산에는 서원계곡, 만수계곡, 삼가저수지 등이 자리잡고 있다. 또한 계곡 중심에  자리잡고 있는 99칸의 선병국 고가를 비롯하여 역사의 산교육장인 삼년산성, 한국전쟁  때 폐허가 된 토골사 터가 있다. 그리고 정상은 평평하며 넓은 보은평야가 내려다  보인다. 이 산과 속리산 사이에 숨어 있는 서원계곡과 계곡 진입로 주변에 있는 속리산  정이품송을 닮은 큰 소나무를 살펴볼 만한데 전설에 의하면 정이품송의 부인으로  '암소나무'라고 불리며 수령 250년의 충청북도 지정 보호수다.",보은군
2,국립속리산말티재자연휴양림(속리산말티재자연휴양림),충청북도 보은군 장안면 속리산로 256,127.7822703,36.49020398,http://tong.visitkorea.or.kr/cms/resource/97/2770897_image2_1.jpg,"국립속리산말티재자연휴양림은 충북 보은군 장안면에 있다.
휴양림에는 산책로, 쉼터, 숙박시설 등이 갖춰져 있다. 이 밖에 곤충 관찰 등 숲속 체험 프로그램과 장승 만들기 등 목재 문화 체험 프로그램이 마련되어 있다.
휴양림은 속리산 IC 와 가깝고, 주변에 속리산숲체험휴양마을이 있다.",보은군
3,로드넘버원촬영지,충청북도 보은군 탄부면 임한숲2길 24-5,127.8059833,36.44834808,http://tong.visitkorea.or.kr/cms/resource/32/2732532_image2_1.jpg,"개인 사유지이르모 사진 촬영시 이장님과 소유자의 허락 필요
보은에는 로드넘버원 촬영지인 임한리솔밭공원이 있다.
이곳의 소나무들은 보호수로 지정받아 체계적으로 관리되고 있다.
경치가 좋아 관광객은 물론 사진작가들의 출사지로 유명하다.
다른 지역의 솔숲처럼 야영장으로 이용되고 있지 않아 훼손되지 않았다.",보은군
4,만수계곡,충청북도 보은군 속리산면 만수길 136,127.8678098,36.49534105,http://tong.visitkorea.or.kr/cms/resource/45/2670745_image2_1.jpg,"* 산림과 맑은물이 어우러진, 만수계곡 * 충북 보은군 내속리면 만수리에 위치하고 있으며, 속리산 천황봉에서 발원한 삼가천에서 삼가저수지에 이르는 4㎞의 계곡이다. 주위의 우거진 숲과 깍아지는 듯한 바위의 절경을 감상하며 물속까지 보이는 맑고 깨끗한 물로 여름피서지로 유명하다.  주변의 볼거리로는 충청북도에서 두 번째로 큰 저수지인 삼가저수지가 있으며, 인근에는 수령이 6백∼7백 년 정도로 추정되는 정부인소나무(천연기념물)가 있다.* 만수계곡에서 등산 즐기기 *물 좋은 곳에 또하나의 즐거움으로 계곡을 끼고  산림을 유유자적하게 걷는 산보를 빼놓을 수 없다. 만수계곡에서 계곡을 따라 천황봉·경업대·신선대·문장대·중사자암·복천암·세심정을  지나 법주사까지 이어지는 길이 17㎞의 등반로가 나 있다. 이 길을 따라 등반을 하다보면  계곡과 산이 어우러져 진정한 산행의 맛을 느낄 수 있다. 오로지 계곡물소리와 산이  살아숨쉬는 소리를 들으며 걸으면 조용한 분위기에서 사색에 잠기기에는 안성맞춤이다.",보은군
5,말티재 전망대(말티고개),충청북도 보은군 속리산면 속리산로 477,127.7905055,36.49924754,http://tong.visitkorea.or.kr/cms/resource/92/2671292_image2_1.jpg,"말티고개를 한눈에 볼 수 있는 말티재 전망대. 높이 20m로 2020년 2월 개장했다.  전망대에서 바라보는 말티고개는 숲과 도로가 어우러진 독특한 풍광이 한눈에 들어온다. 자전거, 바이크 동호인들 사이에서 12 굽이 와인딩 코스로 유명한 곳으로 고려 태조 왕건과 조선 세조가 속리산 행차 때 얇은 돌을 깔아 길을 냈다고 전해진다. 길이 가파르기 때문에 초보 운전자는 각별히 주의를 기울여야 한다.",보은군
6,보은 법주사[유네스코 세계문화유산],충청북도 보은군 속리산면 법주사로 405,127.8328783,36.54109074,http://tong.visitkorea.or.kr/cms/resource/58/1731558_image2_1.jpg,"* 신라시대 문화를 현대에 만나다, 법주사 *속리산에 있는 법주사는 1400년전 신라에 불교가 들어온 지 24년째인 진흥왕 14년(서기 553년)에 의신조사가 창건됐다. 이후 776년 진표 및 영심 스님 대에 중창을 하였으며, 주선조 중기에 이르러서는 60여 동의 건물과 70여 개의 암자를 거느린 대찰로서 위용을 떨치게 되었다. 하지만 임진왜란으로 인해 사찰의 거의 모든 건물이 전소되었지만 1624년 인조 2년에 이르러 벽암 스님에 의해 또다시 중창을 하게 되었다. 경내에는 우리나라 3대 불상전 가운데 하나인 대웅보전(大雄寶殿)을 중심으로 용화전, 원통보전, 명부전, 능인전, 조사각, 진영각, 삼성각 등 8개의 전각과 일주문, 금강문, 사천왕문, 종고루, 부도전 등 5개의 부속건축물, 그리고 선원, 강원, 염불원 등 3개의 원과 또한 염화당, 용화당, 미룡당, 응주전, 사리각, 종무소를 포함한 10여 채의 요사채들이 남아 있어 도합 30여동의 건물이 조성되어 있다고 말할 수 있다.* 주요문화재의 보물창고, 법주사의 주요 문화재 *팔상전(국보)은 5층 목탑으로서 우리나라 목탑 연구에 중요한 자료가 된다. 이 팔상전은 신라 진흥왕 때에 의신이 세웠고, 776년 병진이 중창하였고, 1597년 정유재란 때 소실된 것을 1605년에 재건하여 오늘에 이르고 있다. 팔상전은 1984년에 쌍봉사의 대웅전으로 쓰이고 있던 3층 목조탑이 소실됨으로써 한국 목조탑의 유일한 실례가 된 중요한 건축물로 전체 높이가 상륜까지 22.7m 이며 현존하는 한국의 탑파중 제일 높은 것이다. 석연지(국보)는 8각의 지대석 위에 3단의 굄과 한층의 복련대를 더하고 그 위에 구름무늬로 장석을 놓아 거대한 석련지를 떠받쳐 마치 연꽃이 구름 위에 둥둥 뜬 듯한 모습을 조식한 걸작품으로 8세기경에 제작된 통일신라시대의 작품으로 보고 있다.괘불(보물)은 법주사 대웅보전 내에 소장되어 있는 대형불화로 1966년에 화성하였는데, 이 불화는 천장보살 즉 노사나 불화로 적, 록, 황, 청색의 색채가 곱고 보존상태가 양호하다.사천왕 석등(보물)은 신라의 전형적인 팔각석등의 대표적인 양식으로 조각수법으로 보아 혜공왕(765-780재위)대에 진표율사가 법주사를 중창하던 때의 작품으로 추정하고 있다. 쌍사자 석등(국보)은 신라 석등 중 뛰어난 작품중의 하나로 그 조성년대는 성덕왕 19년(720)으로 추정되고 있다. 석등의 간주석을 석사자로 대치한 이 석등은 전형양식에서 벗어난 것으로 8각의 지대석 위에 하대 연화석과 쌍사자 연화대 방석을 모두 하나의 돌에 조각한 것으로 다른 석등에 비해 화사석과 옥개석이 큰 것이 특징이다.",보은군
7,보은 서원리 소나무,충청북도 보은군 장안면 서원리,127.816612,36.48006132,http://tong.visitkorea.or.kr/cms/resource/99/220599_image2_1.jpg,"* 정이품송과 부부 사이, 정부인송 *
속리 서원리 소나무는 속리산 남쪽의 서원리와 삼가천을 옆에 끼고 뻗은 도로 옆에 있으며, 나이는 약 600살 정도로 추정된다. 높이 15.2m,뿌리 근처의 둘레 5.0m, 줄기는 84㎝ 높이에서 2개로 갈라졌으며, 전체적으로 우산모양을 하고 있다. 실제로 최근(2002, 2003)에는 정이품송의 꽃가루를 가루받이를 하여 후계목을 길러내는 사업을 시도하였다. 속리 서원리 소나무는 민속적·생물학적 자료로서의 보존가치가 높아 천연기념물로 지정하여 보호하고 있다.",보은군
8,보은 선병국가옥,충청북도 보은군 장안면 개안길 10-2,127.7901841,36.46893989,http://tong.visitkorea.or.kr/cms/resource/47/2517747_image2_1.jpg,"충북 보은군 장안면 개안길 10-2 선병국 가옥은 노블리스 오블리제의 상징이다. ‘위선최락(爲善最樂)’, 즉 선을 행하는 것이 가장 큰 즐거움이라는 가풍에 따라 관선정을 열고 전국의 인재들을 모아 가르쳤다. 주위의 어려운 사람들이 배고픔을 몰랐다고 할 만큼 선을 베푼 따뜻한 집이다. 99칸 대궐이 들어선 곳은 서원계곡 끝자락 소나무가 우거진 자리다. 집터가 하회마을처럼 연꽃이 물에 뜬 형국으로 연화부수형의 명당이다. 선병국 가옥은 1919~1921년에 당대 최고의 목수가 지었다. 사랑채, 안채 그리고 사당으로 이루어져 있다.",보은군
9,보은 속리 정이품송,충청북도 보은군 속리산면 상판리,127.8154472,36.51751257,http://tong.visitkorea.or.kr/cms/resource/80/220580_image2_1.jpg,"* 벼슬을 가지고 있는 나무, 정이품송 *충북 보은군 내속리면 상판리 17의 3번지에 서있는 수령 600년 이상으로 추정되는 소나무로 1962년 12월 7일 천연기념물로 지정된 문화재이다. 높이는 15m, 가슴둘레 4.5m, 가지의 길이는 동쪽 10.3m, 서쪽9.6m, 북쪽 10m에 이른다. 속리산으로 들어가는 길 가운데 위치하여 동쪽으로 도로가 있고 서쪽엔 천황봉에서 발원한 한강 상류의 한 지류인 속리천이 흐르고 있다. 1982년부터 10여년 동안 높이 18m에 이르는 8각주형의 대규모 방충망을 설치해 이 지역에 피해를 준 솔잎혹파리로부터 보호하기도 했으며, 현재에는 밑부분에 외과 수술의 흔적이 남아 있다. 하지만 아직도 수세는 싱싱하고 나무 모습은 마치 우산을 펼쳐 놓은 듯 단아하며, 또한 벼슬품계인 정2품을 받은 나무로 속리산의 상징으로 널리 알려졌다.* 정이품송의 전설 및 설화 *1464년에 신병에 고통받던 세조가 온양온천과 속리산을 
찾아 치료를 할 때 이 나무 아래 이르러 타고 가던 연(輦)이 나뭇가지에 걸릴 것을 염려하여 “연 걸린다”라고 말하자 신기하게도 늘어졌던 나뭇가지가 스스로 하늘을 향하여 무사히 통과하도록 하였다고 한다. 또 서울로 돌아갈 때는 마침 쏟아지는 소나기를 이 나무 아래서 피할 수 있어 신기하고 기특하여 세조는 이 소나무에 정2품(지금의 장관급) 벼슬을 내렸다고 한다.* 천연기념물. 지정사유 노거수* 소유처 - 법주사(法住寺)* 수령 - 600년으로 추정* 나무 현황- 높이 15m- 가슴높이의 둘레 4.5m- 가지의 길이 동쪽 10.3m, 서쪽 9.6m, 남쪽 9.1m, - 북쪽 10m- 면적은 1158.3m2",보은군
