,title,addr1,mapx,mapy,firstimage,overview,addr2
0,갈기산,충청북도 영동군 양산면 호탄리,127.6280084,36.11211383,http://tong.visitkorea.or.kr/cms/resource/71/2753271_image2_1.JPG,"해발 585m의 갈기산은 이름 그대로 말갈기와 흡사하다 하여 이름 지여졌는데 바위가 많은 산으로 한 폭의 그림과도 같은 빼어난 자연 경관을 가지고 있으며 산기슭을 감아도는 금강 줄기와 어우러져 흔치 않은 아름다운 경관을 이룬다. 갈기대 일대의 암벽들은 산기슭을 감아 돌아 흐르는 금강 줄기와 어우러져 아름다운 산수미를 보이고 있으며, 등산 코스는 완만하게 이루어진 호탄리 들머리와 대부분 암벽으로 급경사를 이루는 학산면 지내리 들머리코스가 있으며, 또한, 이곳은 신라.백제의 격전장으로 신라 김흠운 장군의 애환이 서린 곳으로 유명하다.",영동군
1,과일나라테마공원,충청북도 영동군 영동읍 영동힐링로 248,127.7926146,36.16116674,http://tong.visitkorea.or.kr/cms/resource/76/2648476_image2_1.bmp,"과일나라테마공원은 재배된 과일의 수정부터(개화, 수정, 열매솎기, 수확 등)수확까지 모든 과정을 한번에 볼 수 있는 체험교육의 장소다.※ 과일을 활용한 다양한 요리체험 운영 : 과일피자, 사과파이, 과일쿠키, 초콜릿 등※ 과일 수확시기에 맞는 수확체험 운영 : 자두 : 7월, 복숭아 : 7~8월, 포도 8~9월, 사과 9~10월, 배 9~10월※ 과일나무 분양 : 자두, 복숭아, 포도, 배※ 유치원, 초등학교, 중학교 체험학습 가능",영동군
2,난계 박연선생 생가,충청북도 영동군 심천면 하고당1길 14-17,127.7024322,36.21799475,http://tong.visitkorea.or.kr/cms/resource/45/764645_image2_1.jpg,"난계 박연 선생은 고려 우왕 4년인 1378년 8월 20일 이곳에서 출생 태종 5년(1405년)인 28세에 생원이 되었고, 34세(1411년)에 문과에 급제하여 집현전 교리, 관습도관제도, 악학별좌, 대제학 등을 역임 후 세조 2년(1456년)에 삼남 계우가 단종 복위 사건에 연루되어 화를 당할뻔하였으나, 세 임금에 봉직한 공으로 화를 면하고 관직에서 물러나 이곳으로 돌아와 살다가 세조 4년(1458년) 3월 23일 81세를 일기로 타계하였다. 선생의 업적을 기리기 위해 2000년 5월 안채(39m²), 사랑채(21.81m²)를 학술용역을 근거로 복원하였다. 생가의 평면은 정면 3칸 측면은 전 후퇴가 있는 겹집에 전면퇴에는 우물마루를 설치하고 한켠에는 부엌과 곡식창고를 부설한 고미 반자에 우진각의 기와지붕으로 되어 있으며 부속 채는 1동으로 외양간, 광과 방 1칸인 초가지붕으로 되어있다.",영동군
3,노근리평화공원,충청북도 영동군 황간면 목화실길 7,127.8805776,36.21354569,http://tong.visitkorea.or.kr/cms/resource/34/2733434_image2_1.jpg,"1950년 한국전쟁 당시 민간인 피해사건이 있었던 노근리쌍굴다리와 노근리사건을 추모하고 인권과 평화를 기념하기 위해 만든 노근리평화공원이 있는 공간이다.
노근리평화공원에는 노근리평화기념관과 교육관, 위령탑, 조각공원, 50년대생활관, 방문자센터, 평화의 쉼터, 야외전시장 및 야외공원으로 되어 있다.",영동군
4,도란원 샤토미소,충청북도 영동군 매곡면 유전장척길 143,127.9366954,36.1921297,http://tong.visitkorea.or.kr/cms/resource/38/2609138_image2_1.jpg,"충북 영동에 있는 도란원 샤토미소는 캠벨포도를 직접 재배하고 있는 농가형 와이너리다. 캠벨은 한국에서 가장 많이 재배되는 품종으로, 이곳에서는 우리 입맛에 맞는 신토불이 와인, 한국 고유의 와인을 만들어 내고 있다. 2009년 와이너리를 준공하였고, 이후 체험장, 와이너리 증축을 거쳐 2019년 ‘찾아가는 양조장’에 선정되었다. 도란원 샤토미소에서는 샤토미소 와인을 이용한 칵테일 만들기, 나만의 와인잔 꾸미기 등의 체험을 할 수 있다. 충북 영동은 포도 농사를 위한 환경 조건이 잘 갖추어져 있어, 와이너리를 쉽게 찾아볼 수 있다. 영동와인터널을 비롯해 40여 농가 와이너리(포도주 양조장)를 체험하는 농가체험형 와이너리 투어를 선보이고 있으니, 주변 와이너리를 함께 방문하면 특별한 여행의 경험이 될 것이다.",영동군
5,도마령,충청북도 영동군 용화면 조동리,127.8115184,36.06239499,http://tong.visitkorea.or.kr/cms/resource/30/758430_image2_1.jpg,"도마령은 영동군 황간에서 전북 무주로 넘어가는 고갯길이다. 도마령 고갯마루 주차장에 차를 세우고 나무계단을 올라가면 상용정이 있다. 도마령이 해발 800미터고 상용정이 해발 840미터다. 길이 고개 양쪽으로 나누어졌다. 도마령은 '말을 키우던 마을', '혹은 칼 찬 장수가 말을 타고 넘던 고개'라는 데서 유래한 이름이다. 도마령을 중심으로 주변에 천만산, 각호산, 민주지산 등이 있다. 이들 모두 1000미터 안팎의 높이다. 그 사이를 비집고 산을 넘는 길이 바로 ‘도마령’이다.",영동군
6,물한계곡,충청북도 영동군 상촌면,127.8730686,36.05761331,http://tong.visitkorea.or.kr/cms/resource/86/764686_image2_1.jpg,"해발 1,242m의 민주지산은 한반도의 등줄기인 태백산맥에서 분기하여 남서로 뻗어내린 소백산맥의 추풍령에서 내려섰다가 다시 기개를 일으키면서 형성된 산으로 충북 영동, 경북 김천, 전북 무주의 3도에 걸쳐있는 삼도봉과 북으로 석기봉, 민주지산, 각호산으로 해발 1,100~1,200m의 고산들이 병풍처럼 둘러쌓여 20여 km의 깊은 골을 만들었는데 이곳이 바로 물한계곡이다. 태고의 신비를 그대로 보존하고 있으며, 물이 차다는 한천마을의 상류에서부터 시작한다. 여름이면 물한계곡은 많은 피서객들이 찾아와 인산인해를 이루는 곳이다. 또한, 민주지산, 삼도봉, 각호산은 사철 등산 애호가들이 즐겨찾는 곳으로 정상을 잇는 능선에는 각종 잡목과 진달래, 철쭉 등이 자리잡고 있어 어느 계절이든 장관을 이룬다. 물한리 종점에서 삼도봉을 향하다 보면 옥소폭포, 의용골폭포, 음주암폭포 등이 있고 장군바위를 비롯 많은 소(沼)와 숲이 어우러져 더욱 시원하고 아름다움을 느낄 수 있다.",영동군
7,민주지산 자연휴양림,충청북도 영동군 용화면 휴양림길 60,127.8290086,36.05888737,http://tong.visitkorea.or.kr/cms/resource/03/764703_image2_1.jpg,"민주지산 자연휴양림은 소백산맥 줄기에 분포하는 각호산(1,176m), 민주지산(1,241.7m) 등 주변의 명산에 둘러싸여 사계절 숲의 아름다움을 만끽할 수 있는, 태고의 신비를 간직한 자연 그대로의 휴양림이다. 깨끗하게 정돈된 숙박시설, 철따라 산행의 즐거움이 달라지는 등산로, 피톤치드 풍부한 산림욕장, 건강지압을 위한 맨발 숲길, 야간조명이 갖춰진 사방댐 분수는 일상에 지친 몸과 마음을 맑게 하기에 충분하다.휴양림 관리도를 따라 조성된 산열매향수길은 고향의 향수를 느끼게 하고, 울창한 숲속의 다양한 식생은 수목에 대한 해설이 있어 가족 단위나 학생들에게 자연학습의 좋은 기회를 제공하고 있다. 또 영동의 맑은 산수로 빚은 곶감, 포도, 사과, 배, 호도, 고로쇠수액, 표고, 산약초 등 전국에서도 유명한 영동의 특산물을 만나보는 행복한 장소이기도 하다.",영동군
8,민주지산 치유의 숲,충청북도 영동군 용화면 휴양림길 60,127.8243453,36.0532046,http://tong.visitkorea.or.kr/cms/resource/59/2793759_image2_1.jpg,"충북 영동의 가장 높은 민주지산에 마련된 치유센터는 국민 건강 증진을 위해 산림청에서 지정한 산림 활용형 시설이다. 민주지산 치유센터는 4개의 지구로 구분하여 다양하게 활용된다. 이 중에서도 ‘체험 치유 지구’에서는 원적외선 반신욕을 비롯해 기계를 활용한 자율신경 검사와 스트레스 검사, 명상 테라피 등의 활동이 준비되어 있다. 족욕이나 천연 염색, 나무 액자 만들기 등 다양한 체험도 가능하다. 치유의 숲에는 총 18개 코스가 짜여 있어 선택적으로 트래킹을 즐겨볼 수 있다. 숲속의 향기를 들이마시며 초록빛깔 산림 속에서 나무 열매도 따 먹어보고, 맨발로 자연을 느끼며 걷다 해먹위에 누워 편하게 쉴 수 있다.",영동군
9,반야사,충청북도 영동군 황간면 백화산로 652,127.909412,36.28071077,http://tong.visitkorea.or.kr/cms/resource/32/1989032_image2_1.jpg,"충북과 경북의 경계를 이루는 한성봉 자락을 끼고 도는 석천 계곡변에 있는 반야사는 신라 성덕왕 27년(728년) 원효대사의 10대 제자중 수제자인 상원화상이 창건한 천년고찰이다. 뒤에 고려 충숙왕 12년(1325년) 학조대사가 중수하였다고 전하는데 극락전은 언제 중건되었는지 확실치 않으나 근래 수리하고 단청을 해서 상태가 단정하고 아담하다.동북쪽으로는 백화산이 솟아 있고 절 앞을 흘러 내리는 석천 계곡에는 폭이 50m나 되는 큰 냇물에 반석이 깔려 있고 녹수청산의 절경을 이루고 있는 망경대가 있다. 세조대왕이 속리산 법주사 복천암 법회 후에 이곳 반야사를 들렀을 때 일이다. 세조가 경내를 거닐고 있는데 어디선가 문수동자가 나타나 세조에게 가까운 곳에 좋은 약수샘이 있다고 안내하여 목욕할 것을 권하였다 한다. 문수동자의 안내를 받아 망경대에서 휴식을 취한 세조는 문수동자를 만난 것을 뜻 깊게 여겨 글을 남겼는데, 그글은 현재도 보관중이라고 한다.",영동군
10,봉유재,충청북도 영동군 매곡면 내동1길 40-2,127.9272153,36.20608905,http://tong.visitkorea.or.kr/cms/resource/42/764742_image2_1.jpg,"이 건물은 조선 중종때 안주목사를 지낸 박성량(朴成樑)을 기리기 위하여 그의 후손들이 인조 10년(1632년) 3월에 건립한 재실이다. 처음 이 건물이 세워졌을 때 현판도 달지 않고 그냥 소종재(小宗齋)라고 일컬었는데 이는 곧 대종재(大宗齋)인 흥학당 앞에 세워져서 이런 이름으로 불리었다고 한다. 그러나 후대에 이르러 세대가 멀어지고 자손이 번창하자 ""선조를 받들고 후손에 복을 준다(奉先裕后)""라는 뜻의 현판을 달고 봉유재라 했다 한다. 이 건물은 정면 4칸, 측면 2칸, 팔작지붕의 건물로 정면 2칸이 큰 대청마루를 이루고 있다.※ 목사 : 지방의 각 목(牧)을 맡아 다스리던 정삼품 외직 문관",영동군
