,title,addr1,mapx,mapy,firstimage,overview,addr2
0,교동저수지(교동생태습지),충청북도 옥천군 옥천읍 교동리 155-7번지,127.5824845,36.32011705,http://tong.visitkorea.or.kr/cms/resource/05/2717005_image2_1.JPG,"교동저수지는 농업용수를 공급할 뿐만 아니라 지역 주민과 관광객에게 산책과 명상을 함께 할 수 있도록 조성한 휴식공간이다. 
<설치년도 1962년, 유효저수량 359천 제곱미터, 유역면적 240헥타아르, 제당 133m/높이 15.2m>",옥천군
1,금강유원지,충청북도 옥천군 동이면 금강로 596,127.673722,36.27945111,http://tong.visitkorea.or.kr/cms/resource/04/876904_image2_1.jpg,충북 옥천군 동이면 금강로 596에 자리한 금강유원지는 경부고속도로 휴게소로 유명하다. 휴게소 밑으로 펼쳐지는 강줄기가 유원지인 탓이다. 휴게소가 세워지기 전부터 이 일대를 흐르는 금강 유역을 금강유원지라 불렀다. 휴게소와 인근 마을에 전력 공급을 책임지는 소수력발전소를 돌리기 위해 라바댐을 설치했는데 그 위로 푸른 강물이 넘실댄다. 밑으로는 강을 가로지르는 다리가 나 있다. 잠수교라 불리는 다리 중간에 항상 물이 차 있어 건너갈 때 주의해야 한다.,옥천군
2,금강휴게소,충청북도 옥천군 동이면 금강로 596,127.6737414,36.27950666,http://tong.visitkorea.or.kr/cms/resource/74/2717474_image2_1.jpg,"천혜의 자연환경과 첨단 건축기술이 조화된 금강휴게소는 아름답고 편리한 새로운 차원의 고속도로 휴게소로서, 자연친화적인 휴식공간과 놀이공간을 동시에 만족시킬 수 있는 대중적 공간이며, 여유를 가지고 휴식할 수 있는 고품격 공간을 두루 갖춘 휴식처다. 휴게소 내부에는 경치를 감상하며 음식을 먹을 수 있도록 야외에 테이블이 잘 갖추어져 있다.",옥천군
3,농심테마공원,충청북도 옥천군 옥천동이로 234,127.5966949,36.29970575,http://tong.visitkorea.or.kr/cms/resource/81/2990381_image2_1.JPG,"겉으로만 봐서는 공원인지 긴가민가 할 수 있지만, 공원 안으로 들어서면 예쁜 농심정(정자)가 가장 먼저 눈에 들어오고, 아름다운 경치가 주변에 펼쳐져 있다. 공원에 핀 노란꽃들은 마치 하나의 그림을 보는 듯하다. 산책로를 따라 주변 경치를 구경하며 걷다보면, 산책하시는 분들을 위해 쉴 수 있는 벤치가 마련되어 있다.",옥천군
4,높은벌,충청북도 옥천군 청성면 고당로1길,127.702797,36.28474547,http://tong.visitkorea.or.kr/cms/resource/36/758436_image2_1.jpg,"'높은벌' 혹은 '높은벼루'라고 불리는 고당리가 그 곳에 있었다. 모두 10가구가 남아 있는 높은벌 마을. 마을에서 금강이 저 아래 보인다. 방금 지나온, 까마득하게 높아 보이던 다리가 눈 아래에 있다. 산골짜기에 밭을 일구며 사는 마을. 이 마을에서 유명한 건 옻이다. 마을 뒷산에 옻나무와 참가죽나무가 아직도 많다. 해마다 봄이면 옻 새순을 따서 큰 시장에 내다 판다.  참가죽나무의 순도 밥상에 오르는 진귀한 나물 반찬이라서 심심치 않게 팔린다.
몇 해 걸러 한 번씩 옻나무 진액과 옻나무 껍질도 내다 판다. 한때 이 마을에 옻나무가 많다는 게 알려져 매년 봄에 외지 사람들이 찾아오곤 했었는데 옻에 민감한 몇몇 사람이 옻이 올라 고생한 적도 있다고 한다. 마을이 고속도로에서 빤히 보이는 곳에 있어서 고속도로 개통과 함께 초가 지붕을 다 걷어내고 새마을 지붕을 얹었는데 지금도 그대로 남아 있다. 오지라는 게 시간과 공간의 개념이 씨줄과 날줄이 되어 얽힌 과거로의 여행이라면 '높은벌' 또한 오지라 할 수 있겠다.
높은벌은 작고, 오지에 가까운 마을이다. 그러다보니 특별한 관광 편의 시설은 없다. 하지만 산 중턱에 자리하고 있는 마을에서 내려다보는 금강 풍경이 아주 멋있다. 오르막길 입구부터 마을까지 걸어 올라가는 10~20분 정도의 시간과 마을 내를 돌아보는 시간 20분 정도면 충분하다.",옥천군
5,대성사(옥천),충청북도 옥천군 옥천읍 지용로 142,127.5907283,36.31674814,http://tong.visitkorea.or.kr/cms/resource/21/2726321_image2_1.jpg,"대성사는 충북 옥천군 옥천읍 교동리에 위치하고 있는 한국불교 태고종에 소속되어 있는 사찰이다. 일반적인 사찰의 경우 초하루, 보름에 법회가 열리지만 대성사에서는 매주 일요일마다 법회가 열리고 있다. 이 법회에는 주변의 불자들도 참여하지만 전국에서 찾아온 수많은 선남선녀들이 대웅전을 가득 메우게 된다. 다른 사찰에서 보기 드문 광경이다. 대성사 주지인 혜철 스님의 남다른 노력에 의한 결과다. 어떤 사찰은 참선을 위한 도량으로 외부와 격리된 채 존재하기도 하지만 대성사는 참선과 더불어 대중에게 다가가기 위한 노력을 게을리하지 않고 있다. 이런 노력의 하나로 사찰 홈페이지에 중매카페를 개설했다. 결혼 적령기를 넘기고도 마땅한 연결고리가 없어 결혼 상대를 찾지 못하는 불자가족들이 의외로 많다는 데 착안해 만든 카페였다. 이 결과 많은 선남선녀들이 인연을 찾게 되었고, 서로의 인연을 찾지 못했다 하더라도 그들의 삶에 새로운 활력을 불어넣기에는 충분한 것이었다.대성사의 혜철스님은 인연을 맺어주는 만남 주선 이외에도 대중에게 다가가기 위한 여러 일들을 진행하고 있다. 수시로 교도소, 경찰서, 군부대 등 다양한 곳을 찾아가 부처님의 가르침을 전해 더 많은 이들이 부처님의 가르침을 따를 것을 설파하기도 하며, '대중과의 만남'을 주제로 산사음악회를 개최하기도 했다. 특히 3회 산사음악회는 종교간의 이해와 화합을 위해 천주교 옥천성당과 공동으로 진행해 옥천군의 축제의 장을 마련해 주목을 받은 바 있다. 또한, 불교의식을 대중문화로 승화시키기 위한 작업의 일환으로 유등축제를 개최하고 있다. 유등축제는 옥천 주변의 대청호에서 개최하는데 축제가 벌어지는 날에는 화려한 법등과 호수에 비춰지는 그림자가 어우러져 일대의 장관을 이룬다고한다. 많은 옥천군민들에게 하나의 즐거운 축제를 선사한 것이며, 이는 대중에게 다가가기 위한 대성사의 신념을 잘 보여준다 할 수 있다.* 대성사의 볼거리 *사찰에는 대웅보전·범종각·요사 2동의 건물이 있고, 미륵불상·5층석탑을 비롯해 사적비·공덕비·공로비 등의 석물이 있다. 1979년 건립된 대웅보전은 정면 3칸·측면 2칸 규모의 겹처마 팔작지붕 건물로 익공식 공포를 구성했으며 내부 천장은 빗천장과 더불어 우물천장으로 되어 있다. 2층 구조로 겹처마 사모지붕의 건물인 범종각은 대성사의 정문 역할을 하고 있으며 아래층에는 통로 양편에 부조로 조각한 사천왕상이, 위층에는 1987년 제작한 범종이 있다. 범종각을 지나 경내로 진입하면 왼편으로 요사 건물이 있고, 정면의 낮은 석축을 따라 오르면 1972년 조상한 미륵불 입상과 1982년 조성한 5층석탑(금강보탑), 대성사 사적비, 대성사 금강보탑 건립 공덕비, 공로비 등이 대웅전 앞쪽으로 배치되어 있다.",옥천군
6,만양정육점,충청북도 옥천군 옥천읍 마암로1길 5,127.5665312,36.29287266,http://tong.visitkorea.or.kr/cms/resource/77/2717477_image2_1.jpg,세월의 흔적이 선명히 보이는 외관에 눈길이 가는 만양정육점은 드라마 괴물에서 등장한 장소로 드라마 속 장면들을 떠올리기에 좋은 곳이다.,옥천군
7,배바우청정마을,충청북도 옥천군 안남로 495,127.6763057,36.35704785,http://tong.visitkorea.or.kr/cms/resource/68/2846268_image2_1.png,"배바우청정마을은 천연자연인 대청호 인근 옥천군 동북쪽에 위치한 마을로 대청호 수질보호구역에 위치한 청정마을이다. 
대청호의 시원한 자연, 금강의 풍부한 관광자원과 마을주민들의 넉넉한 인심이 묻어나는 배바우청정마을에서는 친환경농업을 실천하고 자연의 아름다움을 보존하고자 한다.",옥천군
8,부소담악(추소정),충청북도 옥천군 군북면 추소리 519-1,127.5579998,36.34823007,http://tong.visitkorea.or.kr/cms/resource/57/2717457_image2_1.jpg,"* 호수 위에 떠 있는 병풍바위, 부소담악 *충북 옥천군 군북면 부소무늬마을에 가면 부소담악이라는 절경을 만날 수 있다. 부소담악은 물 위로 솟은 기암절벽인데, 길이가 무려 700m에 달한다. 조선시대 학자 송시열이 소금강이라 예찬한 추소팔경의 마지막을 장식하는 절경이다. 부소담악은 처음부터 물가 절벽이 아니었다. 본래 산이었지만 대청댐이 준공되면서 산 일부가 물에 잠겨 물 위에 바위병풍을 둘러놓은 듯한 풍경이 되었다. 부소담악의 장관을 제대로 바라볼 수 있는 곳이 추소정이다. 정자에 오르면 용이 호수 위를 미끄러지듯 나아가는 형상이 선명하게 보인다. 날카롭게 솟아오른 바위와 깊이를 가늠할 수 없는 호수가 가슴을 서늘하게 하지만 수천 년 세월을 간직한 자연의 신비가 더욱 크게 다가온다. 부소담악의 능선을 따라 산행을 할 수도 있다. 협소한 능선길 아래는 시퍼런 물이 악어처럼 입을 벌리고 있는 아찔한 낭떠러지다.",옥천군
9,상춘정,충청북도 옥천군 청성면 산계리 1115-39,127.7643821,36.32348382,http://tong.visitkorea.or.kr/cms/resource/33/2793433_image2_1.jpg,"옥천 동쪽을 굽이쳐 흐르는 보청천 한가운데 자리한 정자다. 1970년대에 건립된 현대 건축물이지만 주변 풍광이 매우 빼어나 옥천을 대표하는 비경으로 꼽힌다. 상춘정(常春亭)이란 이름은 ‘주변 풍경이 늘 봄과 같이 아름답다’고 하여 붙은 이름이라고 한다. 정자가 자리한 독산도 그 모양이 독특한데, 도담삼봉과 같은 석회암 봉우리로 물길 가운데 솟은 모양이 비슷하다. 보은의 속리산 자락에서 시작해 옥천 청산면으로 흘러드는 보청천은 금강으로 이어진다. 물줄기를 따라 7개의 보가 설치되어 있는데, 하천의 물이 줄어드는 시기에는 독산 아래 산성보를 건너 정자로 올라갈 수 있다. 독산이 동쪽을 등지고 있어 해가 뜰 때면 그림처럼 맑은 반영사진을 얻을 수 있다. 겨울철 은하수 촬영도 가능하다.",옥천군
