,title,addr1,mapx,mapy,firstimage,overview,addr2
0,가섭사,충청북도 음성군 음성읍 가섭길 494,127.7030557,36.96663397,http://tong.visitkorea.or.kr/cms/resource/92/1075092_image2_1.jpg,"석가모니의 10대 제자 중 수석제자로‘가섭존자(迦葉尊者)’가 있다 그는 석가 열반 후 손수 다비식을 집행한 인물로, 고행‘두타행(頭陀行)’을 가장 충실히 실천한 제자로 꼽히고 있다. 석가가 연꽃으로 들자 미소로써 답했다는 그 유명한 ‘염화미소(拈華微笑)’의 주인공이 바로 가섭이다. 한편 대승불교에는 칠불(七佛)이 있는데, 세속에서 왕위를 잇듯 부처님도 대를 이어 세상에 출현한다. 비바시불, 시기불, 비사부불, 구류손불, 구나함불, 가섭불, 석가모니불이 그것이다. 지금은 석가모니불의 시대이며 다음은 미륵불의 시대가 도래할 것이라는 것이 대승불교의 가르침이다. 즉 역사적으로 불타는 석가모니 부처님 혼자이지만, 불교 교리로는 진리를 깨달은 자가 얼마든지 있을 수 있다. 현 시대 뿐만 아니라 과거는 물론 미래에도 부처님이 등장할 것이다. 따라서 과거 칠불과 함께 현재 불, 미래 불의 사상이 더욱 비약적으로 발전하였으며, 이러한 사상은 본생담(本生譚)의 구도자상과 어울려 보살 등 대승 불교의 사상적 연원이 되는 것이다. 가섭산 정상 아래에 자리한 가섭사는 산 이름이나 절 이름에서부터 이미 이러한 대승불교의 가르침을 대변하고 있다고 하겠다.",음성군
1,감곡매괴성모순례지성당,충청북도 음성군 감곡면 성당길 10,127.6411569,37.12139834,http://tong.visitkorea.or.kr/cms/resource/10/1075110_image2_1.jpg,"감곡본당은 1896년 설립되어 100년이 넘는 역사를 간직하고 있는 곳이다. 초대 본당 임가밀로 신부는 파리 외방전교회 소속으로 1893년 서품후 받은후 바로 입국하여 그다음해인1894년 첫 본당으로 유서 깊은 교우촌,신학당이 있었던 여주 부엉골에 부임하게 된다. 하지만 본당 사목지가 북쪽끝에 위치해 있을 뿐 아니라 산지부락 이어서 본당 이전을 생각 하던중 사목 방문차 여주를 지나 장호원에 이르러 산밑에 대궐같은 집을 보고 이곳이 본당 사목지로서 가장 적합 하다는 것을 직감하게 된다. 그즉시 임가밀로 신부는 ""성모님 만일 저 대궐같은 집과 산을 저의 소유로 주신다면 저는 당신의 비천한 종이 되겠습니다. 그리고 그 주보가 매괴 성모님이 되실 것입니다."" 라고 기도 하였으며, 부엉골로 돌아가서 매괴 성모님께 끊임없이 청하였다. 당시 대궐같은 집은 명성황후의 육촌 오빠인 민응식의 집이었고1882년임오군란때 명성황후가 피신왔던 곳이기도 하다. 1896년 5월 성모성월에 그 모든 집터와 산을 매입,매괴성월인 10월7일 본당을 설립하기에 이른다. 결국 임가밀로 신부가 처음에 기도한대로 감곡본당을 성모님께 봉헌하여 이곳이 감곡매괴성모순례지성당이 된 것이다.",음성군
2,광명선원,충청북도 음성군 금왕읍 대금로 1402,127.5871768,36.98558801,http://tong.visitkorea.or.kr/cms/resource/18/2770118_image2_1.jpg,"광명선원은 충북 음성군 금왕읍에 있다. 1974년 창건된 광명사에 뿌리를 두고 있으며, 1998년 대한불교 조계종 광명선원으로 사찰 명칭을 변경하였다. 사찰에는 대웅전을 비롯해 요사채, 공양간, 강당, 산신각 등이 갖춰져 있다. 아울러 2기의 도량탑과 영탑 공원이 조성되어 있다. 사찰은 음성 IC에서 가까운 거리에 있다.",음성군
3,금석저수지,충북 음성군 금왕읍 육령리 461-1,127.6130993,36.99068789,http://tong.visitkorea.or.kr/cms/resource/38/2770138_image2_1.jpg,"금석저수지는 충북 음성군 금왕읍에 있다. 금왕읍에는 금석저수지 외에 무극저수지와 용계저수지가 있는데, 이들 저수지를 삼형제 저수지라 일컫는다. 금석저수지는 풍경이 좋아 나들이 삼아 둘러보기 좋은 곳이다.",음성군
4,꽃동네제빵소(꽃구움),충청북도 음성군 원중로1119번길 42 꽃동네학교,127.5663341,36.8905819,http://tong.visitkorea.or.kr/cms/resource/84/2822184_image2_1.jpg,"'꽃동네제빵소'는 2001년 장애 학생의 교육을 위하여 개교한 꽃동네학교에서 장애 학생들의 직업 훈련과 자립을 위하여 세워진 꽃동네학교 학교기업(2012.개관: 제과제빵분야)과 연계한 지역주민사업체로 음성군 관광기념품 사업을 신청하여 2021년 음성군 관광두레 주민사업체로 선정되었다.
'꽃동네제빵소'는 HACCP 시설을 갖추어 60여 종의 제과제빵 제품을 생산하며 꽃동네학교 교사, 재학생, 졸업생, 꽃동네학교 학교기업에 취업하여 근무 중인 근로자(꽃동네학교 졸업생)로 구성되었다. 구성원간의 활발한 협의를 거쳐 '꽃구움'이라는 브랜드명을 개발하였으며 꽃같이 아름다운 사람들에게 위로와 용기와 힘을 북돋아 주는 제품을 기획하였다. '꽃구움'의 대표 상품으로는 당일 로스팅한 신선한 원두로 제작한 드립커피(12g)와 꽃향기가 가득한 원두커피(250g), 무방부제, 무유화제, 무색소 건강한 재료로 만든 쿠키가 있다.",음성군
5,꽃절(화암사),충청북도 음성군 원남면 보덕로 330,127.6345805,36.89949323,http://tong.visitkorea.or.kr/cms/resource/38/1944738_image2_1.jpg,"꽃절(花寺) 천연석굴은 덕정리 사향산 중턱에 있다. 좌측 석굴벽에 花寺(꽃절)이라는 명문이 음각자로 새겨져 있고, 동굴 중앙 석조대좌(石造臺座)앞면의 조각 기법은 원시불교의 세계를 단순하며 투박하게 그려 졌으며, 양 옆면의 조각은 거신광(擧身光)을 나타냈다. 석굴 안에 옹달샘 석정(石井)이 있으며 석굴 앞에 거북 바위(龜石)가 있다.* 연혁 *이 꽃절(花寺) 은 고려시대부터 내려왔다고 전해지며, 꽃절[花寺]에 대한 기록은≪조선보물고적자료≫≪전국유적목록≫≪문화유적총람≫≪충좌도각읍지도 1777 ,備邊司印方眼止圖(서울대규정각)≫≪조선후기지방지도1872)≫등 고증 문헌자료, 지도 등에 기록되어 있다. 1937년에 김승원이 꽃절(花寺)를 청진암(淸眞庵)으로 변경하여 창건하였고, 1981년 신도회에서 청진암(淸眞庵)을 화암사(華庵寺)로 바꾸었다. 2000년도에 화암사(華庵寺)는?덕정리 442-1번지로 이사하여 원래대로 꽃절(花寺)이 되었다.",음성군
6,매산마을 담장벽화,충청북도 음성군 감곡면 성당길 10,127.6412208,37.12159554,http://tong.visitkorea.or.kr/cms/resource/13/2793513_image2_1.jpg,"충청북도 음성군 감곡면에 자리 잡은 매산마을은 서울과 경상도를 잇는 교통의 요지로 한때 관문 역할을 했던 곳이다. 이러한 마을의 이야기를 정겨운 그림과 글로 담아낸 담장 벽화는 매괴 성당으로 가는 길을 따라 이어져 있다. 벽화를 그린 주인공은 근처에서 궤짝 카페를 운영하는 화가와 그의 딸이다. 이들은 오래되고 낡은 마을 담벼락에 아랫마을과 안골, 윗동네 점말에 전해지는 다양한 이야기들을 소재로 그림을 그렸다. 옛 양수기에서 마을 아이들이 신나게 물놀이를 했던 모습이나 밤마다 도깨비들의 장난으로 괴이한 일들이 벌어졌다는 안골 골짜기, 마을 사람들이 옻이 오르면 목욕을 해서 깨끗하게 나았다는 옻샘 등 평범한 우리네 추억들이 보는 이들의 마음까지 따스하게 물들인다.",음성군
7,무극전적 국민관광지,충청북도 음성군 음성읍 생음대로 594,127.6469529,36.95133471,http://tong.visitkorea.or.kr/cms/resource/92/1076192_image2_1.jpg,"6ㆍ25 전쟁 당시 격전지였던 곳으로써 남한이 최초로 승전하여 국군의 사기를 드높였으며 그날의 용전분투한 장병들의 공훈을 기리기 위하여 1985년 6월 8일 국민관광지로 지정되었으며 전투 상황을 살펴보면 1950년 7월 4일, 감우재와 무극리 일대에 침입한 적군을 아군 제6사단 7연대 및 제1사단 11연대가 합동작전으로 7월 9일까지 5일 동안 4차례의 밀고 밀리는 치열한 공방전 끝에 침공해오는 600여 명의 적을 무찔러 적군의 남하를 차단시켰다고 한다.* 규모 - 면적 18,479㎡ (5,590평)",음성군
8,미타사(음성),충청북도 음성군 소이면 소이로61번길 164,127.7300814,36.95537465,http://tong.visitkorea.or.kr/cms/resource/30/1076330_image2_1.jpg,"미타사는 신라 진덕여왕때 원효대사가 창건하였다고 전하는데 이를 확인할 수 있는 문헌자료나 유물자료는 없다. 현재는 전통사찰로 극락전, 삼성각, 선실, 요사채 및 3층 석탑 등이 있다.

* 음성 미타사 마애여래입상(충청북도 유형문화제/1982.12.17 지정)
고려후기의 작품으로 추정되는 미타사 마애여래입상은 미타사를 향하여 산을 오르다 보면 지장보살성지를 지나서 미타사에 다다르기 전 서쪽에 있는 바위벽에 동쪽을 향하여 조각된 마애불상이다. 이 마애불은 거대한 바위의 수직한 편편한 면에 마애불 주변을 깍아 냄으로써 입상을 부조하였다. 자연 암벽을 이용하여 불신을 도드라지게 새겼는데, 머리와 어깨 부분을 깊이 새겨 상반신의 입체감을 부각시켰다. 전체 높이 4.05m이며 민머리 위에 있는 상투 모양의 높은 머리묶음, 부피있는 네모난 얼굴, 눈·코·입의 처리 등에서 형식화가 뚜렷이 진행되고 있다. 옷은 왼쪽 어깨에만 걸치고 주름은 사선으로 흐르고 있다. 오른손은 밑으로 내렸고, 왼손은 들어 가슴 앞에 댄 모습으로 당시 불상 양식을 잘 표현하고 있다. 평판적인 신체, 직선적인 윤곽, 여기에 얇게 빚은 듯한 계단식 옷주름, 옷자락 등에서 통일신라 후기 거구의 불상양식을 계승한 고려 중기의 작품으로 추정된다.

* 지장보살입상
지장보살입상은 중생을 다 제도하지 않고서는 성불하지 않겠다고 지옥문에서 중생을 제도하고 모든 중생이 백팔참회를 통해 다생겁래의 업장을 없애고 성불하기 바라는 뜻에서 높이 108척(41m)의 동양최대의 지장보살이라고 한다.",음성군
9,반기문 유엔사무총장 생가마을,충청북도 음성군 원남면 행치길 17-1,127.6646724,36.89221128,http://tong.visitkorea.or.kr/cms/resource/40/2517740_image2_1.jpg,"반기문 유엔사무총장 생가마을인 행치마을은 보덕산이 좌우에서 감싸안고 있으며, 온화하고 정겨운 느낌을 주는 마을로 생가, 기념관, 평화랜드 및 선영과, 사당, 돌로 만든 세계도(족보), 기념시비, 연못 등이 있다. 초가삼간 흙벽집이었는데, 1970년대 새마을 사업시 스레트지붕으로 개조되었고, 2002년 3월 경에 철거되었다. 생가는 예전의 사진자료를 바탕으로 2010년 복원되었다.",음성군
