,title,addr1,mapx,mapy,firstimage,overview,addr2
0,공전자연학교,충청북도 제천시 봉양읍 의암로 345,128.0799649,37.1142267,http://tong.visitkorea.or.kr/cms/resource/44/1940944_image2_1.jpg,"작문화예술협동조합은 폐교인 공전학교와 폐역인 공전역을 새롭게 단장하여 효소를 중심으로 한 공전자연학교와 힐링 편백나무로 조각을 체험하는 우드트레인을 운영하고 있다. 오미자 오가피 과일 매실, 각종약초 등 갖가지 효소체험과 효소로 반찬으로 한 효소자연밥상으로 유명하다. 효소는 수년간 효소를 연구한 안영숙 교장선생님이 직접 효소를 담그고 보관하는 방법을 강의해 준다.",제천시
1,김세균판서고가,충청북도 제천시 한수면 미륵송계로 1588-1,128.0802965,36.88199785,http://tong.visitkorea.or.kr/cms/resource/01/2793701_image2_1.jpg,"충청북도 유형문화재인 이 가옥은 조선 후기 이조판서를 지낸 김세균의 소실이 살던 집으로 전해지고 있다. 충주댐이 건설되면서 1983년 이곳으로 옮겼으며, 현재 충청북도 유형문화재로 지정이 되어있다. 원래는 안채와 사랑채로 나뉘어 있었으나 안채는 무릉리에 옮겨 짓고 지금은 사랑채만 남아 있다. ㄱ 자형 구조로 가옥의 규모나 양식으로 보면 조선시대 사대부가의 생활을 살펴볼 수 있다. 덕주산을 배경으로 높은 축대에 자리해 있어 돌계단을 올라 일각문을 지나면 멋진 자태를 들여다볼 수 있다.",제천시
2,"능강계곡, 얼음골",충청북도 제천시 수산면 옥순봉로 1185,128.1970775,36.9867241,http://tong.visitkorea.or.kr/cms/resource/39/176439_image2_1.jpg,"* 여름에 얼음이 어는 곳, 능강계곡,얼음골 *
얼음골에서 청풍면으로 향하면 넓고 시원한 청풍호반을  만나게 된다. 청풍문화재단지에 이르기 전인 청풍호반의 청풍대교를 건너지 않고  좌회전하여 청풍호를 오른편에 끼고 산중턱의 포장도로를 10여분쯤 달리면 ES리조트(콘도)를  만나고 이곳을 지나 정방사라고 알리는 이정표식과 함께 왼쪽으로 금수산에서 발원하는  능강계곡을 만나게 된다. 능강계곡의 발원지는 수산면과 단양군 적성면의 경계에 서 있는 금수산(1,016m)의 서북사면 8부쯤으로 이곳에는 삼복염천에만 얼음이 나는 빙혈이 있다. 울창한 소나무숲 사이로 맑은 물이 굽이치고 깎아 세운 것 같은 절벽과 바닥까지 비치는 맑은 담(潭), 쏟아지는 폭포수 등이 어우러져 절경을 이룬다. 이곳은 지대가 높고 남북을 가로막아 종일 햇볕이 드는 시간이 짧아 겨울철에 바위가 차가워지고 물이 얼어 삼복지경에도 얼음이 나는 곳이라 하여 얼음골 또는 한양지라  한다. 초복에 얼음이 제일 많고, 중복에는 바위틈에 있으며, 말복에는 바위를 들어내고 캐내어야 하며 이곳의 얼음을 먹으면 만병통치라하여 많은 피서객이 모여든다. 이곳 한양지에서 발원하여 능강계곡을 흐르는 물길은 청솔로  우거진 숲 사이로 차고 맑은 계류가 굽이쳐 돌아 흐르면서 계곡의 양쪽에 병풍을 두른 듯한 곳이 있는가 하면 꿈속을 노니는 것 같은 곳도 있다. 이십리 물길을 흘러 청풍호로 흘러든다. 계곡의 왼쪽 능선에는 신라 문무왕 의상대사가 창건한 정방사가 있어 산사아래 청풍호를 내려다볼 수 있다. 

* 얼음골의 특이한 기상현상의 이유는? *
얼음골과 같은 곳의 특이한 기상현상은 기상관광의  대상이 되는데, 지질학상 이러한 지형을 애추(崖錐,talus 혹은 scree)라고 한다. 단애면으로부터 중력에 의해 떨어지는 풍화 산물이 단애 밑에 쌓여 만들어진 지형을  애추라고 한다. 얼음골에서 냉기가 나오는 곳은 이 애추 사면인데 주로 주빙하 기후 하에서 풍화작용에 의해 발달한 화석지형으로서, 구성물질이 모난 바위덩어리로 되어 있다. 여름철에 이 애추사면에 산사태가 발생하여 도로의 교통을 방해하기도 한다. 이와 같이 결빙현상이 계절과 정반대인 이유는 암석 속에 틈이 많이 생기기 때문이다.",제천시
3,덕동계곡,충청북도 제천시 백운면 화당로2길 19,127.9878465,37.17213498,http://tong.visitkorea.or.kr/cms/resource/35/176535_image2_1.jpg,"덕동리의 덕동계곡은 백운산(1,087m)과 십자봉(984.8m)에서 발원하여 원덕동까지 5㎞에 걸쳐 흐르는 계곡이다. 주변의 용하구곡이나 송계계곡에 비하면 규모도 작고 알려지지 않았지만 아름다운 기암과 울창한 숲, 차고 깨끗한 물은 그 어느 곳에 못지않다. 그렇기 때문에 제천 사람들이 꼭꼭 숨겨놓고 한 여름철이면 찾는 피서지이다. 이 계곡에서는 주민들에 의해 일체의 어로 행위를 금지하고 있다. 덕동계곡은 군데군데 이동 화장실과 작은 주차공간이 마련되어 피서객들의 편의를 돕고 있다. 계곡은 주민들의 보호 활동으로 맑은 물을 유지하고 있다.",제천시
4,덕주사(제천),충청북도 제천시 한수면 미륵송계로2길 87,128.0986788,36.86196161,http://tong.visitkorea.or.kr/cms/resource/94/2550994_image2_1.bmp,"대한불교 조계종 제5교구 본사인 법주사(法住寺)의 말사이다. 구전으로 587년(진평왕 9)에 세워졌다고 전해진다. 더불어 신라의 마지막 공주인 덕주공주(德周公主)가 마의태자(麻衣太子) 일행과 이곳에 들렀을 때 이 절을 세워 절 이름을 덕주사라 하고, 골짜기 이름을 덕주골이라고 하였다는 전설도 전해지고 있다. 그러나 정확한 역사적 자료가 남아있지 않아 창건자와 창건 연대는 미상이다. 그때 지은 사찰은 보물 덕주사 마애불 앞에 세워졌었는데, 6 ·25전쟁 때 훼손되었다. 현재의 건물은 원래의 사지에서 1.7km쯤 떨어진 곳에 1970년에 중창된 것이다.",제천시
5,무암사,충청북도 제천시 금성면 청풍호로39길 285,128.2055421,37.03070254,http://tong.visitkorea.or.kr/cms/resource/54/176554_image2_1.jpg,"제천에서 82번 지방도를 따라 청풍방면으로 18km를 가면 좌측의 도로변에 금성면 성내리 마을이 나타난다. 마을에서 동쪽으로 난 계곡을 따라 오르면 마치 상쾌한 풍광을 느끼며 계곡의 좌편으로 까치성산이, 우편으로 동산이 길게 능선을 드리우고 있는 깊은 품 안에 무암사가 자리하고 있다. 정확한 창건 연대와 창건자는 알 수 없으며, 조선 시대 이전에 건립된 것으로 알려져 있다. 절에서 서남쪽 위치에 암봉이 하나 있는데 늙은 스님을 닮았다 하여 노장암(老丈巖)이라 불린다. 이 암봉이 안개가 드리워졌을 때에만 보인다 하여 무암사라고 한다. 풍수설에 따르면 절 입구에 중의 형상을 한 바위가 있으면 그 절의 사맥(寺脈)이 끊기지 않고 식량도 넉넉하다고 한다.사찰 지붕의 망와(望瓦)를 살펴보면 조선시대인 1740년(영조 16)에 중창했다는 사실을 알 수 있다. 현존하는 당우로는 극락전, 칠성각, 산신각, 요사채, 객실, 수호실 등이 있으며, 극락전에는 목조아미타불좌상과 후불탱화(後佛幀畵), 지장탱화(地藏幀畵)가 보존되어 있다. 부도 4기와 불기류, 촉대와 위패 등이 문화재로 지정되어 있고, 4기의 부도 중 수월당(水月堂) 부도는 조선시대의 것으로 1959년에 발견되었다. 특히 우부도(牛浮屠)는 창건 당시 목재와 기와 등을 운반하던 소가 죽자 그 사리를 모아 세운 사리탑으로 이 주변을 소부도골이라 한다.또한, 대웅전 전면의 기둥은 수령 1,200년을 넘는 싸리나무의 기둥이라 하여 보존 가치가 높다. 절 건너편에는 큰 암석이 있는데 청명한 날씨에는 산과 암석이 일체로 보여 바위의 모습이 보이지 않으나 운무가 산을 덮으면 암석이 뚜렷하게 보일 뿐 아니라 노승이 팔짱을 끼고 서 있는 모습과 같다 하여 무암사라 칭하였다고 한다.* 죽은 소에서 나온 사리를 보관하고 있는 부도 *무암사에는 2개의 부도가 있는데, 그 중 한 개가 소의 부도로 죽은 소에서 나온 사리를 보관하고 있어 유명하다. 또한 부도에는 의상대사와 소에 대한 전설이 전해 내려오고 있다. 의상대사가 무림사를 세우려고 아름드리 나무를 잘라 다듬어 힘겹게 나르고 있을 때 어디선가 소 한 마리가 나타나 목재를 운반하여 주었다. 그 덕에 손쉽게 절을 세울 수 있었다. 이 소를 극진히 위해 주었으나 얼마 뒤 소가 죽었다, 이를 안타깝게 여겨 화장을 하였더니 여러 개의 사리가 나왔다. 소의 불심에 감동한 대사는 사리탑을 세우고 사람들은 무림사를 우암사(牛岩寺)라 부르게 되었다 한다.",제천시
6,박달재,충청북도 제천시봉양읍 원박리,128.0572966,37.14452834,http://tong.visitkorea.or.kr/cms/resource/52/2639052_image2_1.jpg,"제천시 봉양읍과 백운면을 갈라 놓은 험한 고개를 박달재라 한다. 그 옛날 박달도령과 금봉낭자의 애절한 사랑 이야기가 전설로 전해져 내려오는 고개로써 제천시 에서는 박달도령과 금봉낭자를 캐릭터화하여 ""박다리와 금봉이""로 명명하여 각종 캐릭터 상품 개발 및 홍보에 심혈을 기울이고 있으며 고개 입구에 일주문을 건립하여 찾는 이들에게 볼거리를 제공하였고 박달재 명소화 사업도 추진하여 누구나 찾아오면 추억을 남길 수 있는 명승지로 조성하였다. ",제천시
7,박달재목각공원,충청북도 제천시 백운면 박달로 231,128.05623,37.14508937,http://tong.visitkorea.or.kr/cms/resource/48/2639048_image2_1.jpg,"박달이와 금봉이의 한풀이를 위해 박달재에 두 인물 중심의 목각 공원이 조성되어 있다. 아기를 목마태운 박달이와 금봉이가 환생한 듯 다정히 숲길을 거닐기도 하며, 성각스님의 손끝을 통해 과거에 못다한 사랑을 현대에서 실현하는 모습을 볼 수 있다. 조각들은 기다림과 그리움에 해학적으로 목이 길게 빠지거나 눈이 튀어나온 모습으로 그들의 마음이 직관적으로 전달된다. 공원 한쪽에는 수백 년 된 느티나무에 불상을 조각한 목굴암과 오백나한상 전시관이 있다.",제천시
8,박달재자연휴양림,충청북도 제천시 백운면 금봉로 223,0.0,13371919.0,http://tong.visitkorea.or.kr/cms/resource/60/176560_image2_1.jpg,"박달재자연휴양림은 150년내외의 소나무와 잡목이 공존하는 울창한숲이 기암괴석과 조화를 이르고 있다. 박달재 고개마루에는 팔각정과 옹달샘, 휴게소, 다양한 모습을한 목각공원이 조성되어 있으며, 휴양림의 산정상에서는 멀리 소백산과 월악산, 감악산을 한눈에 전망할수 있다.",제천시
9,박약재,충청북도 제천시 중말16길 5-4,128.2646226,37.13656646,http://tong.visitkorea.or.kr/cms/resource/07/1596807_image2_1.jpg,"제천 시내에 있는 전통가옥으로 진주강씨 문중에서 자녀 교육을 목적으로 조선 중기에 세운 이다. 정묘호란 때 척화를 상소한 상곡 강유(1597~1668)가 수학한 곳이다.  정면 3칸, 측면 2칸 규모의 팔작지붕집이다. 중앙은 대청마루가 있고 왼쪽에 방 2개, 오른쪽에 방 1개, 그리고 툇마루를 두고 있다. 현판문은 조선 후기의 학자 유인석의 친필이다. 1907년 강순조, 박정수, 이화중 등이 호서의병장 운강 이강년의 전투사인 《운강창의일록》을 이곳에서 편찬했다. 오랜 역사를 가진 건물이지만 보존상태가 좋은 편이다. 근처에 가볼만한 곳으로는 제천의병전시관과 자양영당, 박달재 등이 있다.",제천시
