,title,addr1,mapx,mapy,firstimage,overview,addr2
0,거꾸로천문대,충청북도 청주시 서원구 남이면 양촌길 51-8,127.4608381,36.58643439,http://tong.visitkorea.or.kr/cms/resource/12/2769612_image2_1.jpg,"거꾸로천문대는 충북 청주시 서원구 남이면에 자리 잡고 있다. 이곳은 별, 우주, 과학을 사랑하는 사람들이 모인 상상 공간이다. 어린이들과 함께 웃으며, 즐겁게 우주에 대해 탐구하는 곳이다. 또한 우주와 과학에 대해 말하고 듣고 상상한다. 천문대는 수년간 다양한 어린이들을 만나고 별을 보며 최고의 교육 커리큘럼과 최적의 관측 시설을 개발해왔다. 체험 프로그램은 기초 과정, 토론 과정, 탐구 과정, 심화 과정으로 나뉜다.",청주시
1,구녀산,충청북도 청주시 청원구 내수읍 초정리,127.6133491,36.70087122,http://tong.visitkorea.or.kr/cms/resource/57/1851957_image2_1.jpg,"* 아들 하나 딸 아홉의 전설이 있는 산, 구녀산 *구녀산(484m)은 청원구 내수읍과 미원면의 경계에 있는 산으로 가벼운 하이킹 정도로 산행을 마칠 수 있으며, 등산로 입구에는 약수목욕탕이 있어 약수를 함께 즐길 수 있다는 매력이 있다. 구녀산은 남한강의 발원지인 좌구산(座龜山, 675m)에서 남서쪽으로 북일면 우산리 및 미원면 대신리의 경계를 이루는 지역으로 삼국시대 신라와 백제가 치열한 전투를 벌였던 구녀성이 자리하고 있으며, 구녀성은 정확한 축성기록은 없으나 신라시대 백제의 낭비성(지금의 상당산성 또는 삼년산성)과 대결하기 위하여 쌓은 것으로 전하고 있다. 특히, 이곳은 민간신앙의 집산지로 출생과 무병을 기원하는 서낭지가 여러곳에 산재하고 있으며, 오랜기간 신성시 되던 곳으로 노송과 원시림이 천연상태로 보존되고 있다. 산의 내부는 성터로써 우물과 수원지의 흔적이 남아 놀이와 휴식에 적합한 공간을 형성하고 있으며, 서북쪽 미호평야와 청주의 상당산성을 바라볼 수 있는 좋은 전망을 가지고 있다.구녀산은 구라산(句羅山)이라고 불려졌으나 이곳 축성 설화와 관련하여 구녀산으로 불리고 있다. 전설에 의하면 한 어머니가 아들 하나와 딸 아홉에게 각각 한양을 다녀오고 성을 쌓도록 하여 늦은 사람이 죽도록 하는 내기를 하여 딸이 성을 먼저 쌓자 아들을 살리기 위하여 딸에게 고깃국을 먹여 늦게 쌓도록 하고 아들을 살렸다는 전설이 구전하고 있으나 이러한 전설은 우리의 민족정신으로 보아 남매간의 생사경쟁을 부모가 시켰다는 것은 납득되지 않는 이야기로 후세 일제강점기 때 일본인들의 잘못된 설화 조작이 아닌가 의심스럽게 한다. 한편, 구녀산 정상에서 서북쪽으로 내려다 보이는 곳에 세계 3대 광천수의 하나인 초정약수터가 위치하고 있다.* 구녀산에 가면 들러보자, 초정약수 *초정약수는 [약이 되고 병이 낫는다]는 신효의 물로써 세계 광천학회에서 미국의 샤스터, 독일의 아폴리나리스와 함께 세계3대 광천수로 꼽고 있으며, 조선 세종대왕이 친히 이곳에 행차하여 60일간 머물면서 안질을 다스렸으며, 세조대왕께서도 이곳에서 치료하였다는 기록이 조선왕조실록에 전하고 있다. 동국여지승람 청주목 산천조에 '청주에서 동쪽으로 39리에 매운 맛이 나는 물이 있는데 이 물에 목욕을 하면 피부병이 낫는다' 고 하였으며 이수광의 지봉유설에는 '우리나라에 많은 초수가 있지만, 그 중에서도 광주와 청주의 초수가 가장 유명하다' 고 기록하고 있어 유명세를 더하고 있다.",청주시
2,구룡산 장승공원,충청북도 청주시 서원구 현도면 하석2길 153,127.4714232,36.48734871,http://tong.visitkorea.or.kr/cms/resource/88/1959088_image2_1.jpg,2004년에 닥친 폭설로 부러진 소나무를 활용할 방법을 찾다가 마을의 안녕을 기원하기 위해 마을 주민들이 함께 장승을 만들기 시작하면서 현재는 600여 개의 장승과 돌탑으로 공원이 만들어져 있다.,청주시
3,대덕숲유원지,충북 청주시 상당구 미원면 대덕리 266-1,127.6792126,36.69942258,http://tong.visitkorea.or.kr/cms/resource/54/2769654_image2_1.jpg,"대덕숲유원지는 충북 청주시 상당구 미원면에 자리 잡고 있다. 이곳은 좌구산 자락에서 흘러내리는 맑고 깨끗한 구룡천 상류의 자연 발생 유원지다. 한여름에는 햇빛이 들지 않는 울창한 숲과 옆으로 흐르는 맑은 천이 있어 가족 단위의 피서지로 주목을 받고 있다. 유원지 주변에는 좌구산 자연휴양림, 도로줌 마을이 있다.",청주시
4,대청댐 전망대,충청북도 청주시 상당구 문의면 대청호반로 206,127.4843917,36.47966649,http://tong.visitkorea.or.kr/cms/resource/67/2769667_image2_1.jpg,"대청댐 전망대는 충북 청주시 상당구에 자리 잡고 있다. 전망대에 오르면 맑은 대청호를 조망할 수 있고, 물 홍보관에 들어가면 물에 관한 자료와 댐의 건설 및 각종 재원 등을 일목요연하게 볼 수 있는 영상시설이 마련돼 있어 수자원 학습장 역할을 한다. 전망대에서 대청교를 건너면 대전의 금강 로하스 대청공원까지 둘러볼 수 있다.",청주시
5,덕촌리 독립운동가마을,충청북도 청주시 흥덕구 옥산면 덕촌리 6-2,127.3618977,36.66254333,http://tong.visitkorea.or.kr/cms/resource/45/2733145_image2_1.jpeg,"독립운동가 정순만 선생(1873~1911)의 고향인 청주시 흥덕구 옥산면 덕촌리에 독립운동가마을이 조성되었고,독립운동가마을은 정부의 3.1운동 및 대한민국 임시정부 수립 100주년 기념 공모사업에 선정되어 청주시의 1호 마을 아카이브 사업으로 조성되었다. 정씨 문중과 주민들이 2016년 복원한 덕신 학교는 1906년 정순만 선생이 신식 교육을 위해 세운 교육기관으로 이곳에서 정순만 선생의 일대기와 청주 항일 독립운동 자료 등을 전시하고 있다. 덕신 학교 뒤편에는 조선시대 설립된 문절 영당이 있고, 문절 영당은 1769년에 세조의 즉위에 공을 세워 좌익공신 3등으로 책록 되고 하원군에 봉해진 문절공 좌찬성 정수충의 영정을 봉안한 사당이다. 영당 내부는 개방되지 않으며 외부에서만 둘러볼 수 있다. 또한 주민들이 만세 횃불 시위를 벌였던 응봉산이 뒷산에 있고 1km 길이의 애국의 길과 횃불 봉수대가 설치되어 있다.",청주시
6,망골조각공원(망골공원),충청북도 청주시 상당구 월평로 168,127.5030226,36.6110351,http://tong.visitkorea.or.kr/cms/resource/95/2769695_image2_1.jpg,"망골조각공원은 청주시 용암동의 중심에 자리 잡고 있다. 망골공원이라는 명칭은 현재는 택지개발로 사라졌지만, 개발 이전에 자리해있던 망골 골짜기에서 따왔다. 망골공원은 여러 입구로 진입이 가능하나 대표적인 출입구 두 곳에 용 조각이 설치돼 있다. 공원이 위치한 용암동의 명칭 자체가 용이 승천하였다는 용바위에서 유래되었기 때문이다. 공원 내부에는 어린이 놀이 시설, 야외무대, 족구장 등이 갖춰져 있다.",청주시
7,명암유원지,충청북도 청주시 상당구 성내로124번길 14,127.512118,36.64412313,http://tong.visitkorea.or.kr/cms/resource/21/2517721_image2_1.jpg,"* 청주에서 가장 큰 저수지, 명암유원지 *청주에서 가장 큰 저수지로 타원형으로 되어 있으며, 보트놀이를 즐길 수 있고 주변일대엔 울창한 산림과 사계절마다 특색있는 우암산 우회도로, 등산로, 청주 박물관, 우암어린이회관, 상당산성과 연결되어 시민의 휴식처로서 큰 역할을 담당하고 있다. 근처에 있는 명암약수터는 1920년대에 발견된 탄산천으로 주변의 수려한 자연 경관과 함께 탄산성분과 철분이 함유된 약수를 찾는 시민이 사철 찾던 곳이지만, 지금은 철분이 기준치 이상을 함유하여 약수로 사용을 않고 있는 실정이다. 호텔과 낚시터, 겨울에는 눈썰매를 즐길 수 있는 각종 시설이 있다.주변경관이 빼어나고, 주위에 좋은 음식을 접할 수 있는 식당가가 많아 데이트코스로도 각광받고 있으며 최근 명암타워가 준공되어 결혼식 및 각종회의 장소로 주민들이 즐겨찾고 있다.* 명암유원지 인근의 볼거리 *명암유원지 부근에 국립청주박물관·우암어린이회관·상당산성·청주동물원·명암저수지가 있고 초정약수와 운보의 집, 손병희선생 유허지, 흥덕사지, 대청댐 등이 멀지 않은 곳에 있어 이곳과 연계하여 관광을 즐길 수 있다.권하고 있다.",청주시
8,목은영당,충청북도 청주시 청원구 충청대로272번길 230-14,127.5084924,36.67734426,http://tong.visitkorea.or.kr/cms/resource/22/568222_image2_1.jpg,"* 목은 이색의 영정을 봉안하고 있는. 목은영당 *목은영당(牧隱影堂)은 조선 숙종 36년(1710년)에 창건되었으며, 1979년에 중건되었다. 본 영당에는 고려말의 문신이며 성리학자인 목은 이색의 영정을 봉안하고 있다. 목은영당 내의 건물로서 주성강당(酒城講堂, 충북 문화재자료)은 유학자들이 학문을 닦는 장소로 사용되던 곳이다. 강당 건물의 정확한 창건연대는 알 수 없으나, 창건 후 수차례의 보수가 있었으며, 1996년 지붕 및 서까래 보수공사로 옛모습에 가깝게 복원되었다. 주성강당은 정면 5칸, 측면 2칸의 기와건물로 중앙에 대청마루를 두고 좌우로 온돌방을 설치했으며, 자연석 기단위에 덤벙주초를 설치하고 네모로 된 기둥을 세웠다. 특히 대들보는 크고 고졸하며, 각 부재가 잘 남아 있어 조선시대의 목재 다루는 법을 잘 보여주고 있다.* 목은 이색 선생에 대하여 *목은 이생 선생은 고려 말의 문신·학자. 은 정몽주, 야은 길재와 함께 고려시대 삼은(三隱)의 한사람이다. 정방 폐지, 3년상을 제도화하고, 김구용·정몽주 등과 강론, 성리학 발전에 공헌했다. 우왕의 사부였다. 위화도 회군 후 창(昌)을 즉위시켜 이성계를 억제하려 했다. 조선 태조가 한산백에 책봉했으나 사양했다.",청주시
9,무심천 벚꽃 거리,충북 청주시 서원구 사직동 78-2,127.4832596,36.63986755,http://tong.visitkorea.or.kr/cms/resource/30/2769730_image2_1.jpg,"무심천 벚꽃 거리는 충북 청주시 서원구 사직동에 자리 잡고 있다. 매년 봄이 오면 무심천에 조성된 무심천 체육공원을 중심으로 벚꽃 거리가 형성된다. 이 덕분에 나들이를 나온 사람들로 축제 분위기가 연출된다. 벚꽃 거리는 서청주IC와 가까운 거리에 있다. 주변에는 국립청주박물관, 명암유원지가 있다.",청주시
10,문암생태공원,충청북도 청주시 흥덕구 문암동 100,127.4512616,36.67426025,http://tong.visitkorea.or.kr/cms/resource/11/2519311_image2_1.JPG,"문암생태공원은 1994년 ~ 2000년까지는 생활쓰레기 매립장이었지만 안정화 작업을 거친 후 2010년 도심형 테마공원으로 개장하였다. 이 공원은 생태공원, 웰빙공원, 가족공원으로 나뉘어 있으며, 생태공원에는 생태습지원, 수목원, 생태탐방로 등이, 웰빙공원에는 건강숲 체험장, 테마 웰빙숲, 농구장 등이, 가족공원에는 조깅코스, 캠핑장, 바베큐장 등이 있다. ",청주시
11,문의문화재단지,충청북도 청주시 상당구 문의면 대청호반로 721,127.4937374,36.50716073,http://tong.visitkorea.or.kr/cms/resource/50/2653450_image2_1.jpg,"문의문화재단지는 인류문명의 발달과 급속한 산업화에 따라 사라져 가고 있는 우리의 고유 전통문화를 재현하여, 조상들의 삶과 얼을 되살리고 배우기 위해 설립되었다. 4만여평의 규모의 부지 위에 지방유형문화재 제 49호인 문산관이 이전 복원되었으며 낭성면 광정리와 문의면 노현리, 부강면 부강리에서 민가가 이전되었으며 서길덕 효자각, 김선복 충신각 및 문의지역에 있던 옛 비석도 이전되어 있다. 문의문화재단지에 있는 2004년 준공된 대청호미술관에서는 대청호반 위에 있어 좋은 경치와 함께 그림이나 작품을 감상할 수 있다.",청주시
12,문의향교,충청북도 청주시 상당구 문의면 문의시내1길 11-14,127.4963897,36.51580701,http://tong.visitkorea.or.kr/cms/resource/52/1597052_image2_1.jpg,"1719년(숙종 45) 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 1915년 현재의 위치로 이건하였고, 1970년 명륜당을, 1971년 대성전을 각각 중수하였다. 현존하는 건물로는 정면 3칸, 측면 3칸의 맞배지붕으로 된 대성전과, 정면 4칸, 측면 2칸의 팔각지붕으로 된 명륜당 및 부속건물 등이 있다. 대성전에는 5성(五聖), 송조4현(宋朝四賢), 우리나라 18현(十八賢)의 위패가 봉안되어 있다. 조선시대는 국가로부터 토지와 전적·노비 등을 지급받아 교관이 교생을 가르쳤으나, 갑오개혁 이후 신학제 실시에 따라 교육적 기능은 없어지고, 봄·가을에 석전(釋奠)을 봉행(奉行)하며 초하루·보름에 분향을 하고 있다. 현재 충청북도 유형문화재로 지정되어 있으며, 전교(典校) 1명과 장의(掌議) 수명이 운영을 담당하고 있다. 소장전적은 판본 5종 6책, 사본 10종 14책 등이 있으며, 이 중 ≪교임선생안 校任先生案≫·≪청금록 靑衿錄≫·≪향학계좌목 鄕學?座目≫·≪교중약속 校中約束≫ 등은 이 지방의 향토사연구에 좋은 자료가 된다.",청주시
13,미동산수목원,충청북도 청주시 상당구 미원면 수목원길 51,127.6688767,36.62748342,http://tong.visitkorea.or.kr/cms/resource/76/2656776_image2_1.jpg,"미동산수목원은 충청북도 청주시에 있는 도립 수목원으로 선진 임업기술의 연구개발 및 보급, 생태교육 환경조성 등의 목적으로 2001년 5월 4일 개원하였으며 총면적은 94만 2000평이다. 다양한 유전자원을 수집 보전하여 식물유전자의 가치를 지속시키고 연구, 관리 전시함으로써 식물과 관련된 지식을 널리 알리고 건전한 산림환경 문화를 선도해 나가는 시설이다. 94만 1천평의 부지에 1996년부터 6년간 국고지원사업으로 60억 원을 투자 조성하여 우리지역의 정이품송 후계목 등 우수한 유전자원을 비롯하여 참나무원, 단풍나무원 등 11개원의 전문 수목원에 873종 652천 본의 식물이 식재되어 있다.미동산수목원은 전문수목원·산림교육관·식물종자은행·수목산야초연구센터·자연체험캠프 등으로 이루어져 있다. 수목원의 중심을 이루는 전문수목원은 온실·기념식수원·단풍나무원·유전자보존원·침엽수원·야생초화류원·무궁화원·애완곤충생태원 등 11개 원으로 구성되어 있다. 야생초화류원에는 수생·고산식물 등 100여 종 8만 본이 식재되어 있고, 별도의 육묘장에서는 130종 16만 본의 육묘가 자란다. 무궁화원은 무궁화통일동산으로 불리는데, 총 2만 650본의 무궁화가 식재되어 있고, 야외학습장·관찰로 등 교육시설과 편의시설이 갖추어져 있다. 애완곤충생태원에서는 나비류·딱정벌레류 등의 곤충과 기주식물(寄主植物)·흡밀식물(吸蜜植物) 등을 볼 수 있다.열린 학습의 장을 제공하고, 전통 산림문화를 수집·보존하기위해 설립된 산림교육관에는 9목 79과 328종의 곤충과 16목 36과 65종 96점의 조수 표본이 전시되어 있다. 식물종자은행에는 충청북도 내 희귀종·천연기념수 등 향토 수종 100종과 야생초화류 100종의 유전자가 전시되어 있다. 수목산야초연구센터에서는 번식 및 이용가치 분석, 다목적 자생식물원 조성 등의 연구 사업을 진행한다. 자연체험캠프는 삼림욕과 산악자전거 등을 즐길 수 있는 숲길로, 환경보호와 건강 증진을 목적으로 조성되었다.",청주시
14,미래지 농촌 테마공원(미래지 농어촌 테마공원),충청북도 청주시 청원구 오창읍 용두리 1-13,127.4042336,36.73174447,http://tong.visitkorea.or.kr/cms/resource/59/2770859_image2_1.jpg,미래지 농촌 테마공원은 충북 청주시 청원구에 자리 잡고 있다. 공원에는 가마솥 쌀밥 체험장과 목공예 체험 공간이 마련되어 있다. 아울러 캠핑장이 가까이 있어 캠퍼들의 방문도 잦다. 잘 정비된 산책로가 조성되어 있어 도보로 공원을 둘러보기 좋다. 공원 주변에는 오창저수지와 그랜드CC가 있다.,청주시
15,바른스포츠월드(주식회사 바른인),충청북도 청주시 흥덕구 남석로 535-83,127.4230995,36.59919336,http://tong.visitkorea.or.kr/cms/resource/15/2994615_image2_1.jpg,"바른스포츠월드는 한국관광공사가 주관하는 관광두레 주민사업체로, 청주의 스포츠 문화 관광을 이끌어가고 있는 액티비티 전문 센터이다. 바른스포츠월드는 어린이의 눈높이에 맞는 놀이가 최고의 교육이라는 슬로건을 바탕으로 아이들을 위한 다양한 놀이 체험 프로그램을 제공하고 있다. 여름에는 쾌적한 환경에서 영유아도 안전한 물놀이를 할 수 있는 워터풀 서비스가, 봄 가을에는 놀이 스포츠와 캠핑이 결합하여 온 가족이 함께 즐거운 하루를 보낼 수 있는 어린이 명랑 운동회가 특히 인기 있다.그 외 교육기관, 기업체, 동호회 등 단체 야유회 및 체육대회 행사 대관도 가능하다.",청주시
16,보살사(청주),충청북도 청주시 상당구 낙가산로 168,127.5361163,36.6285809,http://tong.visitkorea.or.kr/cms/resource/53/568253_image2_1.jpg,"* 청주시에서 가장 오래된 사찰, 보살사 *청주시 남동쪽의 낙가산 중턱에 자리 잡고 있는 보살사는 청주시 근교에서 가장 오래된 절이다. 567년(위덕왕 14)에 법주사를 창건한 의신이 창건하였다. 778년(혜공왕 14)에 진표의 제자 융종이 중창했고, 918년(태조 1)에 고려 태조의 5번째 아들이자 당대의 고승이었던 증통이 3번째 중창을 했으며, 1107년(예종 2)에 자정이 다시 중창했다. 1458년(세조 4)에는 세조의 명으로 중수했으며, 1626년(인조 4)에 벽암 각성(覺性)의 제자 경특이 중수하고, 1683년(숙종 9)에 일륜이 중건하여 오늘에 이른다.* 보살사의 유물과 의의 *보살사에는 청주 보살사 극락보전(충북유형문화재)을 비롯하여 명부전, 삼성각, 수각, 요사 및 부속 건물이 있다. 극락보전은 조선 초기에 세워진 것으로 조선 선조때에 중수되었으며, 내부에는 청주 보살사 석조이존병립여래상(충북유형문화재)과 지장보살상, 삼존불 등이 봉안되어 있다. 이밖에 오층석탑(충북유형문화재)과 중수비, 석탑옥개석, 동종 등이 있으며, 오층석탑은 1703년(숙종 29)에 건립된 것으로 조선 중기의 석탑 양식을 고증하는 데 중요한 자료가 된다.",청주시
17,삼일공원,충청북도 청주시 상당구 수동 산4-40,127.4953224,36.64212028,http://tong.visitkorea.or.kr/cms/resource/96/2770896_image2_1.jpg,"우암산 기슭 우회 도로변에 자리한 삼일 공원에는 3.1운동을 주도한 민족 대표 33인 중 충북 출신 여섯 분의 동상이 세워져 있다. 조국 광복을 위해 피를 흘렸던 선열들의 숭고한 넋을 기리고 그 위업을 계승하기 위해 1980년 건립된 공원은 시민들에게 민족정신의 산 교육장이 되고 있다. 동상이 세워진 충북 출신 민족 대표는 의암 손병희, 우당 권동진, 청암 권병덕, 동오 신홍식, 은재 신석구, 청오 정춘수 선생 등이다. 그러나 정춘수의 동상은 친일행각 사실이 드러나 1990년 시민들에 의해 강제 철거되고 좌대만 남아 있다.",청주시
18,상당공원,충청북도 청주시 상당구 수동 280-18,127.4911507,36.63690692,http://tong.visitkorea.or.kr/cms/resource/15/2770915_image2_1.jpg,"상당공원은 충북 청주시 상당사거리 남동쪽에 위치했다. 청주의 원도심 상권인 성안길과 인접해 있기 때문에 접근성이 매우 뛰어나다. 근처 북문로에는 젊은이들이 선호하는 카페, 맛집 등이 있어 평일 식사 시간이나 주말에는 인파가 많다. 그러나 별도의 주차 공간이 없음으로 자차 이용 시 주변의 유료 주차장을 이용해야 한다. 10,000㎡ 면적에 산책로가 조성되어 있어 성안길 일대를 찾는 사람들이 애용하는 장소이다. 공원 내부에는 충북 419학생 혁명 기념탑, 충청북도민헌장탑, 한봉수 의병장탑 등이 있다.",청주시
