,title,addr1,mapx,mapy,firstimage,overview,addr2
0,건지마을,충청북도 충주시 건지길 134 건지마을회관,127.9781628,37.01985512,http://tong.visitkorea.or.kr/cms/resource/56/2987656_image2_1.jpg,"충북 충주시 동량면에 위치한 건지마을은 전국에서 소문난 해넘이 장소이다. 늦은 오후에 연한 황금빛으로 물들기 시작한 하늘과 작지만 푸근해보이는 마을, 그 너머로 수묵화처럼 점점 옅어지는 산이 어우러진 풍경이 무척 평화롭다. 건지마을에서 가장 아름다운 석양이 마주하는 장소는 마을로 들어오는 오르막길 중간에 있다. '사진 찍기 좋은 풍경 포인트'라는 조형물과 '포토존' 표시까지 있어 찾기 쉽다. 3월 중순과 9월 중순에는 태양의 일몰 지점이 S자 모양으로 흐르는 남한강물로 떨어지는 환상적인 일몰 풍경을 볼 수 있다.",충주시
1,계명산 자연휴양림 캠핑장,충청북도 충주시 충주호수로 1170,127.9842104,36.98941984,http://tong.visitkorea.or.kr/cms/resource/86/2392686_image2_1.jpg,"소백산맥의 지맥인  계명산의 북동면에 있으며 휴양림 전면에는 충주호가 바라다 보이며 경치가 매우 아름답다. 휴양림 규모는 작지만 깨끗하고 외국의 어느 작은 마을에 온 듯한 착각을 일으킨다. 하층식생으로 잡관목이 주로 생육하고 있으며 남서 방향으로 주위의 경관이 양호한 수림대를 형성하고 있어 산림욕을 즐길 수 있는 최적지이며 가을이면 단풍도 감상할 수 있다. 주변에 수안보온천, 속리산, 단양팔경, 충주호를 연결하는 관광벨트 내의 중앙부에 위치하고 있어 관광 휴양과 연계할 수 있다. 산림속에 통나무집이 있어 도심속에서 맛볼 수 없는 새로운 정취를 자아낸다.* 구역면적 - 363 ha",충주시
2,깊은산속 옹달샘,충청북도 충주시 노은면 우성1길 201-61,127.7513247,37.02560584,http://tong.visitkorea.or.kr/cms/resource/52/2392752_image2_1.jpg,"깊은산속 옹달샘은 고도원의 아침편지 문화재단에서 설립한 아침편지 명상치유센터이다. 깊은산속 옹달샘 명산치유센터는 고도원의 아침편지가 품었던 12개의 꿈 중 하나로, 이중 가장 크게 자라고 이루어진 꿈이라 할 수 있다. 이곳에서는 누구나 참여 가능한 다양한 명상 치유프로그램이 진행되고 있다.‘깊은산속 옹달샘’의 명상프로그램으로는 걷기 명상과 하루명상, 잠깐멈춤, 단식명상, 꿈꾸는 부부학교, 꿈너머꿈 청년학교, 화려한 싱글학교 등이 있다. 또한, 대한민국 청춘들을 위한 ‘빛나는 청춘 힐링캠프’와 60대 이상의 장년층을 위한 ‘금빛 청년 힐링캠프’를 진행하고 있다. 홈페이지를 통해 프로그램 신청이 가능하다. 깊은산속 옹살샘의 ‘살아 숨 쉬는 집’인 꿈꾸는 다락방, 네잎클로버집, 꿈사다리집 등에서 숙박과 건강식을 하며 자유롭게 옹달샘을 둘러볼 수도 있다.",충주시
3,누암리신라고분군,충청북도 충주시 중앙탑면 루암리 산41,127.8627598,37.00152177,http://tong.visitkorea.or.kr/cms/resource/25/2793325_image2_1.jpg,"충청북도 충주시 중앙탑면 누암리에 석실로 만들어진 총 234기의 고대 무덤이 다량으로 발굴된 사적지이다. 고분은 대부분 도굴된 상태였지만, 짧은 굽다리접시, 바리, 합, 항아리 등 토기와 철기, 금동제 귀고리 등이 출토됐다. 금동제 귀고리 같은 유물들이 출토된 것으로 보아 사회적인 지위가 높은 사람들의 무덤이라 추정하고 있다. 천장 높이는 190cm 내외이다. 한강 유역을 점령한 진흥왕은 신라의 귀족과 부호들을 충주로 이주시켰다. 영토 확장을 위한 거점 지역으로 충주를 선택한 것이다. 당시 충주로 옮겨온 신라 사람들이 충주 누암리 고분군의 주인들이다. 누암리 고분군은 경주의 대릉원에서 볼 수 있는 크기는 아니지만, 보통 무덤보다 훨씬 큰 고분이 많다. 사적 제453호로 지정되어 관리되고 있다",충주시
4,능암온천랜드,충청북도 충주시 새바지길 37 능암온천랜드,127.8023543,37.09352395,http://tong.visitkorea.or.kr/cms/resource/61/2603261_image2_1.jpg,"* 약수물을 마시며 온천도 즐기자, 능암온천랜드 *능암온천은 약수물을 마시면서 온천욕을 즐길 수 있다는 것이 특징이다. 처음에는 약간 차갑다는 느낌이 있으나 약 2분이 지나면 온몸에 탄산방울(유리탄산)이 달라붙어 피부의 약한 부분(낭심)이 따갑게 되면서 모세혈관을 자극, 확장시키는 반응이 시작된다. 또한, 사우나의 실내온도는 항상 적정 온도를 유지하고 있지만 탄산약수물에서 나오자마자 들어오면 덜 뜨겁게 느껴지는데, 이것은 탄산천의 특징이라 할 수 있다.특히, 탄산천의 입욕은 (적정시간 약 50분 정도) 혈액순환을 왕성하게 하여주기 때문에 동맥경화, 고혈압, 당뇨병, 각종 성인병 및 부인병 등에 탁월한 효능이 있으며, 당뇨의 혈당치가 아주 현저하게 떨어지기 때문에 탄산약수를 마시며 지속적인 입욕을 하면 건강하고 활력 있는 생활을 할 수 있을 뿐만 아니라, 신장병, 위장병, 빈혈, 불면증, 비만, 변비 등에도 뛰어난 효과를 볼 수 있다.* 능암온천랜드 즐기기 *능암온천랜드에는 온천 외에도 능암온천한증막과 유앤스파탄산온천 등의 황토한증막이 있어 한증막을 즐기려는 관광객에게 좋으며, 능암관광호텔과 호텔유앤스파가 있어 숙박도 함께 할 수 있다는 것이 장점이다. 그 외에도 다양한 체험 시설과 스내그골프, 레포츠를 즐길 수 있는 시설이 구비되어 있어 단체 행사나 OT, MT 등의 장소로도 적합하다.",충주시
5,대원사(충주),충청북도 충주시 사직산12길 55,127.9291354,36.96932947,http://tong.visitkorea.or.kr/cms/resource/81/847881_image2_1.jpg,"충주는 중원이라는 말처럼 한반도 중심에 자리한 역사ㆍ문화ㆍ교통의 요지로서, 삼국시대 접경지는 물론 수많은 애환을 가진 역사의 도시로 유명한 곳이다. 특히 이곳 중원은 예부터 철의 고장으로서 수많은 불상들이 철불로 조성되었으며, 전해지고 있다. 이로 인해 충주는 철불의 보금자리로 알려져 있으며, 충주를 찾는 이들은 어김없이 이들 철불을 친견하기를 원한다. 그 중 도심 한복판에서 충주시가지를 내려다보는 철불이 하나 있다. 이 불상은 용산이라는 충주의 명산에 자리한 대원사 철불로 일명 광불(狂佛)로 불리는 전설속의 불상이다. 철불은 전설 속 여진이란 노승의 모습으로, 찢어진 두 눈ㆍ험악한 인상 등에서 다소 생소한 부처의 모습을 느낄 수 있으나, 이상적인 체구에 사실적인 표현은 노승의 모습을 닮은 친근한 모습이다.
대원사는 이곳에 철불을 봉안하며 창건된 도심 사찰로 충주 시가지 내 포교사찰로 알려진 곳이다. 절이 항상 산사에 있어야 제맛이지만, 일부러 절을 찾기도 하고 팍팍한 산행의 과정없이 쉽게 만날 수 있는 절 역시 현재 우리가 원하는 사찰의 모습일 것이다. 도심 한복판에서 만날 수 있는 대원사는 이런 현재 우리들의 요구를 반영한 도심속 포교소로서 철불의 보금자리일뿐 아니라 충주시민들의 상담소로서 또는 정신적인 위안처로서 충주시민들의 타는 듯한 인생의 못마름을 덜어낼 수 있는 쉼터로서 제구실을 하고 있다. 언제나 친견할 수 있는 철불, 쉽게 찾을 수 있는 사찰에서 우린 고개를 뻣뻣이 드는 것도 숙이는 것도 조심스러운 세상에, 법당 마루에 무릎을 끊고 머리를 조아리며, 가식의 옷을 벗어 던진 나를 만나기도 한다. 그렇게 온화한 미소는 아니지만 인간의 모습을 가진 철불을 향해 안으로 나를 참구해도 그만이고 남을 위해 기도할 수 있다면 더할 나위 없을 것이다. 조성당시에도 그랬듯이 현재에도 무뚝뚝한 철불의 입가에 미소가 떠오르기를 기도해 본다.
* 대원사의 창건 경위와 역사 *
대원사 경내에 있는 ‘우암승현선사지비(愚岩勝鉉禪師之碑)’라 음각된 비석 뒷면에 1929년 9월에 김추월(金秋月) 선사( 禪師)가 창건한 사찰이라고 기록되어 있다. 1929년 이후 포교당으로 운영되다가 충주 지역의 대표적인 사찰로 성장하였다. 1994년 화재로 대웅전 일부와 충주 철불좌상을 봉안했던 보호각이 소실되었으나 1998년 극락전을 새로 지어 충주 철불좌상을 안치하였다. 1994년 화재 이후 당시 주지였던 현덕에 의해 주불인 아미타불과 관음보살, 지장보살 및 후불탱화가 조성되었으며, 대원 어린이집도 당시 개원되었다. 이후 보호각 없이 대웅전 앞에 방치된 충주철불좌상의 봉안을 위해 1998년 승려 법광이 극락전을 건립하고 후불탱화를 조성하였다.
[충주 철조여래좌상] 보물 (1963년 01월 21일 지정)
철로 만든 불상으로 단호사 철불좌상과 같은 양식이지만 엄격미가 강조된 점이 특징이다. 삼각형에 가까운 얼굴, 길고 넓은 눈, 꽉 다문 입가로 내려오는 팔자형의 주름이 근엄한 인상을 보여주고 있다. 양 어깨에 걸쳐 입은 옷은 좌우대칭을 지키면서 기하학적 옷주름 선을 규칙적으로 표현하였다. 통일신라 후기부터 고려 초기에 걸쳐 유행하던 철로 만들어진 불상 가운데 하나이다. 도식화된 표현으로 볼 때 고려 초기에 만들어진 것으로 보인다.",충주시
6,목계나루,충청북도 충주시 엄정면 동계길 29-1,127.888947,37.07522765,http://tong.visitkorea.or.kr/cms/resource/66/2392766_image2_1.jpg,"중원 문화의 발상지 충주는 수운(水運)교통은 물론, 육로 교통에 있어서도 우리나라 동서남북을 연결하는 요충지였으며, 그 중 수운의 중심에는 '목계나루'가 있었다. 목계나루는 이런 과거 목계의 문화정신을 계승 발전시켜 나가자는 취지로 설립된 복합 문화공간으로, 강배 체험관과 주막, 저잣거리, 수상 체험 시설 등으로 이루어져 있다. 강배 체험관에서는 그 옛날 목계나루를 가득 메우던 배를 모티브로 강배들을 실제로 보고 느낄 수 있는 공간이 조성되어 있으며, 소원 종이배 만들기 등의 체험을 할 수 있다. 또한 전통을 즐기는 놀이마당인 저잣거리에서는 다양한 전통체험과 먹거리로 옛 목계나루 장터의 분위기를 재현하여 어린이나 가족단위 관광객들에게 다양한 체험교육형 관광을 제공하고 있다.",충주시
7,보련산,충청북도 충주시 노은면 수룡봉황길 249,127.8014998,37.06008334,http://tong.visitkorea.or.kr/cms/resource/94/177794_image2_1.jpg,"* 호젓한 산행을 즐길 수 있는 산, 보련산 *보련산(764m)은 충주시에서 북쪽으로 약 20km 거리에 있는 산으로 하남현 고개를 기점으로 서쪽의 국망산(770m)과 나란히 위치하고 있다. 그다지 미려한 맛은 없고, 인파 또한 많이 몰리지 않는 탓에 호젓한 산행을 즐기기에 적당하다. 정상에서 북쪽으로 눈을 돌리면 동암계곡 끝의 온천마을이 보이고 그 뒤로 남한강이 야트막한 산들 사이로 굽이쳐 흐른다.서쪽으로는 국망산과 오갑산이 손짓한다. 보련산 능선은 비교적 경사가 완만하며, 676m 고지 아래의 자연 동굴을 지나 산 정상으로 올라가면 소나무와 참나무가 빽빽이 들어서 있다. 봄철이면 정상에 넓은 진달래 꽃밭이 장관을 이룬다. 산 정상과 하남치에서 동막고개에 이르는 주능선 양쪽 비탈면 650m 이상의 급경사에는 신갈나무와 굴참나무 군락이 발달되어 있으며, 산벚나무·물푸레나무·쪽동백나무·생강나무·노란재나무·철쭉·개옻나무 등으로 조성되어 있다. 보련산 주능선 각 비탈면에는 신갈나무를 위주로 하는 신갈나무·소나무 혼합림이 넓게 형성되어 있다.* 보련산성과 장미산성의 아름다운 전설 *산 정상에는 보련산성이 있는데, 능선을 따라 흙과 돌로 쌓은 성의 둘레는 약 1.8km이며 일명 봉황성 또는 천룡성이라고 한다. 이 성과 동쪽 맞은편의 장미산 정상에 있는 장미산성 간에는 아주 재미있는 전설이 전해오고 있다. 삼국시대 때 이 곳 보련산 서쪽 가마골 마을에 장미와 보련이라는 누이가 살았는데 명산의 정기를 받은 이들은 둘 다 장수의 기질을 가지고 태어났다. 그러나 옛부터 한 집안에 두 장수가 태어나면 그중 하나는 희생되어야 하기에 두 사람은 성쌓기 겨루기를 하기로 하였다.이 사실을 안 어머니는 가슴을 저미는 고통을 느끼게 되는데 어머니가 보기에 보련이의 성 쌓는 솜씨가 아들인 장미보다 뛰어나 고민을 하게 되었다. 마침내 결심을 한 어머니는 손수 떡을 해서 보련이에게 떡을 보이고 다시 성을 쌓게 했는데 보련이가 마지막 돌을 하나 올리려는 순간 장미쪽에서 성을 다 쌓았음을 알리자 보련이는 어머니가 아들을 살리려 했음을 알고 집을 떠났다고 한다. 보련이가 떠난 다음 날 보련이의 집에 큰 별이 하나 떨어졌다고 하며, 그 후 그 지역 산과 산성을 보련산-보련산성, 장미산-장미산성이라고 부르게 되었다.",충주시
8,봉황경(능암리섬),충북 충주시 가금면 가흥리,0.0,0.0,http://tong.visitkorea.or.kr/cms/resource/67/1851967_image2_1.jpg,"많은 수생 동식물이 불러들이는 철새들로 인해 능암리섬은 자연학습장과 산책로로 좋은 곳이다. 남한강 하중도는 다양한 종류의 철새가 서식하고 있으며 특히 원앙, 큰고니, 말똥가리, 흰목물떼새 등 법적보호종도 자주 목격된다. 유독 철새들이 많고 물억새, 갈대군락지가 장관을 이루고 있어 많은 사진작가들이 이곳을 찾는다. 수변산책로를 통해 야생조류원을 볼 수 있고 전망관찰대에서는 갈대숲의 전경과 송림, 철새들의 비상을 감상할 수 있다. 수변잔디광장을 중심으로 자전거도로, 제방길, 청소년 야영장이 있으며, 목계나루터 재현 및 체험장, 수변광장과 관찰데크, 야생초화원 등이 있다.",충주시
9,봉황자연휴양림,충북 충주시 가금면 수룡봉황길 540,127.8246921,37.06016432,http://tong.visitkorea.or.kr/cms/resource/98/177798_image2_1.jpg,"충주 울궁산(398m)에 자리잡은 휴양림으로 주변이 산으로 둘러싸여 있어 시원하면서도 아늑한 분위기이다. 산림욕장은 주로 참나무, 소나무, 낙엽송, 밤나무가 주를 이루고 등산로 겸 산책로는 경사가 완만해 어린이들도 힘들지 않게 오를 수 있다. 산림욕장 입구에 계곡이 흐르고 오토캠프도 가능하다. 낯설지 않은 친숙한 분위기를 느낄 수 있고 인근에 월악산 국립공원, 충주호, 수안보온천, 능암온천, 탄금대 등 주변볼거리가 많은 지역으로 가족 및 단체 휴양지로 적절하다.",충주시
